指标,数量或分子,分母,比例,范围,定义与限制,来源
原始帧数,8659,,,全部真实验证,直接计数；分母不适用,summary.json
完整五帧窗口,8583,,,全部真实验证,直接计数；分母不适用,summary.json
启动窗口,76,,,全部真实验证,直接计数；分母不适用,summary.json
原始槽数,1134952448,,,全部真实验证,直接计数；分母不适用,summary.json
实际回波数,987807187,,,全部真实验证,直接计数；分母不适用,summary.json
正常回波数,744037182,,,全部真实验证,直接计数；分母不适用,summary.json
忽略回波数,243679266,,,全部真实验证,直接计数；分母不适用,summary.json
异常回波数,90739,,,全部真实验证,直接计数；分母不适用,summary.json
范围内全部异常点,90094,,,全部真实验证,直接计数；分母不适用,summary.json
当前未见异常,5114,8659,0.5905993763714055,全部原始帧,四种互斥状态,summary.json
仅范围外异常,465,8659,0.05370135119528814,全部原始帧,四种互斥状态,summary.json
范围内1至4点,1120,8659,0.1293451899757478,全部原始帧,四种互斥状态,summary.json
范围内至少5点,1960,8659,0.22635408245755861,全部原始帧,四种互斥状态,summary.json
零坐标槽,147145261,1134952448,0.12964883353421341,全部原始帧,零坐标槽不作为回波,summary.json
忽略占回波比例,243679266,987807187,0.24668707537962062,全部原始帧,忽略点仍参加联合体素构建,summary.json
整窗未见异常,4355,8583,0.5073983455668182,完整五帧窗口,全距离五帧异常回波总和为零,summary.json
完整区间当前未见异常,5042,8583,0.58744028894326,完整五帧当前帧,不能替代整窗未见异常,summary.json
当前可见异常帧,3545,8659,0.40940062362859453,全部原始帧,包含范围外及少点帧,summary.json
实际回波占槽比例,987807187,1134952448,0.8703511664657866,全部原始帧,每个原始槽只计一次,summary.json
完整区间官方合格帧,1956,8583,0.22789234533379937,完整五帧当前帧,范围内至少5个异常点,summary.json
完整区间合格异常点,87398,,,完整五帧合格帧,保留原诊断子集分母,summary.json
完整区间合格正常点,193383258,,,完整五帧合格帧,保留原诊断子集分母,summary.json
完整区间合格异常点占比,87398,193470656,0.00045173775603469293,完整五帧合格帧,原诊断参考占比，未改变评价,summary.json
官方合格正常点,193792470,,,全部官方合格帧,2.5至50米含端点,summary.json
官方合格异常点,87499,,,全部官方合格帧,帧内范围异常点至少5个,summary.json
官方合格异常点占比,87499,193879969,0.00045130500304546675,全部官方合格帧,仅用于保留原有评价点构成,summary.json
无异常阶段范围内正常点,366706288,,,当前无异常回波帧,原有正常阶段分母,summary.json
可估计可见几何的实例×帧,1611,4729,0.34066398815817295,正实例标识,至少10个不同坐标点；不是完整尺寸,summary.json
局部地面代理通过,2202,4729,0.46563755550856417,正实例标识,固定平面及支持规则,summary.json
