序列,因素,统计量,范围,分组,统计单位,权重,有效数量,适用候选数量,总帧或阶段组数,有有效观测的帧或组数,有覆盖序列数,左边界,右边界,原始数量,对应权重比例,来源
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0,0.001,8471,0.9782884859683566,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.001,0.01,188,0.021711514031643377,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.01,0.1,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.1,0.25,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.25,0.5,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.5,0.75,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.75,0.9,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.9,1.000001,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0,0.001,8471,0.9782884859683566,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.001,0.01,188,0.021711514031643377,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.01,0.1,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.1,0.25,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.25,0.5,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.5,0.75,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.75,0.9,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.9,1.000001,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0,0.001,8471,0.9712419101436508,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.001,0.01,188,0.028758089856349024,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.01,0.1,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.1,0.25,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.25,0.5,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.5,0.75,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.75,0.9,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.9,1.000001,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0,0.001,0,0.0,summary.json:全部:A02|ignore_fraction|all_frames|all:frame_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.001,0.01,173,0.01997921238018247,summary.json:全部:A02|ignore_fraction|all_frames|all:frame_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.01,0.1,3335,0.3851484005081418,summary.json:全部:A02|ignore_fraction|all_frames|all:frame_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.1,0.25,2916,0.33675944104400046,summary.json:全部:A02|ignore_fraction|all_frames|all:frame_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.25,0.5,694,0.080147823074258,summary.json:全部:A02|ignore_fraction|all_frames|all:frame_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.5,0.75,430,0.04965931400854602,summary.json:全部:A02|ignore_fraction|all_frames|all:frame_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.75,0.9,341,0.03938099087654463,summary.json:全部:A02|ignore_fraction|all_frames|all:frame_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,8659,8659,8659,8659,19,0.9,1.000001,770,0.0889248181083266,summary.json:全部:A02|ignore_fraction|all_frames|all:frame_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0,0.001,0,0.0,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.001,0.01,173,0.01997921238018247,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.01,0.1,3335,0.3851484005081418,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.1,0.25,2916,0.33675944104400046,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.25,0.5,694,0.080147823074258,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.5,0.75,430,0.04965931400854602,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.75,0.9,341,0.03938099087654463,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,8659,8659,8659,8659,19,0.9,1.000001,770,0.0889248181083266,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0,0.001,0,0.0,summary.json:全部:A02|ignore_fraction|all_frames|all:sequence_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.001,0.01,173,0.01574940292354744,summary.json:全部:A02|ignore_fraction|all_frames|all:sequence_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.01,0.1,3335,0.3696423911744777,summary.json:全部:A02|ignore_fraction|all_frames|all:sequence_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.1,0.25,2916,0.36487935041914116,summary.json:全部:A02|ignore_fraction|all_frames|all:sequence_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.25,0.5,694,0.08813532392560008,summary.json:全部:A02|ignore_fraction|all_frames|all:sequence_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.5,0.75,430,0.04564005955448347,summary.json:全部:A02|ignore_fraction|all_frames|all:sequence_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.75,0.9,341,0.03604460898113672,summary.json:全部:A02|ignore_fraction|all_frames|all:sequence_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的序列等权,8659,8659,8659,8659,19,0.9,1.000001,770,0.0799088630216135,summary.json:全部:A02|ignore_fraction|all_frames|all:sequence_equal
