序列,当前帧,范围编码,可见模式,整窗未见,历史异常点数,历史可见扫描数,历史异常占比,联合体素数,当前占据体素数,当前异常体素数,联合异常体素数,历史增加异常体素数,当前异常压缩比,联合异常压缩比,当前异常体素含正常数,当前异常体素含忽略数,历史新增正常体素数,历史新增正常影响当前异常点数,最早至当前平移（米）,最早至当前旋转（弧度）,当前异常体素含正常比例,当前异常体素含忽略比例,历史新增正常比例,当前异常体素均值位移P50（米）,抽样静态点数,静态匹配点数,静态匹配比例,槽0全距离异常点数,槽1全距离异常点数,槽2全距离异常点数,槽3全距离异常点数,槽4全距离异常点数,槽0源坐标范围内异常点数,槽1源坐标范围内异常点数,槽2源坐标范围内异常点数,槽3源坐标范围内异常点数,槽4源坐标范围内异常点数
125,0,startup_windows,----1,0,0,0,0.0,109356,109356,25,25,0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,25,,,,,25
125,1,startup_windows,---11,0,25,1,0.5,144733,109388,25,35,10,1.0,1.4285714285714286,0,0,0,0,0.0038105788602000677,0.00011741361246594928,0.0,0.0,0.0,0.00126685353461653,2048,2042,0.9970703125,,,,25,25,,,,25,25
125,2,startup_windows,--111,0,50,2,0.6578947368421053,165427,109312,26,40,14,1.0,1.9,0,0,0,0,0.0019394287401252421,5.370657987773096e-05,0.0,0.0,0.0,0.0031608024146407843,2048,2047,0.99951171875,,,25,25,26,,,25,25,26
125,3,startup_windows,-1111,0,76,3,0.7524752475247525,180567,109348,25,40,15,1.0,2.525,0,0,0,0,0.0026461988935782233,6.60299020126893e-05,0.0,0.0,0.0,0.004851757548749447,2048,2047,0.99951171875,,25,25,26,25,,25,25,26,25
137,0,startup_windows,----0,1,0,0,,64315,64315,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
137,1,startup_windows,---00,1,0,0,,104005,64733,0,0,0,,,0,0,0,0,0.5893467741869259,0.0027432624406726605,,,,,2048,2031,0.99169921875,,,,0,0,,,,0,0
137,2,startup_windows,--000,1,0,0,,137790,65819,0,0,0,,,0,0,0,0,1.1999849375886988,0.00350567940130717,,,,,2048,1949,0.95166015625,,,0,0,0,,,0,0,0
137,3,startup_windows,-0000,1,0,0,,168055,67316,0,0,0,,,0,0,0,0,1.841925010875139,0.0029781203900457838,,,,,2048,1938,0.9462890625,,0,0,0,0,,0,0,0,0
138,0,startup_windows,----0,1,0,0,,63752,63752,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
138,1,startup_windows,---00,1,0,0,,100352,64636,0,0,0,,,0,0,0,0,0.3115144706764333,0.000627393894998474,,,,,2048,1914,0.9345703125,,,,0,0,,,,0,0
138,2,startup_windows,--000,1,0,0,,131352,64845,0,0,0,,,0,0,0,0,0.638058834802443,0.00020984115432584613,,,,,2048,1871,0.91357421875,,,0,0,0,,,0,0,0
138,3,startup_windows,-0000,1,0,0,,156498,64698,0,0,0,,,0,0,0,0,0.9947771783615601,0.0014815485051192627,,,,,2048,1748,0.853515625,,0,0,0,0,,0,0,0,0
139,0,startup_windows,----0,1,0,0,,63882,63882,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
139,1,startup_windows,---00,1,0,0,,103802,63887,0,0,0,,,0,0,0,0,1.0624256717983849,0.0029135180998604553,,,,,2048,1864,0.91015625,,,,0,0,,,,0,0
139,2,startup_windows,--000,1,0,0,,135049,63722,0,0,0,,,0,0,0,0,1.5873374842989094,0.0024456738251662845,,,,,2048,1981,0.96728515625,,,0,0,0,,,0,0,0
139,3,startup_windows,-0000,1,0,0,,162427,63655,0,0,0,,,0,0,0,0,2.126487250011051,0.001072403205456683,,,,,2048,1980,0.966796875,,0,0,0,0,,0,0,0,0
140,0,startup_windows,----0,1,0,0,,65589,65589,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
140,1,startup_windows,---00,1,0,0,,106656,66302,0,0,0,,,0,0,0,0,0.31628374381794383,0.00637554655954549,,,,,2048,1953,0.95361328125,,,,0,0,,,,0,0
