序列,五位模式,窗口数,覆盖序列数,当前异常点合计,历史异常点合计,历史占比有效窗数,历史占比无定义比例,槽0异常点数P5,槽0异常点数P25,槽0异常点数P50,槽0异常点数P75,槽0异常点数P95,槽1异常点数P5,槽1异常点数P25,槽1异常点数P50,槽1异常点数P75,槽1异常点数P95,槽2异常点数P5,槽2异常点数P25,槽2异常点数P50,槽2异常点数P75,槽2异常点数P95,槽3异常点数P5,槽3异常点数P25,槽3异常点数P50,槽3异常点数P75,槽3异常点数P95,槽4异常点数P5,槽4异常点数P25,槽4异常点数P50,槽4异常点数P75,槽4异常点数P95,历史异常占比P5,历史异常占比P25,历史异常占比P50,历史异常占比P75,历史异常占比P95
全部,00000,4355,19,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
全部,00001,97,19,283,0,97,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,0.0,0.0,0.0,0.0,0.0
全部,00010,69,18,0,76,69,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,00011,58,18,884,245,58,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,25,1,1,1,3,98,0.09090909090909091,0.3333333333333333,0.5,0.5,0.6
全部,00100,72,18,0,80,72,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,00101,21,12,24,25,21,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,1,1,1,2,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666
全部,00110,34,16,0,82,34,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,00111,57,19,1284,1135,57,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,25,1,1,2,3,98,1,1,2,3,135,0.36333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.75
全部,01000,72,18,0,78,72,0.0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,01001,22,14,24,24,22,0.0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666
