当前范围内异常点数,当前范围内异常距离中位数（米）,序列数,帧数,异常点数,占合格帧比例,占合格异常点比例,覆盖状态,来源
5至19,"[2.5,10)",11,56,749,0.028629856850715747,0.008569990159957894,有覆盖,summary.json:official_count_distance:0|0
5至19,"[10,20)",18,455,5055,0.23261758691206544,0.0578388521476464,有覆盖,summary.json:official_count_distance:0|1
5至19,"[20,35)",16,410,3544,0.20961145194274028,0.04055012700519463,有覆盖,summary.json:official_count_distance:0|2
5至19,"[35,50]",4,54,357,0.027607361963190184,0.00408476166502666,有覆盖,summary.json:official_count_distance:0|3
20至99,"[2.5,10)",19,371,19394,0.18967280163599182,0.22190439140483764,有覆盖,summary.json:official_count_distance:1|0
20至99,"[10,20)",14,303,10546,0.1549079754601227,0.12066637680496121,有覆盖,summary.json:official_count_distance:1|1
20至99,"[20,35)",1,55,1261,0.028118609406952964,0.014428247785990526,有覆盖,summary.json:official_count_distance:1|2
20至99,"[35,50]",0,0,0,0.0,0.0,无覆盖,summary.json:official_count_distance:1|3
100至499,"[2.5,10)",14,247,45876,0.12627811860940696,0.5249090368200645,有覆盖,summary.json:official_count_distance:2|0
100至499,"[10,20)",1,5,616,0.002556237218813906,0.0070482162063205105,有覆盖,summary.json:official_count_distance:2|1
100至499,"[20,35)",0,0,0,0.0,0.0,无覆盖,summary.json:official_count_distance:2|2
100至499,"[35,50]",0,0,0,0.0,0.0,无覆盖,summary.json:official_count_distance:2|3
至少500,"[2.5,10)",0,0,0,0.0,0.0,无覆盖,summary.json:official_count_distance:3|0
至少500,"[10,20)",0,0,0,0.0,0.0,无覆盖,summary.json:official_count_distance:3|1
至少500,"[20,35)",0,0,0,0.0,0.0,无覆盖,summary.json:official_count_distance:3|2
至少500,"[35,50]",0,0,0,0.0,0.0,无覆盖,summary.json:official_count_distance:3|3
