序列,阶段,首帧,末帧,长度（帧）,左边界截断,右边界截断
125,连续可见段,0,169,170,1,0
125,可见间断段,170,213,44,0,0
125,连续可见段,214,254,41,0,1
137,未见回波前缀,0,229,230,1,0
137,连续可见段,230,231,2,0,0
137,可见间断段,232,239,8,0,0
137,连续可见段,240,241,2,0,0
137,可见间断段,242,247,6,0,0
137,连续可见段,248,248,1,0,0
137,可见间断段,249,250,2,0,0
137,连续可见段,251,252,2,0,0
137,可见间断段,253,258,6,0,0
137,连续可见段,259,263,5,0,0
137,可见间断段,264,270,7,0,0
137,连续可见段,271,273,3,0,0
137,可见间断段,274,277,4,0,0
137,连续可见段,278,280,3,0,0
137,可见间断段,281,281,1,0,0
137,连续可见段,282,289,8,0,0
137,可见间断段,290,290,1,0,0
137,连续可见段,291,295,5,0,0
137,可见间断段,296,297,2,0,0
137,连续可见段,298,299,2,0,0
137,可见间断段,300,300,1,0,0
137,连续可见段,301,357,57,0,0
137,可见间断段,358,382,25,0,0
137,连续可见段,383,406,24,0,0
137,可见间断段,407,407,1,0,0
137,连续可见段,408,414,7,0,0
137,可见间断段,415,415,1,0,0
137,连续可见段,416,418,3,0,0
137,可见间断段,419,419,1,0,0
137,连续可见段,420,427,8,0,0
137,可见间断段,428,428,1,0,0
137,连续可见段,429,433,5,0,0
137,可见间断段,434,435,2,0,0
137,连续可见段,436,441,6,0,0
137,可见间断段,442,442,1,0,0
137,连续可见段,443,444,2,0,0
137,可见间断段,445,445,1,0,0
137,连续可见段,446,449,4,0,0
137,可见间断段,450,452,3,0,0
137,连续可见段,453,453,1,0,0
137,最终无回波尾段,454,559,106,0,1
138,未见回波前缀,0,254,255,1,0
138,连续可见段,255,255,1,0,0
138,可见间断段,256,260,5,0,0
138,连续可见段,261,261,1,0,0
138,可见间断段,262,283,22,0,0
138,连续可见段,284,284,1,0,0
138,可见间断段,285,293,9,0,0
138,连续可见段,294,302,9,0,0
138,可见间断段,303,304,2,0,0
138,连续可见段,305,306,2,0,0
138,可见间断段,307,307,1,0,0
138,连续可见段,308,320,13,0,0
138,可见间断段,321,321,1,0,0
138,连续可见段,322,373,52,0,0
138,可见间断段,374,389,16,0,0
138,连续可见段,390,434,45,0,0
138,可见间断段,435,435,1,0,0
138,连续可见段,436,457,22,0,0
138,可见间断段,458,458,1,0,0
138,连续可见段,459,461,3,0,0
138,可见间断段,462,462,1,0,0
138,连续可见段,463,464,2,0,0
138,可见间断段,465,466,2,0,0
138,连续可见段,467,467,1,0,0
138,可见间断段,468,468,1,0,0
138,连续可见段,469,471,3,0,0
138,最终无回波尾段,472,515,44,0,1
139,未见回波前缀,0,186,187,1,0
139,连续可见段,187,187,1,0,0
139,可见间断段,188,198,11,0,0
139,连续可见段,199,199,1,0,0
139,可见间断段,200,201,2,0,0
139,连续可见段,202,203,2,0,0
139,可见间断段,204,206,3,0,0
139,连续可见段,207,207,1,0,0
139,可见间断段,208,215,8,0,0
139,连续可见段,216,216,1,0,0
139,可见间断段,217,217,1,0,0
139,连续可见段,218,218,1,0,0
139,可见间断段,219,221,3,0,0
139,连续可见段,222,225,4,0,0
139,可见间断段,226,226,1,0,0
139,连续可见段,227,229,3,0,0
139,可见间断段,230,231,2,0,0
139,连续可见段,232,233,2,0,0
139,可见间断段,234,234,1,0,0
139,连续可见段,235,241,7,0,0
139,可见间断段,242,243,2,0,0
139,连续可见段,244,247,4,0,0
139,可见间断段,248,248,1,0,0
139,连续可见段,249,361,113,0,0
139,可见间断段,362,377,16,0,0
139,连续可见段,378,441,64,0,0
139,可见间断段,442,442,1,0,0
139,连续可见段,443,443,1,0,0
139,最终无回波尾段,444,541,98,0,1
140,未见回波前缀,0,163,164,1,0
140,连续可见段,164,164,1,0,0
140,可见间断段,165,176,12,0,0
140,连续可见段,177,177,1,0,0
140,可见间断段,178,178,1,0,0
140,连续可见段,179,179,1,0,0
140,可见间断段,180,180,1,0,0
140,连续可见段,181,181,1,0,0
140,可见间断段,182,186,5,0,0
140,连续可见段,187,187,1,0,0
140,可见间断段,188,189,2,0,0
140,连续可见段,190,190,1,0,0
140,可见间断段,191,194,4,0,0
140,连续可见段,195,196,2,0,0
140,可见间断段,197,199,3,0,0
140,连续可见段,200,201,2,0,0
140,可见间断段,202,206,5,0,0
140,连续可见段,207,207,1,0,0
140,可见间断段,208,208,1,0,0
140,连续可见段,209,210,2,0,0
140,可见间断段,211,211,1,0,0
140,连续可见段,212,213,2,0,0
140,可见间断段,214,215,2,0,0
140,连续可见段,216,223,8,0,0
140,可见间断段,224,225,2,0,0
140,连续可见段,226,226,1,0,0
140,可见间断段,227,227,1,0,0
140,连续可见段,228,234,7,0,0
140,可见间断段,235,235,1,0,0
140,连续可见段,236,306,71,0,0
140,可见间断段,307,326,20,0,0
140,连续可见段,327,365,39,0,0
140,可见间断段,366,366,1,0,0
140,连续可见段,367,377,11,0,0
140,可见间断段,378,378,1,0,0
140,连续可见段,379,386,8,0,0
140,可见间断段,387,389,3,0,0
140,连续可见段,390,401,12,0,0
140,可见间断段,402,402,1,0,0
140,连续可见段,403,404,2,0,0
140,可见间断段,405,405,1,0,0
140,连续可见段,406,406,1,0,0
140,可见间断段,407,407,1,0,0
140,连续可见段,408,408,1,0,0
140,最终无回波尾段,409,480,72,0,1
141,未见回波前缀,0,194,195,1,0
141,连续可见段,195,196,2,0,0
141,可见间断段,197,197,1,0,0
141,连续可见段,198,198,1,0,0
141,可见间断段,199,200,2,0,0
141,连续可见段,201,201,1,0,0
141,可见间断段,202,204,3,0,0
141,连续可见段,205,206,2,0,0
141,可见间断段,207,207,1,0,0
141,连续可见段,208,208,1,0,0
141,可见间断段,209,215,7,0,0
141,连续可见段,216,216,1,0,0
141,可见间断段,217,221,5,0,0
141,连续可见段,222,407,186,0,0
141,可见间断段,408,453,46,0,0
141,连续可见段,454,640,187,0,0
141,最终无回波尾段,641,696,56,0,1
142,未见回波前缀,0,220,221,1,0
142,连续可见段,221,221,1,0,0
142,可见间断段,222,224,3,0,0
142,连续可见段,225,225,1,0,0
142,可见间断段,226,227,2,0,0
142,连续可见段,228,228,1,0,0
142,可见间断段,229,231,3,0,0
142,连续可见段,232,233,2,0,0
142,可见间断段,234,235,2,0,0
142,连续可见段,236,236,1,0,0
142,可见间断段,237,240,4,0,0
142,连续可见段,241,241,1,0,0
142,可见间断段,242,248,7,0,0
142,连续可见段,249,249,1,0,0
142,可见间断段,250,252,3,0,0
142,连续可见段,253,257,5,0,0
142,可见间断段,258,262,5,0,0
142,连续可见段,263,266,4,0,0
142,可见间断段,267,267,1,0,0
142,连续可见段,268,271,4,0,0
142,可见间断段,272,272,1,0,0
142,连续可见段,273,276,4,0,0
142,可见间断段,277,278,2,0,0
142,连续可见段,279,282,4,0,0
142,可见间断段,283,283,1,0,0
142,连续可见段,284,288,5,0,0
142,可见间断段,289,289,1,0,0
142,连续可见段,290,290,1,0,0
142,可见间断段,291,291,1,0,0
142,连续可见段,292,294,3,0,0
142,可见间断段,295,295,1,0,0
142,连续可见段,296,401,106,0,0
142,可见间断段,402,402,1,0,0
142,连续可见段,403,404,2,0,0
142,可见间断段,405,405,1,0,0
142,连续可见段,406,406,1,0,0
142,可见间断段,407,408,2,0,0
142,连续可见段,409,410,2,0,0
142,可见间断段,411,412,2,0,0
142,连续可见段,413,413,1,0,0
142,可见间断段,414,416,3,0,0
142,连续可见段,417,417,1,0,0
142,可见间断段,418,421,4,0,0
142,连续可见段,422,425,4,0,0
142,可见间断段,426,427,2,0,0
142,连续可见段,428,428,1,0,0
142,可见间断段,429,430,2,0,0
142,连续可见段,431,431,1,0,0
142,可见间断段,432,437,6,0,0
142,连续可见段,438,439,2,0,0
142,可见间断段,440,440,1,0,0
142,连续可见段,441,441,1,0,0
142,最终无回波尾段,442,536,95,0,1
143,未见回波前缀,0,163,164,1,0
143,连续可见段,164,164,1,0,0
143,可见间断段,165,173,9,0,0
143,连续可见段,174,174,1,0,0
143,可见间断段,175,176,2,0,0
143,连续可见段,177,178,2,0,0
143,可见间断段,179,180,2,0,0
143,连续可见段,181,181,1,0,0
143,可见间断段,182,182,1,0,0
143,连续可见段,183,183,1,0,0
143,可见间断段,184,184,1,0,0
143,连续可见段,185,185,1,0,0
143,可见间断段,186,188,3,0,0
143,连续可见段,189,191,3,0,0
143,可见间断段,192,213,22,0,0
143,连续可见段,214,279,66,0,0
143,可见间断段,280,309,30,0,0
143,连续可见段,310,382,73,0,0
143,可见间断段,383,383,1,0,0
143,连续可见段,384,384,1,0,0
143,可见间断段,385,385,1,0,0
143,连续可见段,386,391,6,0,0
143,可见间断段,392,392,1,0,0
143,连续可见段,393,396,4,0,0
143,可见间断段,397,398,2,0,0
143,连续可见段,399,402,4,0,0
143,可见间断段,403,404,2,0,0
143,连续可见段,405,405,1,0,0
143,可见间断段,406,407,2,0,0
143,连续可见段,408,408,1,0,0
143,可见间断段,409,412,4,0,0
143,连续可见段,413,413,1,0,0
143,可见间断段,414,414,1,0,0
143,连续可见段,415,415,1,0,0
143,可见间断段,416,420,5,0,0
143,连续可见段,421,426,6,0,0
143,最终无回波尾段,427,468,42,0,1
144,未见回波前缀,0,115,116,1,0
144,连续可见段,116,116,1,0,0
144,可见间断段,117,129,13,0,0
144,连续可见段,130,130,1,0,0
144,可见间断段,131,135,5,0,0
144,连续可见段,136,136,1,0,0
144,可见间断段,137,141,5,0,0
144,连续可见段,142,142,1,0,0
144,可见间断段,143,146,4,0,0
144,连续可见段,147,147,1,0,0
144,可见间断段,148,153,6,0,0
144,连续可见段,154,155,2,0,0
144,可见间断段,156,156,1,0,0
144,连续可见段,157,157,1,0,0
144,可见间断段,158,158,1,0,0
144,连续可见段,159,160,2,0,0
144,可见间断段,161,162,2,0,0
144,连续可见段,163,164,2,0,0
144,可见间断段,165,166,2,0,0
144,连续可见段,167,167,1,0,0
144,可见间断段,168,170,3,0,0
144,连续可见段,171,171,1,0,0
144,可见间断段,172,172,1,0,0
144,连续可见段,173,173,1,0,0
144,可见间断段,174,177,4,0,0
144,连续可见段,178,180,3,0,0
144,可见间断段,181,181,1,0,0
144,连续可见段,182,183,2,0,0
144,可见间断段,184,184,1,0,0
144,连续可见段,185,186,2,0,0
144,可见间断段,187,187,1,0,0
144,连续可见段,188,195,8,0,0
144,可见间断段,196,196,1,0,0
144,连续可见段,197,322,126,0,1
145,未见回波前缀,0,129,130,1,0
145,连续可见段,130,130,1,0,0
145,可见间断段,131,142,12,0,0
145,连续可见段,143,143,1,0,0
145,可见间断段,144,147,4,0,0
145,连续可见段,148,148,1,0,0
145,可见间断段,149,153,5,0,0
145,连续可见段,154,154,1,0,0
145,可见间断段,155,160,6,0,0
145,连续可见段,161,161,1,0,0
145,可见间断段,162,168,7,0,0
145,连续可见段,169,169,1,0,0
145,可见间断段,170,172,3,0,0
145,连续可见段,173,173,1,0,0
145,可见间断段,174,176,3,0,0
145,连续可见段,177,177,1,0,0
145,可见间断段,178,180,3,0,0
145,连续可见段,181,181,1,0,0
145,可见间断段,182,182,1,0,0
145,连续可见段,183,183,1,0,0
145,可见间断段,184,189,6,0,0
145,连续可见段,190,190,1,0,0
145,可见间断段,191,191,1,0,0
145,连续可见段,192,194,3,0,0
145,可见间断段,195,195,1,0,0
145,连续可见段,196,201,6,0,0
145,可见间断段,202,203,2,0,0
145,连续可见段,204,336,133,0,1
146,未见回波前缀,0,244,245,1,0
146,连续可见段,245,245,1,0,0
146,可见间断段,246,247,2,0,0
146,连续可见段,248,248,1,0,0
146,可见间断段,249,251,3,0,0
146,连续可见段,252,252,1,0,0
146,可见间断段,253,255,3,0,0
146,连续可见段,256,257,2,0,0
146,可见间断段,258,260,3,0,0
146,连续可见段,261,262,2,0,0
146,可见间断段,263,263,1,0,0
146,连续可见段,264,265,2,0,0
146,可见间断段,266,266,1,0,0
146,连续可见段,267,269,3,0,0
146,可见间断段,270,270,1,0,0
146,连续可见段,271,272,2,0,0
146,可见间断段,273,273,1,0,0
146,连续可见段,274,279,6,0,0
146,可见间断段,280,281,2,0,0
146,连续可见段,282,373,92,0,1
147,未见回波前缀,0,119,120,1,0
147,连续可见段,120,120,1,0,0
147,可见间断段,121,122,2,0,0
147,连续可见段,123,123,1,0,0
147,可见间断段,124,124,1,0,0
