联合条件,格编码,条件说明,206训练_世界或序列数,206训练_合成版本或真实序列数,206训练_原始背景序列数（非独立道路）,206训练_帧数,206训练_该联合表帧分母,206训练_帧比例,206训练_全距离异常点,206训练_范围内异常点,206训练_已观测实例标识数,201合成验证_世界或序列数,201合成验证_合成版本或真实序列数,201合成验证_原始背景序列数（非独立道路）,201合成验证_帧数,201合成验证_该联合表帧分母,201合成验证_帧比例,201合成验证_全距离异常点,201合成验证_范围内异常点,201合成验证_已观测实例标识数,真实开发_世界或序列数,真实开发_合成版本或真实序列数,真实开发_原始背景序列数（非独立道路）,真实开发_帧数,真实开发_该联合表帧分母,真实开发_帧比例,真实开发_全距离异常点,真实开发_范围内异常点,真实开发_已观测实例标识数,差异类型
count_distance_history,0|outside_only|0,范围内0点；距离中位数仅范围外异常；历史可见0次,0,0,0,0,3080,0.0,0,0,0,1,1,1,1,2360,0.000423728813559322,530,0,1,18,18,18,71,8583,0.008272165909355703,77,0,21,训练完全缺覆盖
count_distance_history,0|outside_only|1,范围内0点；距离中位数仅范围外异常；历史可见1次,0,0,0,0,3080,0.0,0,0,0,0,0,0,0,2360,0.0,0,0,0,17,17,17,91,8583,0.010602353489455901,103,0,21,训练完全缺覆盖
count_distance_history,0|outside_only|2,范围内0点；距离中位数仅范围外异常；历史可见2次,0,0,0,0,3080,0.0,0,0,0,0,0,0,0,2360,0.0,0,0,0,17,17,17,111,8583,0.0129325410695561,148,0,23,训练完全缺覆盖
count_distance_history,0|outside_only|3,范围内0点；距离中位数仅范围外异常；历史可见3次,0,0,0,0,3080,0.0,0,0,0,0,0,0,0,2360,0.0,0,0,0,16,16,16,91,8583,0.010602353489455901,137,0,21,训练完全缺覆盖
count_distance_history,0|outside_only|4,范围内0点；距离中位数仅范围外异常；历史可见4次,4,3,1,22,3080,0.007142857142857143,411078,0,4,8,4,1,37,2360,0.015677966101694914,161194,0,8,11,11,11,101,8583,0.011767447279506,178,0,18,共同覆盖；比较频率
count_distance_history,0|unseen|0,范围内0点；距离中位数未见异常；历史可见0次,5,5,1,20,3080,0.006493506493506494,0,0,0,3,3,1,10,2360,0.00423728813559322,0,0,0,19,19,19,4355,8583,0.5073983455668182,0,0,0,共同覆盖；比较频率
count_distance_history,0|unseen|1,范围内0点；距离中位数未见异常；历史可见1次,4,4,1,6,3080,0.001948051948051948,0,0,0,2,2,1,2,2360,0.000847457627118644,0,0,0,19,19,19,304,8583,0.03541885121752301,0,0,0,共同覆盖；比较频率
count_distance_history,0|unseen|2,范围内0点；距离中位数未见异常；历史可见2次,3,3,1,3,3080,0.000974025974025974,0,0,0,3,2,1,3,2360,0.001271186440677966,0,0,0,19,19,19,175,8583,0.02038914132587673,0,0,0,共同覆盖；比较频率
count_distance_history,0|unseen|3,范围内0点；距离中位数未见异常；历史可见3次,3,3,1,3,3080,0.000974025974025974,0,0,0,2,1,1,2,2360,0.000847457627118644,0,0,0,19,19,19,124,8583,0.014447162996621228,0,0,0,共同覆盖；比较频率
count_distance_history,0|unseen|4,范围内0点；距离中位数未见异常；历史可见4次,3,3,1,3,3080,0.000974025974025974,0,0,0,2,2,1,2,2360,0.000847457627118644,0,0,0,19,19,19,84,8583,0.009786787836420832,0,0,0,共同覆盖；比较频率
count_distance_history,1|0|0,"范围内1至4点；距离中位数[2.5,10)；历史可见0次",0,0,0,0,3080,0.0,0,0,0,1,1,1,1,2360,0.000423728813559322,1,1,1,4,4,4,4,8583,0.0004660375160200396,11,11,4,训练完全缺覆盖
count_distance_history,1|0|1,"范围内1至4点；距离中位数[2.5,10)；历史可见1次",1,1,1,2,3080,0.0006493506493506494,2,2,1,0,0,0,0,2360,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,该发布真实集合无覆盖
count_distance_history,1|0|2,"范围内1至4点；距离中位数[2.5,10)；历史可见2次",0,0,0,0,3080,0.0,0,0,0,0,0,0,0,2360,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,三侧均无观测
count_distance_history,1|0|3,"范围内1至4点；距离中位数[2.5,10)；历史可见3次",1,1,1,2,3080,0.0006493506493506494,4,4,1,1,1,1,1,2360,0.000423728813559322,2,2,1,0,0,0,0,8583,0.0,0,0,0,该发布真实集合无覆盖
count_distance_history,1|0|4,"范围内1至4点；距离中位数[2.5,10)；历史可见4次",2,2,1,4,3080,0.0012987012987012987,12,12,2,1,1,1,2,2360,0.000847457627118644,8,8,1,4,4,4,5,8583,0.0005825468950250495,11,11,4,共同覆盖；比较频率
count_distance_history,1|1|0,"范围内1至4点；距离中位数[10,20)；历史可见0次",2,2,1,2,3080,0.0006493506493506494,3,3,2,0,0,0,0,2360,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,该发布真实集合无覆盖
count_distance_history,1|1|1,"范围内1至4点；距离中位数[10,20)；历史可见1次",1,1,1,1,3080,0.0003246753246753247,1,1,1,1,1,1,1,2360,0.000423728813559322,3,3,1,0,0,0,0,8583,0.0,0,0,0,该发布真实集合无覆盖
count_distance_history,1|1|2,"范围内1至4点；距离中位数[10,20)；历史可见2次",1,1,1,1,3080,0.0003246753246753247,2,2,1,0,0,0,0,2360,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,该发布真实集合无覆盖
count_distance_history,1|1|3,"范围内1至4点；距离中位数[10,20)；历史可见3次",0,0,0,0,3080,0.0,0,0,0,0,0,0,0,2360,0.0,0,0,0,2,2,2,7,8583,0.0008155656530350694,16,16,3,训练完全缺覆盖
count_distance_history,1|1|4,"范围内1至4点；距离中位数[10,20)；历史可见4次",2,2,1,7,3080,0.0022727272727272726,20,20,2,3,3,1,11,2360,0.004661016949152543,37,37,3,7,7,7,71,8583,0.008272165909355703,187,187,8,共同覆盖；比较频率
count_distance_history,1|2|0,"范围内1至4点；距离中位数[20,35)；历史可见0次",0,0,0,0,3080,0.0,0,0,0,0,0,0,0,2360,0.0,0,0,0,1,1,1,2,8583,0.0002330187580100198,2,2,1,训练完全缺覆盖
count_distance_history,1|2|1,"范围内1至4点；距离中位数[20,35)；历史可见1次",0,0,0,0,3080,0.0,0,0,0,0,0,0,0,2360,0.0,0,0,0,2,2,2,6,8583,0.0006990562740300594,11,11,2,训练完全缺覆盖
count_distance_history,1|2|2,"范围内1至4点；距离中位数[20,35)；历史可见2次",0,0,0,0,3080,0.0,0,0,0,0,0,0,0,2360,0.0,0,0,0,3,3,3,20,8583,0.002330187580100198,30,30,4,训练完全缺覆盖
count_distance_history,1|2|3,"范围内1至4点；距离中位数[20,35)；历史可见3次",0,0,0,0,3080,0.0,0,0,0,0,0,0,0,2360,0.0,0,0,0,7,7,7,70,8583,0.008155656530350693,125,125,9,训练完全缺覆盖
count_distance_history,1|2|4,"范围内1至4点；距离中位数[20,35)；历史可见4次",0,0,0,0,3080,0.0,0,0,0,1,1,1,9,2360,0.0038135593220338985,24,24,1,17,17,17,442,8583,0.05149714552021438,1223,1223,25,训练完全缺覆盖
count_distance_history,1|3|0,"范围内1至4点；距离中位数[35,50]；历史可见0次",0,0,0,0,3080,0.0,0,0,0,0,0,0,0,2360,0.0,0,0,0,7,7,7,10,8583,0.001165093790050099,10,10,7,训练完全缺覆盖
count_distance_history,1|3|1,"范围内1至4点；距离中位数[35,50]；历史可见1次",0,0,0,0,3080,0.0,0,0,0,0,0,0,0,2360,0.0,0,0,0,9,9,9,20,8583,0.002330187580100198,34,34,9,训练完全缺覆盖
