sequence,factor,metric,scope,group,unit,weighting,n,denominator,frames,valid_frames,sequence_count,missing_fraction,empty_frame_fraction,minimum,maximum,mean,category,fraction,count
all,A03,current_state,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,3.0,,0,0.5905993763714055,5114
all,A03,current_state,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,3.0,,1,0.05370135119528814,465
all,A03,current_state,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,3.0,,2,0.1293451899757478,1120
all,A03,current_state,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,3.0,,3,0.22635408245755861,1960
all,A03,current_state,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,3.0,,0,0.5905993763714055,5114
all,A03,current_state,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,3.0,,1,0.05370135119528814,465
all,A03,current_state,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,3.0,,2,0.1293451899757478,1120
all,A03,current_state,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,3.0,,3,0.22635408245755861,1960
all,A03,current_state,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,3.0,,0,0.5724489863790795,5114
all,A03,current_state,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,3.0,,1,0.05638642540699585,465
all,A03,current_state,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,3.0,,2,0.12914968641792718,1120
all,A03,current_state,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,3.0,,3,0.2420149017959975,1960
all,A03,current_unseen,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,0,0.40940062362859453,3545
all,A03,current_unseen,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,1,0.5905993763714055,5114
all,A03,current_unseen,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,0,0.40940062362859453,3545
all,A03,current_unseen,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,1,0.5905993763714055,5114
all,A03,current_unseen,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,0,0.4275510136209205,3545
all,A03,current_unseen,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,1,0.5724489863790795,5114
all,A04,outside_only,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,0,0.9462986488047118,8194
all,A04,outside_only,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,1,0.05370135119528814,465
all,A04,outside_only,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,0,0.9462986488047118,8194
all,A04,outside_only,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,1,0.05370135119528814,465
all,A04,outside_only,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,0,0.9436135745930041,8194
all,A04,outside_only,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,1,0.056386425406995865,465
all,A05,eligible,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,0,0.7736459175424414,6699
all,A05,eligible,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,1,0.22635408245755861,1960
all,A05,eligible,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,0,0.7736459175424414,6699
all,A05,eligible,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,1,0.22635408245755861,1960
all,A05,eligible,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,0,0.7579850982040025,6699
all,A05,eligible,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,1,0.2420149017959975,1960
all,A05,one_to_four,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,0,0.8706548100242523,7539
all,A05,one_to_four,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,1,0.1293451899757478,1120
all,A05,one_to_four,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,0,0.8706548100242523,7539
all,A05,one_to_four,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,1,0.1293451899757478,1120
all,A05,one_to_four,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,0,0.8708503135820728,7539
all,A05,one_to_four,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,1.0,,1,0.12914968641792718,1120
all,C02,grid_match,all_frames,anomaly,point,observation_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,1.0,1.0,,0,0.0,0
all,C02,grid_match,all_frames,anomaly,point,observation_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,1.0,1.0,,1,1.0,90739
all,C02,grid_match,all_frames,anomaly,point,frame_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,1.0,1.0,,0,0.0,0
all,C02,grid_match,all_frames,anomaly,point,frame_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,1.0,1.0,,1,1.0,90739
all,C02,grid_match,all_frames,anomaly,point,sequence_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,1.0,1.0,,0,0.0,0
all,C02,grid_match,all_frames,anomaly,point,sequence_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,1.0,1.0,,1,1.0,90739
all,C02,grid_match,all_frames,ignore,point,observation_equal,243679266,243679266,8659,8659,19,0.0,0.0,1.0,1.0,,0,0.0,0
all,C02,grid_match,all_frames,ignore,point,observation_equal,243679266,243679266,8659,8659,19,0.0,0.0,1.0,1.0,,1,1.0,243679266
all,C02,grid_match,all_frames,ignore,point,frame_equal,243679266,243679266,8659,8659,19,0.0,0.0,1.0,1.0,,0,0.0,0
all,C02,grid_match,all_frames,ignore,point,frame_equal,243679266,243679266,8659,8659,19,0.0,0.0,1.0,1.0,,1,1.0,243679266
all,C02,grid_match,all_frames,ignore,point,sequence_equal,243679266,243679266,8659,8659,19,0.0,0.0,1.0,1.0,,0,0.0,0
all,C02,grid_match,all_frames,ignore,point,sequence_equal,243679266,243679266,8659,8659,19,0.0,0.0,1.0,1.0,,1,1.0,243679266
