序列,帧号,原始槽,实际回波,零坐标槽,正常点,忽略点,全距离异常点,范围内异常点,范围内正常点,四态编码,全距离异常距离P50（米）,范围内异常距离P50（米）,可见实例数,身份未确认异常点,邻近正常点中道路比例,阶段编码,是否可见段首帧,正常强度P5,正常强度P25,正常强度P50,正常强度P75,正常强度P95,异常强度P5,异常强度P25,异常强度P50,异常强度P75,异常强度P95,忽略强度P5,忽略强度P25,忽略强度P50,忽略强度P75,忽略强度P95
125,0,131072,125446,5626,102321,23100,25,25,102306,3,19.09829330444336,19.09829330444336,1,0,1.0,visible,1,0.04171428456902504,0.11742857098579407,0.2208571434020996,0.3748571574687958,0.7137143015861511,0.014000000432133675,0.02914285659790039,0.04285714402794838,0.09514285624027252,0.3102857172489166,0.012857142835855484,0.050285715609788895,0.11714285612106323,0.31142857670783997,0.6071428656578064
125,1,131072,125465,5607,102338,23102,25,25,102315,3,19.12257194519043,19.12257194519043,1,0,1.0,visible,0,0.041999999433755875,0.11742857098579407,0.2208571434020996,0.37542855739593506,0.7122856974601746,0.01342857163399458,0.030571429058909416,0.05257142707705498,0.08142857253551483,0.3025714159011841,0.012857142835855484,0.050285715609788895,0.11742857098579407,0.31057143211364746,0.6051428318023682
125,2,131072,125453,5619,102316,23111,26,26,102295,3,19.132030487060547,19.132030487060547,1,0,1.0,visible,0,0.04085714370012283,0.11542857438325882,0.21799999475479126,0.37057143449783325,0.7099999785423279,0.012000000104308128,0.03285714238882065,0.04771428555250168,0.0868571400642395,0.2954285740852356,0.012571428902447224,0.049714285880327225,0.11514285951852798,0.3094285726547241,0.6062856912612915
125,3,131072,125458,5614,102316,23117,25,25,102296,3,19.124570846557617,19.124570846557617,1,0,1.0,visible,0,0.04171428456902504,0.11714285612106323,0.2208571434020996,0.3748571574687958,0.7128571271896362,0.009999999776482582,0.029999999329447746,0.04800000041723251,0.08342856913805008,0.313142865896225,0.013142856769263744,0.050285715609788895,0.11714285612106323,0.31200000643730164,0.6077142953872681
125,4,131072,125462,5610,102316,23121,25,25,102304,3,19.11376953125,19.11376953125,1,0,1.0,visible,0,0.04171428456902504,0.11714285612106323,0.2208571434020996,0.3751428425312042,0.7134285569190979,0.01600000075995922,0.03171428665518761,0.05228571593761444,0.08342856913805008,0.2948571443557739,0.012857142835855484,0.050285715609788895,0.11657142639160156,0.3102857172489166,0.6065714359283447
125,5,131072,125446,5626,102313,23109,24,24,102300,3,19.093530654907227,19.093530654907227,1,0,1.0,visible,0,0.041999999433755875,0.11714285612106323,0.2208571434020996,0.3751428425312042,0.7131428718566895,0.014571428298950195,0.02914285659790039,0.05285714194178581,0.09114285558462143,0.30657142400741577,0.012857142835855484,0.05057142674922943,0.11742857098579407,0.31057143211364746,0.6062856912612915
125,6,131072,125439,5633,102309,23105,25,25,102290,3,19.135292053222656,19.135292053222656,1,0,1.0,visible,0,0.041999999433755875,0.11742857098579407,0.2208571434020996,0.3751428425312042,0.7125714421272278,0.012285714037716389,0.03371428698301315,0.04942857101559639,0.08799999952316284,0.2842857241630554,0.013142856769263744,0.05057142674922943,0.11714285612106323,0.3108571469783783,0.6037142872810364
125,7,131072,125455,5617,102295,23136,24,24,102281,3,19.079532623291016,19.079532623291016,1,0,1.0,visible,0,0.04171428456902504,0.11714285612106323,0.22057142853736877,0.3748571574687958,0.7125714421272278,0.009714285843074322,0.034285712987184525,0.0560000017285347,0.09457142651081085,0.2905714213848114,0.012857142835855484,0.05000000074505806,0.11628571152687073,0.31057143211364746,0.6054285764694214
125,8,131072,125465,5607,102307,23134,24,24,102283,3,19.103431701660156,19.103431701660156,1,0,1.0,visible,0,0.04171428456902504,0.11714285612106323,0.22028571367263794,0.3751428425312042,0.7131428718566895,0.014571428298950195,0.027714285999536514,0.044857144355773926,0.10428571701049805,0.2948571443557739,0.013142856769263744,0.050285715609788895,0.1168571412563324,0.31114286184310913,0.6037142872810364
125,9,131072,125463,5609,102297,23141,25,25,102283,3,19.162065505981445,19.162065505981445,1,0,1.0,visible,0,0.04114285856485367,0.11571428924798965,0.21799999475479126,0.37228572368621826,0.7102857232093811,0.012000000104308128,0.03371428698301315,0.05285714194178581,0.08057142794132233,0.28371429443359375,0.012571428902447224,0.05000000074505806,0.11571428924798965,0.3091428577899933,0.6057142615318298
125,10,131072,125476,5596,102305,23147,24,24,102287,3,19.103530883789062,19.103530883789062,1,0,1.0,visible,0,0.04114285856485367,0.11514285951852798,0.2174285650253296,0.3720000088214874,0.7111428380012512,0.012857142835855484,0.03028571419417858,0.04771428555250168,0.08085714280605316,0.28057143092155457,0.012571428902447224,0.049714285880327225,0.11542857438325882,0.3094285726547241,0.6065714359283447
125,11,131072,125514,5558,102301,23188,25,25,102282,3,19.09657096862793,19.09657096862793,1,0,1.0,visible,0,0.04171428456902504,0.11742857098579407,0.22028571367263794,0.3751428425312042,0.7128571271896362,0.013142856769263744,0.03371428698301315,0.04800000041723251,0.0868571400642395,0.2834285795688629,0.012571428902447224,0.05000000074505806,0.11599999666213989,0.3102857172489166,0.6028571724891663
125,12,131072,125454,5618,102291,23139,24,24,102273,3,19.169178009033203,19.169178009033203,1,0,1.0,visible,0,0.041999999433755875,0.11714285612106323,0.2208571434020996,0.37542855739593506,0.7137143015861511,0.010571428574621677,0.029999999329447746,0.04685714468359947,0.08628571778535843,0.3042857050895691,0.012857142835855484,0.050285715609788895,0.1168571412563324,0.3100000023841858,0.6051428318023682
125,13,131072,125456,5616,102326,23106,24,24,102310,3,19.114931106567383,19.114931106567383,1,0,1.0,visible,0,0.04171428456902504,0.11742857098579407,0.22057142853736877,0.3748571574687958,0.7128571271896362,0.012000000104308128,0.03142857179045677,0.04857143014669418,0.08428571373224258,0.2962857186794281,0.012857142835855484,0.050285715609788895,0.11714285612106323,0.3108571469783783,0.6054285764694214
125,14,131072,125435,5637,102296,23115,24,24,102281,3,19.09967041015625,19.09967041015625,1,0,1.0,visible,0,0.041999999433755875,0.11742857098579407,0.2208571434020996,0.37542855739593506,0.7120000123977661,0.014285714365541935,0.027714285999536514,0.049142856150865555,0.09200000017881393,0.3094285726547241,0.012857142835855484,0.050285715609788895,0.1168571412563324,0.31114286184310913,0.6051428318023682
125,15,131072,125470,5602,102295,23151,24,24,102275,3,19.123790740966797,19.123790740966797,1,0,1.0,visible,0,0.04114285856485367,0.11571428924798965,0.2174285650253296,0.3717142939567566,0.7099999785423279,0.0071428571827709675,0.024571428075432777,0.049142856150865555,0.08399999886751175,0.3005714416503906,0.012857142835855484,0.04942857101559639,0.11571428924798965,0.30885714292526245,0.6037142872810364
125,16,131072,125478,5594,102301,23153,24,24,102284,3,19.114177703857422,19.114177703857422,1,0,1.0,visible,0,0.04171428456902504,0.11742857098579407,0.2208571434020996,0.37457144260406494,0.7125714421272278,0.013142856769263744,0.031142856925725937,0.04600000008940697,0.08399999886751175,0.3077142834663391,0.013142856769263744,0.05057142674922943,0.1168571412563324,0.3102857172489166,0.6057142615318298
125,17,131072,125462,5610,102289,23148,25,25,102270,3,19.110292434692383,19.110292434692383,1,0,1.0,visible,0,0.041999999433755875,0.11742857098579407,0.2208571434020996,0.3751428425312042,0.7128571271896362,0.01514285709708929,0.027714285999536514,0.04857143014669418,0.09714286029338837,0.3157142996788025,0.012857142835855484,0.050285715609788895,0.1168571412563324,0.3100000023841858,0.6045714020729065
125,18,131072,125486,5586,102324,23137,25,25,102308,3,19.135292053222656,19.135292053222656,1,0,1.0,visible,0,0.04085714370012283,0.11542857438325882,0.2174285650253296,0.37057143449783325,0.7102857232093811,0.011428571306169033,0.029999999329447746,0.050857141613960266,0.09485714137554169,0.2980000078678131,0.012571428902447224,0.049714285880327225,0.11514285951852798,0.3085714280605316,0.6065714359283447
125,19,131072,125476,5596,102341,23110,25,25,102324,3,19.11129379272461,19.11129379272461,1,0,1.0,visible,0,0.041999999433755875,0.11742857098579407,0.22028571367263794,0.37542855739593506,0.7125714421272278,0.01514285709708929,0.03400000184774399,0.052000001072883606,0.08799999952316284,0.28685712814331055,0.013142856769263744,0.05000000074505806,0.11628571152687073,0.3100000023841858,0.604285717010498
125,20,131072,125494,5578,102330,23139,25,25,102316,3,19.09857177734375,19.09857177734375,1,0,1.0,visible,0,0.04171428456902504,0.11742857098579407,0.22028571367263794,0.37542855739593506,0.7128571271896362,0.010857142508029938,0.02800000086426735,0.04342857003211975,0.08742856979370117,0.2977142930030823,0.012857142835855484,0.05000000074505806,0.11628571152687073,0.3102857172489166,0.6037142872810364
125,21,131072,125476,5596,102323,23129,24,24,102305,3,19.10843276977539,19.10843276977539,1,0,1.0,visible,0,0.041999999433755875,0.11742857098579407,0.22057142853736877,0.3751428425312042,0.7125714421272278,0.014285714365541935,0.034285712987184525,0.059714287519454956,0.08371428400278091,0.2997142970561981,0.013142856769263744,0.050285715609788895,0.11628571152687073,0.3117142915725708,0.6051428318023682
125,22,131072,125459,5613,102328,23107,24,24,102311,3,19.148317337036133,19.148317337036133,1,0,1.0,visible,0,0.04114285856485367,0.11542857438325882,0.21714285016059875,0.3717142939567566,0.7114285826683044,0.007428571581840515,0.026000000536441803,0.04600000008940697,0.07914285361766815,0.2937142848968506,0.012857142835855484,0.049714285880327225,0.11542857438325882,0.3102857172489166,0.6065714359283447
125,23,131072,125475,5597,102283,23167,25,25,102265,3,19.14976692199707,19.14976692199707,1,0,1.0,visible,0,0.041999999433755875,0.11742857098579407,0.2199999988079071,0.37542855739593506,0.7137143015861511,0.012000000104308128,0.02685714326798916,0.05000000074505806,0.0868571400642395,0.2948571443557739,0.012857142835855484,0.050285715609788895,0.11714285612106323,0.3094285726547241,0.6060000061988831
125,24,131072,125478,5594,102320,23134,24,24,102302,3,19.10042953491211,19.10042953491211,1,0,1.0,visible,0,0.04114285856485367,0.11599999666213989,0.21857142448425293,0.3725714385509491,0.7117142677307129,0.009714285843074322,0.03171428665518761,0.05057142674922943,0.08371428400278091,0.30571427941322327,0.012857142835855484,0.05000000074505806,0.11542857438325882,0.30885714292526245,0.6048571467399597
125,25,131072,125511,5561,102345,23142,24,24,102326,3,19.137317657470703,19.137317657470703,1,0,1.0,visible,0,0.04171428456902504,0.11742857098579407,0.22057142853736877,0.3748571574687958,0.7128571271896362,0.009714285843074322,0.028285713866353035,0.04399999976158142,0.09799999743700027,0.3002857267856598,0.012857142835855484,0.05000000074505806,0.11657142639160156,0.3100000023841858,0.6048571467399597
125,26,131072,125476,5596,102294,23158,24,24,102278,3,19.16241455078125,19.16241455078125,1,0,1.0,visible,0,0.04114285856485367,0.11599999666213989,0.2182857096195221,0.37314286828041077,0.7120000123977661,0.01371428556740284,0.0231428574770689,0.05057142674922943,0.09114285558462143,0.2985714375972748,0.012571428902447224,0.05000000074505806,0.11514285951852798,0.3082857131958008,0.604285717010498
125,27,131072,125474,5598,102316,23134,24,24,102298,3,19.101430892944336,19.101430892944336,1,0,1.0,visible,0,0.041999999433755875,0.11714285612106323,0.2208571434020996,0.37542855739593506,0.7139999866485596,0.010857142508029938,0.030571429058909416,0.05428571254014969,0.07885714620351791,0.30714285373687744,0.012857142835855484,0.050285715609788895,0.1168571412563324,0.3102857172489166,0.6062856912612915
125,28,131072,125510,5562,102317,23168,25,25,102298,3,19.217063903808594,19.217063903808594,1,0,1.0,visible,0,0.04171428456902504,0.11714285612106323,0.22057142853736877,0.3748571574687958,0.7125714421272278,0.009999999776482582,0.02742857113480568,0.0511428564786911,0.08971428871154785,0.30085715651512146,0.012857142835855484,0.05000000074505806,0.11657142639160156,0.30971428751945496,0.6034285426139832
125,29,131072,125469,5603,102281,23164,24,24,102265,3,19.10993194580078,19.10993194580078,1,0,1.0,visible,0,0.04171428456902504,0.11742857098579407,0.22057142853736877,0.3748571574687958,0.7128571271896362,0.013142856769263744,0.030857142060995102,0.04228571429848671,0.09114285558462143,0.2928571403026581,0.012857142835855484,0.05057142674922943,0.1168571412563324,0.3094285726547241,0.6045714020729065
125,30,131072,125396,5676,102279,23095,22,22,102261,3,19.093929290771484,19.093929290771484,1,0,1.0,visible,0,0.04228571429848671,0.1177142858505249,0.2208571434020996,0.3748571574687958,0.7145714163780212,0.011714286170899868,0.02628571353852749,0.04714285582304001,0.11914286017417908,0.322857141494751,0.013142856769263744,0.050857141613960266,0.11714285612106323,0.31371429562568665,0.6071428656578064
125,31,131072,125368,5704,102297,23054,17,17,102282,3,19.053569793701172,19.053569793701172,1,0,1.0,visible,0,0.041999999433755875,0.11714285612106323,0.21971428394317627,0.37542855739593506,0.7171428799629211,0.006571428384631872,0.024000000208616257,0.08342856913805008,0.14257143437862396,0.30314284563064575,0.014000000432133675,0.051428571343421936,0.11885714530944824,0.3179999887943268,0.6065714359283447
125,32,131072,125369,5703,102376,22977,16,16,102357,3,19.0594482421875,19.0594482421875,1,0,1.0,visible,0,0.04171428456902504,0.11714285612106323,0.2208571434020996,0.3757142722606659,0.7139999866485596,0.0057142856530845165,0.01342857163399458,0.06257142871618271,0.12857143580913544,0.3271428644657135,0.01371428556740284,0.051428571343421936,0.1177142858505249,0.31371429562568665,0.6037142872810364
