联合条件,分组编码,帧数,全距离异常点数,范围内异常点数,序列数,正实例标识数,序列标识,序列与实例标识,覆盖状态
点数×距离×历史可见扫描数,0|outside_only|0,71,77,0,18,21,"137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","137:3,138:4,139:7,140:1,141:4,141:5,142:2,143:3,144:2,144:5,145:1,146:2,147:2,148:2,149:2,149:3,150:4,151:1,152:1,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,0|outside_only|1,91,103,0,17,21,"137,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","137:3,139:7,140:1,141:4,141:5,142:2,143:3,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,0|outside_only|2,111,148,0,17,23,"137,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","137:3,139:7,140:1,141:4,141:5,142:2,143:3,144:2,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,0|outside_only|3,91,137,0,16,21,"137,139,140,141,143,144,145,146,147,148,149,150,151,152,153,169","137:3,139:7,140:1,141:4,143:3,144:2,144:5,145:1,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,0|outside_only|4,101,178,0,11,18,"139,141,143,144,145,149,150,151,152,153,169","139:7,141:4,141:5,143:3,144:2,144:4,144:5,145:1,145:2,149:2,149:3,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,0|unseen|0,4355,0,0,19,0,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169",,有覆盖
点数×距离×历史可见扫描数,0|unseen|1,304,0,0,19,0,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169",,有覆盖
点数×距离×历史可见扫描数,0|unseen|2,175,0,0,19,0,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169",,有覆盖
点数×距离×历史可见扫描数,0|unseen|3,124,0,0,19,0,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169",,有覆盖
点数×距离×历史可见扫描数,0|unseen|4,84,0,0,19,0,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169",,有覆盖
点数×距离×历史可见扫描数,1|0|0,4,11,11,4,4,"137,141,152,169","137:3,141:4,152:1,169:1",有覆盖
点数×距离×历史可见扫描数,1|0|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,1|0|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,1|0|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,1|0|4,5,11,11,4,4,"125,141,148,169","125:1,141:5,148:2,169:1",有覆盖
点数×距离×历史可见扫描数,1|1|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,1|1|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,1|1|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,1|1|3,7,16,16,2,3,"137,142","137:3,142:2,142:3",有覆盖
点数×距离×历史可见扫描数,1|1|4,71,187,187,7,8,"137,140,142,147,148,151,152","137:3,140:1,142:2,142:3,147:2,148:2,151:1,152:1",有覆盖
点数×距离×历史可见扫描数,1|2|0,2,2,2,1,1,142,142:2,有覆盖
点数×距离×历史可见扫描数,1|2|1,6,11,11,2,2,"137,142","137:3,142:2",有覆盖
点数×距离×历史可见扫描数,1|2|2,20,30,30,3,4,"137,142,152","137:3,142:2,142:3,152:1",有覆盖
