序列,统计量,分组,权重,五位模式,可见或命中位数,原始数量,分母,比例,有效窗口数,序列数
全部,五位类别可见模式,全部,有适用观测的帧等权,00000,0,4355,8583,0.5073983455668182,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,00001,1,97,8583,0.01130140976348596,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,00010,1,69,8583,0.008039147151345682,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,00011,2,58,8583,0.006757543982290575,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,00100,1,72,8583,0.008388675288360714,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,00101,2,21,8583,0.002446696959105208,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,00110,2,34,8583,0.003961318886170337,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,00111,3,57,8583,0.006641034603285564,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,01000,1,72,8583,0.008388675288360714,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,01001,2,22,8583,0.002563206338110218,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,01010,2,16,8583,0.0018641500640801585,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,01011,3,18,8583,0.0020971688220901784,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,01100,2,30,8583,0.003495281370150297,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,01101,3,28,8583,0.0032622626121402774,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,01110,3,27,8583,0.0031457532331352674,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,01111,4,90,8583,0.01048584411045089,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,10000,1,91,8583,0.010602353489455901,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,10001,2,30,8583,0.003495281370150297,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,10010,2,24,8583,0.0027962250961202375,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,10011,3,33,8583,0.003844809507165327,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,10100,2,22,8583,0.002563206338110218,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,10101,3,13,8583,0.0015146219270651287,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,10110,3,24,8583,0.0027962250961202375,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,10111,4,60,8583,0.006990562740300594,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,11000,2,49,8583,0.005708959571245485,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,11001,3,35,8583,0.0040778282651753464,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,11010,3,19,8583,0.002213678201095188,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,11011,4,66,8583,0.007689619014330654,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,11100,3,54,8583,0.006291506466270535,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,11101,4,57,8583,0.006641034603285564,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,11110,4,84,8583,0.009786787836420832,8583,19
全部,五位类别可见模式,全部,有适用观测的帧等权,11111,5,2856,8583,0.3327507864383083,8583,19
全部,五位类别可见模式：按位数汇总,全部,有适用观测的帧等权,合计0个扫描,0,4355,8583,0.5073983455668182,8583,19
全部,五位类别可见模式：按位数汇总,全部,有适用观测的帧等权,合计1个扫描,1,401,8583,0.04672026098100897,8583,19
全部,五位类别可见模式：按位数汇总,全部,有适用观测的帧等权,合计2个扫描,2,306,8583,0.03565186997553303,8583,19
全部,五位类别可见模式：按位数汇总,全部,有适用观测的帧等权,合计3个扫描,3,308,8583,0.03588488873354305,8583,19
全部,五位类别可见模式：按位数汇总,全部,有适用观测的帧等权,合计4个扫描,4,357,8583,0.04159384830478854,8583,19
全部,五位类别可见模式：按位数汇总,全部,有适用观测的帧等权,合计5个扫描,5,2856,8583,0.3327507864383083,8583,19
全部,五位类别可见模式,全部,统计单位等权,00000,0,4355,8583,0.5073983455668182,8583,19
全部,五位类别可见模式,全部,统计单位等权,00001,1,97,8583,0.01130140976348596,8583,19
全部,五位类别可见模式,全部,统计单位等权,00010,1,69,8583,0.008039147151345682,8583,19
全部,五位类别可见模式,全部,统计单位等权,00011,2,58,8583,0.006757543982290575,8583,19
全部,五位类别可见模式,全部,统计单位等权,00100,1,72,8583,0.008388675288360714,8583,19
全部,五位类别可见模式,全部,统计单位等权,00101,2,21,8583,0.002446696959105208,8583,19
全部,五位类别可见模式,全部,统计单位等权,00110,2,34,8583,0.003961318886170337,8583,19
全部,五位类别可见模式,全部,统计单位等权,00111,3,57,8583,0.006641034603285564,8583,19
全部,五位类别可见模式,全部,统计单位等权,01000,1,72,8583,0.008388675288360714,8583,19
全部,五位类别可见模式,全部,统计单位等权,01001,2,22,8583,0.002563206338110218,8583,19
全部,五位类别可见模式,全部,统计单位等权,01010,2,16,8583,0.0018641500640801585,8583,19
全部,五位类别可见模式,全部,统计单位等权,01011,3,18,8583,0.0020971688220901784,8583,19
全部,五位类别可见模式,全部,统计单位等权,01100,2,30,8583,0.003495281370150297,8583,19
全部,五位类别可见模式,全部,统计单位等权,01101,3,28,8583,0.0032622626121402774,8583,19
全部,五位类别可见模式,全部,统计单位等权,01110,3,27,8583,0.0031457532331352674,8583,19
全部,五位类别可见模式,全部,统计单位等权,01111,4,90,8583,0.01048584411045089,8583,19
全部,五位类别可见模式,全部,统计单位等权,10000,1,91,8583,0.010602353489455901,8583,19
全部,五位类别可见模式,全部,统计单位等权,10001,2,30,8583,0.003495281370150297,8583,19
全部,五位类别可见模式,全部,统计单位等权,10010,2,24,8583,0.0027962250961202375,8583,19
全部,五位类别可见模式,全部,统计单位等权,10011,3,33,8583,0.003844809507165327,8583,19
全部,五位类别可见模式,全部,统计单位等权,10100,2,22,8583,0.002563206338110218,8583,19
全部,五位类别可见模式,全部,统计单位等权,10101,3,13,8583,0.0015146219270651287,8583,19
全部,五位类别可见模式,全部,统计单位等权,10110,3,24,8583,0.0027962250961202375,8583,19
全部,五位类别可见模式,全部,统计单位等权,10111,4,60,8583,0.006990562740300594,8583,19
全部,五位类别可见模式,全部,统计单位等权,11000,2,49,8583,0.005708959571245485,8583,19
全部,五位类别可见模式,全部,统计单位等权,11001,3,35,8583,0.0040778282651753464,8583,19
全部,五位类别可见模式,全部,统计单位等权,11010,3,19,8583,0.002213678201095188,8583,19
全部,五位类别可见模式,全部,统计单位等权,11011,4,66,8583,0.007689619014330654,8583,19
全部,五位类别可见模式,全部,统计单位等权,11100,3,54,8583,0.006291506466270535,8583,19
全部,五位类别可见模式,全部,统计单位等权,11101,4,57,8583,0.006641034603285564,8583,19
全部,五位类别可见模式,全部,统计单位等权,11110,4,84,8583,0.009786787836420832,8583,19
全部,五位类别可见模式,全部,统计单位等权,11111,5,2856,8583,0.3327507864383083,8583,19
全部,五位类别可见模式：按位数汇总,全部,统计单位等权,合计0个扫描,0,4355,8583,0.5073983455668182,8583,19
全部,五位类别可见模式：按位数汇总,全部,统计单位等权,合计1个扫描,1,401,8583,0.04672026098100897,8583,19
全部,五位类别可见模式：按位数汇总,全部,统计单位等权,合计2个扫描,2,306,8583,0.03565186997553303,8583,19
全部,五位类别可见模式：按位数汇总,全部,统计单位等权,合计3个扫描,3,308,8583,0.03588488873354305,8583,19
全部,五位类别可见模式：按位数汇总,全部,统计单位等权,合计4个扫描,4,357,8583,0.04159384830478854,8583,19
全部,五位类别可见模式：按位数汇总,全部,统计单位等权,合计5个扫描,5,2856,8583,0.3327507864383083,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,00000,0,4355,8583,0.48688131792941824,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,00001,1,97,8583,0.01193718182175284,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,00010,1,69,8583,0.008643224948854694,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,00011,2,58,8583,0.006786364330951463,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,00100,1,72,8583,0.008927618398471794,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,00101,2,21,8583,0.0026296302335492598,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,00110,2,34,8583,0.0039127949562074845,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,00111,3,57,8583,0.00697314605221894,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,01000,1,72,8583,0.008860694763046269,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,01001,2,22,8583,0.0026379422085815057,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,01010,2,16,8583,0.001965437593052486,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,01011,3,18,8583,0.002069798915909116,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,01100,2,30,8583,0.003653467196352667,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,01101,3,28,8583,0.0032305395733884844,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,01110,3,27,8583,0.0033133881630693926,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,01111,4,90,8583,0.010450334582774137,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,10000,1,91,8583,0.0109494073140333,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,10001,2,30,8583,0.003492407458053316,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,10010,2,24,8583,0.00291402368316636,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,10011,3,33,8583,0.004099576677474961,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,10100,2,22,8583,0.002571018573155981,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,10101,3,13,8583,0.001405606275412343,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,10110,3,24,8583,0.0029712118135336667,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,10111,4,60,8583,0.006790576693624589,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,11000,2,49,8583,0.005581120009040349,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,11001,3,35,8583,0.004375658152059815,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,11010,3,19,8583,0.002011187255515838,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,11011,4,66,8583,0.0076919895912491406,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,11100,3,54,8583,0.006303310964747498,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,11101,4,57,8583,0.006472637273376493,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,11110,4,84,8583,0.009462560075054596,8583,19
全部,五位类别可见模式,全部,有适用观测的序列等权,11111,5,2856,8583,0.3500348265229031,8583,19
全部,五位类别可见模式：按位数汇总,全部,有适用观测的序列等权,合计0个扫描,0,4355,8583,0.48688131792941824,8583,19
全部,五位类别可见模式：按位数汇总,全部,有适用观测的序列等权,合计1个扫描,1,401,8583,0.049318127246158895,8583,19
全部,五位类别可见模式：按位数汇总,全部,有适用观测的序列等权,合计2个扫描,2,306,8583,0.03614420624211087,8583,19
全部,五位类别可见模式：按位数汇总,全部,有适用观测的序列等权,合计3个扫描,3,308,8583,0.03675342384333006,8583,19
全部,五位类别可见模式：按位数汇总,全部,有适用观测的序列等权,合计4个扫描,4,357,8583,0.04086809821607895,8583,19
全部,五位类别可见模式：按位数汇总,全部,有适用观测的序列等权,合计5个扫描,5,2856,8583,0.3500348265229031,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,00000,0,0,2352383508,0.0,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,00001,1,342025638,2352383508,0.14236491809085447,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,00010,1,311510895,2352383508,0.12912900275934686,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,00011,2,58308442,2352383508,0.02525305424840956,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,00100,1,303992241,2352383508,0.12595086496741761,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,00101,2,36840833,2352383508,0.015859743128223202,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,00110,2,44367996,2352383508,0.01894420676913293,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,00111,3,27374547,2352383508,0.01234208716636779,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,01000,1,309847007,2352383508,0.12844151237089704,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,01001,2,30115540,2352383508,0.013017074752744141,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,01010,2,32626560,2352383508,0.013972712783340292,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,01011,3,15575856,2352383508,0.006962463134627242,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,01100,2,44443633,2352383508,0.018966605074388996,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,01101,3,14185271,2352383508,0.006320872502127988,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,01110,3,19068186,2352383508,0.008433756287621715,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,01111,4,24102692,2352383508,0.011303701545695273,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,10000,1,340615527,2352383508,0.14182172595540815,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,10001,2,28182652,2352383508,0.012212451256897069,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,10010,2,29663754,2352383508,0.012806930818864047,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,10011,3,13464810,2352383508,0.006045710876648531,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,10100,2,36261601,2352383508,0.015580548880965741,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,10101,3,11410857,2352383508,0.0050941872780467705,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,10110,3,14257762,2352383508,0.006340062534238994,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,10111,4,15787222,2352383508,0.007386768716969692,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,11000,2,59244128,2352383508,0.025625759444807685,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,11001,3,13072283,2352383508,0.0058608862498871475,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,11010,3,15061671,2352383508,0.006713377427276879,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,11011,4,14482210,2352383508,0.006773674517088737,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,11100,3,27882745,2352383508,0.01252822348126226,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,11101,4,15379266,2352383508,0.007182085261571977,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,11110,4,24130611,2352383508,0.01127190268105401,8583,19
全部,扫描命中五位编码,全部,有适用观测的帧等权,11111,5,79101072,2352383508,0.03949312903781698,8583,19
全部,扫描命中五位编码：按位数汇总,全部,有适用观测的帧等权,合计0个扫描,0,0,2352383508,0,8583,19
全部,扫描命中五位编码：按位数汇总,全部,有适用观测的帧等权,合计1个扫描,1,1607991308,2352383508,0.6677080241439242,8583,19
全部,扫描命中五位编码：按位数汇总,全部,有适用观测的帧等权,合计2个扫描,2,400055139,2352383508,0.17223908715777367,8583,19
全部,扫描命中五位编码：按位数汇总,全部,有适用观测的帧等权,合计3个扫描,3,171353988,2352383508,0.07664162693810532,8583,19
全部,扫描命中五位编码：按位数汇总,全部,有适用观测的帧等权,合计4个扫描,4,93882001,2352383508,0.04391813272237969,8583,19
全部,扫描命中五位编码：按位数汇总,全部,有适用观测的帧等权,合计5个扫描,5,79101072,2352383508,0.03949312903781698,8583,19
全部,扫描命中五位编码,全部,统计单位等权,00000,0,0,2352383508,0.0,8583,19
全部,扫描命中五位编码,全部,统计单位等权,00001,1,342025638,2352383508,0.14539535617251062,8583,19
全部,扫描命中五位编码,全部,统计单位等权,00010,1,311510895,2352383508,0.13242351595333493,8583,19
全部,扫描命中五位编码,全部,统计单位等权,00011,2,58308442,2352383508,0.02478696258569417,8583,19
全部,扫描命中五位编码,全部,统计单位等权,00100,1,303992241,2352383508,0.12922733047829207,8583,19
全部,扫描命中五位编码,全部,统计单位等权,00101,2,36840833,2352383508,0.01566106584011981,8583,19
全部,扫描命中五位编码,全部,统计单位等权,00110,2,44367996,2352383508,0.018860868497467802,8583,19
全部,扫描命中五位编码,全部,统计单位等权,00111,3,27374547,2352383508,0.011636940535803145,8583,19
全部,扫描命中五位编码,全部,统计单位等权,01000,1,309847007,2352383508,0.13171619591204853,8583,19
全部,扫描命中五位编码,全部,统计单位等权,01001,2,30115540,2352383508,0.012802138723376903,8583,19
全部,扫描命中五位编码,全部,统计单位等权,01010,2,32626560,2352383508,0.013869575215539217,8583,19
全部,扫描命中五位编码,全部,统计单位等权,01011,3,15575856,2352383508,0.006621308110276039,8583,19
全部,扫描命中五位编码,全部,统计单位等权,01100,2,44443633,2352383508,0.018893021843103316,8583,19
全部,扫描命中五位编码,全部,统计单位等权,01101,3,14185271,2352383508,0.006030169380017605,8583,19
全部,扫描命中五位编码,全部,统计单位等权,01110,3,19068186,2352383508,0.008105900222116333,8583,19
全部,扫描命中五位编码,全部,统计单位等权,01111,4,24102692,2352383508,0.010246072512424705,8583,19
全部,扫描命中五位编码,全部,统计单位等权,10000,1,340615527,2352383508,0.14479591692495405,8583,19
全部,扫描命中五位编码,全部,统计单位等权,10001,2,28182652,2352383508,0.011980466579601612,8583,19
全部,扫描命中五位编码,全部,统计单位等权,10010,2,29663754,2352383508,0.012610084154696428,8583,19
全部,扫描命中五位编码,全部,统计单位等权,10011,3,13464810,2352383508,0.0057239008665928804,8583,19
全部,扫描命中五位编码,全部,统计单位等权,10100,2,36261601,2352383508,0.015414833880904763,8583,19
全部,扫描命中五位编码,全部,统计单位等权,10101,3,11410857,2352383508,0.004850763900186295,8583,19
全部,扫描命中五位编码,全部,统计单位等权,10110,3,14257762,2352383508,0.0060609853586849755,8583,19
全部,扫描命中五位编码,全部,统计单位等权,10111,4,15787222,2352383508,0.006711159955981123,8583,19
全部,扫描命中五位编码,全部,统计单位等权,11000,2,59244128,2352383508,0.025184723408628828,8583,19
全部,扫描命中五位编码,全部,统计单位等权,11001,3,13072283,2352383508,0.00555703734341943,8583,19
全部,扫描命中五位编码,全部,统计单位等权,11010,3,15061671,2352383508,0.0064027276797249165,8583,19
全部,扫描命中五位编码,全部,统计单位等权,11011,4,14482210,2352383508,0.006156398372437493,8583,19
全部,扫描命中五位编码,全部,统计单位等权,11100,3,27882745,2352383508,0.011852975888147571,8583,19
全部,扫描命中五位编码,全部,统计单位等权,11101,4,15379266,2352383508,0.006537737553293542,8583,19
全部,扫描命中五位编码,全部,统计单位等权,11110,4,24130611,2352383508,0.010257940900340642,8583,19
全部,扫描命中五位编码,全部,统计单位等权,11111,5,79101072,2352383508,0.033625925250280235,8583,19
全部,扫描命中五位编码：按位数汇总,全部,统计单位等权,合计0个扫描,0,0,2352383508,0,8583,19
全部,扫描命中五位编码：按位数汇总,全部,统计单位等权,合计1个扫描,1,1607991308,2352383508,0.6835583154411402,8583,19
全部,扫描命中五位编码：按位数汇总,全部,统计单位等权,合计2个扫描,2,400055139,2352383508,0.17006374072913286,8583,19
全部,扫描命中五位编码：按位数汇总,全部,统计单位等权,合计3个扫描,3,171353988,2352383508,0.07284270928496919,8583,19
全部,扫描命中五位编码：按位数汇总,全部,统计单位等权,合计4个扫描,4,93882001,2352383508,0.0399093092944775,8583,19
全部,扫描命中五位编码：按位数汇总,全部,统计单位等权,合计5个扫描,5,79101072,2352383508,0.033625925250280235,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,00000,0,0,2352383508,0.0,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,00001,1,342025638,2352383508,0.14336309635981528,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,00010,1,311510895,2352383508,0.13046824633363624,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,00011,2,58308442,2352383508,0.02506385383783715,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,00100,1,303992241,2352383508,0.12734100724573005,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,00101,2,36840833,2352383508,0.015905285362027604,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,00110,2,44367996,2352383508,0.018990367070059626,8583,19
