序列,原始帧数,完整五帧窗数,当前未见异常帧,当前可见异常帧,官方合格帧,可见但不合格帧,未见异常比例,可见异常比例,官方合格比例,无异常帧范围内正常点数,来源
125,255,251,44,211,210,1,0.17254901960784313,0.8274509803921568,0.8235294117647058,3530697,125/frames.jsonl
137,560,556,410,150,46,104,0.7321428571428571,0.26785714285714285,0.08214285714285714,24117546,137/frames.jsonl
138,516,512,361,155,83,72,0.6996124031007752,0.3003875968992248,0.16085271317829458,22510877,138/frames.jsonl
139,542,538,337,205,99,106,0.6217712177121771,0.37822878228782286,0.18265682656826568,20015503,139/frames.jsonl
140,481,477,305,176,75,101,0.6340956340956341,0.3659043659043659,0.15592515592515593,24735110,140/frames.jsonl
141,697,693,316,381,307,74,0.4533715925394548,0.5466284074605452,0.44045911047345765,21173314,141/frames.jsonl
142,537,533,377,160,87,73,0.702048417132216,0.297951582867784,0.16201117318435754,28586740,142/frames.jsonl
143,469,465,295,174,91,83,0.6289978678038379,0.37100213219616207,0.19402985074626866,24552066,143/frames.jsonl
144,323,319,167,156,79,77,0.5170278637770898,0.48297213622291024,0.24458204334365324,12660427,144/frames.jsonl
145,337,333,184,153,92,61,0.5459940652818991,0.4540059347181009,0.27299703264094954,17274527,145/frames.jsonl
146,374,370,262,112,57,55,0.7005347593582888,0.2994652406417112,0.15240641711229946,15298746,146/frames.jsonl
147,401,397,197,204,111,93,0.4912718204488778,0.5087281795511222,0.27680798004987534,15802286,147/frames.jsonl
148,602,598,368,234,115,119,0.6112956810631229,0.38870431893687707,0.19102990033222592,16011341,148/frames.jsonl
149,378,374,170,208,102,106,0.4497354497354497,0.5502645502645502,0.2698412698412698,12962522,149/frames.jsonl
150,505,501,238,267,156,111,0.47128712871287126,0.5287128712871287,0.3089108910891089,13753163,150/frames.jsonl
151,277,273,152,125,51,74,0.5487364620938628,0.45126353790613716,0.18411552346570398,13825074,151/frames.jsonl
152,534,530,336,198,61,137,0.6292134831460674,0.3707865168539326,0.11423220973782772,23137386,152/frames.jsonl
153,271,267,136,135,75,60,0.5018450184501845,0.4981549815498155,0.2767527675276753,12885600,153/frames.jsonl
169,600,596,459,141,63,78,0.765,0.235,0.105,43873363,169/frames.jsonl
