序列,当前帧,范围编码,可见模式,整窗未见,历史异常点数,历史可见扫描数,历史异常占比,联合体素数,当前占据体素数,当前异常体素数,联合异常体素数,历史增加异常体素数,当前异常压缩比,联合异常压缩比,当前异常体素含正常数,当前异常体素含忽略数,历史新增正常体素数,历史新增正常影响当前异常点数,最早至当前平移（米）,最早至当前旋转（弧度）,当前异常体素含正常比例,当前异常体素含忽略比例,历史新增正常比例,当前异常体素均值位移P50（米）,抽样静态点数,静态匹配点数,静态匹配比例,槽0全距离异常点数,槽1全距离异常点数,槽2全距离异常点数,槽3全距离异常点数,槽4全距离异常点数,槽0源坐标范围内异常点数,槽1源坐标范围内异常点数,槽2源坐标范围内异常点数,槽3源坐标范围内异常点数,槽4源坐标范围内异常点数
125,4,complete_windows,11111,0,101,4,0.8015873015873016,191057,109304,25,42,17,1.0,3.0,0,0,0,0,0.0011072698227524533,8.600381750299103e-05,0.0,0.0,0.0,0.007414382416754961,2048,2045,0.99853515625,25,25,26,25,25,25,25,26,25,25
125,5,complete_windows,11111,0,101,4,0.808,190136,109295,24,46,22,1.0,2.717391304347826,0,0,0,0,0.0038819370516222544,9.919639551404598e-05,0.0,0.0,0.0,0.002534836530685425,2048,2045,0.99853515625,25,26,25,25,24,25,26,25,25,24
125,6,complete_windows,11111,0,100,4,0.8,188220,109398,25,45,20,1.0,2.7777777777777777,0,0,0,0,0.0012103551766114505,1.832556896107058e-05,0.0,0.0,0.0,0.007441725581884384,2048,2047,0.99951171875,26,25,25,24,25,26,25,25,24,25
125,7,complete_windows,11111,0,99,4,0.8048780487804879,186263,109410,24,45,21,1.0,2.7333333333333334,0,0,0,0,0.002552212133118946,6.667778961317108e-05,0.0,0.0,0.0,0.004859760403633118,2048,2043,0.99755859375,25,25,24,25,24,25,25,24,25,24
125,8,complete_windows,11111,0,98,4,0.8032786885245902,186228,109407,24,48,24,1.0,2.5416666666666665,0,0,0,0,0.0023897151834436203,2.7935564216142427e-05,0.0,0.0,0.0,0.002210867591202259,2048,2046,0.9990234375,25,24,25,24,24,25,24,25,24,24
125,9,complete_windows,11111,0,97,4,0.7950819672131147,186645,109319,25,47,22,1.0,2.595744680851064,0,0,0,0,0.000537988927514291,3.0217188846183132e-05,0.0,0.0,0.0,0.0040588947013020515,2048,2046,0.9990234375,24,25,24,24,25,24,25,24,24,25
125,10,complete_windows,11111,0,98,4,0.8032786885245902,186676,109336,24,49,25,1.0,2.489795918367347,0,0,0,0,0.0009671698819395118,8.429475068666504e-06,0.0,0.0,0.0,0.005369939841330051,2048,2047,0.99951171875,25,24,24,25,24,25,24,24,25,24
125,11,complete_windows,11111,0,97,4,0.7950819672131147,187750,109375,25,50,25,1.0,2.44,0,0,0,0,0.001166873019668543,5.869362164805164e-05,0.0,0.0,0.0,0.004311337601393461,2048,2043,0.99755859375,24,24,25,24,25,24,24,25,24,25
125,12,complete_windows,11111,0,98,4,0.8032786885245902,186950,109333,24,53,29,1.0,2.30188679245283,0,0,0,0,0.0020410128607004164,6.896839512938427e-06,0.0,0.0,0.0,0.005710768513381481,2048,2047,0.99951171875,24,25,24,25,24,24,25,24,25,24
125,13,complete_windows,11111,0,98,4,0.8032786885245902,185799,109411,24,50,26,1.0,2.44,0,0,0,0,0.0008471823590984446,4.207934896831251e-05,0.0,0.0,0.0,0.00385564798489213,2048,2045,0.99853515625,25,24,25,24,24,25,24,25,24,24
