anomaly,anomaly_in_range,complete_windows,context_frames,cpu_seconds,first_frame,frames,ignore,instance_frame_count,labelled_instance_count,last_frame,max_rss_bytes,normal,segment,sequence,slots,source_sequence,startup_windows,states,timestamp_available,unknown_instance_points,version,visible,wall_seconds,whole_window_unseen,world
4815,4815,24,4,17.32896797,0,28,34568,28,1,27,750645248,3447878,0,000_00,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3487261,17.42432486699545,0,28dba7e1154c2197e6cd56f8a63c70585a5fe1a40b0358ee56c2f192054f867f
916,916,24,4,16.518896036999998,28,28,35796,28,1,55,717176832,3335614,1,000_01,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3372326,16.61047143000178,0,b0cb03d4694d816b58f5461deb6f35b74083a6d5aa0b179968805a7e4466ee6f
26866,26866,24,4,17.147686819,56,28,40762,28,1,83,811847680,3255662,2,000_02,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3323290,17.24225437900168,0,f0f97c3bc9b45533071c635a5e705b46a6a85a2b7bed9858ae9789cf8b052d77
2614,2614,24,4,16.392690834000003,84,28,53540,28,1,111,715096064,3374222,3,000_03,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3430376,16.51668060600059,0,cd37613b8b41cbe542110a289fde1ff3fdaa651cb4b76d9edad03c96f0949c5d
14328,14328,24,4,16.975660307000002,112,28,26039,28,1,139,748474368,3503044,4,000_04,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3543411,17.08433402099763,0,29474aa5d390cbbdf4d410b0d30768245c5a74145c0d6e4229e47aeadcbeb1ec
5016,5016,24,4,16.728037439,140,28,34845,28,1,167,735617024,3491968,5,000_05,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3531829,16.82686669897521,0,aa1ca4ccb9ca8ccb6e2c9108d4a1cf3eccc4daf515975e99c692f5d0cd292286
5111,5111,24,4,17.467330573,168,28,165364,28,1,195,740671488,3381135,6,000_06,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3551610,17.58757439200417,0,381e57438cb6d51f92c076f6b2836dadaceb1fb30ad903f79135d11ff268402b
50716,50716,24,4,18.757923778000002,196,28,81951,28,1,223,865599488,3415629,7,000_07,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3548296,18.855708594986936,0,0c337c0c8f7135e5bc2ee3607bb6fc9e9cbbea4df57daeba4a12ac02e37f00cd
8187,8187,24,4,16.312801648,224,28,322843,22,1,251,728203264,3277072,8,000_08,3670016,206,0,"[6, 0, 0, 22]",0,0,synthetic/train/000,3608102,16.421679744002176,2,be7d5a3e27c79d0b591f2b9deef6fa01095b86cf1d7e72257e3cdb0ec2145d3d
12250,12250,24,4,16.904325632,252,28,385409,28,1,279,764964864,3190018,9,000_09,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3587677,17.00534920897917,0,206413e0a9ac8a250b82721e9c49638e564fdbb16100a8b7d000deb54791d1b6
40174,40174,24,4,18.231156346,280,28,104806,28,1,307,815902720,3408130,10,000_10,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3553110,18.330610675999196,0,863934b8736278f912d3d5aeaf035b44d064a13e9c377eb9390aae61a22166fa
21739,21739,24,4,17.973264942,308,28,42641,28,1,335,793358336,3496509,11,000_11,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3560889,18.091180694987997,0,989d1f7ad084e7089c1dacbed5bbc4a6697b7479d38fe945508dd8a04f45032a
25823,25823,24,4,18.666493613000004,336,28,30312,28,1,363,816058368,3486102,12,000_12,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3542237,18.765311900991946,0,ba3495055db95bbb3cf2388866fa7de9bfa3b46003afff1024e521531c60e428
54504,54504,24,4,19.554990684000003,364,28,20462,28,1,391,866357248,3446539,13,000_13,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3521505,19.656789702974493,0,e62fd62c240449d026c126c3fe6051fa11b42494e31aa515f80e34705809da38
32808,32808,24,4,17.607888881999997,392,28,23970,28,1,419,777031680,3399045,14,000_14,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/000,3455823,17.71994607200031,0,96d301f613b46b926404a6aa365fad1b1d9beee8a8168df043c0aedbffe82c26
74830,74830,25,4,19.379334657,420,29,29354,29,1,448,880750592,3477548,15,000_15,3801088,206,0,"[0, 0, 0, 29]",0,0,synthetic/train/000,3581732,19.470643680979265,0,7a4dc45b8649f521579eedd59dfb241ba123c28565e946c7a8b1b5dbb1198960
190,190,24,4,17.794877927,0,28,34568,28,1,27,764964864,3452503,0,001_00,3670016,206,0,"[0, 0, 11, 17]",0,0,synthetic/train/001,3487261,17.89351926901145,0,e34606f8f05ba0a9b337de8a9b78711afc4df1b0ca84c684e66153b3594a303d
18548,18548,24,4,17.503894074,28,28,35791,28,1,55,756846592,3318089,1,001_01,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3372428,17.609067503013648,0,b0cf79ae6c730aecd967fa39a8f0f34fde3be771b112d1fb1568435fd9a87f6f
4326,4326,24,4,16.902967892,56,28,40797,28,1,83,811847680,3278167,2,001_02,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3323290,17.010264606011333,0,2c6968537ddf8f7b043f9ad2d101824ccf8270ddc763dab9577376daaeb0861c
869,869,24,4,16.970304483000003,84,28,53540,28,1,111,772485120,3375880,3,001_03,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3430289,17.063406090979697,0,17a8ac8edbfaac830422e15a5900c0332938ab32defc8b7fdbe5f79796a3bc7c
13198,13198,24,4,17.603921764,112,28,26039,28,1,139,744235008,3503981,4,001_04,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3543218,17.698313689994393,0,434587e3f5eabc8c44edbf37ecbcce6b971f76732d3db141b5a2d62db3e9fd74
4889,4889,24,4,17.400276826000002,140,28,34845,28,1,167,793358336,3491764,5,001_05,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3531498,17.487289609009167,0,dcff7f41e60b6bd375c5a3a29e7b200f29c993dbdf15d146a3524e49603dc9ab
2728,2728,24,4,17.721163652999998,168,28,165365,23,1,195,815902720,3383518,6,001_06,3670016,206,0,"[5, 0, 0, 23]",0,0,synthetic/train/001,3551611,17.81675724501838,1,0beafb561fdb681c7605670d4553842dee0c8ba55061c475fb48d66370f4f259
10257,10257,24,4,18.006676127,196,28,81980,28,1,223,865599488,3455998,7,001_07,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3548235,18.117525162000675,0,8393c69894b8fda52d55f825aed8817a7794a5ab88a09ebab6859200846b974e
15999,15999,24,4,17.351472686,224,28,321444,28,1,251,811847680,3271799,8,001_08,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3609242,17.44828797201626,0,6a2f5a7d18157a9b6edf4a3f4f88330595dab054ace7247c5b61865eb0406f71
29643,29643,24,4,18.298669767,252,28,385410,28,1,279,799653888,3172655,9,001_09,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3587708,18.39584199700039,0,e611065431bb47f2e76e5fa456901a5785c77030a8e41eb0541b0dad3a151b11
5805,5805,24,4,17.70880375,280,28,105721,28,1,307,772485120,3440784,10,001_10,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3552310,17.848523758992087,0,fb7b486e55b425360062dcd5cbea955a06c2602919ad0d8a5bd2e7fdada8cf06
21521,21521,24,4,18.237660679999998,308,28,42641,28,1,335,798781440,3496729,11,001_11,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3560891,18.33281134799472,0,cfc8ea032195ed2fa1b0ab4a32cc901f02be264ea72884756f8e86ba739e07de
5788,5788,24,4,18.083375895000003,336,28,30312,28,1,363,775856128,3506144,12,001_12,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3542244,18.16337637399556,0,b8665f2499b3f0d53cad9d4546b7e658c31ce69703887860736f74992f7c6557
20480,20480,24,4,18.441893720000003,364,28,20552,28,1,391,816058368,3480387,13,001_13,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3521419,18.541184653004166,0,b344381b72c5b915b184951bfd972163480c0eceee777d8429d247d9766fbbe0
10650,10650,24,4,16.938093331000005,392,28,24155,28,1,419,745259008,3422577,14,001_14,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/001,3457382,17.034998843009816,0,d3d39978577622762ed8c659722c89590033a199ef9b941e563651ab1af57ce5
45542,45542,25,4,18.293736951,420,29,30513,29,1,448,842039296,3504580,15,001_15,3801088,206,0,"[0, 0, 0, 29]",0,0,synthetic/train/001,3580635,18.408924729010323,0,01819a5b493e39ac6ba4a2a89b3c95fdeafd5467d9a0f8ae1a6495fe00249fa8
951,951,24,4,17.839902470999995,0,28,34568,28,1,27,837222400,3451742,0,002_00,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3487261,17.967063163989224,0,99b3bd78b412ac7882afbcc946a295c1a52933e095878f84ae6a1027f36a6a8b
34865,34865,24,4,18.293758661000005,28,28,35578,28,1,55,866357248,3301898,1,002_01,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3372341,18.413569915981498,0,72d0dbf225b067031a71d2f234348fc11e37ffdd4805866958c9db17658125f5
779,779,24,4,16.868213654999998,56,28,40797,28,1,83,880750592,3281714,2,002_02,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3323290,16.968499751994386,0,0c4ee844384b783fc2b7538a6e18fed572cc9be1f693c7814ac88e243b1f54d5
