anomaly,anomaly_distance_median,anomaly_fraction,anomaly_in_range,anomaly_in_range_distance_median,anomaly_intensity,first_in_visible_run,frame,ignore,ignore_fraction,ignore_intensity,instance_count,neighbor_road_fraction,normal,normal_fraction,normal_in_range,normal_intensity,segment,sequence,slots,source_frame,source_sequence,stage,state,unknown_instance_points,version,visible,visible_fraction,zero_slot_fraction,zero_slots
77,13.611456871032715,0.0006250964028543363,77,13.611456871032715,"{""n"": 77, ""mean"": 0.7533428750254891, ""minimum"": 0.3412955701351166, ""maximum"": 1.6122857332229614, ""quantiles"": {""0.05"": 0.45605602860450745, ""0.25"": 0.5295960307121277, ""0.5"": 0.6217714548110962, ""0.75"": 0.9096226692199707, ""0.95"": 1.593999981880188}}",1,0,2372,0.01925621646195436,"{""n"": 2372, ""mean"": 0.056675740774849694, ""minimum"": 0.0025714286603033543, ""maximum"": 1.593999981880188, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014571428298950195, ""0.5"": 0.02142857201397419, ""0.75"": 0.034857142716646194, ""0.95"": 0.27085715532302856}}",1,1.0,120732,0.9801186871351913,120732,"{""n"": 120732, ""mean"": 0.2725814412802321, ""minimum"": 0.001714285695925355, ""maximum"": 1.6225714683532715, ""quantiles"": {""0.05"": 0.035999998450279236, ""0.25"": 0.10571428388357162, ""0.5"": 0.20514285564422607, ""0.75"": 0.3937142789363861, ""0.95"": 0.6994285583496094}}",0,000_00,131072,0,206,visible,3,0,synthetic/train/000,123181,0.9397964477539062,0.06020355224609375,7891
86,13.376523971557617,0.0006978423687691197,86,13.376523971557617,"{""n"": 86, ""mean"": 0.7982348158609035, ""minimum"": 0.350413978099823, ""maximum"": 1.6188571453094482, ""quantiles"": {""0.05"": 0.3726206421852112, ""0.25"": 0.5217723250389099, ""0.5"": 0.610603928565979, ""0.75"": 1.1102937459945679, ""0.95"": 1.593999981880188}}",0,1,2345,0.01902837621818123,"{""n"": 2345, ""mean"": 0.06258592765256048, ""minimum"": 0.0028571428265422583, ""maximum"": 1.6165714263916016, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014000000432133675, ""0.5"": 0.021142857149243355, ""0.75"": 0.03514285758137703, ""0.95"": 0.3294285833835602}}",1,1.0,120806,0.9802737814130497,120805,"{""n"": 120806, ""mean"": 0.27572467777905496, ""minimum"": 0.001714285695925355, ""maximum"": 1.6257143020629883, ""quantiles"": {""0.05"": 0.03628571331501007, ""0.25"": 0.1071428582072258, ""0.5"": 0.20657142996788025, ""0.75"": 0.3994285762310028, ""0.95"": 0.7099999785423279}}",0,000_00,131072,1,206,visible,3,0,synthetic/train/000,123237,0.9402236938476562,0.05977630615234375,7835
88,13.1456937789917,0.0007123660266165852,88,13.1456937789917,"{""n"": 88, ""mean"": 0.6984368400140242, ""minimum"": 0.3490179479122162, ""maximum"": 1.6122857332229614, ""quantiles"": {""0.05"": 0.39185598492622375, ""0.25"": 0.5139854550361633, ""0.5"": 0.5852670669555664, ""0.75"": 0.6857284307479858, ""0.95"": 1.4688571691513062}}",0,2,2296,0.018586277239905448,"{""n"": 2296, ""mean"": 0.05722038331167782, ""minimum"": 0.0022857142612338066, ""maximum"": 1.617714285850525, ""quantiles"": {""0.05"": 0.0071428571827709675, ""0.25"": 0.014000000432133675, ""0.5"": 0.021142857149243355, ""0.75"": 0.034285712987184525, ""0.95"": 0.2865714430809021}}",1,1.0,121148,0.9807013567334779,121148,"{""n"": 121148, ""mean"": 0.2779085911306903, ""minimum"": 0.0020000000949949026, ""maximum"": 1.6317143440246582, ""quantiles"": {""0.05"": 0.036571428179740906, ""0.25"": 0.10685714334249496, ""0.5"": 0.20714285969734192, ""0.75"": 0.40457141399383545, ""0.95"": 0.7154285907745361}}",0,000_00,131072,2,206,visible,3,0,synthetic/train/000,123532,0.942474365234375,0.057525634765625,7540
89,12.917800903320312,0.0007184603958797507,89,12.917800903320312,"{""n"": 89, ""mean"": 0.7319620891233508, ""minimum"": 0.34142768383026123, ""maximum"": 1.6188571453094482, ""quantiles"": {""0.05"": 0.3715667426586151, ""0.25"": 0.4810692369937897, ""0.5"": 0.5958935618400574, ""0.75"": 0.7330814003944397, ""0.95"": 1.6122857332229614}}",0,3,2193,0.017703187058025767,"{""n"": 2193, ""mean"": 0.05744277242557526, ""minimum"": 0.0028571428265422583, ""maximum"": 1.5037143230438232, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014285714365541935, ""0.5"": 0.02085714228451252, ""0.75"": 0.03285714238882065, ""0.95"": 0.3034285604953766}}",1,1.0,121594,0.9815783525460945,121594,"{""n"": 121594, ""mean"": 0.2802324926837807, ""minimum"": 0.0020000000949949026, ""maximum"": 1.6274285316467285, ""quantiles"": {""0.05"": 0.03685714304447174, ""0.25"": 0.10771428793668747, ""0.5"": 0.2085714340209961, ""0.75"": 0.40942856669425964, ""0.95"": 0.7208571434020996}}",0,000_00,131072,3,206,visible,3,0,synthetic/train/000,123876,0.945098876953125,0.054901123046875,7196
95,12.680488586425781,0.0007652650233607218,95,12.680488586425781,"{""n"": 95, ""mean"": 0.7780152167144575, ""minimum"": 0.3349207043647766, ""maximum"": 1.6188571453094482, ""quantiles"": {""0.05"": 0.36974477767944336, ""0.25"": 0.49151912331581116, ""0.5"": 0.5681051015853882, ""0.75"": 0.8904197812080383, ""0.95"": 1.6188571453094482}}",0,4,2081,0.016763331722249072,"{""n"": 2081, ""mean"": 0.06182110263650063, ""minimum"": 0.0020000000949949026, ""maximum"": 1.611142873764038, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014000000432133675, ""0.5"": 0.021142857149243355, ""0.75"": 0.03342857211828232, ""0.95"": 0.3214285671710968}}",1,1.0,121964,0.9824714032543902,121964,"{""n"": 121964, ""mean"": 0.2821248237393392, ""minimum"": 0.001714285695925355, ""maximum"": 1.6285713911056519, ""quantiles"": {""0.05"": 0.03685714304447174, ""0.25"": 0.10771428793668747, ""0.5"": 0.20971427857875824, ""0.75"": 0.41514286398887634, ""0.95"": 0.7231428623199463}}",0,000_00,131072,4,206,visible,3,0,synthetic/train/000,124140,0.947113037109375,0.052886962890625,6932
94,12.429749488830566,0.000756253167815796,94,12.429749488830566,"{""n"": 94, ""mean"": 0.7922205519168934, ""minimum"": 0.35176751017570496, ""maximum"": 1.621999979019165, ""quantiles"": {""0.05"": 0.4141441285610199, ""0.25"": 0.4990485608577728, ""0.5"": 0.5670992732048035, ""0.75"": 1.1320641040802002, ""0.95"": 1.5911428928375244}}",0,5,1958,0.01575259258067371,"{""n"": 1958, ""mean"": 0.06438873482183616, ""minimum"": 0.0022857142612338066, ""maximum"": 1.5537142753601074, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014285714365541935, ""0.5"": 0.02142857201397419, ""0.75"": 0.035428572446107864, ""0.95"": 0.3317142724990845}}",1,1.0,122245,0.9834911542515105,122245,"{""n"": 122245, ""mean"": 0.28342847553226524, ""minimum"": 0.0020000000949949026, ""maximum"": 1.6237143278121948, ""quantiles"": {""0.05"": 0.03685714304447174, ""0.25"": 0.10828571766614914, ""0.5"": 0.21085713803768158, ""0.75"": 0.4165714383125305, ""0.95"": 0.7268571257591248}}",0,000_00,131072,5,206,visible,3,0,synthetic/train/000,124297,0.9483108520507812,0.05168914794921875,6775
108,12.194872856140137,0.0008673305493093479,108,12.194872856140137,"{""n"": 108, ""mean"": 0.656319497636071, ""minimum"": 0.337653785943985, ""maximum"": 1.6080000400543213, ""quantiles"": {""0.05"": 0.3858153223991394, ""0.25"": 0.4838559329509735, ""0.5"": 0.539590060710907, ""0.75"": 0.6960452198982239, ""0.95"": 1.3911744356155396}}",0,6,1743,0.013997751365242532,"{""n"": 1743, ""mean"": 0.06845045485373477, ""minimum"": 0.0022857142612338066, ""maximum"": 1.6257143020629883, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014571428298950195, ""0.5"": 0.02199999988079071, ""0.75"": 0.03685714304447174, ""0.95"": 0.3814285695552826}}",1,1.0,122669,0.9851349180854482,122669,"{""n"": 122669, ""mean"": 0.2852270698206461, ""minimum"": 0.0014285714132711291, ""maximum"": 1.6257143020629883, ""quantiles"": {""0.05"": 0.03771428391337395, ""0.25"": 0.10857142508029938, ""0.5"": 0.21314285695552826, ""0.75"": 0.4194285571575165, ""0.95"": 0.728857159614563}}",0,000_00,131072,6,206,visible,3,0,synthetic/train/000,124520,0.95001220703125,0.04998779296875,6552
113,11.95333480834961,0.0009071933204881182,113,11.95333480834961,"{""n"": 113, ""mean"": 0.6700666201325645, ""minimum"": 0.3048057556152344, ""maximum"": 1.5937142372131348, ""quantiles"": {""0.05"": 0.33307206630706787, ""0.25"": 0.49075525999069214, ""0.5"": 0.545453667640686, ""0.75"": 0.6917721629142761, ""0.95"": 1.371999979019165}}",0,7,1615,0.012965639049454079,"{""n"": 1615, ""mean"": 0.06729977881916491, ""minimum"": 0.0028571428265422583, ""maximum"": 1.6114286184310913, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014285714365541935, ""0.5"": 0.02199999988079071, ""0.75"": 0.03799999877810478, ""0.95"": 0.3659999966621399}}",1,1.0,122832,0.9861271676300578,122832,"{""n"": 122832, ""mean"": 0.2859667350769213, ""minimum"": 0.0014285714132711291, ""maximum"": 1.6268571615219116, ""quantiles"": {""0.05"": 0.03828571364283562, ""0.25"": 0.10857142508029938, ""0.5"": 0.21457143127918243, ""0.75"": 0.421999990940094, ""0.95"": 0.7291428446769714}}",0,000_00,131072,7,206,visible,3,0,synthetic/train/000,124560,0.9503173828125,0.0496826171875,6512
118,11.686504364013672,0.000946582276450156,118,11.686504364013672,"{""n"": 118, ""mean"": 0.7283157617863962, ""minimum"": 0.3016599118709564, ""maximum"": 1.5937142372131348, ""quantiles"": {""0.05"": 0.34719666838645935, ""0.25"": 0.502539336681366, ""0.5"": 0.6114857792854309, ""0.75"": 0.8412772417068481, ""0.95"": 1.4337142705917358}}",0,8,1475,0.011832278455626951,"{""n"": 1475, ""mean"": 0.08056677992045248, ""minimum"": 0.0022857142612338066, ""maximum"": 1.625428557395935, ""quantiles"": {""0.05"": 0.00828571431338787, ""0.25"": 0.01485714316368103, ""0.5"": 0.022857142612338066, ""0.75"": 0.04114285856485367, ""0.95"": 0.404285728931427}}",1,1.0,123066,0.9872211392679229,123066,"{""n"": 123066, ""mean"": 0.28692991215378033, ""minimum"": 0.0020000000949949026, ""maximum"": 1.6308571100234985, ""quantiles"": {""0.05"": 0.03857142850756645, ""0.25"": 0.10857142508029938, ""0.5"": 0.21714285016059875, ""0.75"": 0.4245714247226715, ""0.95"": 0.7277143001556396}}",0,000_00,131072,8,206,visible,3,0,synthetic/train/000,124659,0.9510726928710938,0.04892730712890625,6413
119,11.426218032836914,0.0009539766395972455,119,11.426218032836914,"{""n"": 119, ""mean"": 0.7101970893495223, ""minimum"": 0.31639233231544495, ""maximum"": 1.621999979019165, ""quantiles"": {""0.05"": 0.3461631238460541, ""0.25"": 0.4495747685432434, ""0.5"": 0.552128791809082, ""0.75"": 0.7379669547080994, ""0.95"": 1.5937142372131348}}",0,9,1400,0.011223254583497006,"{""n"": 1400, ""mean"": 0.08484163279478837, ""minimum"": 0.0028571428265422583, ""maximum"": 1.6154285669326782, ""quantiles"": {""0.05"": 0.00800000037997961, ""0.25"": 0.015428571030497551, ""0.5"": 0.022857142612338066, ""0.75"": 0.04514285549521446, ""0.95"": 0.44999998807907104}}",1,1.0,123222,0.9878227687769058,123222,"{""n"": 123222, ""mean"": 0.28737430232934635, ""minimum"": 0.0020000000949949026, ""maximum"": 1.6265714168548584, ""quantiles"": {""0.05"": 0.03857142850756645, ""0.25"": 0.10771428793668747, ""0.5"": 0.2174285650253296, ""0.75"": 0.4259999990463257, ""0.95"": 0.7251428365707397}}",0,000_00,131072,9,206,visible,3,0,synthetic/train/000,124741,0.9516983032226562,0.04830169677734375,6331
