end,kind,left_censored,length,right_censored,sequence,source_end,source_start,start
27,visible,1,28,1,000_00,27,0,0
27,visible,1,28,1,000_01,55,28,0
27,visible,1,28,1,000_02,83,56,0
27,visible,1,28,1,000_03,111,84,0
27,visible,1,28,1,000_04,139,112,0
27,visible,1,28,1,000_05,167,140,0
27,visible,1,28,1,000_06,195,168,0
27,visible,1,28,1,000_07,223,196,0
13,visible,1,14,0,000_08,237,224,0
19,gap,0,6,0,000_08,243,238,14
27,visible,0,8,1,000_08,251,244,20
27,visible,1,28,1,000_09,279,252,0
27,visible,1,28,1,000_10,307,280,0
27,visible,1,28,1,000_11,335,308,0
27,visible,1,28,1,000_12,363,336,0
27,visible,1,28,1,000_13,391,364,0
27,visible,1,28,1,000_14,419,392,0
28,visible,1,29,1,000_15,448,420,0
27,visible,1,28,1,001_00,27,0,0
27,visible,1,28,1,001_01,55,28,0
27,visible,1,28,1,001_02,83,56,0
27,visible,1,28,1,001_03,111,84,0
27,visible,1,28,1,001_04,139,112,0
27,visible,1,28,1,001_05,167,140,0
4,prefix,1,5,0,001_06,172,168,0
27,visible,0,23,1,001_06,195,173,5
27,visible,1,28,1,001_07,223,196,0
27,visible,1,28,1,001_08,251,224,0
27,visible,1,28,1,001_09,279,252,0
27,visible,1,28,1,001_10,307,280,0
27,visible,1,28,1,001_11,335,308,0
27,visible,1,28,1,001_12,363,336,0
27,visible,1,28,1,001_13,391,364,0
27,visible,1,28,1,001_14,419,392,0
28,visible,1,29,1,001_15,448,420,0
27,visible,1,28,1,002_00,27,0,0
27,visible,1,28,1,002_01,55,28,0
27,visible,1,28,1,002_02,83,56,0
15,visible,1,16,0,002_03,99,84,0
18,gap,0,3,0,002_03,102,100,16
19,visible,0,1,0,002_03,103,103,19
22,gap,0,3,0,002_03,106,104,20
27,visible,0,5,1,002_03,111,107,23
27,visible,1,28,1,002_04,139,112,0
27,visible,1,28,1,002_05,167,140,0
27,visible,1,28,1,002_06,195,168,0
27,visible,1,28,1,002_07,223,196,0
27,visible,1,28,1,002_08,251,224,0
27,visible,1,28,1,002_09,279,252,0
5,prefix,1,6,0,002_10,285,280,0
27,visible,0,22,1,002_10,307,286,6
27,visible,1,28,1,002_11,335,308,0
27,visible,1,28,1,002_12,363,336,0
27,visible,1,28,1,002_13,391,364,0
27,visible,1,28,1,002_14,419,392,0
28,visible,1,29,1,002_15,448,420,0
27,visible,1,28,1,003_00,27,0,0
27,visible,1,28,1,003_01,55,28,0
27,visible,1,28,1,003_02,83,56,0
27,visible,1,28,1,003_03,111,84,0
27,visible,1,28,1,003_04,139,112,0
15,prefix,1,16,0,003_05,155,140,0
27,visible,0,12,1,003_05,167,156,16
27,visible,1,28,1,003_06,195,168,0
27,visible,1,28,1,003_07,223,196,0
27,visible,1,28,1,003_08,251,224,0
27,visible,1,28,1,003_09,279,252,0
27,visible,1,28,1,003_10,307,280,0
27,visible,1,28,1,003_11,335,308,0
27,visible,1,28,1,003_12,363,336,0
27,visible,1,28,1,003_13,391,364,0
27,visible,1,28,1,003_14,419,392,0
28,visible,1,29,1,003_15,448,420,0
27,visible,1,28,1,004_00,27,0,0
27,visible,1,28,1,004_01,55,28,0
27,visible,1,28,1,004_02,83,56,0
6,prefix,1,7,0,004_03,90,84,0
7,visible,0,1,0,004_03,91,91,7
8,gap,0,1,0,004_03,92,92,8
27,visible,0,19,1,004_03,111,93,9
27,visible,1,28,1,004_04,139,112,0
27,visible,1,28,1,004_05,167,140,0
27,visible,1,28,1,004_06,195,168,0
27,visible,1,28,1,004_07,223,196,0
27,visible,1,28,1,004_08,251,224,0
27,visible,1,28,1,004_09,279,252,0
27,visible,1,28,1,004_10,307,280,0
27,visible,1,28,1,004_11,335,308,0
27,visible,1,28,1,004_12,363,336,0
27,visible,1,28,1,004_13,391,364,0
27,visible,1,28,1,004_14,419,392,0
28,visible,1,29,1,004_15,448,420,0
27,visible,1,28,1,005_00,27,0,0
27,visible,1,28,1,005_01,55,28,0
27,visible,1,28,1,005_02,83,56,0
27,visible,1,28,1,005_03,111,84,0
27,visible,1,28,1,005_04,139,112,0
27,visible,1,28,1,005_05,167,140,0
27,visible,1,28,1,005_06,195,168,0
27,visible,1,28,1,005_07,223,196,0
27,visible,1,28,1,005_08,251,224,0
27,visible,1,28,1,005_09,279,252,0
27,visible,1,28,1,005_10,307,280,0
27,visible,1,28,1,005_11,335,308,0
1,prefix,1,2,0,005_12,337,336,0
