五位文本模式,可见扫描数,206训练_窗口数,206训练_总窗口,206训练_比例,206训练_覆盖世界或序列数,201合成验证_窗口数,201合成验证_总窗口,201合成验证_比例,201合成验证_覆盖世界或序列数,真实开发_窗口数,真实开发_总窗口,真实开发_比例,真实开发_覆盖世界或序列数
00000,0,20,3080,0.006493506493506494,5,10,2360,0.00423728813559322,3,4355,8583,0.5073983455668182,19
00001,1,6,3080,0.001948051948051948,6,6,2360,0.002542372881355932,6,97,8583,0.01130140976348596,19
00010,1,2,3080,0.0006493506493506494,2,0,2360,0.0,0,69,8583,0.008039147151345682,18
00011,2,6,3080,0.001948051948051948,6,7,2360,0.0029661016949152543,7,58,8583,0.006757543982290575,18
00100,1,1,3080,0.0003246753246753247,1,0,2360,0.0,0,72,8583,0.008388675288360714,18
00101,2,1,3080,0.0003246753246753247,1,0,2360,0.0,0,21,8583,0.002446696959105208,12
00110,2,0,3080,0.0,0,0,2360,0.0,0,34,8583,0.003961318886170337,16
00111,3,8,3080,0.0025974025974025974,8,7,2360,0.0029661016949152543,7,57,8583,0.006641034603285564,19
01000,1,1,3080,0.0003246753246753247,1,0,2360,0.0,0,72,8583,0.008388675288360714,18
01001,2,0,3080,0.0,0,0,2360,0.0,0,22,8583,0.002563206338110218,14
01010,2,0,3080,0.0,0,0,2360,0.0,0,16,8583,0.0018641500640801585,10
01011,3,1,3080,0.0003246753246753247,1,0,2360,0.0,0,18,8583,0.0020971688220901784,12
01100,2,0,3080,0.0,0,0,2360,0.0,0,30,8583,0.003495281370150297,15
01101,3,0,3080,0.0,0,0,2360,0.0,0,28,8583,0.0032622626121402774,14
01110,3,0,3080,0.0,0,0,2360,0.0,0,27,8583,0.0031457532331352674,16
01111,4,9,3080,0.002922077922077922,9,7,2360,0.0029661016949152543,7,90,8583,0.01048584411045089,19
10000,1,2,3080,0.0006493506493506494,2,2,2360,0.000847457627118644,2,91,8583,0.010602353489455901,18
10001,2,2,3080,0.0006493506493506494,1,1,2360,0.000423728813559322,1,30,8583,0.003495281370150297,14
10010,2,0,3080,0.0,0,0,2360,0.0,0,24,8583,0.0027962250961202375,12
10011,3,0,3080,0.0,0,0,2360,0.0,0,33,8583,0.003844809507165327,17
10100,2,0,3080,0.0,0,0,2360,0.0,0,22,8583,0.002563206338110218,14
10101,3,0,3080,0.0,0,0,2360,0.0,0,13,8583,0.0015146219270651287,8
10110,3,0,3080,0.0,0,0,2360,0.0,0,24,8583,0.0027962250961202375,11
10111,4,1,3080,0.0003246753246753247,1,0,2360,0.0,0,60,8583,0.006990562740300594,16
11000,2,3,3080,0.000974025974025974,3,3,2360,0.001271186440677966,3,49,8583,0.005708959571245485,17
11001,3,0,3080,0.0,0,0,2360,0.0,0,35,8583,0.0040778282651753464,16
11010,3,0,3080,0.0,0,0,2360,0.0,0,19,8583,0.002213678201095188,11
11011,4,0,3080,0.0,0,0,2360,0.0,0,66,8583,0.007689619014330654,16
11100,3,3,3080,0.000974025974025974,3,2,2360,0.000847457627118644,2,54,8583,0.006291506466270535,18
11101,4,0,3080,0.0,0,1,2360,0.000423728813559322,1,57,8583,0.006641034603285564,17
11110,4,3,3080,0.000974025974025974,3,2,2360,0.000847457627118644,2,84,8583,0.009786787836420832,19
11111,5,3011,3080,0.9775974025974026,128,2312,2360,0.9796610169491525,92,2856,8583,0.3327507864383083,19
