联合条件,格编码,条件说明,206训练_世界或序列数,206训练_合成版本或真实序列数,206训练_原始背景序列数（非独立道路）,206训练_帧数,206训练_该联合表帧分母,206训练_帧比例,206训练_全距离异常点,206训练_范围内异常点,206训练_已观测实例标识数,201合成验证_世界或序列数,201合成验证_合成版本或真实序列数,201合成验证_原始背景序列数（非独立道路）,201合成验证_帧数,201合成验证_该联合表帧分母,201合成验证_帧比例,201合成验证_全距离异常点,201合成验证_范围内异常点,201合成验证_已观测实例标识数,真实开发_世界或序列数,真实开发_合成版本或真实序列数,真实开发_原始背景序列数（非独立道路）,真实开发_帧数,真实开发_该联合表帧分母,真实开发_帧比例,真实开发_全距离异常点,真实开发_范围内异常点,真实开发_已观测实例标识数,差异类型
count_distance_history,0|outside_only|0,范围内0点；距离中位数仅范围外异常；历史可见0次,3,3,1,12,1780,0.006741573033707865,17,0,3,2,2,1,22,1356,0.016224188790560472,22,0,2,18,18,18,71,8583,0.008272165909355703,77,0,21,共同覆盖；比较频率
count_distance_history,0|outside_only|1,范围内0点；距离中位数仅范围外异常；历史可见1次,2,2,1,7,1780,0.003932584269662922,12,0,2,2,2,1,26,1356,0.019174041297935103,26,0,2,17,17,17,91,8583,0.010602353489455901,103,0,21,共同覆盖；比较频率
count_distance_history,0|outside_only|2,范围内0点；距离中位数仅范围外异常；历史可见2次,2,2,1,3,1780,0.0016853932584269663,3,0,2,2,2,1,17,1356,0.012536873156342183,18,0,2,17,17,17,111,8583,0.0129325410695561,148,0,23,共同覆盖；比较频率
count_distance_history,0|outside_only|3,范围内0点；距离中位数仅范围外异常；历史可见3次,2,2,1,8,1780,0.0044943820224719105,15,0,2,2,2,1,5,1356,0.003687315634218289,5,0,2,16,16,16,91,8583,0.010602353489455901,137,0,21,共同覆盖；比较频率
count_distance_history,0|outside_only|4,范围内0点；距离中位数仅范围外异常；历史可见4次,1,1,1,2,1780,0.0011235955056179776,4,0,1,1,1,1,1,1356,0.0007374631268436578,1,0,1,11,11,11,101,8583,0.011767447279506,178,0,18,共同覆盖；比较频率
count_distance_history,0|unseen|0,范围内0点；距离中位数未见异常；历史可见0次,4,4,1,822,1780,0.46179775280898877,0,0,0,2,2,1,665,1356,0.49041297935103245,0,0,0,19,19,19,4355,8583,0.5073983455668182,0,0,0,共同覆盖；比较频率
count_distance_history,0|unseen|1,范围内0点；距离中位数未见异常；历史可见1次,4,4,1,47,1780,0.026404494382022473,0,0,0,2,2,1,110,1356,0.08112094395280237,0,0,0,19,19,19,304,8583,0.03541885121752301,0,0,0,共同覆盖；比较频率
count_distance_history,0|unseen|2,范围内0点；距离中位数未见异常；历史可见2次,4,4,1,20,1780,0.011235955056179775,0,0,0,2,2,1,51,1356,0.03761061946902655,0,0,0,19,19,19,175,8583,0.02038914132587673,0,0,0,共同覆盖；比较频率
count_distance_history,0|unseen|3,范围内0点；距离中位数未见异常；历史可见3次,4,4,1,17,1780,0.009550561797752809,0,0,0,2,2,1,29,1356,0.021386430678466076,0,0,0,19,19,19,124,8583,0.014447162996621228,0,0,0,共同覆盖；比较频率
count_distance_history,0|unseen|4,范围内0点；距离中位数未见异常；历史可见4次,4,4,1,11,1780,0.006179775280898876,0,0,0,2,2,1,16,1356,0.011799410029498525,0,0,0,19,19,19,84,8583,0.009786787836420832,0,0,0,共同覆盖；比较频率
count_distance_history,1|0|0,"范围内1至4点；距离中位数[2.5,10)；历史可见0次",1,1,1,1,1780,0.0005617977528089888,4,4,1,0,0,0,0,1356,0.0,0,0,0,4,4,4,4,8583,0.0004660375160200396,11,11,4,合成验证完全缺覆盖
count_distance_history,1|0|1,"范围内1至4点；距离中位数[2.5,10)；历史可见1次",0,0,0,0,1780,0.0,0,0,0,0,0,0,0,1356,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,三侧均无观测
count_distance_history,1|0|2,"范围内1至4点；距离中位数[2.5,10)；历史可见2次",0,0,0,0,1780,0.0,0,0,0,0,0,0,0,1356,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,三侧均无观测
count_distance_history,1|0|3,"范围内1至4点；距离中位数[2.5,10)；历史可见3次",0,0,0,0,1780,0.0,0,0,0,0,0,0,0,1356,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,三侧均无观测
count_distance_history,1|0|4,"范围内1至4点；距离中位数[2.5,10)；历史可见4次",1,1,1,1,1780,0.0005617977528089888,4,4,1,0,0,0,0,1356,0.0,0,0,0,4,4,4,5,8583,0.0005825468950250495,11,11,4,合成验证完全缺覆盖
count_distance_history,1|1|0,"范围内1至4点；距离中位数[10,20)；历史可见0次",0,0,0,0,1780,0.0,0,0,0,1,1,1,2,1356,0.0014749262536873156,6,6,1,0,0,0,0,8583,0.0,0,0,0,该发布真实集合无覆盖
count_distance_history,1|1|1,"范围内1至4点；距离中位数[10,20)；历史可见1次",1,1,1,1,1780,0.0005617977528089888,4,4,1,1,1,1,1,1356,0.0007374631268436578,2,2,1,0,0,0,0,8583,0.0,0,0,0,该发布真实集合无覆盖
count_distance_history,1|1|2,"范围内1至4点；距离中位数[10,20)；历史可见2次",0,0,0,0,1780,0.0,0,0,0,0,0,0,0,1356,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,三侧均无观测
count_distance_history,1|1|3,"范围内1至4点；距离中位数[10,20)；历史可见3次",0,0,0,0,1780,0.0,0,0,0,1,1,1,2,1356,0.0014749262536873156,8,8,1,2,2,2,7,8583,0.0008155656530350694,16,16,3,训练完全缺覆盖
count_distance_history,1|1|4,"范围内1至4点；距离中位数[10,20)；历史可见4次",1,1,1,32,1780,0.017977528089887642,121,121,1,1,1,1,4,1356,0.0029498525073746312,11,11,1,7,7,7,71,8583,0.008272165909355703,187,187,8,共同覆盖；比较频率
count_distance_history,1|2|0,"范围内1至4点；距离中位数[20,35)；历史可见0次",2,2,1,2,1780,0.0011235955056179776,2,2,2,2,2,1,4,1356,0.0029498525073746312,7,7,2,1,1,1,2,8583,0.0002330187580100198,2,2,1,共同覆盖；比较频率
count_distance_history,1|2|1,"范围内1至4点；距离中位数[20,35)；历史可见1次",1,1,1,1,1780,0.0005617977528089888,1,1,1,2,2,1,5,1356,0.003687315634218289,7,7,2,2,2,2,6,8583,0.0006990562740300594,11,11,2,共同覆盖；比较频率
count_distance_history,1|2|2,"范围内1至4点；距离中位数[20,35)；历史可见2次",2,2,1,2,1780,0.0011235955056179776,3,3,2,2,2,1,8,1356,0.0058997050147492625,14,14,2,3,3,3,20,8583,0.002330187580100198,30,30,4,共同覆盖；比较频率
count_distance_history,1|2|3,"范围内1至4点；距离中位数[20,35)；历史可见3次",2,2,1,5,1780,0.0028089887640449437,10,10,2,2,2,1,13,1356,0.009587020648967551,37,37,2,7,7,7,70,8583,0.008155656530350693,125,125,9,共同覆盖；比较频率
count_distance_history,1|2|4,"范围内1至4点；距离中位数[20,35)；历史可见4次",3,3,1,45,1780,0.025280898876404494,119,119,3,2,2,1,57,1356,0.0420353982300885,174,174,2,17,17,17,442,8583,0.05149714552021438,1223,1223,25,共同覆盖；比较频率
count_distance_history,1|3|0,"范围内1至4点；距离中位数[35,50]；历史可见0次",2,2,1,3,1780,0.0016853932584269663,4,4,2,2,2,1,4,1356,0.0029498525073746312,4,4,2,7,7,7,10,8583,0.001165093790050099,10,10,7,共同覆盖；比较频率
count_distance_history,1|3|1,"范围内1至4点；距离中位数[35,50]；历史可见1次",2,2,1,3,1780,0.0016853932584269663,5,5,2,2,2,1,3,1356,0.0022123893805309734,5,5,2,9,9,9,20,8583,0.002330187580100198,34,34,9,共同覆盖；比较频率
count_distance_history,1|3|2,"范围内1至4点；距离中位数[35,50]；历史可见2次",2,2,1,3,1780,0.0016853932584269663,6,6,2,2,2,1,6,1356,0.004424778761061947,9,9,2,10,10,10,38,8583,0.004427356402190376,57,56,11,共同覆盖；比较频率
count_distance_history,1|3|3,"范围内1至4点；距离中位数[35,50]；历史可见3次",2,2,1,10,1780,0.0056179775280898875,17,17,2,2,2,1,11,1356,0.008112094395280236,16,16,2,14,14,14,85,8583,0.009903297215425842,141,141,15,共同覆盖；比较频率
count_distance_history,1|3|4,"范围内1至4点；距离中位数[35,50]；历史可见4次",4,4,1,32,1780,0.017977528089887642,82,82,4,2,2,1,36,1356,0.02654867256637168,83,83,2,17,17,17,340,8583,0.03961318886170337,739,738,25,共同覆盖；比较频率
count_distance_history,2|0|0,"范围内5至19点；距离中位数[2.5,10)；历史可见0次",1,1,1,1,1780,0.0005617977528089888,6,6,1,0,0,0,0,1356,0.0,0,0,0,5,5,5,5,8583,0.0005825468950250495,48,48,5,合成验证完全缺覆盖
count_distance_history,2|0|1,"范围内5至19点；距离中位数[2.5,10)；历史可见1次",1,1,1,1,1780,0.0005617977528089888,9,9,1,0,0,0,0,1356,0.0,0,0,0,1,1,1,1,8583,0.0001165093790050099,14,14,1,合成验证完全缺覆盖
count_distance_history,2|0|2,"范围内5至19点；距离中位数[2.5,10)；历史可见2次",0,0,0,0,1780,0.0,0,0,0,0,0,0,0,1356,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,三侧均无观测
count_distance_history,2|0|3,"范围内5至19点；距离中位数[2.5,10)；历史可见3次",0,0,0,0,1780,0.0,0,0,0,0,0,0,0,1356,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,三侧均无观测
