池,因素,条件,统计范围,v1分子,v1分母,v1覆盖世界,v1比例,v2分子,v2分母,v2覆盖世界,v2比例,真实分子,真实分母,真实覆盖序列,真实比例,目标参考比例,目标下限,目标上限,v2减目标,残余状态
train,E02,00000,完整五帧窗口,20,3080,5,0.006493506493506494,822,1780,4,0.46179775280898877,4355,8583,19,0.5073983455668182,0.5073983455668182,0.45,0.55,-0.045600592757829406,目标范围内
train,E02,11111,完整五帧窗口,3011,3080,128,0.9775974025974026,778,1780,4,0.4370786516853933,2856,8583,19,0.3327507864383083,0.3327507864383083,0.28,0.38,0.10432786524708498,仍超出目标范围
train,E02,partial,完整五帧窗口,49,3080,9,0.015909090909090907,180,1780,4,0.10112359550561797,1372,8583,19,0.15985086799487358,0.15985086799487358,0.12,0.2,-0.058727272489255605,仍超出目标范围
train,E02,current_absent_history_present,完整五帧窗口,15,3080,4,0.00487012987012987,95,1780,4,0.05337078651685393,687,8583,19,0.0800419433764418,0.0800419433764418,,,-0.026671156859587868,报告实际差异；不要求精确相等
train,G01,count_bin_0|distance_bin_0,完整五帧区间的官方合格当前帧；分箱沿用固定定义,61,3004,10,0.02030625832223702,15,690,2,0.021739130434782608,56,1956,11,0.028629856850715747,0.029698364008179955,,,-0.007959233573397347,报告实际差异；不要求精确相等
train,G01,count_bin_0|distance_bin_1,完整五帧区间的官方合格当前帧；分箱沿用固定定义,60,3004,8,0.019973368841544607,116,690,2,0.1681159420289855,455,1956,18,0.23261758691206544,0.22598670756646216,,,-0.057870765537476665,报告实际差异；不要求精确相等
train,G01,count_bin_0|distance_bin_2,完整五帧区间的官方合格当前帧；分箱沿用固定定义,0,3004,0,0.0,132,690,3,0.19130434782608696,410,1956,16,0.20961145194274028,0.20413087934560328,,,-0.012826531519516321,报告实际差异；不要求精确相等
train,G01,count_bin_0|distance_bin_3,完整五帧区间的官方合格当前帧；分箱沿用固定定义,0,3004,0,0.0,62,690,2,0.08985507246376812,54,1956,4,0.027607361963190184,0.02872699386503067,,,0.061128078598737444,报告实际差异；不要求精确相等
train,G01,count_bin_1|distance_bin_0,完整五帧区间的官方合格当前帧；分箱沿用固定定义,338,3004,35,0.11251664447403462,74,690,2,0.1072463768115942,371,1956,19,0.18967280163599182,0.18518916155419224,,,-0.07794278474259804,报告实际差异；不要求精确相等
train,G01,count_bin_1|distance_bin_1,完整五帧区间的官方合格当前帧；分箱沿用固定定义,170,3004,24,0.05659121171770972,102,690,2,0.14782608695652175,303,1956,14,0.1549079754601227,0.15216257668711655,,,-0.004336489730594806,报告实际差异；不要求精确相等
