五位文本模式,可见扫描数,206训练_窗口数,206训练_总窗口,206训练_比例,206训练_覆盖世界或序列数,201合成验证_窗口数,201合成验证_总窗口,201合成验证_比例,201合成验证_覆盖世界或序列数,真实开发_窗口数,真实开发_总窗口,真实开发_比例,真实开发_覆盖世界或序列数
00000,0,822,1780,0.46179775280898877,4,665,1356,0.49041297935103245,2,4355,8583,0.5073983455668182,19
00001,1,20,1780,0.011235955056179775,4,33,1356,0.024336283185840708,2,97,8583,0.01130140976348596,19
00010,1,10,1780,0.0056179775280898875,3,25,1356,0.018436578171091445,2,69,8583,0.008039147151345682,18
00011,2,11,1780,0.006179775280898876,4,15,1356,0.011061946902654867,2,58,8583,0.006757543982290575,18
00100,1,8,1780,0.0044943820224719105,3,27,1356,0.01991150442477876,2,72,8583,0.008388675288360714,18
00101,2,3,1780,0.0016853932584269663,2,8,1356,0.0058997050147492625,2,21,8583,0.002446696959105208,12
00110,2,3,1780,0.0016853932584269663,2,8,1356,0.0058997050147492625,2,34,8583,0.003961318886170337,16
00111,3,9,1780,0.0050561797752808986,4,13,1356,0.009587020648967551,2,57,8583,0.006641034603285564,19
01000,1,10,1780,0.0056179775280898875,3,25,1356,0.018436578171091445,2,72,8583,0.008388675288360714,18
01001,2,0,1780,0.0,0,7,1356,0.005162241887905605,2,22,8583,0.002563206338110218,14
01010,2,2,1780,0.0011235955056179776,1,5,1356,0.003687315634218289,2,16,8583,0.0018641500640801585,10
01011,3,2,1780,0.0011235955056179776,1,4,1356,0.0029498525073746312,2,18,8583,0.0020971688220901784,12
01100,2,2,1780,0.0011235955056179776,2,7,1356,0.005162241887905605,2,30,8583,0.003495281370150297,15
01101,3,2,1780,0.0011235955056179776,2,3,1356,0.0022123893805309734,2,28,8583,0.0032622626121402774,14
01110,3,5,1780,0.0028089887640449437,3,9,1356,0.00663716814159292,2,27,8583,0.0031457532331352674,16
01111,4,12,1780,0.006741573033707865,4,16,1356,0.011799410029498525,2,90,8583,0.01048584411045089,19
10000,1,19,1780,0.010674157303370787,4,33,1356,0.024336283185840708,2,91,8583,0.010602353489455901,18
10001,2,1,1780,0.0005617977528089888,1,8,1356,0.0058997050147492625,2,30,8583,0.003495281370150297,14
10010,2,1,1780,0.0005617977528089888,1,10,1356,0.007374631268436578,2,24,8583,0.0027962250961202375,12
10011,3,1,1780,0.0005617977528089888,1,6,1356,0.004424778761061947,2,33,8583,0.003844809507165327,17
10100,2,2,1780,0.0011235955056179776,1,5,1356,0.003687315634218289,2,22,8583,0.002563206338110218,14
10101,3,1,1780,0.0005617977528089888,1,1,1356,0.0007374631268436578,1,13,8583,0.0015146219270651287,8
10110,3,1,1780,0.0005617977528089888,1,2,1356,0.0014749262536873156,1,24,8583,0.0027962250961202375,11
10111,4,8,1780,0.0044943820224719105,3,12,1356,0.008849557522123894,2,60,8583,0.006990562740300594,16
11000,2,10,1780,0.0056179775280898875,4,16,1356,0.011799410029498525,2,49,8583,0.005708959571245485,17
11001,3,2,1780,0.0011235955056179776,2,8,1356,0.0058997050147492625,2,35,8583,0.0040778282651753464,16
11010,3,1,1780,0.0005617977528089888,1,1,1356,0.0007374631268436578,1,19,8583,0.002213678201095188,11
11011,4,7,1780,0.003932584269662922,3,10,1356,0.007374631268436578,2,66,8583,0.007689619014330654,16
11100,3,10,1780,0.0056179775280898875,4,17,1356,0.012536873156342183,2,54,8583,0.006291506466270535,18
11101,4,6,1780,0.0033707865168539327,3,8,1356,0.0058997050147492625,2,57,8583,0.006641034603285564,17
11110,4,11,1780,0.006179775280898876,4,16,1356,0.011799410029498525,2,84,8583,0.009786787836420832,19
11111,5,778,1780,0.4370786516853933,4,333,1356,0.24557522123893805,2,2856,8583,0.3327507864383083,19
