世界,因素,统计量,范围,分组,统计单位,权重,有效数量,适用候选数量,总帧或阶段组数,有有效观测的帧或组数,有覆盖世界数,左边界,右边界,原始数量,对应权重比例,来源
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0,0.001,1775,0.9883073496659243,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.001,0.01,21,0.011692650334075724,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.01,0.1,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.1,0.25,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.25,0.5,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.5,0.75,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.75,0.9,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.9,1.000001,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,0,0.001,1775,0.9883073496659243,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,0.001,0.01,21,0.011692650334075724,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,0.01,0.1,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,0.1,0.25,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,0.25,0.5,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,0.5,0.75,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,0.75,0.9,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,0.9,1.000001,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,0,0.001,1775,0.9883073496659243,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,0.001,0.01,21,0.011692650334075724,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,0.01,0.1,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,0.1,0.25,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,0.25,0.5,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,0.5,0.75,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,0.75,0.9,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,异常点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,0.9,1.000001,0,0.0,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0,0.001,0,0.0,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.001,0.01,820,0.45657015590200445,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.01,0.1,852,0.47438752783964366,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.1,0.25,124,0.06904231625835189,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.25,0.5,0,0.0,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.5,0.75,0,0.0,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.75,0.9,0,0.0,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,0.9,1.000001,0,0.0,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,0,0.001,0,0.0,summary.json:全部:A02|ignore_fraction|all_frames|all:frame_equal
