世界,因素,统计量,范围,分组,统计单位,权重,有效数量,适用候选数量,总帧或阶段组数,有有效观测的帧或组数,有覆盖世界数,数值单位,缺失或不可靠比例,无有效值帧或组比例,最小值,最大值,均值,P5,P25,P50,P75,P95,分位数区间最大宽度,缺失说明,来源,P5下界,P5上界,P25下界,P25上界,P50下界,P50上界,P75下界,P75上界,P95下界,P95上界
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.0,0.0016239350425982962,7.426043564790391e-05,0.0,0.0,0.0,3.9510387280816126e-05,0.0005221725542940781,0.0,无缺失,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal,0.0,0.0,0.0,0.0,0.0,0.0,3.9510387280816126e-05,3.9510387280816126e-05,0.0005221725542940781,0.0005221725542940781
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.0,0.0016239350425982962,7.426043564790391e-05,0.0,0.0,0.0,3.9510387280816126e-05,0.0005221725542940781,0.0,无缺失,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal,0.0,0.0,0.0,0.0,0.0,0.0,3.9510387280816126e-05,3.9510387280816126e-05,0.0005221725542940781,0.0005221725542940781
全部,A02,异常点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.0,0.0016239350425982962,7.426043564790391e-05,0.0,0.0,0.0,3.951194841320015e-05,0.0005221725542940781,0.0,无缺失,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal,0.0,0.0,0.0,0.0,0.0,0.0,3.951194841320015e-05,3.951194841320015e-05,0.0005221725542940781,0.0005221725542940781
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.004673683872984825,0.16878251658930185,0.025198525600559765,0.005667692553659219,0.008131561861628845,0.011390194308277719,0.018005869754898072,0.11463922977618092,0.0,无缺失,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal,0.005667692553659219,0.005667692553659219,0.008131561861628845,0.008131561861628845,0.011390194308277719,0.011390194308277719,0.018005869754898072,0.018005869754898072,0.11463922977618092,0.11463922977618092
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.004673683872984825,0.16878251658930185,0.025198525600559765,0.005667692553659219,0.008131561861628845,0.011390194308277719,0.018005869754898072,0.11463922977618092,0.0,无缺失,summary.json:全部:A02|ignore_fraction|all_frames|all:frame_equal,0.005667692553659219,0.005667692553659219,0.008131561861628845,0.008131561861628845,0.011390194308277719,0.011390194308277719,0.018005869754898072,0.018005869754898072,0.11463922977618092,0.11463922977618092
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.004673683872984825,0.16878251658930185,0.025198525600559765,0.005667692553659219,0.008131561861628845,0.011390194308277719,0.018005869754898072,0.11463922977618092,0.0,无缺失,summary.json:全部:A02|ignore_fraction|all_frames|all:sequence_equal,0.005667692553659219,0.005667692553659219,0.008131561861628845,0.008131561861628845,0.011390194308277719,0.011390194308277719,0.018005869754898072,0.018005869754898072,0.11463922977618092,0.11463922977618092
全部,A02,忽略点数,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,数量,0.0,0.0,583.0,21671.0,3196.139755011136,704.0,1027.0,1386.0,2270.0,14741.0,0.0,无缺失,summary.json:全部:A02|ignore|all_frames|all:observation_equal,704.0,704.0,1027.0,1027.0,1386.0,1386.0,2270.0,2270.0,14741.0,14741.0
全部,A02,忽略点数,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,数量,0.0,0.0,583.0,21671.0,3196.139755011136,704.0,1027.0,1386.0,2270.0,14741.0,0.0,无缺失,summary.json:全部:A02|ignore|all_frames|all:frame_equal,704.0,704.0,1027.0,1027.0,1386.0,1386.0,2270.0,2270.0,14741.0,14741.0
全部,A02,忽略点数,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,数量,0.0,0.0,583.0,21671.0,3196.139755011136,704.0,1027.0,1386.0,2270.0,14741.0,0.0,无缺失,summary.json:全部:A02|ignore|all_frames|all:sequence_equal,704.0,704.0,1027.0,1027.0,1386.0,1386.0,2270.0,2270.0,14741.0,14741.0
全部,A02,正常点占回波比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.8312174834106981,0.995326278659612,0.974727213963792,0.8853607702238191,0.9819863410300544,0.9885924841632385,0.9917560030064481,0.9942389860615468,0.0,无缺失,summary.json:全部:A02|normal_fraction|all_frames|all:observation_equal,0.8853607702238191,0.8853607702238191,0.9819863410300544,0.9819863410300544,0.9885924841632385,0.9885924841632385,0.9917560030064481,0.9917560030064481,0.9942389860615468,0.9942389860615468
