anomaly,anomaly_distance_median,anomaly_fraction,anomaly_in_range,anomaly_in_range_distance_median,anomaly_intensity,first_in_visible_run,frame,ignore,ignore_fraction,ignore_intensity,instance_count,neighbor_road_fraction,normal,normal_fraction,normal_in_range,normal_intensity,segment,sequence,slots,source_frame,source_sequence,stage,state,unknown_instance_points,version,visible,visible_fraction,zero_slot_fraction,zero_slots
0,,0.0,0,,,0,0,2372,0.01925621646195436,"{""n"": 2372, ""mean"": 0.056675740774849694, ""minimum"": 0.0025714286603033543, ""maximum"": 1.593999981880188, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014571428298950195, ""0.5"": 0.02142857201397419, ""0.75"": 0.034857142716646194, ""0.95"": 0.27085715532302856}}",0,,120809,0.9807437835380456,120809,"{""n"": 120809, ""mean"": 0.2725005019502306, ""minimum"": 0.001714285695925355, ""maximum"": 1.6225714683532715, ""quantiles"": {""0.05"": 0.035999998450279236, ""0.25"": 0.10571428388357162, ""0.5"": 0.20514285564422607, ""0.75"": 0.3934285640716553, ""0.95"": 0.6991428732872009}}",0,000_00,131072,0,206,prefix,0,0,synthetic/pilot_v2_r2/train/000,123181,0.9397964477539062,0.06020355224609375,7891
0,,0.0,0,,,0,1,2345,0.01902837621818123,"{""n"": 2345, ""mean"": 0.06258592765256048, ""minimum"": 0.0028571428265422583, ""maximum"": 1.6165714263916016, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014000000432133675, ""0.5"": 0.021142857149243355, ""0.75"": 0.03514285758137703, ""0.95"": 0.3294285833835602}}",0,,120892,0.9809716237818188,120891,"{""n"": 120892, ""mean"": 0.2756353226333243, ""minimum"": 0.001714285695925355, ""maximum"": 1.6257143020629883, ""quantiles"": {""0.05"": 0.03628571331501007, ""0.25"": 0.1071428582072258, ""0.5"": 0.20628571510314941, ""0.75"": 0.3994285762310028, ""0.95"": 0.7097142934799194}}",0,000_00,131072,1,206,prefix,0,0,synthetic/pilot_v2_r2/train/000,123237,0.9402236938476562,0.05977630615234375,7835
0,,0.0,0,,,0,2,2296,0.018586277239905448,"{""n"": 2296, ""mean"": 0.05722038331167782, ""minimum"": 0.0022857142612338066, ""maximum"": 1.617714285850525, ""quantiles"": {""0.05"": 0.0071428571827709675, ""0.25"": 0.014000000432133675, ""0.5"": 0.021142857149243355, ""0.75"": 0.034285712987184525, ""0.95"": 0.2865714430809021}}",0,,121236,0.9814137227600945,121236,"{""n"": 121236, ""mean"": 0.2778172207073565, ""minimum"": 0.0020000000949949026, ""maximum"": 1.6317143440246582, ""quantiles"": {""0.05"": 0.03685714304447174, ""0.25"": 0.10685714334249496, ""0.5"": 0.20714285969734192, ""0.75"": 0.404285728931427, ""0.95"": 0.7154285907745361}}",0,000_00,131072,2,206,prefix,0,0,synthetic/pilot_v2_r2/train/000,123532,0.942474365234375,0.057525634765625,7540
0,,0.0,0,,,0,3,2193,0.017703187058025767,"{""n"": 2193, ""mean"": 0.05744277242557526, ""minimum"": 0.0028571428265422583, ""maximum"": 1.5037143230438232, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014285714365541935, ""0.5"": 0.02085714228451252, ""0.75"": 0.03285714238882065, ""0.95"": 0.3034285604953766}}",0,,121683,0.9822968129419742,121683,"{""n"": 121683, ""mean"": 0.2801405032608309, ""minimum"": 0.0020000000949949026, ""maximum"": 1.6274285316467285, ""quantiles"": {""0.05"": 0.03685714304447174, ""0.25"": 0.10771428793668747, ""0.5"": 0.2085714340209961, ""0.75"": 0.4091428518295288, ""0.95"": 0.7205714583396912}}",0,000_00,131072,3,206,prefix,0,0,synthetic/pilot_v2_r2/train/000,123876,0.945098876953125,0.054901123046875,7196
0,,0.0,0,,,0,4,2081,0.016763331722249072,"{""n"": 2081, ""mean"": 0.06182110263650063, ""minimum"": 0.0020000000949949026, ""maximum"": 1.611142873764038, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014000000432133675, ""0.5"": 0.021142857149243355, ""0.75"": 0.03342857211828232, ""0.95"": 0.3214285671710968}}",0,,122059,0.9832366682777509,122059,"{""n"": 122059, ""mean"": 0.28202336576975356, ""minimum"": 0.001714285695925355, ""maximum"": 1.6285713911056519, ""quantiles"": {""0.05"": 0.03685714304447174, ""0.25"": 0.1080000028014183, ""0.5"": 0.2094285786151886, ""0.75"": 0.4148571491241455, ""0.95"": 0.7228571176528931}}",0,000_00,131072,4,206,prefix,0,0,synthetic/pilot_v2_r2/train/000,124140,0.947113037109375,0.052886962890625,6932
0,,0.0,0,,,0,5,1958,0.01575259258067371,"{""n"": 1958, ""mean"": 0.06438873482183616, ""minimum"": 0.0022857142612338066, ""maximum"": 1.5537142753601074, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014285714365541935, ""0.5"": 0.02142857201397419, ""0.75"": 0.035428572446107864, ""0.95"": 0.3317142724990845}}",0,,122339,0.9842474074193263,122339,"{""n"": 122339, ""mean"": 0.2833272463518835, ""minimum"": 0.0020000000949949026, ""maximum"": 1.6237143278121948, ""quantiles"": {""0.05"": 0.037142857909202576, ""0.25"": 0.10828571766614914, ""0.5"": 0.21057142317295074, ""0.75"": 0.4162857234477997, ""0.95"": 0.7265714406967163}}",0,000_00,131072,5,206,prefix,0,0,synthetic/pilot_v2_r2/train/000,124297,0.9483108520507812,0.05168914794921875,6775
0,,0.0,0,,,0,6,1743,0.013997751365242532,"{""n"": 1743, ""mean"": 0.06845045485373477, ""minimum"": 0.0022857142612338066, ""maximum"": 1.6257143020629883, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014571428298950195, ""0.5"": 0.02199999988079071, ""0.75"": 0.03685714304447174, ""0.95"": 0.3814285695552826}}",0,,122777,0.9860022486347575,122777,"{""n"": 122777, ""mean"": 0.2851133844225262, ""minimum"": 0.0014285714132711291, ""maximum"": 1.6257143020629883, ""quantiles"": {""0.05"": 0.03771428391337395, ""0.25"": 0.10857142508029938, ""0.5"": 0.21285714209079742, ""0.75"": 0.41914284229278564, ""0.95"": 0.728857159614563}}",0,000_00,131072,6,206,prefix,0,0,synthetic/pilot_v2_r2/train/000,124520,0.95001220703125,0.04998779296875,6552
0,,0.0,0,,,0,7,1615,0.012965639049454079,"{""n"": 1615, ""mean"": 0.06729977881916491, ""minimum"": 0.0028571428265422583, ""maximum"": 1.6114286184310913, ""quantiles"": {""0.05"": 0.0077142855152487755, ""0.25"": 0.014285714365541935, ""0.5"": 0.02199999988079071, ""0.75"": 0.03799999877810478, ""0.95"": 0.3659999966621399}}",0,,122945,0.987034360950546,122945,"{""n"": 122945, ""mean"": 0.28584657950505704, ""minimum"": 0.0014285714132711291, ""maximum"": 1.6268571615219116, ""quantiles"": {""0.05"": 0.03828571364283562, ""0.25"": 0.10857142508029938, ""0.5"": 0.2142857164144516, ""0.75"": 0.42171427607536316, ""0.95"": 0.7291428446769714}}",0,000_00,131072,7,206,prefix,0,0,synthetic/pilot_v2_r2/train/000,124560,0.9503173828125,0.0496826171875,6512
0,,0.0,0,,,0,8,1475,0.011832278455626951,"{""n"": 1475, ""mean"": 0.08056677992045248, ""minimum"": 0.0022857142612338066, ""maximum"": 1.625428557395935, ""quantiles"": {""0.05"": 0.00828571431338787, ""0.25"": 0.01485714316368103, ""0.5"": 0.022857142612338066, ""0.75"": 0.04114285856485367, ""0.95"": 0.404285728931427}}",0,,123184,0.988167721544373,123184,"{""n"": 123184, ""mean"": 0.2868074610613704, ""minimum"": 0.0020000000949949026, ""maximum"": 1.6308571100234985, ""quantiles"": {""0.05"": 0.03857142850756645, ""0.25"": 0.10857142508029938, ""0.5"": 0.21714285016059875, ""0.75"": 0.4242857098579407, ""0.95"": 0.7277143001556396}}",0,000_00,131072,8,206,prefix,0,0,synthetic/pilot_v2_r2/train/000,124659,0.9510726928710938,0.04892730712890625,6413
0,,0.0,0,,,0,9,1400,0.011223254583497006,"{""n"": 1400, ""mean"": 0.08484163279478837, ""minimum"": 0.0028571428265422583, ""maximum"": 1.6154285669326782, ""quantiles"": {""0.05"": 0.00800000037997961, ""0.25"": 0.015428571030497551, ""0.5"": 0.022857142612338066, ""0.75"": 0.04514285549521446, ""0.95"": 0.44999998807907104}}",0,,123341,0.988776745416503,123341,"{""n"": 123341, ""mean"": 0.2872498056741611, ""minimum"": 0.0020000000949949026, ""maximum"": 1.6265714168548584, ""quantiles"": {""0.05"": 0.03857142850756645, ""0.25"": 0.1080000028014183, ""0.5"": 0.21714285016059875, ""0.75"": 0.42571428418159485, ""0.95"": 0.7251428365707397}}",0,000_00,131072,9,206,prefix,0,0,synthetic/pilot_v2_r2/train/000,124741,0.9516983032226562,0.04830169677734375,6331
