aspect,azimuth_gap,azimuth_span,elevation_span,frame,ground_height_median,ground_height_p05,ground_rmse,ground_status,ground_support,height,instance,length,linearity,planarity,points,scattering,segment,sequence,shape_status,source_frame,source_sequence,unique_points,version,width
,,,,37,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,37,206,1,synthetic/pilot_v2_r2/train/000,
,,,,38,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,38,206,1,synthetic/pilot_v2_r2/train/000,
,,,,39,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,39,206,1,synthetic/pilot_v2_r2/train/000,
,,,,44,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,44,206,1,synthetic/pilot_v2_r2/train/000,
,,,,45,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,45,206,1,synthetic/pilot_v2_r2/train/000,
,,,,47,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,47,206,1,synthetic/pilot_v2_r2/train/000,
,,,,49,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,49,206,1,synthetic/pilot_v2_r2/train/000,
,,,,128,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,128,206,1,synthetic/pilot_v2_r2/train/000,
,,,,129,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,129,206,1,synthetic/pilot_v2_r2/train/000,
,,,,130,,,,fewer_than_20_ground_returns,0,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,130,206,2,synthetic/pilot_v2_r2/train/000,
,,,,131,,,,fewer_than_20_ground_returns,0,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,131,206,2,synthetic/pilot_v2_r2/train/000,
,,,,132,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,132,206,1,synthetic/pilot_v2_r2/train/000,
,,,,133,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,133,206,1,synthetic/pilot_v2_r2/train/000,
,,,,191,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,191,206,1,synthetic/pilot_v2_r2/train/000,
,,,,198,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,198,206,1,synthetic/pilot_v2_r2/train/000,
,,,,199,,,,fewer_than_20_ground_returns,0,,60001,,,,3,,0,000_00,fewer_than_10_distinct_returns,199,206,3,synthetic/pilot_v2_r2/train/000,
,,,,200,,,,fewer_than_20_ground_returns,0,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,200,206,2,synthetic/pilot_v2_r2/train/000,
,,,,201,,,,fewer_than_20_ground_returns,0,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,201,206,2,synthetic/pilot_v2_r2/train/000,
,,,,202,,,,fewer_than_20_ground_returns,0,,60001,,,,3,,0,000_00,fewer_than_10_distinct_returns,202,206,3,synthetic/pilot_v2_r2/train/000,
,,,,203,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,203,206,1,synthetic/pilot_v2_r2/train/000,
,,,,207,,,,fewer_than_20_ground_returns,0,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,207,206,2,synthetic/pilot_v2_r2/train/000,
,,,,251,,,,fewer_than_20_ground_returns,0,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,251,206,2,synthetic/pilot_v2_r2/train/000,
,,,,253,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,253,206,1,synthetic/pilot_v2_r2/train/000,
,,,,259,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,259,206,1,synthetic/pilot_v2_r2/train/000,
,,,,278,,,,fewer_than_20_ground_returns,1,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,278,206,1,synthetic/pilot_v2_r2/train/000,
,,,,280,,,,fewer_than_20_ground_returns,2,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,280,206,2,synthetic/pilot_v2_r2/train/000,
,,,,281,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,281,206,1,synthetic/pilot_v2_r2/train/000,
,,,,282,,,,fewer_than_20_ground_returns,1,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,282,206,2,synthetic/pilot_v2_r2/train/000,
,,,,283,,,,fewer_than_20_ground_returns,1,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,283,206,1,synthetic/pilot_v2_r2/train/000,
,,,,284,,,,fewer_than_20_ground_returns,0,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,284,206,2,synthetic/pilot_v2_r2/train/000,
,,,,285,,,,fewer_than_20_ground_returns,0,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,285,206,1,synthetic/pilot_v2_r2/train/000,
,,,,287,,,,fewer_than_20_ground_returns,0,,60001,,,,5,,0,000_00,fewer_than_10_distinct_returns,287,206,5,synthetic/pilot_v2_r2/train/000,
,,,,288,,,,fewer_than_20_ground_returns,0,,60001,,,,3,,0,000_00,fewer_than_10_distinct_returns,288,206,3,synthetic/pilot_v2_r2/train/000,
,,,,289,,,,fewer_than_20_ground_returns,0,,60001,,,,4,,0,000_00,fewer_than_10_distinct_returns,289,206,4,synthetic/pilot_v2_r2/train/000,
,,,,290,,,,fewer_than_20_ground_returns,0,,60001,,,,4,,0,000_00,fewer_than_10_distinct_returns,290,206,4,synthetic/pilot_v2_r2/train/000,
,,,,291,,,,fewer_than_20_ground_returns,0,,60001,,,,9,,0,000_00,fewer_than_10_distinct_returns,291,206,9,synthetic/pilot_v2_r2/train/000,
,,,,292,,,,fewer_than_20_ground_returns,0,,60001,,,,8,,0,000_00,fewer_than_10_distinct_returns,292,206,8,synthetic/pilot_v2_r2/train/000,
