end,kind,left_censored,length,right_censored,sequence,source_end,source_start,start
36,prefix,1,37,0,000_00,36,0,0
39,visible,0,3,0,000_00,39,37,37
43,gap,0,4,0,000_00,43,40,40
45,visible,0,2,0,000_00,45,44,44
46,gap,0,1,0,000_00,46,46,46
47,visible,0,1,0,000_00,47,47,47
48,gap,0,1,0,000_00,48,48,48
49,visible,0,1,0,000_00,49,49,49
127,gap,0,78,0,000_00,127,50,50
133,visible,0,6,0,000_00,133,128,128
190,gap,0,57,0,000_00,190,134,134
191,visible,0,1,0,000_00,191,191,191
197,gap,0,6,0,000_00,197,192,192
203,visible,0,6,0,000_00,203,198,198
206,gap,0,3,0,000_00,206,204,204
207,visible,0,1,0,000_00,207,207,207
250,gap,0,43,0,000_00,250,208,208
251,visible,0,1,0,000_00,251,251,251
252,gap,0,1,0,000_00,252,252,252
253,visible,0,1,0,000_00,253,253,253
258,gap,0,5,0,000_00,258,254,254
259,visible,0,1,0,000_00,259,259,259
277,gap,0,18,0,000_00,277,260,260
278,visible,0,1,0,000_00,278,278,278
279,gap,0,1,0,000_00,279,279,279
285,visible,0,6,0,000_00,285,280,280
286,gap,0,1,0,000_00,286,286,286
297,visible,0,11,0,000_00,297,287,287
298,gap,0,1,0,000_00,298,298,298
306,visible,0,8,0,000_00,306,299,299
307,gap,0,1,0,000_00,307,307,307
380,visible,0,73,0,000_00,380,308,308
387,gap,0,7,0,000_00,387,381,381
391,visible,0,4,0,000_00,391,388,388
393,gap,0,2,0,000_00,393,392,392
448,visible,0,55,1,000_00,448,394,394
38,prefix,1,39,0,001_00,38,0,0
39,visible,0,1,0,001_00,39,39,39
44,gap,0,5,0,001_00,44,40,40
46,visible,0,2,0,001_00,46,45,45
47,gap,0,1,0,001_00,47,47,47
48,visible,0,1,0,001_00,48,48,48
161,gap,0,113,0,001_00,161,49,49
162,visible,0,1,0,001_00,162,162,162
164,gap,0,2,0,001_00,164,163,163
174,visible,0,10,0,001_00,174,165,165
175,gap,0,1,0,001_00,175,175,175
189,visible,0,14,0,001_00,189,176,176
228,gap,0,39,0,001_00,228,190,190
229,visible,0,1,0,001_00,229,229,229
297,gap,0,68,0,001_00,297,230,230
302,visible,0,5,0,001_00,302,298,298
303,gap,0,1,0,001_00,303,303,303
448,visible,0,145,1,001_00,448,304,304
36,prefix,1,37,0,002_00,36,0,0
37,visible,0,1,0,002_00,37,37,37
86,gap,0,49,0,002_00,86,38,38
87,visible,0,1,0,002_00,87,87,87
90,gap,0,3,0,002_00,90,88,88
92,visible,0,2,0,002_00,92,91,91
99,gap,0,7,0,002_00,99,93,93
100,visible,0,1,0,002_00,100,100,100
102,gap,0,2,0,002_00,102,101,101
103,visible,0,1,0,002_00,103,103,103
109,gap,0,6,0,002_00,109,104,104
122,visible,0,13,0,002_00,122,110,110
123,gap,0,1,0,002_00,123,123,123
125,visible,0,2,0,002_00,125,124,124
134,gap,0,9,0,002_00,134,126,126
137,visible,0,3,0,002_00,137,135,135
138,gap,0,1,0,002_00,138,138,138
142,visible,0,4,0,002_00,142,139,139
146,gap,0,4,0,002_00,146,143,143
149,visible,0,3,0,002_00,149,147,147
153,gap,0,4,0,002_00,153,150,150
154,visible,0,1,0,002_00,154,154,154
162,gap,0,8,0,002_00,162,155,155
165,visible,0,3,0,002_00,165,163,163
166,gap,0,1,0,002_00,166,166,166
167,visible,0,1,0,002_00,167,167,167
195,gap,0,28,0,002_00,195,168,168
196,visible,0,1,0,002_00,196,196,196
197,gap,0,1,0,002_00,197,197,197
206,visible,0,9,0,002_00,206,198,198
208,gap,0,2,0,002_00,208,207,207
210,visible,0,2,0,002_00,210,209,209
252,gap,0,42,0,002_00,252,211,211
253,visible,0,1,0,002_00,253,253,253
