侧,量,权重,有效数,候选数,有效帧,世界或序列数,P5,P25,P50,P75,P95
206训练,B02|distance|all_frames|all,有适用观测的帧等权,16682,16682,652,4,6.391411781311035,13.732535362243652,19.801347732543945,29.87271499633789,68.96031188964844
206训练,B02|distance|all_frames|all,统计单位等权,16682,16682,652,4,4.211750507354736,6.127406597137451,9.394380569458008,17.863988876342773,27.59697151184082
206训练,B02|distance|all_frames|all,世界等权,16682,16682,652,4,4.906421184539795,13.148144721984863,18.140766143798828,28.977405548095703,30.914152145385742
206训练,B02|anomaly_distance_median|all_frames|all,有适用观测的帧等权,652,1796,652,4,6.4051971435546875,13.775775909423828,19.789310455322266,29.868234634399414,68.96031188964844
206训练,B02|anomaly_distance_median|all_frames|all,统计单位等权,652,1796,652,4,6.4051971435546875,13.775775909423828,19.789310455322266,29.868234634399414,68.96031188964844
206训练,B02|anomaly_distance_median|all_frames|all,世界等权,652,1796,652,4,6.6746625900268555,14.00378131866455,23.614713668823242,29.96881866455078,64.17198944091797
206训练,C01|intensity|all_frames|anomaly,有适用观测的帧等权,16682,16682,652,4,0.02628571353852749,0.07257142663002014,0.15600000321865082,0.28285714983940125,0.526285707950592
206训练,C01|intensity|all_frames|anomaly,统计单位等权,16682,16682,652,4,0.08657142519950867,0.14971429109573364,0.25114285945892334,0.3059999942779541,0.5339999794960022
206训练,C01|intensity|all_frames|anomaly,世界等权,16682,16682,652,4,0.029428571462631226,0.06971428543329239,0.15542857348918915,0.28371429443359375,0.5434285998344421
201合成验证,B02|distance|all_frames|all,有适用观测的帧等权,10788,10788,543,2,9.10767936706543,15.464842796325684,23.685771942138672,41.640663146972656,65.62627410888672
201合成验证,B02|distance|all_frames|all,统计单位等权,10788,10788,543,2,5.433788299560547,9.885477066040039,11.394140243530273,16.631471633911133,26.49064826965332
201合成验证,B02|distance|all_frames|all,世界等权,10788,10788,543,2,5.3640360832214355,6.768235683441162,10.627464294433594,15.075393676757812,25.538921356201172
201合成验证,B02|anomaly_distance_median|all_frames|all,有适用观测的帧等权,543,1364,543,2,9.180495262145996,15.389142990112305,23.665081024169922,41.67869567871094,65.62627410888672
201合成验证,B02|anomaly_distance_median|all_frames|all,统计单位等权,543,1364,543,2,9.180495262145996,15.389142990112305,23.665081024169922,41.67869567871094,65.62627410888672
201合成验证,B02|anomaly_distance_median|all_frames|all,世界等权,543,1364,543,2,7.32316780090332,14.958296775817871,23.665081024169922,42.02442169189453,66.96662139892578
201合成验证,C01|intensity|all_frames|anomaly,有适用观测的帧等权,10788,10788,543,2,0.03142857179045677,0.0657142847776413,0.17599999904632568,0.3182857036590576,0.5354285836219788
201合成验证,C01|intensity|all_frames|anomaly,统计单位等权,10788,10788,543,2,0.11428571492433548,0.20914286375045776,0.32342857122421265,0.44771429896354675,0.5965714454650879
201合成验证,C01|intensity|all_frames|anomaly,世界等权,10788,10788,543,2,0.10771428793668747,0.18400000035762787,0.2565714418888092,0.40400001406669617,0.5757142901420593
真实开发,B02|distance|all_frames|all,有适用观测的帧等权,90739,90739,3545,19,5.676887035369873,12.397162437438965,23.78389549255371,37.44975280761719,66.55535125732422
真实开发,B02|distance|all_frames|all,统计单位等权,90739,90739,3545,19,4.417336940765381,5.517072677612305,6.760920524597168,10.624099731445312,26.641845703125
真实开发,B02|distance|all_frames|all,有适用观测的序列等权,90739,90739,3545,19,4.80463171005249,6.05283260345459,7.530088901519775,12.007882118225098,30.046222686767578
真实开发,B02|anomaly_distance_median|all_frames|all,有适用观测的帧等权,3545,8659,3545,19,5.665948867797852,12.404544830322266,23.78752899169922,37.44975280761719,66.51355743408203
真实开发,B02|anomaly_distance_median|all_frames|all,统计单位等权,3545,8659,3545,19,5.665948867797852,12.404544830322266,23.78752899169922,37.44975280761719,66.51355743408203
真实开发,B02|anomaly_distance_median|all_frames|all,有适用观测的序列等权,3545,8659,3545,19,5.87332820892334,12.397249221801758,23.705644607543945,37.90093994140625,66.83135986328125
真实开发,C01|intensity|all_frames|anomaly,有适用观测的帧等权,90739,90739,3545,19,0.017142856493592262,0.0454285703599453,0.1177142858505249,0.25371429324150085,0.5320000052452087
真实开发,C01|intensity|all_frames|anomaly,统计单位等权,90739,90739,3545,19,0.009999999776482582,0.06514285504817963,0.17171429097652435,0.32685714960098267,0.6082857251167297
真实开发,C01|intensity|all_frames|anomaly,有适用观测的序列等权,90739,90739,3545,19,0.02742857113480568,0.11914286017417908,0.2248571366071701,0.37685713171958923,0.6482856869697571
