侧,量,权重,有效数,候选数,有效帧,世界或序列数,P5,P25,P50,P75,P95
206训练,B02|distance|all_frames|all,有适用观测的帧等权,3124521,3124521,3537,128,4.11430025100708,5.964712142944336,7.732873916625977,9.81237506866455,13.60916805267334
206训练,B02|distance|all_frames|all,统计单位等权,3124521,3124521,3537,128,0.30506452918052673,1.72008216381073,4.972765922546387,6.7552056312561035,10.146834373474121
206训练,B02|distance|all_frames|all,世界等权,3124521,3124521,3537,128,3.824882745742798,5.616866588592529,7.248264312744141,9.022960662841797,12.497367858886719
206训练,B02|anomaly_distance_median|all_frames|all,有适用观测的帧等权,3537,3592,3537,128,4.144118785858154,5.909209728240967,7.70588493347168,9.750584602355957,13.613021850585938
206训练,B02|anomaly_distance_median|all_frames|all,统计单位等权,3537,3592,3537,128,4.144118785858154,5.909209728240967,7.70588493347168,9.750584602355957,13.613021850585938
206训练,B02|anomaly_distance_median|all_frames|all,世界等权,3537,3592,3537,128,4.149242877960205,5.919101238250732,7.743505954742432,9.790990829467773,13.563703536987305
206训练,C01|intensity|all_frames|anomaly,有适用观测的帧等权,3124521,3124521,3537,128,0.05919001251459122,0.14055229723453522,0.24214014410972595,0.39108768105506897,0.6520835757255554
206训练,C01|intensity|all_frames|anomaly,统计单位等权,3124521,3124521,3537,128,0.06316202133893967,0.14336900413036346,0.2186521291732788,0.3720817267894745,0.6575852632522583
206训练,C01|intensity|all_frames|anomaly,世界等权,3124521,3124521,3537,128,0.06069789081811905,0.14046336710453033,0.23612597584724426,0.3823342025279999,0.6458597183227539
201合成验证,B02|distance|all_frames|all,有适用观测的帧等权,1603621,1603621,2690,92,3.9386532306671143,6.2087273597717285,8.441243171691895,12.240777015686035,36.45231246948242
201合成验证,B02|distance|all_frames|all,统计单位等权,1603621,1603621,2690,92,0.6989758014678955,3.6877059936523438,5.226104736328125,7.395224094390869,11.845573425292969
201合成验证,B02|distance|all_frames|all,世界等权,1603621,1603621,2690,92,3.457362651824951,5.543146133422852,7.2488908767700195,9.914667129516602,20.218088150024414
201合成验证,B02|anomaly_distance_median|all_frames|all,有适用观测的帧等权,2690,2728,2690,92,3.9798412322998047,6.171650409698486,8.419862747192383,12.222902297973633,36.30055618286133
201合成验证,B02|anomaly_distance_median|all_frames|all,统计单位等权,2690,2728,2690,92,3.9798412322998047,6.171650409698486,8.419862747192383,12.222902297973633,36.30055618286133
201合成验证,B02|anomaly_distance_median|all_frames|all,世界等权,2690,2728,2690,92,3.893828868865967,6.020636081695557,8.089585304260254,11.332069396972656,21.47124671936035
201合成验证,C01|intensity|all_frames|anomaly,有适用观测的帧等权,1603621,1603621,2690,92,0.028529463335871696,0.09397678822278976,0.18680013716220856,0.32770147919654846,0.5932808518409729
201合成验证,C01|intensity|all_frames|anomaly,统计单位等权,1603621,1603621,2690,92,0.027348656207323074,0.11850856244564056,0.2020876705646515,0.33676227927207947,0.6068388819694519
201合成验证,C01|intensity|all_frames|anomaly,世界等权,1603621,1603621,2690,92,0.03382432460784912,0.10519274324178696,0.1920723021030426,0.3288375437259674,0.5933271050453186
真实开发,B02|distance|all_frames|all,有适用观测的帧等权,90739,90739,3545,19,5.676887035369873,12.397162437438965,23.78389549255371,37.44975280761719,66.55535125732422
真实开发,B02|distance|all_frames|all,统计单位等权,90739,90739,3545,19,4.417336940765381,5.517072677612305,6.760920524597168,10.624099731445312,26.641845703125
真实开发,B02|distance|all_frames|all,有适用观测的序列等权,90739,90739,3545,19,4.80463171005249,6.05283260345459,7.530088901519775,12.007882118225098,30.046222686767578
真实开发,B02|anomaly_distance_median|all_frames|all,有适用观测的帧等权,3545,8659,3545,19,5.665948867797852,12.404544830322266,23.78752899169922,37.44975280761719,66.51355743408203
真实开发,B02|anomaly_distance_median|all_frames|all,统计单位等权,3545,8659,3545,19,5.665948867797852,12.404544830322266,23.78752899169922,37.44975280761719,66.51355743408203
真实开发,B02|anomaly_distance_median|all_frames|all,有适用观测的序列等权,3545,8659,3545,19,5.87332820892334,12.397249221801758,23.705644607543945,37.90093994140625,66.83135986328125
真实开发,C01|intensity|all_frames|anomaly,有适用观测的帧等权,90739,90739,3545,19,0.017142856493592262,0.0454285703599453,0.1177142858505249,0.25371429324150085,0.5320000052452087
真实开发,C01|intensity|all_frames|anomaly,统计单位等权,90739,90739,3545,19,0.009999999776482582,0.06514285504817963,0.17171429097652435,0.32685714960098267,0.6082857251167297
真实开发,C01|intensity|all_frames|anomaly,有适用观测的序列等权,90739,90739,3545,19,0.02742857113480568,0.11914286017417908,0.2248571366071701,0.37685713171958923,0.6482856869697571
