frame,slots,returns_all,empty_slots,empty_nonzero_label,empty_nonzero_intensity,returns_2p5_50m,valid_normal,valid_anomaly,ignored_in_range,returns_below_2p5m,returns_above_50m,native_anomaly_all,normal_without_instance,normal_with_instance,coincident_xyz_extra_records,identical_xyzi_extra_records,range_all_min,range_all_p05,range_all_p25,range_all_median,range_all_p75,range_all_p95,range_all_p99,range_all_max,range_normal_min,range_normal_p05,range_normal_p25,range_normal_median,range_normal_p75,range_normal_p95,range_normal_p99,range_normal_max,intensity_all_min,intensity_all_p05,intensity_all_p25,intensity_all_median,intensity_all_p75,intensity_all_p95,intensity_all_p99,intensity_all_max,intensity_normal_min,intensity_normal_p05,intensity_normal_p25,intensity_normal_median,intensity_normal_p75,intensity_normal_p95,intensity_normal_p99,intensity_normal_max,negative_intensity,zero_intensity,empty_intensity_min,empty_intensity_max,intensity_quantization_residual_max,rays_behind_origin,ray_residual_m_min,ray_residual_m_p05,ray_residual_m_p25,ray_residual_m_median,ray_residual_m_p75,ray_residual_m_p95,ray_residual_m_p99,ray_residual_m_max,horizontal_pairs,horizontal_spacing_m_min,horizontal_spacing_m_p05,horizontal_spacing_m_p25,horizontal_spacing_m_median,horizontal_spacing_m_p75,horizontal_spacing_m_p95,horizontal_spacing_m_p99,horizontal_spacing_m_max,vertical_pairs,vertical_spacing_m_min,vertical_spacing_m_p05,vertical_spacing_m_p25,vertical_spacing_m_median,vertical_spacing_m_p75,vertical_spacing_m_p95,vertical_spacing_m_p99,vertical_spacing_m_max,reused_numeric_instance_ids,sensor_world_x_m,sensor_world_y_m,sensor_world_z_m,travel_from_previous_m
0,131072,123181,7891,0,7891,121163,120809,0,354,87,1931,0,118632,2177,0,0,1.1685383319854736,5.24159574508667,7.219854831695557,10.534062385559082,15.36945629119873,34.66494369506836,54.61016235351562,101.72309112548828,3.275106906890869,5.239500617980958,7.192593097686768,10.463932037353516,14.664780616760254,31.099311828613274,44.01631393432617,49.827369689941406,0.001714285695925355,0.030571429058909416,0.1014285683631897,0.20114286243915558,0.38828572630882263,0.6971428394317627,0.8985714316368103,1.6225714683532715,0.001714285695925355,0.035999998450279236,0.10571428388357162,0.20514285564422607,0.3934285640716553,0.6991428732872009,0.899142861366272,1.6225714683532715,0,0,0.0014285714132711291,1.5240000486373901,0.00020837783813476562,0,1.1997710343083761e-08,1.8343284287551857e-05,0.00010286646100986665,0.0002720965030439897,0.0006649671897689378,0.002519654768754627,0.005476892264513513,0.01259514053661671,119819,0.019967462867498398,0.03364385701715946,0.04825493320822716,0.07152526080608368,0.1350829303264618,2.0574578285217124,13.568899478912316,40.49518966674805,118863,0.015647634863853455,0.04332387745380402,0.06648687273263931,0.10611031949520111,0.22106407582759857,1.6712364673614484,12.522484474182145,40.47715759277344,5;6;7,0.0,0.0,0.0,
1,131072,123237,7835,0,7835,121213,120891,0,322,85,1939,0,118773,2118,0,0,1.179531455039978,5.259616184234619,7.3017258644104,10.436352729797363,15.206828117370605,34.57960815429687,54.80024154663086,98.97309112548828,3.4024229049682617,5.257306098937988,7.277029037475586,10.372377395629883,14.593951225280762,30.94758892059326,44.02002067565924,49.87469482421875,0.001714285695925355,0.030857142060995102,0.1022857129573822,0.20228570699691772,0.3945714235305786,0.7077142596244812,0.904285728931427,1.6257143020629883,0.001714285695925355,0.03628571331501007,0.1071428582072258,0.20628571510314941,0.3994285762310028,0.7097142934799194,0.9057142734527588,1.6257143020629883,0,0,0.001714285695925355,1.5828571319580078,0.0002079010009765625,0,2.6315244613136792e-08,1.825823109701295e-05,0.00010299492985163282,0.0002673345253082725,0.0006558681579422278,0.0025347926463083164,0.00553749692186115,0.012613750494923278,119862,0.020722316578030586,0.033720213919878006,0.048597101122140884,0.07115447521209717,0.13557935878634453,2.157261335849759,13.750091180801391,40.57919692993164,118905,0.017875730991363525,0.043899696320295334,0.06595253944396973,0.10589917004108429,0.2194448858499527,1.65028326511383,12.347116584777806,40.63017272949219,5;6;7,0.2667990303666191,-0.01693039448751893,0.01580511313207355,0.26780246911331645
2,131072,123532,7540,0,7540,121568,121236,0,332,87,1877,0,119112,2124,0,0,1.13156259059906,5.283486461639404,7.4093451499938965,10.364606857299805,15.098000049591064,34.485058021545406,54.74412311553955,98.61021423339844,3.5166728496551514,5.2810797691345215,7.382177233695984,10.305018424987793,14.55378532409668,30.889395713806152,44.19991340637206,49.94486618041992,0.0020000000949949026,0.031142856925725937,0.1022857129573822,0.2029999941587448,0.4000000059604645,0.7128571271896362,0.9197142720222473,1.6317143440246582,0.0020000000949949026,0.03685714304447174,0.10685714334249496,0.20714285969734192,0.404285728931427,0.7154285907745361,0.9203714460134473,1.6317143440246582,0,0,0.0014285714132711291,1.555999994277954,0.00020837783813476562,0,6.785041646589856e-08,1.777779710901219e-05,0.00010419826781796733,0.00026542355856144117,0.0006496129027231862,0.0025410154853097865,0.0054752426942106455,0.012750110840945586,120194,0.021693838760256767,0.0338921694085002,0.04894417058676481,0.0709371268749237,0.13430862501263618,2.1400404334068144,14.53097020149228,40.60720443725586,119209,0.017067067325115204,0.04475119635462761,0.0657767802476883,0.10590226948261261,0.21951083838939667,1.6817563056945772,13.1191831588745,40.650177001953125,5;6;7,0.49156804877515364,0.008816531150345995,0.03449545659439121,0.2270095697429456
3,131072,123876,7196,0,7196,121971,121683,0,288,87,1818,0,119625,2058,0,0,1.1369026899337769,5.294941186904907,7.518577337265015,10.274417877197266,14.90672755241394,34.36473751068115,54.78665065765381,99.05928039550781,3.6471107006073,5.293079376220703,7.498073101043701,10.219834327697754,14.44932746887207,30.839804077148436,44.316514053344726,49.94869613647461,0.0020000000949949026,0.03142857179045677,0.10314285755157471,0.2045714259147644,0.4048571288585663,0.7182857394218445,0.9223571568727493,1.6274285316467285,0.0020000000949949026,0.03685714304447174,0.10771428793668747,0.2085714340209961,0.4091428518295288,0.7205714583396912,0.9228571653366089,1.6274285316467285,0,0,0.0014285714132711291,1.5588570833206177,0.00020837783813476562,0,1.79864823898639e-08,1.6997403598562628e-05,0.00010314815356801083,0.0002610800868683672,0.0006376372224227303,0.0025434710945878053,0.005394981596498196,0.012860258021257936,120619,0.022395655512809753,0.03394028432667255,0.04929415136575699,0.07043242454528809,0.134692020714283,2.1444418191909755,14.913501358032201,43.5111198425293,119663,0.018973303958773613,0.045524681359529494,0.06528304517269135,0.10604041814804077,0.21772196143865585,1.7168036699295037,12.895677795410197,43.453163146972656,5;6;7,0.726882719044945,0.023855496958214116,0.055683114992398836,0.236744760037348
4,131072,124140,6932,0,6932,122340,122059,0,281,83,1717,0,120068,1991,0,0,1.1665396690368652,5.294431066513061,7.587075352668762,10.18801212310791,14.752041339874268,34.2654541015625,54.79394134521485,96.23355865478516,3.8073527812957764,5.292019319534302,7.54878830909729,10.133835792541504,14.37270450592041,30.88848781585692,44.45336959838866,49.9922981262207,0.001714285695925355,0.03171428665518761,0.10371428728103638,0.20571428537368774,0.4108571410179138,0.7211428284645081,0.9245714545249939,1.6285713911056519,0.001714285695925355,0.037114286422729646,0.1080000028014183,0.2094285786151886,0.4148571491241455,0.7228571176528931,0.9248571395874023,1.6285713911056519,0,0,0.001714285695925355,1.5554286241531372,0.00020837783813476562,0,5.010546647927011e-08,1.6780872477485006e-05,0.0001007722163615476,0.00025609327076837624,0.0006244697753619208,0.002546262269359523,0.0053545150756709094,0.012476282270012186,121021,0.023232728242874146,0.033826760947704315,0.04946436360478401,0.0700506791472435,0.13420017063617706,2.252711534500122,15.917955207824729,39.292213439941406,120043,0.019595568999648094,0.04611891359090805,0.06481868028640747,0.10539314150810242,0.21773069351911545,1.7554651737213094,13.394899883270275,40.559226989746094,5;6;7,0.9644431462100328,0.03600446942628705,0.048758740948976406,0.23797163915639657
5,131072,124297,6775,0,6775,122632,122339,0,293,85,1580,0,120385,1954,0,0,1.1715364456176758,5.304498767852783,7.550631523132324,10.09952163696289,14.580109596252441,34.001609039306636,54.66691635131835,99.994384765625,3.942570924758911,5.302829599380494,7.512516021728516,10.0512056350708,14.237733364105225,30.85585041046141,44.61621788024898,49.99580383300781,0.0020000000949949026,0.03257142752408981,0.10428571701049805,0.20714285969734192,0.41257143020629883,0.7248571515083313,0.9297142624855042,1.6237143278121948,0.0020000000949949026,0.037142857909202576,0.10828571766614914,0.21057142317295074,0.4162857234477997,0.7265714406967163,0.9301771318912493,1.6237143278121948,0,0,0.001714285695925355,1.530571460723877,0.00020837783813476562,0,2.9173263570862544e-08,1.711549132555897e-05,9.950858525532737e-05,0.00024862015129017203,0.0006132814508412354,0.002535099093143177,0.005312449847112886,0.012630271052095738,121224,0.024174608290195465,0.03386465441435575,0.049910893663764,0.06977298110723495,0.13427406921982765,2.328751087188719,16.656344928741476,40.80818557739258,120288,0.019559919834136963,0.04677040297538042,0.06441726721823215,0.10518505424261093,0.21734026074409485,1.7866119384765613,13.810943489074793,40.328147888183594,5;6;7,1.2049228469387476,0.05915633466218116,0.04673083069687634,0.24160009881302577
6,131072,124520,6552,0,6552,123038,122777,0,261,86,1396,0,120811,1966,0,0,1.1366777420043945,5.317408323287964,7.545011520385742,10.030029296875,14.433767557144165,33.50668754577634,54.480880661010744,98.77628326416016,4.145255088806152,5.3173041343688965,7.509788513183594,9.981184005737305,14.18118667602539,30.898411178588866,44.68997695922853,49.997432708740234,0.0014285714132711291,0.03371428698301315,0.10514285415410995,0.20971427857875824,0.415714293718338,0.727142870426178,0.9279999732971191,1.6257143020629883,0.0014285714132711291,0.03771428391337395,0.10857142508029938,0.21285714209079742,0.41914284229278564,0.728857159614563,0.9282857179641724,1.6257143020629883,0,0,0.001714285695925355,1.5317143201828003,0.0002079010009765625,0,3.7018595177313757e-08,1.7297105066499873e-05,9.883305106317908e-05,0.00024364786352481762,0.0006006307095035095,0.0025185701031859627,0.005219654772115729,0.012758959932068355,121764,0.025286074727773666,0.033884520269930364,0.05053522624075413,0.06945377588272095,0.13490014523267746,2.387795996665954,17.435180377960098,43.126155853271484,120801,0.01960374042391777,0.04733071103692055,0.064101941883564,0.10451683402061462,0.21667589247226715,1.832037091255188,14.545174598693848,43.369178771972656,5;6;7,1.453264235819585,0.08591082879485351,0.06278001157184698,0.2502934769312138
7,131072,124560,6512,0,6512,123209,122945,0,264,85,1266,0,121048,1897,0,0,1.0667277574539185,5.333747172355652,7.548082947731018,9.961533546447754,14.309494733810425,32.944910430908145,50.718708496094095,96.78556060791016,4.270286560058594,5.334161567687988,7.514540672302246,9.914793968200684,14.073382377624512,30.60924224853514,44.53241455078125,49.998939514160156,0.0014285714132711291,0.034285712987184525,0.10542856901884079,0.21142856776714325,0.4188571572303772,0.7274285554885864,0.916857123374939,1.6268571615219116,0.0014285714132711291,0.03828571364283562,0.10857142508029938,0.2142857164144516,0.42171427607536316,0.7290857076644864,0.9177142977714539,1.6268571615219116,0,0,0.001714285695925355,1.5477142333984375,0.00020837783813476562,0,6.608333374640314e-08,1.6641269822124725e-05,9.71651224007645e-05,0.00024174961368064388,0.0005915059450301889,0.002497174209149953,0.0051109503615035575,0.012851116086136032,121926,0.02583000622689724,0.033904097974300385,0.0513381278142333,0.06910265982151031,0.13408398255705833,2.4335464239120483,17.367069244384766,41.83919143676758,120992,0.019511757418513298,0.04795795064419508,0.06377753056585789,0.10451234132051468,0.21613923460245132,1.8272963047027582,14.57024648666377,41.85319519042969,5;6;7,1.7081154875174882,0.11557861375489767,0.07969080455733685,0.2571289810111289
8,131072,124659,6413,0,6413,123440,123184,0,256,88,1131,0,121359,1825,0,0,1.174534559249878,5.353065395355225,7.525679111480713,9.888908386230469,14.205137729644775,32.67116203308105,48.67322952270507,96.11929321289062,4.347802639007568,5.35410737991333,7.496788501739502,9.853031158447266,13.986872911453247,30.59675607681271,44.25524295806882,49.99293518066406,0.0020000000949949026,0.03514285758137703,0.10571428388357162,0.21457143127918243,0.42171427607536316,0.7265714406967163,0.907834295034408,1.6308571100234985,0.0020000000949949026,0.03857142850756645,0.10857142508029938,0.21714285016059875,0.4242857098579407,0.7277143001556396,0.9074285626411438,1.6308571100234985,0,0,0.001714285695925355,1.5434285402297974,0.0002079010009765625,0,3.629264364425243e-08,1.6061976904896533e-05,9.57095977382754e-05,0.00023869495190619557,0.0005831659520478482,0.002507173541148663,0.005015166115356819,0.01294424303553623,122159,0.02526613138616085,0.033975359797477726,0.05219610407948494,0.06885379552841187,0.13418173044919968,2.5348509550094565,17.725544929504384,41.74117660522461,121224,0.0197073332965374,0.048483639024198055,0.06365463696420193,0.10381516814231873,0.21551866829395294,1.855548971891403,14.555201425552372,42.32616424560547,5;6;7,1.9616821917624736,0.16115666165803116,0.06911450896425346,0.2578474160832264
9,131072,124741,6331,0,6331,123620,123341,0,279,88,1033,0,121566,1775,0,0,1.161761999130249,5.402923583984375,7.503012180328369,9.843838691711426,14.126197814941406,32.30337905883789,48.250611877441436,96.12179565429688,4.117543697357178,5.4044084548950195,7.479788780212402,9.811209678649902,13.831924438476562,30.456523895263672,44.05723953247072,49.95693588256836,0.0020000000949949026,0.035428572446107864,0.10514285415410995,0.21485714614391327,0.423714280128479,0.7239999771118164,0.9178857088089006,1.6265714168548584,0.0020000000949949026,0.03857142850756645,0.1080000028014183,0.21714285016059875,0.42571428418159485,0.7251428365707397,0.9177142977714539,1.6265714168548584,0,0,0.001714285695925355,1.5088571310043335,0.00020837783813476562,0,6.641497320616506e-08,1.6846485923060464e-05,9.600753565779376e-05,0.00023385714954211466,0.0005711320884184326,0.0025158750735828532,0.005007770897166552,0.012981281304225123,122328,0.02367156557738781,0.03402090258896351,0.053030832670629025,0.06873885542154312,0.13604827970266342,2.6196452379226662,18.248806896209704,41.539180755615234,121342,0.019459128379821777,0.04891780186444521,0.06341577880084515,0.1041552871465683,0.2158430702984333,1.8849845886230459,15.07525488853453,39.37813949584961,5;6,2.217444146824991,0.19576602878276356,0.0748152159873184,0.258155929644737
