semantic,category,observed_frames,returns_all,returns_2p5_50m,returns_with_instance,labeled_identities,repeated_identities,instance_frames_in_range,frames_1_to_4
0,未标注,449,1435077,429589,0,0,0,0,0
1,离群标签,449,314900,314838,0,0,0,0,0
2,异常,0,0,0,0,0,0,0,0
10,汽车,449,1486685,1486631,1486612,43,43,5953,1095
11,自行车,118,596,596,596,1,1,118,84
13,公共汽车,0,0,0,0,0,0,0,0
15,摩托车,191,4042,3988,3988,3,3,440,122
16,轨道车辆,0,0,0,0,0,0,0,0
18,卡车,374,167418,167418,167418,6,6,795,128
20,其他车辆,190,24875,24875,24875,1,1,190,2
30,行人,357,13584,13575,13575,5,5,578,142
31,骑自行车者,0,0,0,0,0,0,0,0
32,骑摩托车者,0,0,0,0,0,0,0,0
40,道路,449,9120296,9119316,0,0,0,0,0
44,停车区域,0,0,0,0,0,0,0,0
48,人行道,449,822847,822367,0,0,0,0,0
49,其他地面,446,43899,43899,0,0,0,0,0
50,建筑,449,22823302,22735334,0,0,0,0,0
51,围栏,449,3601654,3584456,0,0,0,0,0
52,其他结构,449,123926,123926,0,0,0,0,0
60,车道标线,0,0,0,0,0,0,0,0
70,植被,449,11919302,11900778,0,0,0,0,0
71,树干,449,1856054,1852577,0,0,0,0,0
72,地形,449,789212,788135,0,0,0,0,0
80,杆状物,449,307292,306583,0,0,0,0,0
81,交通标志,449,177945,177891,0,0,0,0,0
99,其他物体,449,1150850,1150850,0,0,0,0,0
252,运动汽车,0,0,0,0,0,0,0,0
253,运动骑自行车者,0,0,0,0,0,0,0,0
254,运动行人,272,11306,11306,11233,8,7,703,120
255,运动骑摩托车者,71,1705,1705,1705,1,1,71,5
256,运动轨道车辆,0,0,0,0,0,0,0,0
257,运动公共汽车,0,0,0,0,0,0,0,0
258,运动卡车,0,0,0,0,0,0,0,0
259,运动其他车辆,0,0,0,0,0,0,0,0
