structure_id,semantic,instance_id,frame,returns_all,returns_2p5_50m,range_all_m_min,range_all_m_median,range_all_m_max,range_valid_m_min,range_valid_m_median,range_valid_m_max,intensity_valid_min,intensity_valid_median,intensity_valid_max,azimuth_deg,observed_centroid_world_x_m,observed_centroid_world_y_m,observed_centroid_world_z_m,previous_observed_frame,gap_frames,nn_world_median_m,nn_world_p95_m
206:10:100,10,100,0,101,101,19.895105361938477,20.459102630615234,22.5987606048584,19.895105361938477,20.459102630615234,22.5987606048584,0.0028571428265422583,0.03342857211828232,1.4322856664657593,-177.5477017581621,-20.556457028530613,-0.8803679567524278,-1.528999925840019,,,,
206:10:100,10,100,1,107,107,20.122102737426758,20.677318572998047,22.691516876220703,20.122102737426758,20.677318572998047,22.691516876220703,0.0037142857909202576,0.03457142785191536,1.0922857522964478,-178.2639747669496,-20.444059558713523,-0.9309716389934436,-1.5159663426934047,0,1,0.09652289636791199,0.20478014341241726
206:10:100,10,100,2,121,121,20.405061721801758,20.969619750976562,23.451284408569336,20.405061721801758,20.969619750976562,23.451284408569336,0.0037142857909202576,0.02971428632736206,0.5942857265472412,-179.15842596862637,-20.593932477336683,-0.8577590320201572,-1.4749988284528397,1,1,0.08261890248243905,0.32007989683642357
206:10:100,10,100,3,95,95,20.5810604095459,21.07361602783203,23.088281631469727,20.5810604095459,21.07361602783203,23.088281631469727,0.0037142857909202576,0.035999998450279236,0.5185714364051819,-179.34232422305703,-20.379000409194827,-1.0524237170030903,-1.5641361782716505,2,1,0.08496526890447301,0.4063394942705854
206:10:100,10,100,4,89,89,20.771060943603516,21.40081214904785,23.38495445251465,20.771060943603516,21.40081214904785,23.38495445251465,0.004000000189989805,0.03457142785191536,1.5291428565979004,179.7109382483973,-20.488224031513194,-1.02576259900334,-1.5039896393218397,3,1,0.10033765088401655,0.27990247618951575
206:10:100,10,100,5,89,89,21.046062469482422,21.5388126373291,24.096708297729492,21.046062469482422,21.5388126373291,24.096708297729492,0.004571428522467613,0.034285712987184525,0.8548571467399597,178.71903010514475,-20.48334618317695,-0.9449880055695955,-1.5122503328391,4,1,0.10235035275991354,0.32218970384116485
206:10:100,10,100,6,88,88,21.29631805419922,21.801050186157227,24.01470947265625,21.29631805419922,21.801050186157227,24.01470947265625,0.0022857142612338066,0.03371428698301315,1.4459999799728394,178.3350057278744,-20.33218349401689,-1.089986739433015,-1.5444115684594466,5,1,0.09175587271541943,0.33293683491409826
206:10:100,10,100,7,91,91,21.555566787719727,21.97176170349121,23.740711212158203,21.555566787719727,21.97176170349121,23.740711212158203,0.003142857225611806,0.034285712987184525,1.3954285383224487,177.5510619544247,-20.35367752722527,-1.1117602517181926,-1.4821090890715225,6,1,0.09459582062667612,0.28893731588981925
206:10:100,10,100,8,86,86,21.8095645904541,22.224924087524414,24.266708374023438,21.8095645904541,22.224924087524414,24.266708374023438,0.0025714286603033543,0.03199999779462814,0.8202857375144958,176.52348043626466,-20.371675938522397,-1.0381772073122586,-1.5125207114144616,7,1,0.0870918301169604,0.19854014809678505
206:10:100,10,100,9,88,88,22.05056381225586,22.45953941345215,24.54170799255371,22.05056381225586,22.45953941345215,24.54170799255371,0.0037142857909202576,0.030571429058909416,1.3894286155700684,175.7717448260468,-20.26614781540043,-1.0513582432427426,-1.6016998123510768,8,1,0.11673270624998344,0.2504249815362192
206:10:100,10,100,10,79,79,22.304763793945312,22.69951629638672,24.801950454711914,22.304763793945312,22.69951629638672,24.801950454711914,0.0028571428265422583,0.03200000151991844,0.8208571672439575,175.23448967674224,-20.24609162156415,-1.1890834882009351,-1.6163441508695235,9,1,0.10478589805814878,0.3913254724645923
206:10:100,10,100,11,81,81,22.573564529418945,22.9530086517334,25.03995132446289,22.573564529418945,22.9530086517334,25.03995132446289,0.00685714278370142,0.030857142060995102,0.5751428604125977,174.0866085946637,-20.320555082047864,-1.0870532936761148,-1.539183824439932,10,1,0.09380359036260373,0.35869960395437017
206:10:100,10,100,12,88,88,22.813762664794922,23.22916030883789,25.338951110839844,22.813762664794922,23.22916030883789,25.338951110839844,0.0037142857909202576,0.028428571298718452,0.9631428718566895,173.2999051548324,-20.353854512160414,-1.0784972694726458,-1.4816892966902897,11,1,0.061711970201785905,0.3156667219109393
206:10:100,10,100,13,84,84,23.066762924194336,23.462383270263672,25.578948974609375,23.066762924194336,23.462383270263672,25.578948974609375,0.004285714123398066,0.02742857113480568,0.7602857351303101,172.58488386730235,-20.32651880636465,-1.0860346758548034,-1.46054290312721,12,1,0.0530798700641405,0.15735349437622165
206:10:100,10,100,14,76,76,23.25551414489746,23.683897018432617,25.84195327758789,23.25551414489746,23.683897018432617,25.84195327758789,0.0037142857909202576,0.029285714030265808,0.8225714564323425,172.26185304882037,-20.174356282813086,-1.2535787297525802,-1.5843701699862358,13,1,0.06353392083855192,0.46036736408485124
206:10:100,10,100,15,70,70,23.584003448486328,23.937536239624023,26.044950485229492,23.584003448486328,23.937536239624023,26.044950485229492,0.006000000052154064,0.027142856270074844,0.6991428732872009,171.37314148098173,-20.220297257497403,-1.2084402544313098,-1.5774661666365877,14,1,0.07348198153821148,0.24385386415212057
206:10:100,10,100,16,85,85,23.833005905151367,24.252281188964844,26.333951950073242,23.833005905151367,24.252281188964844,26.333951950073242,0.0028571428265422583,0.022857142612338066,1.308571457862854,170.33574595799757,-20.351504332836054,-1.1053137771590296,-1.4801224821178756,15,1,0.06200077673467212,0.35670694830934924
