structure_id,semantic,start_frame,end_frame,frames,count_min,count_max,frames_1_to_4,distance_min_m,distance_max_m
206:10:100,10,0,102,103,14,121,0,20.459102630615234,38.080101013183594
206:10:101,10,0,101,102,5,34,0,22.219058990478516,39.57758331298828
206:10:102,10,0,101,102,12,71,0,25.165929794311523,42.54879379272461
206:10:103,10,0,100,101,6,49,0,27.000558853149414,43.9767951965332
206:10:104,10,0,32,33,1,5,32,30.216554641723633,37.9114990234375
206:10:104,10,35,49,15,1,3,15,38.638389587402344,41.03464889526367
206:10:104,10,51,53,3,2,2,3,41.25764846801758,41.41364669799805
206:10:104,10,55,64,10,1,3,10,41.58115005493164,42.06674575805664
206:10:104,10,66,66,1,1,1,1,42.165992736816406,42.165992736816406
206:10:104,10,68,74,7,1,2,7,42.22813415527344,42.993370056152344
206:10:104,10,76,80,5,1,2,5,43.27074432373047,43.871498107910156
206:10:104,10,83,87,5,1,2,5,44.295745849609375,45.01979446411133
206:10:104,10,91,91,1,1,1,1,45.57779312133789,45.57779312133789
206:10:105,10,0,100,101,43,974,0,12.568197250366211,29.869888305664062
206:10:106,10,0,88,89,1,113,28,15.090204238891602,29.943889617919922
206:10:106,10,91,92,2,3,3,2,30.428123474121094,30.430395126342773
206:10:106,10,94,97,4,1,4,4,30.891895294189453,31.238393783569336
206:10:106,10,99,99,1,1,1,1,31.53212547302246,31.53212547302246
206:10:107,10,0,14,15,2,27,1,17.47769546508789,20.84014129638672
206:10:108,10,0,1,2,1,2,2,20.179765701293945,20.28302001953125
206:10:108,10,3,17,15,1,8,8,20.742862701416016,23.79545021057129
206:10:108,10,19,19,1,2,2,1,24.156227111816406,24.156227111816406
206:10:108,10,21,21,1,1,1,1,24.6579532623291,24.6579532623291
206:10:108,10,25,25,1,1,1,1,25.67595100402832,25.67595100402832
206:10:109,10,0,14,15,1,18,2,25.398954391479492,28.5098876953125
206:10:110,10,321,323,3,1,3,3,29.339885711669922,29.700653076171875
206:10:110,10,325,383,59,1,23,22,17.804771423339844,29.12615966796875
206:10:110,10,385,385,1,1,1,1,17.197574615478516,17.197574615478516
206:10:110,10,389,389,1,1,1,1,16.08633041381836,16.08633041381836
206:10:111,10,332,368,37,1,16,5,44.189552307128906,49.96430587768555
206:10:112,10,265,275,11,1,7,7,34.65843963623047,35.20894241333008
206:10:112,10,278,400,123,3,50,2,34.295082092285156,41.743499755859375
206:10:112,10,412,413,2,1,2,2,42.76164627075195,42.77154541015625
206:10:112,10,415,416,2,1,1,2,42.619747161865234,42.680747985839844
206:10:112,10,419,419,1,1,1,1,42.66874694824219,42.66874694824219
206:10:112,10,421,422,2,1,1,2,42.63374710083008,42.64474868774414
206:10:112,10,424,432,9,1,1,9,41.731746673583984,42.65874481201172
206:10:112,10,439,441,3,1,1,3,41.65374755859375,41.81574630737305
206:10:112,10,443,443,1,1,1,1,41.46875,41.46875
206:10:113,10,178,178,1,1,1,1,44.451805114746094,44.451805114746094
206:10:113,10,184,210,27,1,13,8,41.3382682800293,43.557151794433594
206:10:113,10,264,392,129,1,68,7,31.860275268554688,37.1668701171875
206:10:113,10,401,448,48,2,8,20,36.10987091064453,37.06174850463867
206:10:114,10,5,14,10,1,17,2,25.65074920654297,27.061355590820312
206:10:114,10,18,100,83,1,55,17,24.554096221923828,30.661352157592773
206:10:114,10,104,104,1,2,2,1,31.473743438720703,31.473743438720703
206:10:114,10,113,113,1,1,1,1,34.52463912963867,34.52463912963867
206:10:64,10,6,6,1,2,2,1,27.397056579589844,27.397056579589844
206:10:64,10,8,8,1,1,1,1,26.747556686401367,26.747556686401367
206:10:64,10,10,245,236,1,2546,6,6.412930488586426,30.10230255126953
206:10:65,10,26,237,212,1,2845,8,6.638487815856934,28.68705177307129
206:10:65,10,239,240,2,1,1,2,23.081174850463867,23.638437271118164
206:10:66,10,31,31,1,2,2,1,33.06215286254883,33.06215286254883
206:10:66,10,33,39,7,2,6,6,31.70193099975586,33.213993072509766
206:10:66,10,41,54,14,1,5,12,29.487178802490234,32.04350662231445
206:10:66,10,56,59,4,1,2,4,30.503925323486328,32.0350456237793
206:10:66,10,61,61,1,1,1,1,29.059803009033203,29.059803009033203
206:10:66,10,65,68,4,1,2,4,28.5808048248291,28.87405776977539
206:10:66,10,70,72,3,1,1,3,28.112802505493164,28.340803146362305
206:10:66,10,74,74,1,1,1,1,27.766803741455078,27.766803741455078
206:10:66,10,76,78,3,1,2,3,27.283206939697266,27.478803634643555
206:10:66,10,87,88,2,1,2,2,25.161561965942383,25.427560806274414
206:10:66,10,94,94,1,1,1,1,23.85831642150879,23.85831642150879
206:10:66,10,96,98,3,1,3,3,22.907615661621094,23.34331703186035
206:10:66,10,102,222,121,1,2099,10,7.137262344360352,21.834457397460938
206:10:67,10,34,53,20,1,10,13,34.17475128173828,36.63063049316406
206:10:67,10,55,57,3,2,2,3,33.98249435424805,34.054996490478516
206:10:67,10,59,62,4,1,2,4,33.68999481201172,33.848995208740234
206:10:67,10,64,64,1,2,2,1,33.59099578857422,33.59099578857422
206:10:67,10,73,73,1,1,1,1,32.551307678222656,32.551307678222656
206:10:67,10,84,84,1,1,1,1,30.81175422668457,30.81175422668457
206:10:67,10,112,229,118,1,2332,6,8.101675033569336,23.7759952545166
206:10:67,10,370,370,1,1,1,1,36.74334716796875,36.74334716796875
206:10:68,10,39,40,2,1,1,2,41.07326889038086,41.383270263671875
206:10:68,10,48,48,1,1,1,1,40.306270599365234,40.306270599365234
206:10:68,10,52,52,1,1,1,1,40.047271728515625,40.047271728515625
206:10:68,10,67,67,1,1,1,1,39.19699478149414,39.19699478149414
206:10:68,10,69,70,2,1,1,2,38.91199493408203,39.00999450683594
206:10:68,10,73,74,2,1,1,2,38.363990783691406,38.49199295043945
206:10:68,10,121,121,1,1,1,1,26.28028106689453,26.28028106689453
206:10:68,10,127,127,1,1,1,1,24.166004180908203,24.166004180908203
206:10:68,10,130,131,2,1,1,2,22.76776123046875,23.1507625579834
206:10:68,10,133,133,1,1,1,1,22.035566329956055,22.035566329956055
206:10:68,10,137,137,1,2,2,1,20.671566009521484,20.671566009521484
206:10:68,10,140,225,86,1,404,2,9.275067329406738,22.596385955810547
206:10:68,10,308,312,5,1,2,5,22.20009994506836,22.586654663085938
206:10:68,10,314,377,64,1,12,33,22.609405517578125,32.865142822265625
206:10:68,10,379,381,3,1,1,3,33.56884002685547,34.178836822509766
206:10:68,10,383,383,1,1,1,1,34.79235076904297,34.79235076904297
206:10:69,10,137,139,3,2,3,3,26.07158851623535,26.66851234436035
206:10:69,10,141,142,2,1,1,2,25.000709533691406,25.3175106048584
206:10:69,10,144,197,54,1,81,10,14.833623886108398,24.316513061523438
206:10:69,10,277,381,105,1,326,2,12.176470756530762,30.341350555419922
206:10:70,10,264,371,108,1,1246,2,9.237680435180664,22.92417335510254
206:10:70,10,373,377,5,1,3,5,23.428306579589844,24.513437271118164
206:10:70,10,382,414,33,1,4,33,22.619403839111328,29.338842391967773
206:10:70,10,416,437,22,1,3,22,29.257091522216797,29.326091766357422
206:10:70,10,440,443,4,1,1,4,29.06584358215332,29.15584373474121
206:10:70,10,445,448,4,1,1,4,28.78684425354004,28.993844985961914
206:10:71,10,259,448,190,1,628,56,9.039738655090332,25.258848190307617
206:10:72,10,251,448,198,10,2036,0,8.461223602294922,20.802444458007812
206:10:73,10,249,448,200,2,1276,2,8.026145935058594,23.947282791137695
206:10:75,10,122,122,1,1,1,1,49.07487487792969,49.07487487792969
206:10:75,10,139,139,1,1,1,1,43.36115264892578,43.36115264892578
206:10:75,10,141,141,1,1,1,1,42.664371490478516,42.664371490478516
206:10:75,10,143,143,1,1,1,1,42.426300048828125,42.426300048828125
206:10:75,10,151,157,7,1,3,7,37.97137451171875,39.58662414550781
206:10:75,10,159,170,12,1,4,12,34.788902282714844,37.24888229370117
206:10:75,10,172,172,1,2,2,1,34.37708282470703,34.37708282470703
206:10:75,10,174,185,12,1,6,9,32.71894073486328,34.08843994140625
206:10:75,10,187,187,1,1,1,1,32.70094680786133,32.70094680786133
206:10:75,10,260,448,189,2,417,1,15.445773124694824,25.315357208251953
206:10:76,10,100,101,2,1,1,2,48.8426399230957,49.15664291381836
206:10:76,10,103,104,2,1,4,2,49.81356430053711,49.87406921386719
206:10:76,10,110,112,3,1,2,3,47.313804626464844,48.18756866455078
206:10:76,10,121,121,1,1,1,1,44.28081130981445,44.28081130981445
206:10:76,10,123,125,3,1,3,3,42.736568450927734,44.2679443359375
206:10:76,10,127,201,75,1,34,11,25.822477340698242,43.02880859375
206:10:76,10,263,448,186,1,485,4,15.896865844726562,29.28680419921875
206:10:77,10,69,69,1,1,1,1,49.72969436645508,49.72969436645508
206:10:77,10,71,75,5,1,1,5,48.873695373535156,49.43769454956055
206:10:77,10,78,78,1,1,1,1,48.41449737548828,48.41449737548828
206:10:77,10,81,81,1,1,1,1,47.79669189453125,47.79669189453125
206:10:77,10,84,84,1,1,1,1,47.18393325805664,47.18393325805664
206:10:77,10,86,88,3,1,1,3,46.30563735961914,46.78821563720703
206:10:77,10,90,90,1,1,1,1,45.883872985839844,45.883872985839844
206:10:77,10,92,92,1,1,1,1,45.4628791809082,45.4628791809082
206:10:77,10,100,100,1,1,1,1,43.523216247558594,43.523216247558594
206:10:77,10,103,103,1,1,1,1,42.64243698120117,42.64243698120117
206:10:77,10,110,110,1,1,1,1,40.63764572143555,40.63764572143555
206:10:77,10,113,113,1,3,3,1,40.25857162475586,40.25857162475586
206:10:77,10,115,120,6,1,2,6,37.52988052368164,39.731571197509766
206:10:77,10,126,132,7,1,5,6,33.6296501159668,35.43143844604492
206:10:77,10,137,211,75,1,106,5,20.230567932128906,31.890884399414062
206:10:77,10,267,392,126,1,332,5,16.38705825805664,34.059349060058594
206:10:77,10,395,395,1,1,1,1,33.42404556274414,33.42404556274414
206:10:77,10,416,419,4,1,1,4,36.09504699707031,36.131046295166016
206:10:77,10,422,433,12,1,1,12,36.09404373168945,36.131046295166016
206:10:78,10,0,244,245,1,3546,12,6.433807849884033,35.76008605957031
206:10:78,10,246,248,3,1,1,3,36.52783966064453,37.169090270996094
206:10:78,10,250,250,1,1,1,1,37.86808776855469,37.86808776855469
206:10:79,10,0,146,147,1,1090,4,9.085394859313965,24.659181594848633
206:10:79,10,148,148,1,2,2,1,25.338895797729492,25.338895797729492
206:10:79,10,150,152,3,1,1,3,25.941131591796875,26.732892990112305
206:10:79,10,154,155,2,2,2,2,27.215396881103516,27.568397521972656
206:10:79,10,157,158,2,1,1,2,28.156129837036133,28.473129272460938
206:10:79,10,162,162,1,1,1,1,29.650129318237305,29.650129318237305
206:10:79,10,164,165,2,1,1,2,30.206127166748047,30.42539405822754
206:10:79,10,167,168,2,1,2,2,30.963647842407227,31.167644500732422
206:10:79,10,172,172,1,2,2,1,32.049644470214844,32.049644470214844
206:10:79,10,178,181,4,1,2,4,33.310123443603516,33.878395080566406
206:10:79,10,183,184,2,1,1,2,34.318641662597656,34.47464370727539
206:10:79,10,187,188,2,1,2,2,34.92138671875,35.1133918762207
206:10:79,10,191,194,4,1,2,4,35.40962219238281,35.927642822265625
206:10:79,10,197,197,1,2,2,1,36.40013885498047,36.40013885498047
206:10:79,10,199,204,6,2,3,6,36.6303825378418,37.42664337158203
206:10:79,10,206,206,1,2,2,1,37.75183868408203,37.75183868408203
206:10:79,10,208,213,6,1,3,6,37.94608688354492,39.01508712768555
206:10:79,10,215,216,2,1,3,2,39.38334274291992,39.60934829711914
206:10:79,10,218,226,9,1,3,9,40.108604431152344,42.28334426879883
206:10:79,10,229,238,10,1,2,10,43.28559875488281,46.25859832763672
206:10:79,10,240,243,4,1,1,4,46.95879364013672,48.140602111816406
206:10:79,10,246,247,2,1,2,2,49.16834259033203,49.558074951171875
