structure_id,semantic,category,instance_id,moving_label,observed_frames_all,observed_frames_in_range,first_frame_all,last_frame_all,first_frame_in_range,last_frame_in_range,unobserved_frames_inside_span,maximum_gap_frames,returns_all,returns_2p5_50m,frames_1_to_4,spearman_count_distance,count_min,count_median,count_p95,count_max,distance_min,distance_median,distance_p95,distance_max,adjacent_nn_median_min,adjacent_nn_median_median,adjacent_nn_median_p95,adjacent_nn_median_max,adjacent_nn_p95_min,adjacent_nn_p95_median,adjacent_nn_p95_p95,adjacent_nn_p95_max,world_x_min_m,world_x_max_m,world_y_min_m,world_y_max_m,world_z_min_m,world_z_max_m,temporal_thirds_nn_median_max_m,temporal_thirds_nn_p95_max_m,contiguous_visible_segments,longest_contiguous_visible_frames
206:10:100,10,汽车,100,False,103,103,0,102,0,102,0,1,4763,4763,0,-0.980540314411287,14.0,38.0,89.0,121.0,20.459102630615234,31.330801010131836,36.98074836730957,38.080101013183594,0.026531919491117585,0.0912907621038182,0.14128306069531685,0.17188067235110915,0.15735349437622165,0.2864540094439296,0.7479859442101169,1.1418321960785702,-22.93053091050769,-19.624718435737545,-2.603692385825676,0.9890337729621654,-2.1469413692495922,-0.7728031892770749,0.09300473851526345,0.38465681894334736,1,103
206:10:101,10,汽车,101,False,102,102,0,101,0,101,0,1,1380,1380,0,-0.836612168587326,5.0,12.0,25.0,34.0,22.219058990478516,33.18617248535156,38.65950450897216,39.57758331298828,0.039184571653125985,0.11206175492740937,0.19297248573094594,0.24119795334605898,0.13639961931742905,0.25704933047653844,1.2375310062496614,1.5284218049660654,-23.813142699392635,-21.501178863817692,-3.9906560753024327,-1.0624234149671157,-2.1379214113362077,-0.9111000085644424,0.0839568731995187,0.29015533009406347,1,102
206:10:102,10,汽车,102,False,102,102,0,101,0,101,0,1,3714,3714,0,-0.9505666176666454,12.0,32.0,64.0,71.0,25.165929794311523,36.14965057373047,41.40307254791259,42.54879379272461,0.043431032564476585,0.10956739810921909,0.17356260083997332,0.22674120052729602,0.16913170276681733,0.33720012075473665,1.0883710817766108,1.340286870838953,-26.501264526945484,-23.965805856575365,-5.580375736650817,-1.9670414924621582,-2.1178458910138462,-0.7616986097284499,0.07388904921303019,0.3467390544652072,1,102
206:10:103,10,汽车,103,False,101,101,0,100,0,100,0,1,2596,2596,0,-0.966297843242194,6.0,24.0,46.0,49.0,27.000558853149414,38.008995056152344,43.197540283203125,43.9767951965332,0.027924616409005672,0.11701988443775077,0.18707794640329095,0.24460869303883093,0.12716197119003075,0.4012166903885658,1.1652834253667985,1.3385138340632925,-28.255673282998597,-25.675432121403272,-7.264330299394575,-3.825773449061973,-2.153665663499158,-0.8097196480934401,0.08398317342010747,0.3589950922370717,1,101
206:10:104,10,汽车,104,False,80,80,0,91,0,91,12,4,162,162,79,-0.5223507733569963,1.0,2.0,3.0,5.0,30.216554641723633,40.07681083679199,44.4607479095459,45.57779312133789,0.01763993583737275,0.1498251503506977,0.3508176910683566,0.7259625381231272,0.022852693088318755,0.2300146179491732,0.724174232026152,1.1382221007869964,-29.317540715185423,-27.875094597699885,-8.076044319594384,-6.97642281777551,-2.1323958481974463,-1.432309288493455,0.19021234593347855,0.3664988011018424,9,33
206:10:105,10,汽车,105,False,101,101,0,100,0,100,0,1,35182,35182,0,-0.9989923997363357,43.0,270.0,841.0,974.0,12.568197250366211,23.446727752685547,28.574356079101562,29.869888305664062,0.02065747159965398,0.061662768160810594,0.1011283545412483,0.2540414781362708,0.09837716890891389,0.1609205061110601,0.2654669878774691,1.294927602617148,-13.983631209369392,-9.880684167178249,-7.96905034656704,-3.6400284746227425,-2.182573306170028,-0.08055242665716422,0.05112919768826511,0.21932319214396692,1,101
206:10:106,10,汽车,106,False,96,96,0,99,0,99,4,3,3080,3080,35,-0.9574322823225648,1.0,7.0,103.0,113.0,15.090204238891602,25.74638557434082,30.545770168304443,31.53212547302246,0.0162062378333774,0.07947105918045877,0.20587491274672678,2.2621031901222164,0.03318004579434072,0.23339854574078903,2.0691889076080527,2.7130957899967223,-13.98614348158327,-11.941391673799565,-9.586726101624015,-6.013409562351251,-2.2248521137874717,-0.449481232313284,0.7845152167791111,1.8861221973106714,4,89
206:10:107,10,汽车,107,False,15,15,0,14,0,14,0,1,303,303,1,-0.2628349067935872,2.0,24.0,27.0,27.0,17.47769546508789,18.892366409301758,20.392579650878904,20.84014129638672,0.06091912663657616,0.07896856232994874,0.15916130500692757,0.24481970392592733,0.17190470062822868,0.24138196283569402,0.5961363488593303,0.6864766067698393,-14.960119158413148,-13.667480658712162,-11.361065441187481,-10.321836085966032,-1.9266656621756515,-0.9962083542453262,0.04925067287484853,0.21477507303624738,1,15
206:10:108,10,汽车,108,False,20,20,0,25,0,25,6,4,68,68,13,-0.14440361057118836,1.0,3.0,6.100000000000001,8.0,20.179765701293945,22.123092651367188,24.708853149414065,25.67595100402832,0.07602390501080436,0.1732343646909079,0.3900759655694255,0.4131421862522642,0.0961817945015644,0.383298995455974,0.4804189841170123,0.5134900644953743,-16.798180365889056,-15.876121281105403,-12.077330120341484,-11.00648648377304,-1.2229395519132413,-0.7007246898736993,0.22839463378946923,0.6329001797690207,5,15
206:10:109,10,汽车,109,False,15,15,0,14,0,14,0,1,176,176,2,-0.7989343889289694,1.0,14.0,18.0,18.0,25.398954391479492,26.849445343017578,28.381788635253905,28.5098876953125,0.021461074907656592,0.12521695053365148,0.1948458221710808,0.22701609393135014,0.20345591933667864,0.5500754032852586,0.9538427337708707,1.0033450581396284,-21.565986433496416,-19.890405496083492,-16.02662317311567,-14.43270088548002,-0.9076485653391935,-0.4251795627623364,0.2054212233297918,0.6146249454206001,1,15
