geometry,stu_worlds,scenes,logs,placements,observed_scenes,observed_logs,observed_placements
059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d,1,11,11,11,11,11,11
05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0,1,11,11,11,11,11,11
064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36,1,11,11,11,11,11,11
080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8,1,11,11,11,11,11,11
081ff043a2035fb5ded0f6e9765a6a3363a21545b57732e0581d622cc62a10d0,1,11,11,11,11,11,11
090b91c126b18fc99f1fe66f76972a074c588af6d782c17e64b3f85aa35c06a8,1,11,11,11,11,11,11
090e0764c981dae7b85b16f05747982ab14aacc570e39ff3f4d1d18f4d7a902a,1,11,11,11,11,11,11
092dc2b259cc69794ef9729e7fa7a78ddc83526a763f20727c5ce929ca774db5,1,11,11,11,11,11,11
0bc52d085baa0c169dac0ea888dd01d2259c18061e9b3e110f1d52961b6f4be1,1,11,11,11,11,11,11
0bd3549c2b4db2003f7e81ec631de29de81512770413584bbbf6414199030eb8,1,11,11,11,11,11,11
0c0a05bdc65d080330e4de6df9371d2060bd466cca6a77c02a472a000bfb3448,1,11,11,11,11,11,11
0c2fec8217e3ce4fea73607e1d9c64229b14851501d4f613cd6f8b749b83a883,1,10,10,10,10,10,10
0c613a577e862597283902a5d2aa60e79b2fc10b62af25c630950074b417c3f4,1,11,11,11,11,11,11
0e7150e1d79fabec0e14323535ff9568761cb2a2fac589bac7ce06b7c22061e8,1,10,10,10,10,10,10
0eaeae9bdb7d34f9963db38db22fef60a2d7afe1f181be8db568fdf8cdda34c9,1,11,11,11,11,11,11
0f10474bf871c578ae4efb05b61f032a6835b32f2b52ae27ab6370256d1838cc,1,11,11,11,11,11,11
1015cc7872daba0324f196746ec6cddb01aff115fff8a79e03b385724119f645,1,11,11,11,11,11,11
103063979f8cc1c65ddef4b7fa5a5889c701185b34813c772717a1ee4a2b3f25,1,11,11,11,11,11,11
1185112fe096a33bd4c2391db01c5b9942a174112d2ff06beb83a9342912df01,1,11,11,11,11,11,11
12ef1568e2f27d0d4735c1f597582670a7efb7694d1aa4046bbf7ae8bb138457,1,0,0,0,0,0,0
132b7dadcec52bc7185e4a790bb2a9ef0b40d9bb2e5ac9181fede7c946b36f06,1,11,11,11,11,11,11
146fd2b45eac564d8b6baaf8962004e9f197f6d0d3b089b0df219315da9ed8bf,1,11,11,11,11,11,11
147c691d3a708db90634ca4a2788099e0153294408400a0b39050bf59a6a0fdd,1,11,11,11,11,11,11
169793388bea0ee35b8d86fc0d1f06d38a7642655bd1b51ba8a644c55c8e3e5d,1,11,11,11,11,11,11
17e04b8c68dc3ec9d5da7de90fc34fd9b76678723acd018eebd745c037baacd1,1,10,10,10,10,10,10
18c11ef1dab41f2bc98c29b4277a05b78f9d59ace1d64d20c65e2b17d8d7c014,1,11,11,11,11,11,11
19d955a1cd6c7abc47370676b0f541968aadc93e019c9b5a80b20cedb8f78c65,1,11,11,11,11,11,11
1a8f55a29e1ed2d307e5a322ec75bf13f6264e4783de9448f5d85508ce2abc48,1,11,11,11,11,11,11
1e67fa8d94915880b209ffecd504dccb2a82395b33c56b964faa52ddc3f966f7,1,11,11,11,11,11,11
23b928143f5bfc8fcc0af70ba22149db83b391be11eb78d972de73f351e5a588,1,11,11,11,11,11,11
25562537cf779ebaebecb30f9715d4ea3e06e6bab0c1d6e04a1eda063393fb16,1,11,11,11,11,11,11
272678896b3bfbbf20a3bc48d7803c10f2d2954834780ffa74413f264f937cfd,1,11,11,11,11,11,11
276291fefd36abe659afec3f1d01b1de368cba55bf21f4a0268b99f19cdab455,1,11,11,11,11,11,11
