scene,log_token,object_id,geometry,anchor_index,views,views_1_to_4_points,points,view_angle_span_deg,return_range_min_m,return_range_max_m,frames,counts,return_ranges_m
scene-0001,6b6513e6c8384cec88775cae30b78c0e,1,059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d,1,1,0,22,0.0,6.349980354309082,6.349980354309082,6,22,6.349980354309082
scene-0001,6b6513e6c8384cec88775cae30b78c0e,2,05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0,3,1,0,146,0.0,5.014371871948242,5.014371871948242,12,146,5.014371871948242
scene-0001,6b6513e6c8384cec88775cae30b78c0e,3,064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36,5,1,0,78,0.0,6.606527328491211,6.606527328491211,32,78,6.606527328491211
scene-0001,6b6513e6c8384cec88775cae30b78c0e,4,080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8,7,1,0,70,0.0,6.331849098205566,6.331849098205566,37,70,6.331849098205566
scene-0002,6b6513e6c8384cec88775cae30b78c0e,1,081ff043a2035fb5ded0f6e9765a6a3363a21545b57732e0581d622cc62a10d0,1,1,0,10,0.0,4.951759338378906,4.951759338378906,45,10,4.951759338378906
scene-0002,6b6513e6c8384cec88775cae30b78c0e,2,090b91c126b18fc99f1fe66f76972a074c588af6d782c17e64b3f85aa35c06a8,3,2,0,229,32.233846502289246,4.713521480560303,29.67340660095215,45;57,7;222,29.67340660095215;4.713521480560303
scene-0002,6b6513e6c8384cec88775cae30b78c0e,3,090e0764c981dae7b85b16f05747982ab14aacc570e39ff3f4d1d18f4d7a902a,5,2,0,78,62.26812526612509,5.092984199523926,37.52111053466797,75;76,70;8,5.092984199523926;37.52111053466797
scene-0002,6b6513e6c8384cec88775cae30b78c0e,4,092dc2b259cc69794ef9729e7fa7a78ddc83526a763f20727c5ce929ca774db5,7,1,0,197,0.0,5.151665687561035,5.151665687561035,76,197,5.151665687561035
scene-0004,47620afea3c443f6a761e885273cb531,1,0bc52d085baa0c169dac0ea888dd01d2259c18061e9b3e110f1d52961b6f4be1,1,1,0,129,0.0,5.405215263366699,5.405215263366699,87,129,5.405215263366699
scene-0004,47620afea3c443f6a761e885273cb531,2,0bd3549c2b4db2003f7e81ec631de29de81512770413584bbbf6414199030eb8,3,2,1,44,73.40888251193869,5.764923095703125,48.890480041503906,97;113,43;1,5.764923095703125;48.890480041503906
scene-0004,47620afea3c443f6a761e885273cb531,3,0c0a05bdc65d080330e4de6df9371d2060bd466cca6a77c02a472a000bfb3448,5,2,0,134,135.81259828057424,4.989656448364258,44.649513244628906,113;115,129;5,4.989656448364258;44.649513244628906
scene-0004,47620afea3c443f6a761e885273cb531,4,0c2fec8217e3ce4fea73607e1d9c64229b14851501d4f613cd6f8b749b83a883,7,1,0,65,0.0,4.833491802215576,4.833491802215576,115,65,4.833491802215576
scene-0005,47620afea3c443f6a761e885273cb531,1,0c613a577e862597283902a5d2aa60e79b2fc10b62af25c630950074b417c3f4,1,1,0,16,0.0,5.111244201660156,5.111244201660156,126,16,5.111244201660156
scene-0005,47620afea3c443f6a761e885273cb531,2,0e7150e1d79fabec0e14323535ff9568761cb2a2fac589bac7ce06b7c22061e8,3,2,1,38,158.9165271587387,5.773184299468994,35.22511291503906,132;157,35;3,5.773184299468994;35.22511291503906
scene-0005,47620afea3c443f6a761e885273cb531,3,0eaeae9bdb7d34f9963db38db22fef60a2d7afe1f181be8db568fdf8cdda34c9,5,2,0,150,148.4750326042796,5.820346355438232,6.27003288269043,150;157,85;65,5.820346355438232;6.27003288269043
scene-0005,47620afea3c443f6a761e885273cb531,4,0f10474bf871c578ae4efb05b61f032a6835b32f2b52ae27ab6370256d1838cc,7,2,0,176,72.26822094970994,4.280688285827637,12.208690643310547,150;157,8;168,12.208690643310547;4.280688285827637
scene-0006,47620afea3c443f6a761e885273cb531,1,1015cc7872daba0324f196746ec6cddb01aff115fff8a79e03b385724119f645,1,1,0,88,0.0,6.076413154602051,6.076413154602051,162,88,6.076413154602051
scene-0006,47620afea3c443f6a761e885273cb531,2,103063979f8cc1c65ddef4b7fa5a5889c701185b34813c772717a1ee4a2b3f25,3,2,1,62,14.440800259241994,6.3236589431762695,37.139381408691406,162;177,3;59,37.139381408691406;6.3236589431762695
scene-0006,47620afea3c443f6a761e885273cb531,3,1185112fe096a33bd4c2391db01c5b9942a174112d2ff06beb83a9342912df01,5,3,1,51,106.9222043127422,4.942698001861572,26.642009735107422,177;189;194,4;38;9,26.642009735107422;4.942698001861572;17.875770568847656
scene-0006,47620afea3c443f6a761e885273cb531,4,132b7dadcec52bc7185e4a790bb2a9ef0b40d9bb2e5ac9181fede7c946b36f06,7,2,0,76,34.07258127074207,5.149971008300781,40.137847900390625,177;194,6;70,40.137847900390625;5.149971008300781
scene-0007,47620afea3c443f6a761e885273cb531,1,146fd2b45eac564d8b6baaf8962004e9f197f6d0d3b089b0df219315da9ed8bf,1,2,1,260,98.8935901242939,4.329600811004639,31.70958137512207,203;215,257;3,4.329600811004639;31.70958137512207
scene-0007,47620afea3c443f6a761e885273cb531,2,147c691d3a708db90634ca4a2788099e0153294408400a0b39050bf59a6a0fdd,3,2,0,59,49.30380272489377,4.679485321044922,17.063528060913086,215;222,52;7,4.679485321044922;17.063528060913086
scene-0007,47620afea3c443f6a761e885273cb531,3,169793388bea0ee35b8d86fc0d1f06d38a7642655bd1b51ba8a644c55c8e3e5d,5,2,1,14,126.83173666291239,5.431092739105225,31.973716735839844,222;237,10;4,5.431092739105225;31.973716735839844
scene-0007,47620afea3c443f6a761e885273cb531,4,17e04b8c68dc3ec9d5da7de90fc34fd9b76678723acd018eebd745c037baacd1,7,2,0,414,88.01681650365846,3.758186101913452,35.36642837524414,222;237,7;407,35.36642837524414;3.758186101913452
scene-0008,47620afea3c443f6a761e885273cb531,1,18c11ef1dab41f2bc98c29b4277a05b78f9d59ace1d64d20c65e2b17d8d7c014,1,1,0,84,0.0,5.021483421325684,5.021483421325684,243,84,5.021483421325684
scene-0008,47620afea3c443f6a761e885273cb531,2,19d955a1cd6c7abc47370676b0f541968aadc93e019c9b5a80b20cedb8f78c65,3,2,0,112,16.277952127749238,6.023725509643555,27.746326446533203,255;260,104;8,6.023725509643555;27.746326446533203
scene-0008,47620afea3c443f6a761e885273cb531,3,1a8f55a29e1ed2d307e5a322ec75bf13f6264e4783de9448f5d85508ce2abc48,5,1,0,97,0.0,4.7130446434021,4.7130446434021,260,97,4.7130446434021
scene-0008,47620afea3c443f6a761e885273cb531,4,1e67fa8d94915880b209ffecd504dccb2a82395b33c56b964faa52ddc3f966f7,7,2,0,97,26.291496779574576,5.1595458984375,27.17333984375,260;275,7;90,27.17333984375;5.1595458984375
scene-0009,47620afea3c443f6a761e885273cb531,1,23b928143f5bfc8fcc0af70ba22149db83b391be11eb78d972de73f351e5a588,1,1,0,59,0.0,5.5191426277160645,5.5191426277160645,279,59,5.5191426277160645
scene-0009,47620afea3c443f6a761e885273cb531,2,25562537cf779ebaebecb30f9715d4ea3e06e6bab0c1d6e04a1eda063393fb16,3,1,0,31,0.0,5.138280391693115,5.138280391693115,294,31,5.138280391693115
scene-0009,47620afea3c443f6a761e885273cb531,3,272678896b3bfbbf20a3bc48d7803c10f2d2954834780ffa74413f264f937cfd,5,1,0,87,0.0,5.852299690246582,5.852299690246582,307,87,5.852299690246582
scene-0009,47620afea3c443f6a761e885273cb531,4,276291fefd36abe659afec3f1d01b1de368cba55bf21f4a0268b99f19cdab455,7,1,0,40,0.0,4.8262224197387695,4.8262224197387695,317,40,4.8262224197387695
scene-0010,47620afea3c443f6a761e885273cb531,1,278e089fd5bd30105908de7162d01c5e0854cc99e910085192cdb0a4fad2f2cc,1,1,0,82,0.0,5.383024215698242,5.383024215698242,324,82,5.383024215698242
scene-0010,47620afea3c443f6a761e885273cb531,2,28b802b75b4825dd0f426fccf328422971621bd1632409eae14a3fec4337d465,3,2,1,238,164.43431302780036,5.105091571807861,49.3985710144043,327;349,235;3,5.105091571807861;49.3985710144043
scene-0010,47620afea3c443f6a761e885273cb531,3,28dbfd073ccb1436ab6e89e588b642cc26f233b9398e04f0db1b8b81446ed97c,5,2,1,195,165.70337681542284,5.710432052612305,44.38712692260742,349;352,192;3,5.710432052612305;44.38712692260742
scene-0010,47620afea3c443f6a761e885273cb531,4,2b02d8167cd0ceb39496ec47ead09d7d2a9da657b18e98bef1517a5b8f70f890,7,2,1,26,129.28874518169553,7.30893611907959,45.6358528137207,349;352,2;24,45.6358528137207;7.30893611907959
scene-0011,47620afea3c443f6a761e885273cb531,1,2b2a844538c9c1675d14c23001768b5f0db1a99a1dac77aafc71b3b36eee196d,1,1,0,59,0.0,5.738157749176025,5.738157749176025,367,59,5.738157749176025
scene-0011,47620afea3c443f6a761e885273cb531,2,2fb06a42235132fdeda43f92a336b94934bf17f0c60f2ae07a207ed1481961d7,3,3,0,127,156.04017056193027,6.19465970993042,34.118953704833984,367;376;382,10;111;6,17.02716827392578;6.19465970993042;34.118953704833984
scene-0011,47620afea3c443f6a761e885273cb531,3,313936408844bd2332c6052751680712a51ab1c41907f12ae63a051f60dcd5d8,5,2,0,61,118.72906976749779,5.616124629974365,23.11944580078125,382;396,55;6,5.616124629974365;23.11944580078125
scene-0011,47620afea3c443f6a761e885273cb531,4,330e88ef1bf702123623ec0723a312f58e77118b74ae2e1ea7e791af1f796132,7,2,0,189,52.61897796649768,4.092648506164551,28.858047485351562,382;396,6;183,28.858047485351562;4.092648506164551
scene-0019,bc41a49366734ebf978d6a71981537dc,1,331e2219b00b04da2ed32f897694467429faf390bceae69f3dbe9700416834b6,1,1,0,68,0.0,5.98286771774292,5.98286771774292,407,68,5.98286771774292
scene-0019,bc41a49366734ebf978d6a71981537dc,2,3640e0643ea1e65123c57ca7d0c82dfb5bfd16c041998ad548368087fbc55da2,3,3,1,74,136.98624431573353,7.155649662017822,24.874584197998047,407;417;429,5;65;4,15.852615356445312;7.155649662017822;24.874584197998047
scene-0019,bc41a49366734ebf978d6a71981537dc,3,366b264c56f2d2bf19e971ec3958b04e873fb40aec5f9cb01c03528c68776801,5,1,0,262,0.0,4.553806781768799,4.553806781768799,429,262,4.553806781768799
scene-0019,bc41a49366734ebf978d6a71981537dc,4,36ec8956de496053f85bf07fee118dcc9663b1daa21dd4a4cbf61d6cb5e08484,7,3,1,68,154.08588259588882,6.367023468017578,37.66752243041992,417;429;435,1;7;60,37.66752243041992;19.87511444091797;6.367023468017578
scene-0020,bc41a49366734ebf978d6a71981537dc,1,379ccede20a15edd7d8713da312a9432d0399b8d0a3718d05d5c5b05f9083094,1,3,1,130,71.16686475995665,6.297085285186768,21.305227279663086,447;459;457,72;55;3,7.23272705078125;6.297085285186768;21.305227279663086
scene-0020,bc41a49366734ebf978d6a71981537dc,2,38badfac99eb2367e8b13a1ba8bf2fea046469da875847cf9e64d2602361df6d,3,3,0,266,92.8523182019812,4.8031134605407715,17.85784912109375,447;459;457,68;189;9,7.038006782531738;4.8031134605407715;17.85784912109375
scene-0020,bc41a49366734ebf978d6a71981537dc,3,38f384ee6c50a86db6bb1b08adc1b62e14d0662952fb569509b06c8dfb020606,5,2,0,87,149.06767967617515,6.028956413269043,10.855575561523438,459;457,11;76,10.855575561523438;6.028956413269043
scene-0020,bc41a49366734ebf978d6a71981537dc,4,39148b7157605c317f0bc1e050585a3aea43da4bf58b862c3741d1d43af2b60e,7,3,1,200,83.48188242451201,4.430295467376709,47.201087951660156,459;457;472,4;7;189,47.201087951660156;32.774295806884766;4.430295467376709
scene-0021,bc41a49366734ebf978d6a71981537dc,1,39390f3830e0db2134d64da1ef502c0d74fb5d3b55ec48ff2dbc2e3c4f5b557a,1,4,0,333,75.55398661122813,5.172460556030273,23.65227508544922,481;490;504;515,114;152;58;9,5.172460556030273;6.3433685302734375;10.359392166137695;23.65227508544922
scene-0021,bc41a49366734ebf978d6a71981537dc,2,3b953e51e37a0804f6096ed5701d2d3446286df08580055494c07b986dc736f8,3,4,1,73,149.85083755027753,5.544544219970703,13.039777755737305,481;490;504;515,7;25;37;4,10.401433944702148;6.58795690536499;5.544544219970703;13.039777755737305
scene-0021,bc41a49366734ebf978d6a71981537dc,3,3bd8a8100cb3f1077e79ba60ec2d619025f607783d417daa001043488899b0e0,5,4,0,125,90.48191479262354,7.057899475097656,20.81804084777832,481;490;504;515,18;56;45;6,9.085025787353516;7.057899475097656;8.11152172088623;20.81804084777832
scene-0021,bc41a49366734ebf978d6a71981537dc,4,3c0a3f9188cd572564cf5edfef023cc43fa40ad30c49a385a01edcc2cf702b2b,7,3,0,39,136.79356074826578,7.150031089782715,12.265406608581543,490;504;515,5;12;22,12.265406608581543;8.202346801757812;7.150031089782715
scene-0022,bc41a49366734ebf978d6a71981537dc,1,3d36e11d225229207a9fdcf3313dccbd12c768b8fbe0181ecfba51d75783cb01,1,1,0,99,0.0,5.682937145233154,5.682937145233154,521,99,5.682937145233154
scene-0022,bc41a49366734ebf978d6a71981537dc,2,3df5fa25259f3b26df4d5f86ef9f33952890da08bb801474d34ed40a2c42f640,3,2,1,93,171.1522005024792,7.645649433135986,46.22474670410156,521;537,4;89,46.22474670410156;7.645649433135986
scene-0022,bc41a49366734ebf978d6a71981537dc,3,3ec1fee4f8a99d1410bf7c6abdccf303f5fb84d242db0de740c8e6f9aeabef2e,5,1,0,53,0.0,5.057319164276123,5.057319164276123,548,53,5.057319164276123
scene-0022,bc41a49366734ebf978d6a71981537dc,4,40d7041320b60fa85b0e4b5b4489c93ba8ff33187a3dbd729af2323db73a4569,7,1,0,17,0.0,6.560059070587158,6.560059070587158,555,17,6.560059070587158
scene-0023,bc41a49366734ebf978d6a71981537dc,1,426b3028bb6ec01bb920bff469c0843cf29678292b01e57720b335d125ed3747,1,2,0,184,141.01600594678487,5.200840950012207,32.51799011230469,562;567,176;8,5.200840950012207;32.51799011230469
scene-0023,bc41a49366734ebf978d6a71981537dc,2,4428e9018617ca97f88a263a68da16dcd1212fdcf0a9d2ffdb7034c786175f82,3,3,2,194,169.6225462946098,4.480424880981445,48.81941223144531,562;567;595,4;186;4,38.57221984863281;4.480424880981445;48.81941223144531
scene-0023,bc41a49366734ebf978d6a71981537dc,3,45bb93b09b55128451fe3607e39ed31b04195300d1444f3a27c04de120e81622,5,2,1,45,153.86320600901516,5.797574043273926,43.521888732910156,595;592,43;2,5.797574043273926;43.521888732910156
scene-0023,bc41a49366734ebf978d6a71981537dc,4,481531f437d85629a6a67b07284a8f6daf028b541bf53fa3039ed1f92b12b406,7,1,0,34,0.0,4.397146224975586,4.397146224975586,592,34,4.397146224975586
scene-0024,bc41a49366734ebf978d6a71981537dc,1,49317dd9f001a2646e5fb40372222ef99e33e8651fe954b4785474ea150ed57d,1,2,0,44,157.07115295610384,5.295179843902588,15.450142860412598,605;617,39;5,5.295179843902588;15.450142860412598
scene-0024,bc41a49366734ebf978d6a71981537dc,2,49c4f5246a5dae5febfd166157618ef5672730c55e81c189ebf6e6f5855ff93e,3,3,1,125,142.38516561730705,4.7459940910339355,19.912479400634766,605;617;627,2;118;5,19.912479400634766;4.7459940910339355;12.97616195678711
scene-0024,bc41a49366734ebf978d6a71981537dc,3,49f0bb1fd7b4c0aa6bafb624d9fa0f4c2fdbef1044b113be4dfcc316365d8473,5,4,1,238,160.4227392601894,5.7789106369018555,34.51774597167969,605;617;627;636,5;49;180;4,34.18545913696289;13.8295316696167;5.7789106369018555;34.51774597167969
scene-0024,bc41a49366734ebf978d6a71981537dc,4,4c853db0ee4509b0eed7cbbd2db2eed2ad6324eff227be216e85d8da198a579a,7,1,0,52,0.0,4.991619110107422,4.991619110107422,636,52,4.991619110107422
scene-0025,bc41a49366734ebf978d6a71981537dc,1,4e54526c1ec7d7e7874ec360c8ec49045cfa6ddb0705f00219f406c55cd18920,1,4,0,196,66.97191443337896,4.150844573974609,15.126541137695312,650;652;665;675,22;23;139;12,8.231498718261719;8.2901611328125;4.150844573974609;15.126541137695312
