划分,序列,原序列总帧数,合成后读取记录总数,异常物体,异常帧号范围,异常点数中位数,插入正常物体,插入正常帧号范围,插入正常点数中位数
训练,scene-0001,40,40,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 汽车 [379705eb],无,无
训练,scene-0002,40,56,开口塑料垃圾桶 [#54],19; 22-30; 34,8,未放置; 预分配 自行车 [1609860c],无,无
训练,scene-0004,40,41,软质袋或袋组 [#21],0,10,未放置; 预分配 成年行人 [ebd5750f],无,无
训练,scene-0005,39,77,开口塑料垃圾桶 [#53],0-8; 10-11; 16,6.5,成年行人 [dcd1704e],16-27,3.5
训练,scene-0006,40,61,平盖带轮垃圾桶 [#41],14; 17; 23-26; 28-39,11.5,未放置; 预分配 成年行人 [56c24f68],无,无
训练,scene-0007,39,39,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 成年行人 [dfe53348],无,无
训练,scene-0008,40,46,软质袋或袋组 [#22],0-2; 4,4.5,未放置; 预分配 自行车 [8f853bb1],无,无
训练,scene-0009,40,63,软质袋或袋组 [#20],28; 30-35,5,自行车 [298a6dc1],29-37,12
训练,scene-0010,40,42,软质袋或袋组 [#28],0-1,2,未放置; 预分配 自行车 [dc36c47c],无,无
训练,scene-0011,40,55,未放置; 预分配 软质袋或袋组 [#25],无,无,摩托车 [9e70ff62],25-39,6
训练,scene-0019,40,74,罩顶垃圾桶 [#38],0-5; 8-15,6,摩托车 [a9ef6f8b],0-5; 8-10; 13,6
训练,scene-0020,39,39,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 摩托车 [1b7204a9],无,无
训练,scene-0021,40,40,未放置; 预分配 街旁小型垃圾桶 [#45],无,无,未放置; 预分配 自行车 [336326d2],无,无
训练,scene-0022,40,43,未放置; 预分配 料斗式搬运车 [#58],无,无,成年行人 [ce897aef],0-1,9.5
训练,scene-0023,40,47,未放置; 预分配 软质袋或袋组 [#19],无,无,自行车 [c4dfa672],0-3,4.5
