index,group,frame,scene,world,token,base,points,normal,anomaly,valid,range_median,intensity_median,anomaly_range_median,anomaly_intensity_median
0,normal_nuscenes,0,scene-0001,,3388933b59444c5db71fade0bbfef470,True,34720,24262,0,24262,9.107521057128906,0.05098039284348488,,
1,anomaly_nuscenes,6,scene-0001,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0001/world.json,a120c8986a4d432ab34e962189c7c330,True,34784,24670,22,24692,8.475784301757812,0.08235294371843338,6.349980354309082,0.13137255609035492
2,normal_nuscenes,10,scene-0001,,59bdcf05093f46d79e149e35d0090126,True,34688,26016,0,26016,7.564608573913574,0.10588235408067703,,
3,anomaly_nuscenes,12,scene-0001,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0001/world.json,41fd83cefd8243a3af126742044f8f49,True,34718,25859,146,26005,9.039722442626953,0.08235294371843338,5.014371871948242,0.03529411926865578
4,normal_nuscenes,20,scene-0001,,155a5109b4594be0aaf98105928459af,True,34752,25630,0,25630,8.581828117370605,0.0784313753247261,,
5,anomaly_nuscenes,32,scene-0001,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0001/world.json,075bae7969754f2c959a2d2a61bcb481,True,34688,26103,78,26181,8.394343376159668,0.08235294371843338,6.606527328491211,0.04117647185921669
6,normal_nuscenes,34,scene-0001,,cfb01344b1e84b6b9422c27cc912d1d3,True,34752,23698,0,23698,6.1794281005859375,0.07058823853731155,,
7,anomaly_nuscenes,37,scene-0001,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0001/world.json,cf8803a6a2b74fe5be5e4ee3c7058ca4,True,34720,26147,70,26217,8.899863243103027,0.08627451211214066,6.331849098205566,0.0117647061124444
8,normal_nuscenes,40,scene-0002,,10bd27748c854ab0847780887130b85c,True,34784,23899,0,23899,8.02972412109375,0.07450980693101883,,
9,anomaly_nuscenes,45,scene-0002,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0002/world.json,1f568970e4014a349264d2f1ef241bef,True,34688,23889,17,23906,8.315637588500977,0.054901961237192154,5.295200347900391,0.062745101749897
10,normal_nuscenes,51,scene-0002,,b6efb6197f9346b08acbaa5d8f42b9a2,True,34752,24258,0,24258,8.24599838256836,0.054901961237192154,,
11,anomaly_nuscenes,57,scene-0002,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0002/world.json,cc8792b464ad42b2880da3f3480d19da,True,34654,25367,222,25589,8.113348960876465,0.054901961237192154,4.713521480560303,0.3137255012989044
