structure_id,semantic,instance_id,frame,returns_all,returns_2p5_50m,range_min_m,range_median_m,range_max_m,range_2p5_50m_median_m,centroid_world_x_m,centroid_world_y_m,centroid_world_z_m,azimuth_lidar_deg,elevation_lidar_deg,azimuth_world_deg,elevation_world_deg,previous_observed_frame,gap_frames,centroid_displacement_m,nn_world_median_m,nn_world_p95_m
206:10:64,10,64,0,0,0,,,,,,,,,,,,,,,,
206:10:64,10,64,1,0,0,,,,,,,,,,,,,,,,
206:10:64,10,64,2,0,0,,,,,,,,,,,,,,,,
206:10:64,10,64,3,0,0,,,,,,,,,,,,,,,,
206:10:64,10,64,4,0,0,,,,,,,,,,,,,,,,
206:10:64,10,64,5,0,0,,,,,,,,,,,,,,,,
206:10:64,10,64,6,2,2,27.35455894,27.39705658,27.43955612,27.39705658,28.70804841,-2.43466003,-1.12682705,-10.00215891,-3.56807558,-5.28378582,-2.48863296,,,,,
206:10:64,10,64,7,0,0,,,,,,,,,,,,,,,,
206:10:64,10,64,8,1,1,26.74755669,26.74755669,26.74755669,26.74755669,28.54996246,-2.5419427,-1.02105351,-12.28756721,-3.5660692,-5.80503437,-2.33588924,6,2,0.21837761,0.22602151,0.29244319
206:10:64,10,64,9,0,0,,,,,,,,,,,,,,,,
206:10:64,10,64,10,1,1,26.24330902,26.24330902,26.24330902,26.24330902,28.53903539,-2.5654693,-1.0185027,-14.40121904,-3.92426303,-6.08987772,-2.41854128,8,2,0.02606546,0.02606546,0.02606546
206:10:64,10,64,11,2,2,25.55805397,25.76005363,25.9620533,25.76005363,28.2815343,-2.70850695,-1.08711484,-15.82904363,-4.24256804,-6.57741529,-2.68671369,10,1,0.30244704,0.32031099,0.5304705
206:10:64,10,64,12,2,2,25.81231308,25.86131287,25.91031265,25.86131287,28.60041894,-2.97583315,-0.91201454,-17.38918093,-3.92301452,-7.27358693,-2.34949428,11,1,0.45145412,0.47779659,0.54075313
206:10:64,10,64,13,2,2,25.60331154,26.09679413,26.59027863,26.09679413,29.05138692,-3.30612519,-0.60914216,-18.99730946,-3.2012951,-8.06390266,-1.70388791,12,1,0.6357646,0.76550732,1.31773881
206:10:64,10,64,14,4,4,25.23280525,25.31555939,25.47280502,25.31555939,28.59104349,-2.63054253,-1.11821449,-18.70840997,-4.43129929,-6.91828663,-2.90784876,13,1,0.963059,0.81980229,1.24248779
206:10:64,10,64,15,11,11,24.37780952,24.90980721,25.51055908,24.90980721,28.33468774,-3.1048889,-0.98226093,-20.96553054,-4.24686128,-8.28158203,-2.66484489,14,1,0.55606306,0.38156013,0.74816488
206:10:64,10,64,16,13,13,24.15680885,24.86231422,26.01128387,24.86231422,28.41787531,-3.55610596,-0.88332468,-23.03750521,-4.02965516,-9.484689,-2.5043526,15,1,0.46936701,0.16287258,0.90142237
