sequence,factor,metric,scope,group,unit,weighting,n,bin,lower,upper,fraction
all,A02,anomaly_fraction,all_frames,all,frame,observation_equal,8659,0,0,0.001,0.9782884859683566
all,A02,anomaly_fraction,all_frames,all,frame,observation_equal,8659,1,0.001,0.01,0.021711514031643377
all,A02,anomaly_fraction,all_frames,all,frame,observation_equal,8659,2,0.01,0.1,0.0
all,A02,anomaly_fraction,all_frames,all,frame,observation_equal,8659,3,0.1,0.25,0.0
all,A02,anomaly_fraction,all_frames,all,frame,observation_equal,8659,4,0.25,0.5,0.0
all,A02,anomaly_fraction,all_frames,all,frame,observation_equal,8659,5,0.5,0.75,0.0
all,A02,anomaly_fraction,all_frames,all,frame,observation_equal,8659,6,0.75,0.9,0.0
all,A02,anomaly_fraction,all_frames,all,frame,observation_equal,8659,7,0.9,1.000001,0.0
all,A02,anomaly_fraction,all_frames,all,frame,frame_equal,8659,0,0,0.001,0.9782884859683566
all,A02,anomaly_fraction,all_frames,all,frame,frame_equal,8659,1,0.001,0.01,0.021711514031643377
all,A02,anomaly_fraction,all_frames,all,frame,frame_equal,8659,2,0.01,0.1,0.0
all,A02,anomaly_fraction,all_frames,all,frame,frame_equal,8659,3,0.1,0.25,0.0
all,A02,anomaly_fraction,all_frames,all,frame,frame_equal,8659,4,0.25,0.5,0.0
all,A02,anomaly_fraction,all_frames,all,frame,frame_equal,8659,5,0.5,0.75,0.0
all,A02,anomaly_fraction,all_frames,all,frame,frame_equal,8659,6,0.75,0.9,0.0
all,A02,anomaly_fraction,all_frames,all,frame,frame_equal,8659,7,0.9,1.000001,0.0
all,A02,anomaly_fraction,all_frames,all,frame,sequence_equal,8659,0,0,0.001,0.9712419101436508
all,A02,anomaly_fraction,all_frames,all,frame,sequence_equal,8659,1,0.001,0.01,0.028758089856349024
all,A02,anomaly_fraction,all_frames,all,frame,sequence_equal,8659,2,0.01,0.1,0.0
all,A02,anomaly_fraction,all_frames,all,frame,sequence_equal,8659,3,0.1,0.25,0.0
all,A02,anomaly_fraction,all_frames,all,frame,sequence_equal,8659,4,0.25,0.5,0.0
all,A02,anomaly_fraction,all_frames,all,frame,sequence_equal,8659,5,0.5,0.75,0.0
all,A02,anomaly_fraction,all_frames,all,frame,sequence_equal,8659,6,0.75,0.9,0.0
all,A02,anomaly_fraction,all_frames,all,frame,sequence_equal,8659,7,0.9,1.000001,0.0
all,A02,ignore_fraction,all_frames,all,frame,observation_equal,8659,0,0,0.001,0.0
all,A02,ignore_fraction,all_frames,all,frame,observation_equal,8659,1,0.001,0.01,0.01997921238018247
all,A02,ignore_fraction,all_frames,all,frame,observation_equal,8659,2,0.01,0.1,0.3851484005081418
all,A02,ignore_fraction,all_frames,all,frame,observation_equal,8659,3,0.1,0.25,0.33675944104400046
all,A02,ignore_fraction,all_frames,all,frame,observation_equal,8659,4,0.25,0.5,0.080147823074258
all,A02,ignore_fraction,all_frames,all,frame,observation_equal,8659,5,0.5,0.75,0.04965931400854602
all,A02,ignore_fraction,all_frames,all,frame,observation_equal,8659,6,0.75,0.9,0.03938099087654463
all,A02,ignore_fraction,all_frames,all,frame,observation_equal,8659,7,0.9,1.000001,0.0889248181083266
all,A02,ignore_fraction,all_frames,all,frame,frame_equal,8659,0,0,0.001,0.0
