sequence,factor,metric,scope,group,unit,weighting,n,denominator,frames,valid_frames,sequence_count,missing_fraction,empty_frame_fraction,minimum,maximum,mean,p05_value,p05_lower,p05_upper,p25_value,p25_lower,p25_upper,p50_value,p50_lower,p50_upper,p75_value,p75_lower,p75_upper,p95_value,p95_lower,p95_upper
all,A02,anomaly_fraction,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,0.003435553750338478,8.735864925929564e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6153819329416072e-05,2.6153819329416072e-05,2.6153819329416072e-05,0.00046834098569051026,0.00046834098569051026,0.00046834098569051026
all,A02,anomaly_fraction,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,0.003435553750338478,8.735864925929564e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6153819329416072e-05,2.6153819329416072e-05,2.6153819329416072e-05,0.00046834098569051026,0.00046834098569051026,0.00046834098569051026
all,A02,anomaly_fraction,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,0.003435553750338478,0.00010391936246932244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4247454986001355e-05,3.4247454986001355e-05,3.4247454986001355e-05,0.0006025358901812847,0.0006025358901812847,0.0006025358901812847
all,A02,ignore_fraction,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.003168476538871446,0.9992013300299909,0.24950105992572216,0.013451587811559404,0.013451587811559404,0.013451587811559404,0.06294445340068426,0.06294445340068426,0.06294445340068426,0.12214661331566294,0.12214661331566294,0.12214661331566294,0.2666516434343109,0.2666516434343109,0.2666516434343109,0.9619629225736096,0.9619629225736096,0.9619629225736096
all,A02,ignore_fraction,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.003168476538871446,0.9992013300299909,0.24950105992572216,0.013451587811559404,0.013451587811559404,0.013451587811559404,0.06294445340068426,0.06294445340068426,0.06294445340068426,0.12214661331566294,0.12214661331566294,0.12214661331566294,0.2666516434343109,0.2666516434343109,0.2666516434343109,0.9619629225736096,0.9619629225736096,0.9619629225736096
all,A02,ignore_fraction,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.003168476538871446,0.9992013300299909,0.24214481996534448,0.014593526613470817,0.014593526613470817,0.014593526613470817,0.06671361958422382,0.06671361958422382,0.06671361958422382,0.1272278924518242,0.1272278924518242,0.1272278924518242,0.24959982131556416,0.24959982131556416,0.24959982131556416,0.9543387193297427,0.9543387193297427,0.9543387193297427
all,A02,ignore,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,220.0,122738.0,28141.73299457212,1527.0,1527.0,1527.0,7263.0,7263.0,7263.0,14058.0,14058.0,14058.0,30638.0,30638.0,30638.0,104398.0,104398.0,104398.0
all,A02,ignore,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,220.0,122738.0,28141.73299457212,1527.0,1527.0,1527.0,7263.0,7263.0,7263.0,14058.0,14058.0,14058.0,30638.0,30638.0,30638.0,104398.0,104398.0,104398.0
all,A02,ignore,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,220.0,122738.0,27332.268149659278,1649.0,1649.0,1649.0,7659.0,7659.0,7659.0,14586.0,14586.0,14586.0,28864.0,28864.0,28864.0,102799.0,102799.0,102799.0
all,A02,normal_fraction,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0007986699700091276,0.9968315234611286,0.7504115814250185,0.038037077426390405,0.038037077426390405,0.038037077426390405,0.7330304510098016,0.7330304510098016,0.7330304510098016,0.8777070713078053,0.8777070713078053,0.8777070713078053,0.937017105840278,0.937017105840278,0.937017105840278,0.9865484121884406,0.9865484121884406,0.9865484121884406
