format,sequence,frames,first_frame,last_frame,states,slots,visible,zero_slots,ignore,normal,anomaly,anomaly_in_range,unknown_instance_points,official_frames,official_anomaly_points,official_normal_points,instance_frame_count,wall_seconds,max_rss_bytes
stu-frame-profile,125,255,0,254,"[44, 0, 1, 210]",33423360,31930142,1493218,6821570,25082699,25873,25873,0,210,25871,21450882,211,23.083253573000093,196784128
stu-frame-profile,137,560,0,559,"[410, 11, 93, 46]",73400320,64227020,9173300,22796555,41429536,929,918,0,46,749,4652268,150,33.27172582000003,142020608
stu-frame-profile,138,516,0,515,"[361, 3, 69, 83]",67633152,59000680,8632472,19652489,39345790,2401,2398,0,83,2254,8321471,228,33.313343394000185,147185664
stu-frame-profile,139,542,0,541,"[337, 51, 55, 99]",71041024,62038589,9002435,18525264,43510275,3050,2984,0,99,2844,10201337,205,37.16269942500003,146960384
stu-frame-profile,140,481,0,480,"[305, 17, 84, 75]",63045632,54962358,8083274,10313771,44646910,1677,1654,0,75,1465,8008759,176,32.5451799399998,140914688
stu-frame-profile,141,697,0,696,"[316, 47, 27, 307]",91357184,80663852,10693332,16333962,64311336,18554,18456,0,307,18389,31991712,634,52.342609105000065,179994624
stu-frame-profile,142,537,0,536,"[377, 7, 66, 87]",70385664,61616024,8769640,14614993,46999294,1737,1728,0,87,1596,8365690,188,34.962467414,140197888
stu-frame-profile,143,469,0,468,"[295, 28, 55, 91]",61472768,53761915,7710853,12498597,41260062,3256,3223,0,91,3085,7571268,174,31.50160272999983,143749120
stu-frame-profile,144,323,0,322,"[167, 39, 38, 79]",42336256,36275231,6061025,7673177,28597392,4662,4611,0,79,4508,7455833,368,22.88278400099989,140476416
stu-frame-profile,145,337,0,336,"[184, 27, 34, 92]",44171264,38106101,6065163,5559042,32543242,3817,3786,0,92,3712,8379629,263,23.097716286000377,139255808
stu-frame-profile,146,374,0,373,"[262, 16, 39, 57]",49020928,41517810,7503118,14827350,26688889,1571,1550,0,57,1455,5166306,112,23.358715392999784,141037568
stu-frame-profile,147,401,0,400,"[197, 28, 65, 111]",52559872,45979831,6580041,9565753,36411044,3034,2999,0,111,2811,10820924,204,29.196990928000105,146800640
stu-frame-profile,148,602,0,601,"[368, 21, 98, 115]",78905344,70371738,8533606,29702655,40665765,3318,3293,0,115,3050,11781979,234,38.560067696999795,152223744
stu-frame-profile,149,378,0,377,"[170, 25, 81, 102]",49545216,44169869,5375347,9422360,34744486,3023,2989,1,102,2800,10115079,332,27.302027826000085,196784128
stu-frame-profile,150,505,0,504,"[238, 34, 77, 156]",66191360,59116215,7075145,17073679,42036938,5598,5555,0,156,5344,15720518,551,35.66883452000002,152379392
stu-frame-profile,151,277,0,276,"[152, 16, 58, 51]",36306944,31705073,4601871,4866312,26837550,1211,1193,0,51,1054,4798697,125,19.68681309500016,141037568
stu-frame-profile,152,534,0,533,"[336, 17, 120, 61]",69992448,61356393,8636055,17414792,43940338,1263,1246,0,61,1029,5935012,198,33.392333667,147554304
stu-frame-profile,153,271,0,270,"[136, 37, 23, 75]",35520512,30785243,4735269,4353934,26428045,3264,3208,0,75,3149,6498230,235,18.241049569999632,143749120
stu-frame-profile,169,600,0,599,"[459, 41, 37, 63]",78643200,60223103,18420097,1663011,58557591,2501,2430,0,63,2334,6556876,141,29.315244851000443,140914688
