reference,normal_frame,normal_points,normal_range_m,normal_sample_world,anomaly_world,anomaly_frame,anomaly_points,anomaly_range_m,range_difference_m
206:10:78,164,44,18.112417221069336,train/contacts_low_smooth_1,train/solid_raised_sparse_1,254,44,17.502750396728516,0.6096668243408203
206:10:78,165,47,18.41010856628418,train/branched_raised_sparse_4,train/contacts_raised_rough_2,256,47,17.954404830932617,0.4557037353515625
206:10:78,166,44,18.57412338256836,train/branched_raised_sparse_4,train/contacts_raised_rough_2,259,44,18.943832397460938,0.3697090148925781
206:10:78,167,38,18.86724090576172,train/contacts_raised_rough_1,train/elongated_raised_sparse_6,163,38,18.589792251586914,0.2774486541748047
206:10:78,168,40,18.862564086914062,train/branched_low_rough_3,train/branched_raised_sparse_4,279,40,18.460403442382812,0.40216064453125
206:10:78,169,41,19.01090431213379,train/contacts_raised_rough_1,train/elongated_raised_sparse_6,161,41,19.17356300354004,0.16265869140625
206:10:78,170,33,19.5003662109375,train/branched_low_rough_3,train/solid_raised_rough_6,57,33,19.46929359436035,0.031072616577148438
206:10:78,171,34,19.650915145874023,train/branched_low_rough_3,train/elongated_raised_sparse_6,159,34,19.76349639892578,0.11258125305175781
206:10:78,172,40,19.83229637145996,train/branched_low_rough_3,train/solid_raised_sparse_7,25,40,19.830148696899414,0.002147674560546875
206:10:78,173,28,20.083030700683594,train/branched_low_rough_3,train/elongated_raised_sparse_6,335,28,20.057024002075195,0.026006698608398438
206:10:78,174,32,20.29568862915039,train/branched_low_rough_3,train/branched_raised_sparse_6,274,32,20.422466278076172,0.12677764892578125
206:10:78,175,23,20.5594425201416,train/branched_low_rough_3,train/sheet_low_sparse_4,130,23,20.57200813293457,0.01256561279296875
206:10:78,176,32,20.714038848876953,train/branched_low_rough_3,train/branched_raised_sparse_6,274,32,20.422466278076172,0.29157257080078125
206:10:78,177,25,21.00844383239746,train/branched_low_rough_3,train/branched_raised_sparse_5,280,25,20.948619842529297,0.05982398986816406
206:10:78,178,22,21.16901397705078,train/branched_low_rough_3,train/branched_raised_sparse_3,114,22,21.141014099121094,0.0279998779296875
206:10:78,179,29,21.37310218811035,train/branched_low_rough_3,train/contacts_raised_rough_2,267,29,21.46977424621582,0.09667205810546875
206:10:78,180,28,21.484392166137695,train/branched_low_rough_3,train/branched_raised_sparse_6,277,28,21.334716796875,0.1496753692626953
206:10:78,181,20,21.65903091430664,train/branched_low_rough_3,train/solid_raised_rough_7,393,20,21.642730712890625,0.016300201416015625
206:10:78,182,14,21.7960262298584,train/branched_low_rough_3,train/contacts_low_sparse_2,417,14,21.79500961303711,0.0010166168212890625
206:10:78,183,25,21.995361328125,train/branched_low_rough_3,train/branched_raised_rough_4,267,25,22.000417709350586,0.0050563812255859375
206:10:78,184,24,22.202617645263672,train/branched_low_rough_3,train/solid_raised_rough_6,35,24,22.227577209472656,0.024959564208984375
206:10:78,185,29,22.2403621673584,train/branched_low_rough_3,train/branched_raised_sparse_4,267,29,22.148653030395508,0.09170913696289062
206:10:78,186,23,22.504362106323242,train/branched_low_rough_3,train/elongated_low_sparse_5,295,23,22.500810623168945,0.003551483154296875
206:10:78,187,22,22.596012115478516,train/branched_low_rough_3,train/sheet_raised_sparse_7,310,22,22.598583221435547,0.00257110595703125
206:10:78,188,21,22.732440948486328,train/branched_low_rough_3,train/solid_raised_rough_7,211,21,22.748794555664062,0.016353607177734375
206:10:78,189,24,22.97026824951172,train/branched_low_rough_3,train/contacts_raised_rough_2,272,24,23.053485870361328,0.08321762084960938
206:10:78,190,18,23.142637252807617,train/branched_low_rough_3,train/contacts_low_sparse_6,327,18,23.140666961669922,0.0019702911376953125
206:10:78,191,15,23.238847732543945,train/branched_low_rough_3,train/sheet_low_sparse_8,138,15,23.26212501525879,0.02327728271484375
206:10:78,192,18,23.317306518554688,train/branched_low_rough_3,train/elongated_raised_sparse_6,148,18,23.298572540283203,0.018733978271484375
206:10:78,193,17,23.499847412109375,train/branched_low_rough_3,train/sheet_low_sparse_4,139,17,23.501903533935547,0.002056121826171875
206:10:78,194,17,23.653099060058594,train/branched_low_rough_3,train/branched_low_sparse_7,439,17,23.644851684570312,0.00824737548828125
206:10:78,195,19,23.798439025878906,train/branched_low_rough_3,train/elongated_raised_smooth_8,322,19,23.864397048950195,0.06595802307128906
206:10:78,196,17,23.959613800048828,train/branched_low_rough_3,train/branched_raised_smooth_3,131,17,23.956890106201172,0.00272369384765625
206:10:78,197,18,24.122255325317383,train/branched_low_rough_3,train/contacts_low_rough_8,316,18,24.17343521118164,0.05117988586425781
206:10:78,198,15,24.26368522644043,train/branched_low_rough_3,train/solid_low_sparse_7,216,15,24.26279067993164,0.0008945465087890625
206:10:78,199,18,24.40389633178711,train/branched_low_rough_3,train/solid_raised_rough_7,202,18,24.35562515258789,0.04827117919921875
206:10:78,200,13,24.511680603027344,train/branched_low_rough_3,train/contacts_low_sparse_1,100,13,24.50216293334961,0.009517669677734375
206:10:78,201,14,24.71262550354004,train/branched_low_rough_3,train/elongated_raised_rough_6,366,14,24.715831756591797,0.0032062530517578125
206:10:78,202,16,24.867103576660156,train/branched_low_rough_3,train/elongated_raised_rough_7,160,16,24.840923309326172,0.026180267333984375
206:10:78,203,16,25.003517150878906,train/branched_low_rough_3,train/solid_raised_rough_7,438,16,24.995651245117188,0.00786590576171875
206:10:78,204,17,25.053434371948242,train/branched_low_rough_3,train/solid_raised_rough_7,423,17,25.052600860595703,0.0008335113525390625
206:10:78,205,14,25.361602783203125,train/branched_raised_rough_7,train/branched_raised_sparse_2,97,14,25.367313385009766,0.005710601806640625
206:10:78,206,12,25.370288848876953,train/branched_raised_rough_7,train/elongated_low_rough_7,146,12,25.385154724121094,0.014865875244140625
206:10:78,207,12,25.678611755371094,train/contacts_raised_rough_1,train/sheet_low_sparse_8,145,12,25.676986694335938,0.00162506103515625
206:10:78,208,16,25.86028289794922,train/elongated_low_smooth_4,train/elongated_raised_smooth_8,308,16,25.915008544921875,0.05472564697265625
206:10:78,209,17,26.051401138305664,train/branched_raised_rough_7,train/contacts_low_rough_8,303,17,26.03172492980957,0.01967620849609375
206:10:78,210,16,26.242725372314453,train/branched_raised_smooth_1,train/contacts_low_sparse_3,148,16,26.22663116455078,0.016094207763671875
206:10:78,211,14,26.402725219726562,train/branched_raised_rough_7,train/elongated_low_sparse_4,289,14,26.39461898803711,0.008106231689453125
206:10:78,212,16,26.66022491455078,train/branched_raised_smooth_1,train/elongated_raised_smooth_8,302,16,26.645750045776367,0.014474868774414062
206:10:78,213,16,26.877851486206055,train/branched_raised_smooth_1,train/elongated_raised_rough_7,168,16,26.884246826171875,0.0063953399658203125
206:10:78,214,15,27.046611785888672,train/branched_raised_smooth_1,train/elongated_raised_sparse_6,372,15,27.055091857910156,0.008480072021484375
206:10:78,215,9,27.318891525268555,train/branched_raised_smooth_1,train/elongated_low_rough_5,97,9,27.33137321472168,0.012481689453125
206:10:78,216,10,27.469629287719727,train/branched_raised_rough_7,train/contacts_low_sparse_2,202,10,27.46474838256836,0.0048809051513671875
206:10:78,217,5,27.748310089111328,train/branched_raised_rough_1,train/contacts_low_smooth_2,333,5,27.741228103637695,0.0070819854736328125
206:10:78,218,9,27.932844161987305,train/branched_raised_rough_1,train/solid_low_sparse_7,195,9,27.92774200439453,0.0051021575927734375
206:10:78,219,10,28.224056243896484,train/branched_raised_smooth_1,train/solid_raised_rough_2,101,10,28.231510162353516,0.00745391845703125
206:10:78,220,9,28.498050689697266,train/contacts_raised_smooth_1,train/branched_raised_rough_6,150,9,28.501903533935547,0.00385284423828125
206:10:78,221,9,28.710309982299805,train/branched_raised_rough_1,train/sheet_raised_smooth_4,251,9,28.691858291625977,0.018451690673828125
206:10:78,222,9,29.014842987060547,train/branched_raised_rough_1,train/branched_raised_smooth_5,243,9,29.023557662963867,0.008714675903320312
206:10:78,223,9,29.264310836791992,train/branched_raised_rough_1,train/solid_low_sparse_7,186,9,29.258237838745117,0.006072998046875
206:10:78,224,10,29.540075302124023,train/branched_raised_rough_1,train/solid_raised_rough_6,4,10,29.50402069091797,0.03605461120605469
206:10:78,225,6,29.924074172973633,train/branched_raised_rough_1,train/sheet_low_rough_2,238,6,29.92694091796875,0.0028667449951171875
206:10:78,227,7,30.438838958740234,train/branched_raised_rough_1,train/branched_low_sparse_6,69,7,30.433269500732422,0.0055694580078125
206:10:78,228,5,30.675048828125,train/branched_raised_rough_1,train/contacts_low_smooth_2,354,5,30.668428421020508,0.0066204071044921875
206:10:78,230,8,31.274700164794922,train/branched_low_smooth_5,train/contacts_low_sparse_1,55,8,31.27341079711914,0.00128936767578125
206:10:78,231,5,31.71609115600586,train/branched_low_smooth_5,train/elongated_low_sparse_6,177,5,31.721454620361328,0.00536346435546875
206:10:78,232,5,32.02130889892578,train/branched_low_smooth_5,train/solid_low_sparse_6,184,5,32.02756118774414,0.006252288818359375
206:10:78,233,5,32.3568000793457,train/branched_low_smooth_5,train/branched_low_sparse_5,344,5,32.36142349243164,0.0046234130859375
206:10:78,240,5,34.467552185058594,train/contacts_low_sparse_3,train/sheet_low_smooth_1,276,5,34.46195602416992,0.005596160888671875
206:11:1,294,5,22.155363082885742,train/sheet_raised_rough_5,train/contacts_low_smooth_3,224,5,22.15540313720703,4.00543212890625e-05
206:11:1,295,8,22.44198989868164,train/sheet_raised_rough_5,train/sheet_low_smooth_1,347,8,22.438051223754883,0.0039386749267578125
206:11:1,296,12,22.510860443115234,train/contacts_low_smooth_2,train/branched_low_rough_6,128,12,22.519851684570312,0.008991241455078125
206:11:1,297,9,22.574617385864258,train/sheet_raised_smooth_4,train/contacts_low_rough_1,203,9,22.556270599365234,0.018346786499023438
206:11:1,298,10,22.5650634765625,train/branched_low_rough_7,train/branched_low_sparse_8,293,10,22.54055404663086,0.024509429931640625
206:11:1,299,7,22.71885108947754,train/sheet_raised_smooth_4,train/branched_raised_rough_1,56,7,22.6851806640625,0.03367042541503906
206:11:1,300,8,22.75221061706543,train/sheet_raised_rough_5,train/contacts_raised_smooth_8,198,8,22.76577377319336,0.013563156127929688
206:11:1,301,7,22.694808959960938,train/sheet_raised_smooth_4,train/branched_raised_rough_1,56,7,22.6851806640625,0.0096282958984375
206:11:1,302,8,22.923965454101562,train/sheet_raised_rough_5,train/branched_low_rough_7,269,8,22.9371337890625,0.0131683349609375
206:11:1,303,7,22.90231704711914,train/contacts_raised_smooth_7,train/elongated_raised_sparse_2,73,7,22.912992477416992,0.010675430297851562
206:11:1,304,10,23.052433013916016,train/sheet_raised_sparse_1,train/solid_low_sparse_1,135,10,23.05131721496582,0.0011157989501953125
206:11:1,305,5,23.031055450439453,train/sheet_raised_smooth_4,train/contacts_low_smooth_8,369,5,23.028955459594727,0.0020999908447265625
206:11:1,307,5,23.20261573791504,train/branched_low_rough_1,train/branched_low_smooth_8,146,5,23.20856285095215,0.005947113037109375
206:11:1,308,7,23.146615982055664,train/sheet_raised_rough_5,train/branched_raised_smooth_1,62,7,23.158655166625977,0.0120391845703125
206:15:6,45,17,29.04730987548828,train/branched_low_rough_7,train/elongated_raised_sparse_7,148,17,29.182205200195312,0.13489532470703125
206:15:6,46,13,29.163311004638672,train/branched_low_sparse_5,train/sheet_low_sparse_7,154,13,29.17165184020996,0.008340835571289062
206:15:6,47,16,29.082902908325195,train/branched_low_rough_7,train/solid_raised_sparse_8,226,16,29.15313148498535,0.07022857666015625
206:15:6,48,14,28.927051544189453,train/branched_low_sparse_5,train/elongated_low_sparse_7,204,14,28.919719696044922,0.00733184814453125
206:15:6,49,15,28.846050262451172,train/branched_low_rough_1,train/branched_raised_sparse_4,247,15,28.743799209594727,0.10225105285644531
206:15:6,50,24,29.029804229736328,train/branched_raised_rough_3,train/branched_raised_rough_5,358,24,29.06421661376953,0.034412384033203125
206:15:6,51,19,28.88504981994629,train/branched_raised_rough_3,train/contacts_raised_rough_2,294,19,28.714284896850586,0.17076492309570312
206:15:6,52,20,28.9466552734375,train/branched_low_rough_7,train/contacts_raised_sparse_6,318,20,28.984718322753906,0.03806304931640625
206:15:6,53,19,28.86130714416504,train/branched_low_rough_4,train/contacts_raised_rough_2,294,19,28.714284896850586,0.14702224731445312
206:15:6,54,21,28.865999221801758,train/branched_low_rough_7,train/sheet_raised_sparse_2,166,21,28.74332046508789,0.12267875671386719
206:15:6,55,19,28.760311126708984,train/branched_raised_smooth_6,train/contacts_raised_rough_2,294,19,28.714284896850586,0.04602622985839844
206:15:6,56,23,28.8983097076416,train/branched_raised_rough_1,train/contacts_raised_rough_7,163,23,28.865219116210938,0.03309059143066406
206:15:6,57,20,28.83568000793457,train/branched_raised_rough_3,train/elongated_raised_sparse_7,147,20,28.855714797973633,0.0200347900390625
206:15:6,58,18,28.7060489654541,train/branched_raised_rough_1,train/elongated_raised_sparse_7,146,18,28.50748062133789,0.19856834411621094
206:15:6,59,19,28.84355354309082,train/branched_raised_rough_3,train/contacts_raised_rough_2,294,19,28.714284896850586,0.12926864624023438
206:15:6,60,22,28.847930908203125,train/branched_raised_rough_1,train/branched_raised_rough_5,357,22,28.853588104248047,0.005657196044921875
206:15:6,61,24,28.68328094482422,train/branched_low_smooth_5,train/sheet_raised_sparse_3,156,24,28.692012786865234,0.008731842041015625
206:15:6,62,21,28.766611099243164,train/branched_raised_rough_1,train/sheet_raised_sparse_2,166,21,28.74332046508789,0.023290634155273438
206:15:6,63,20,28.757780075073242,train/branched_raised_rough_1,train/elongated_raised_sparse_7,147,20,28.855714797973633,0.09793472290039062
206:15:6,64,19,28.81780242919922,train/branched_low_smooth_5,train/contacts_raised_rough_2,294,19,28.714284896850586,0.10351753234863281
206:15:6,65,19,28.81380271911621,train/branched_raised_smooth_1,train/contacts_raised_rough_2,294,19,28.714284896850586,0.099517822265625
206:15:6,66,21,28.639610290527344,train/branched_raised_rough_1,train/sheet_raised_sparse_2,166,21,28.74332046508789,0.10371017456054688
206:15:6,67,23,28.83780288696289,train/branched_raised_smooth_6,train/contacts_raised_rough_7,163,23,28.865219116210938,0.027416229248046875
206:15:6,68,21,28.813804626464844,train/branched_raised_rough_1,train/sheet_raised_sparse_2,166,21,28.74332046508789,0.07048416137695312
206:15:6,69,22,28.787458419799805,train/branched_raised_rough_1,train/contacts_raised_sparse_6,317,22,28.837627410888672,0.05016899108886719
206:15:6,70,22,28.837926864624023,train/branched_low_smooth_5,train/contacts_raised_sparse_6,317,22,28.837627410888672,0.0002994537353515625
206:15:6,71,16,28.829927444458008,train/branched_low_smooth_5,train/sheet_raised_sparse_7,277,16,28.82634735107422,0.0035800933837890625
206:15:6,72,13,28.868309020996094,train/branched_low_smooth_5,train/elongated_raised_smooth_8,288,13,28.983139038085938,0.11483001708984375
206:15:6,73,12,28.988426208496094,train/contacts_raised_smooth_1,train/solid_raised_rough_7,173,12,28.988128662109375,0.00029754638671875
206:15:6,74,5,29.03255844116211,train/branched_raised_rough_1,train/sheet_low_rough_8,147,5,29.044647216796875,0.012088775634765625
206:15:6,76,5,28.666051864624023,train/branched_low_smooth_5,train/sheet_low_rough_7,296,5,28.667972564697266,0.0019207000732421875
206:15:6,77,11,28.697050094604492,train/branched_low_smooth_5,train/contacts_raised_smooth_2,386,11,28.710779190063477,0.013729095458984375
