structure,frame,points,range_m,preserved_world,spread_m,axis1_span_m,axis2_span_m,axis3_span_m,linearity,planarity,scattering,neighbor_m,intensity
206:10:78,0,94,23.925899505615234,train/branched_low_rough_4,1.0373994293233237,3.964591974422799,1.7734957918577714,1.091385106664215,0.7304502204457434,0.1691028721138081,0.10044690744044862,0.15372024244945523,0.08342856913805008
206:10:79,0,36,19.266170501708984,train/branched_low_rough_4,0.5987623816518555,1.5713705709002583,1.314833956365192,0.10350472323502864,0.258530243525423,0.7353403922067985,0.006129364267778505,0.12086798807462104,0.05257142707705498
206:10:91,0,14,40.669219970703125,train/branched_low_rough_4,0.4278695829007747,1.147638038798789,1.1480482479305354,0.25083047557329885,0.18973984242743103,0.7519548922303649,0.058305265342204066,0.2502085376699734,0.06371428817510605
206:10:92,0,16,45.266658782958984,train/branched_low_rough_4,0.772100917145503,2.2173397648933575,1.2267032985983888,1.156789199513098,0.6429209920803044,0.10105919903657568,0.2560198088831199,0.28883049037796926,0.03314285725355148
206:10:93,0,56,19.052532196044922,train/branched_low_rough_4,0.8082399536330888,2.943016934166831,1.6340777400081978,0.848276317757128,0.5628387860924493,0.3537791881871105,0.08338202572044019,0.12187440520860193,0.02142857015132904
206:10:99,0,61,18.71962547302246,train/branched_low_rough_4,0.8835218667277097,3.0561390311682173,1.3222849191138206,0.6392196903198597,0.8176990389317094,0.1332515104128478,0.04904945065544273,0.11766230713521139,0.03371428698301315
206:10:100,0,101,20.459102630615234,train/branched_low_rough_4,0.9834491623680457,3.3876615875555034,1.665541981249336,0.8573294620084889,0.7602219956546209,0.197260541255197,0.04251746309018211,0.13292335158689061,0.03342857211828232
206:10:101,0,31,22.219058990478516,train/branched_low_rough_4,0.4057536868562386,1.2779162893765021,0.5568237899557499,0.33971797569799195,0.8129516656035055,0.14111024539296885,0.045938089003525646,0.14066570970273132,0.011142857372760773
206:10:102,0,68,25.165929794311523,train/branched_low_rough_4,0.9944202672140657,3.4109406864259455,1.3173937067601407,0.6336265516226418,0.8871784589013821,0.08231269769847066,0.030508843400147208,0.1616201894239649,0.028285715728998184
206:10:103,0,47,27.000558853149414,train/branched_low_rough_4,0.8409044244754773,2.8977525268151614,1.5797216412627666,0.544018427912797,0.7214304139050609,0.2418881239412081,0.036681462153731054,0.1706486193310525,0.02857142873108387
206:10:105,0,974,12.568197250366211,train/branched_low_rough_4,1.3069222956378037,4.664103381944617,2.4375346280355235,2.24569392550785,0.8360999024891494,0.08317337001656246,0.08072672749428807,0.07705634862907718,0.13014285266399384
206:10:106,0,102,15.090204238891602,train/branched_low_rough_4,0.960735013693443,3.627330012169452,1.9048648759100772,1.0452541505020663,0.6843983924658779,0.24672448018873114,0.068877127345391,0.09320664074485298,0.13600000739097595
206:10:107,0,18,17.47769546508789,train/branched_low_rough_4,0.33908117048908204,0.9743275858613044,0.7756657593971898,0.25113848910640235,0.45598088054582925,0.4849518945931886,0.05906722486098215,0.10103765347721684,0.3085714280605316
206:10:109,0,17,25.398954391479492,train/branched_low_rough_4,0.4875337867304732,1.4019350612401515,1.1926500195899774,0.33622468780926706,0.19009087999207425,0.7502358285477627,0.059673291460163,0.1571162948680851,0.04571428522467613
206:15:5,0,5,38.213993072509766,train/branched_low_rough_4,0.5730542941993236,1.5265364133103358,0.37840202956824276,0.04447942154813156,0.9468471088037136,0.05215801528469051,0.0009948759115959,0.23866165546872967,0.026000000536441803
206:15:6,0,14,35.765872955322266,train/branched_low_rough_4,0.47103178979734583,1.2450383543364643,0.9420933315154305,0.2272381223539786,0.4382479608871097,0.5351488244073033,0.026603214705587047,0.21901363066495122,0.03514285385608673
206:15:7,0,10,36.846771240234375,train/branched_low_rough_4,0.5647946253629201,1.4011105471870768,0.9033539396540956,0.39644027442261176,0.6143308162302428,0.32633039259106317,0.059338791178694075,0.2409633168362758,0.030571427196264267
206:18:5,0,19,20.390010833740234,train/branched_low_rough_4,0.5183939640277163,1.7915322145148451,0.8112835571967789,0.22305074586098883,0.7692924943317564,0.2083116251742145,0.02239588049402911,0.1295372324989531,0.034857142716646194
206:18:6,0,285,16.629575729370117,train/branched_low_rough_4,1.1444421833168381,5.514842289953323,1.9170616515738492,1.5284593431790459,0.6854379715308475,0.20494296002742163,0.10961906844173086,0.10489054303600841,0.10085714608430862
206:18:8,0,64,22.418901443481445,train/branched_low_rough_4,0.9465520591724961,2.491329788340762,2.1303527588560236,0.8305127996237358,0.36087376159918183,0.5745871716253035,0.06453906677551473,0.13835266314867423,0.07971428334712982
206:30:19,0,12,17.19429588317871,train/branched_low_rough_4,0.17903628320252843,0.4725585088327938,0.3969023221851556,0.14740167601917817,0.14916799704471925,0.7256634418378012,0.12516856111747954,0.11045638411801542,0.28871428966522217
206:30:20,0,14,16.84029769897461,train/branched_low_rough_4,0.19553039437196393,0.5036857420388828,0.3774087757179323,0.1391788776004633,0.40439766648413444,0.5314924361916508,0.06410989732421482,0.10958776014825733,0.40157145261764526
206:30:22,0,14,38.164466857910156,train/branched_low_rough_4,0.47953099893338197,1.4256253327351716,0.47650836006228947,0.29436628527721365,0.881680238587805,0.0914288530688947,0.026890908343300286,0.2356044382987817,0.0584285706281662
206:254:6,0,8,21.68380355834961,train/branched_low_rough_4,0.16346730612086202,0.3860321703477986,0.24562795618755767,0.16965607928651566,0.43741728283245396,0.3802339396013289,0.18234877756621717,0.13518284554284904,0.14814285933971405
