structure,frame,points,original_points,slots,range_m,world_copies,example_world,coarse_world_copies,coarse_example_world
206:10:104,0,3,3,73700;74700;75732,30.216554641723633,70,train/branched_low_rough_4,20,train/branched_low_rough_6
206:10:108,0,1,1,74636,20.179765701293945,70,train/branched_low_rough_4,20,train/branched_low_rough_6
206:10:104,1,3,3,73703;74703;75735,30.43355369567871,67,train/branched_low_rough_4,17,train/branched_low_rough_6
206:10:108,1,2,2,71577;71578,20.28302001953125,67,train/branched_low_rough_4,17,train/branched_low_rough_6
206:254:14,1,4,4,66952;67984;69017;70017,41.230690002441406,67,train/branched_low_rough_4,17,train/branched_low_rough_6
206:15:5,2,4,4,72039;73071;73074;74074,38.06587219238281,70,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,3,3,3,72675;73707;74707,30.871997833251953,69,train/branched_low_rough_4,18,train/branched_low_rough_6
206:10:108,3,2,2,70554;73646,20.742862701416016,69,train/branched_low_rough_4,18,train/branched_low_rough_6
206:15:5,3,3,3,72042;73075;74075,37.94499206542969,69,train/branched_low_rough_4,18,train/branched_low_rough_6
206:255:6,3,2,2,80166;81198,21.45273208618164,69,train/branched_low_rough_4,18,train/branched_low_rough_6
206:30:20,3,1,18,78187,16.276823043823242,1,train/sheet_raised_rough_7,0,
206:10:95,4,4,4,70928;70930;71958;73998,36.34900665283203,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,4,4,4,71646;72678;73710;74710,31.10863494873047,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:108,4,2,2,70557;73649,20.792861938476562,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:92,4,4,5,65887;67953;67958;68990,45.597293853759766,1,train/sheet_raised_rough_7,0,
206:30:20,4,1,19,78188,16.129823684692383,1,train/sheet_raised_rough_7,0,
206:10:104,5,2,2,71648;72680,31.364891052246094,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:108,5,3,3,69561;72620;72621,21.249286651611328,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:114,5,1,1,82189,26.107845306396484,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:15:5,5,4,4,72040;73078;74075;74078,37.55024719238281,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:30:20,5,3,15,76156;77188;78188,16.083070755004883,1,train/sheet_raised_rough_7,0,
206:10:64,6,2,2,75288;75289,27.397056579589844,72,train/branched_low_rough_4,20,train/branched_low_rough_6
206:10:104,6,4,4,70619;71651;72683;73715,31.572351455688477,72,train/branched_low_rough_4,20,train/branched_low_rough_6
206:30:20,6,3,20,75124;79220;79221,15.798630714416504,1,train/sheet_raised_rough_7,0,
206:10:104,7,2,2,71654;72686,31.848390579223633,75,train/branched_low_rough_4,21,train/branched_low_rough_6
206:15:5,7,3,3,72042;72043;73080,37.060272216796875,75,train/branched_low_rough_4,21,train/branched_low_rough_6
206:254:7,7,4,4,76009;79072;79073;81136,13.437231063842773,75,train/branched_low_rough_4,21,train/branched_low_rough_6
206:30:20,7,3,17,76157;79220;79221,15.603630065917969,1,train/sheet_raised_rough_7,0,
206:10:64,8,1,1,75295,26.747556686401367,74,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:96,8,2,2,72989;72991,38.16199493408203,74,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:104,8,1,1,72689,32.134273529052734,74,train/branched_low_rough_4,21,train/branched_low_rough_6
206:15:5,8,4,4,71011;71017;73082;74083,37.18387222290039,73,train/branched_low_rough_4,21,train/branched_low_rough_6
206:254:7,8,2,2,76009;79075,13.571989059448242,74,train/branched_low_rough_4,21,train/branched_low_rough_6
206:15:5,8,3,4,71011;71017;73082,37.166996002197266,1,train/sheet_raised_rough_7,0,
206:10:91,9,1,1,73084,39.377994537353516,74,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:104,9,3,3,69627;70627;71659,32.35194396972656,75,train/branched_low_rough_4,21,train/branched_low_rough_6
206:15:7,9,4,6,71017;72043;74078;74082,35.480125427246094,1,train/sheet_raised_rough_7,0,
206:10:64,10,1,1,76333,26.243309020996094,75,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:91,10,4,4,72057;72058;74086;74090,39.222511291503906,74,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:95,10,3,3,74000;75034;75036,35.34755325317383,75,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:104,10,3,3,69630;70630;71662,32.59550476074219,75,train/branched_low_rough_4,21,train/branched_low_rough_6
206:15:5,10,2,2,74085;75115,36.794151306152344,74,train/branched_low_rough_4,21,train/branched_low_rough_6
206:255:6,10,1,1,85296,21.552135467529297,75,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:91,10,2,4,72057;72058,39.162269592285156,1,train/sheet_raised_rough_7,0,
206:15:7,10,4,7,73083;74078;74083;76143,35.40802764892578,1,train/sheet_raised_rough_7,0,
206:10:64,11,2,2,77368;77370,25.760053634643555,73,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:95,11,2,2,76066;78102,35.16705322265625,73,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:96,11,3,3,76051;76053;77085,39.25429916381836,73,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:104,11,1,1,70633,32.953704833984375,73,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:108,11,4,4,67517;67518;69579;70576,22.23395347595215,73,train/branched_low_rough_4,21,train/branched_low_rough_6
206:15:7,11,3,8,73078;74085;77177,35.18775177001953,1,train/sheet_raised_rough_7,0,
206:10:64,12,2,2,76341;76342,25.861312866210938,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:95,12,1,1,76064,36.65330505371094,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:96,12,2,2,76053;77085,39.55717086791992,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:104,12,1,1,70635,33.09370422363281,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:108,12,2,2,67521;69582,22.411205291748047,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:15:5,12,1,1,77186,36.7320442199707,76,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:64,13,2,2,72253;76343,26.09679412841797,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:95,13,1,1,78113,34.3828010559082,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:96,13,2,2,73995;76061,39.160526275634766,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:104,13,3,3,68611;70637;71669,33.4077033996582,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:109,13,2,2,65488;65489,28.326889038085938,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:15:5,13,2,2,75116;77183,36.275299072265625,76,train/branched_low_rough_4,21,train/branched_low_rough_6
