world,source_sequence,world_identity,historical_combination,historical_shape_family,geometry_parent,length_local_m,width_local_m,height_local_m,primitives,continuous_deformation,vertical_exponent_min,vertical_exponent_max,horizontal_exponent_min,horizontal_exponent_max,yaw_rad,intensity_quantile,material_roughness,support_frame,support_semantic,support_plane_rmse_m,contact_residual_m,local_z_support_angle_deg,historical_reference_frame,historical_reference_points,stored_frames,source_binding_verified,historical_eligible_frames,historical_one_to_four_frames,compared_files,verified_frames,eligible_frames,one_to_four_frames,anomaly_points,main_v3_equal,surface_level_abs_max,background_interior_points,historical_collision_unresolved,eligible_segments
train/branched_low_rough_1,206,3d5424d68821663cce6d17674e7df61a8bd579e385e4186b67d1561c8839eddd,branched/low/rough,cross,train/2453,1.3919320613314812,1.54570070715672,0.16252066187365807,2,False,0.5335905985151138,0.9915261814956713,0.49537422931696756,1.0999864867736364,1.5687226973611157,0.5112815577499109,0.2080140375418124,161,40,0.011210221404605172,-5.503429787584446e-07,0.0,161,8,449,True,203,58,449,449,203,58,12760,True,6.377771159415403e-07,0,0,13
train/branched_low_rough_2,206,479f1a6157c5ad90d6a279a491f06dd86fb07b42081876d1137644377e6ee2df,branched/low/rough,cross,train/2442,1.0758884190548546,1.752332176524763,0.17003005560446266,2,False,0.911772913605874,1.0751271346476958,0.561679677243508,0.5736863153200158,1.019641325472949,0.35801404218560345,0.2585472119635845,109,40,0.00793408783481534,-2.4362743378247842e-08,0.0,109,8,449,True,46,57,449,449,46,57,2126,True,3.2372594164402567e-07,0,0,1
train/branched_low_rough_3,206,5cecc230001a6601d682e22d5598da1e91c00a6f4b37af2859756f5a8855b971,branched/low/rough,cross,train/15150,0.9743971970035556,0.9553060646203316,0.15690869660948675,2,False,0.5384965735146925,0.8822098280641999,0.5354123237834643,0.7677708449413083,-0.6581311362260629,0.12191942245531576,0.34876683894645216,253,40,0.012873866252653384,-9.878346252101267e-08,0.0,57,8,449,True,63,45,449,449,63,45,2272,True,1.3788637100292744e-06,0,0,4
train/branched_low_rough_4,206,68c3edaaf6b2192701d23358e29e0a0a7c67431d219e347e072fefbfb68a37e5,branched/low/rough,cross,train/2435,1.618979350456443,0.9542759023231208,0.19170986256775294,2,False,0.6542833885891112,0.796712454178801,0.7387048472852475,0.9971562338834812,-1.76684948304038,0.5934212889277493,0.12256175632738359,27,40,0.00930154536387969,1.1387967929765708e-09,0.0,27,8,449,True,112,67,449,449,112,67,8987,True,2.994405647778381e-06,0,0,8
train/branched_low_rough_5,206,c404b546e4f79c890560bfebac029f85c5482a8a078961e537641120bc170135,branched/low/rough,cross,train/2439,0.9083623974172816,1.291756714832948,0.1159835937063492,2,False,1.0826250971019602,1.1774985839164482,0.6235326281645789,0.822609323917902,-2.852329086247081,0.36731779940310655,0.4888464294693757,93,40,0.008330810049998071,-2.2819722222955367e-09,0.0,93,5,449,True,27,39,449,449,27,39,324,True,3.1582313694704983e-07,0,0,5
train/branched_low_rough_6,206,ce14f38b1336528a9d2ef445e6307146e56e9dd8bccc7471fa5e0d1524493158,branched/low/rough,cross,train/15135,1.724662135390697,1.4750787892323478,0.13252384715631327,2,False,0.555328208112596,0.6528004784857663,0.4444401215288582,0.6947295552927318,0.7489298127124009,0.43647437004964307,0.06096038244097535,90,40,0.028856997970266685,-4.51689267932931e-09,0.0,228,7,449,True,184,24,449,449,184,24,12663,True,1.3285791882246261e-06,0,0,20
train/branched_low_rough_7,206,e7900b6dd1c3c375e15adc10e7e59c15523b7584ef115ba91d38a95ebbfdc369,branched/low/rough,cross,train/2470,1.3919254112385422,1.10398656887357,0.12901053611418034,2,False,0.6714104660548076,0.9485087271023587,0.7850646158805434,1.0324497887230635,-2.067727332075974,0.4747278407205666,0.16085866000646226,253,40,0.006714554348214678,-2.8417288716608983e-08,0.0,253,8,449,True,135,54,449,449,135,54,10597,True,5.804442967233969e-07,0,0,18
train/branched_low_rough_8,206,ef6baee7cc7f26c5fb15e0bc479f5cb59ca4df3aeb606b83c1b5144776b6a150,branched/low/rough,cross,train/2446,0.9425451501498802,0.8669197330736979,0.12375282764757067,2,False,0.6881444657416693,1.003813735203816,1.139025024298407,1.1479010406481138,-1.5889315708345229,0.2213780876873741,0.37163109268932265,84,40,0.01008112707068749,-4.234005784864436e-09,0.0,84,6,449,True,37,63,449,449,37,63,740,True,5.967300681203479e-07,0,0,9
train/branched_low_smooth_1,206,0c55055eaa5e4fa28a5468ae6e6b57d4efcd19fdd235d88175a6556e15572baf,branched/low/smooth,cross,train/2474,1.6365998984366386,1.7002482708714663,0.14992580356653643,2,False,0.6956453681170284,1.1636759294057715,0.49840683032644617,0.5375566857597714,-0.7392140750158323,0.7368511614256865,0.22968822294932095,141,40,0.010888778829757544,-3.543008206263743e-09,0.0,141,8,449,True,47,99,449,449,47,99,1540,True,3.4832914634593807e-07,15,0,8
train/branched_low_smooth_2,206,259133937731a90ef66bdbb6d7bf0c39e277b8afe57ab4f8edea30051d775e5b,branched/low/smooth,cross,train/2460,1.066221597974622,1.6159231049973999,0.14177340137191674,2,False,0.7882372142445367,0.8960454020256131,0.9662139739049326,1.1702272266905978,-1.763089698308282,0.05773232117113558,0.3649150684884859,17,40,0.007920709370336863,-3.5515525784179935e-08,0.0,17,8,449,True,60,3,449,449,60,3,5281,True,2.415130400541597e-07,0,0,2
