dimension,group,positive,negative,tp,fp,frames
control/inserted_category,human.pedestrian.adult,0,63,0,63,10
control/inserted_category,vehicle.bicycle,0,28,0,28,10
control/inserted_category,vehicle.car,0,679,0,248,10
control/inserted_category,vehicle.motorcycle,0,578,0,94,10
control_nuscenes/normal_semantic,flat.driveable_surface,0,381185,0,18209,40
control_nuscenes/normal_semantic,flat.sidewalk,0,73977,0,6759,40
control_nuscenes/normal_semantic,flat.terrain,0,99696,0,9033,34
control_nuscenes/normal_semantic,human.pedestrian.adult,0,1381,0,1128,29
control_nuscenes/normal_semantic,human.pedestrian.child,0,5,0,5,1
control_nuscenes/normal_semantic,human.pedestrian.construction_worker,0,210,0,97,4
control_nuscenes/normal_semantic,static.vegetation,0,119999,0,21409,39
control_nuscenes/normal_semantic,vehicle.bicycle,0,95,0,31,12
control_nuscenes/normal_semantic,vehicle.bus.bendy,0,191,0,176,1
control_nuscenes/normal_semantic,vehicle.bus.rigid,0,759,0,550,9
control_nuscenes/normal_semantic,vehicle.car,0,38777,0,6052,38
control_nuscenes/normal_semantic,vehicle.construction,0,330,0,166,9
control_nuscenes/normal_semantic,vehicle.emergency.ambulance,0,6,0,6,1
control_nuscenes/normal_semantic,vehicle.emergency.police,0,889,0,4,1
control_nuscenes/normal_semantic,vehicle.motorcycle,0,152,0,70,12
control_nuscenes/normal_semantic,vehicle.trailer,0,3348,0,1468,12
control_nuscenes/normal_semantic,vehicle.truck,0,20764,0,5118,27
control_nuscenes/normal_semantic_range,flat.driveable_surface/10-20,0,56569,0,5832,40
control_nuscenes/normal_semantic_range,flat.driveable_surface/2.5-10,0,311833,0,1910,40
control_nuscenes/normal_semantic_range,flat.driveable_surface/20-30,0,10707,0,8391,40
control_nuscenes/normal_semantic_range,flat.driveable_surface/30-40,0,1861,0,1861,36
control_nuscenes/normal_semantic_range,flat.driveable_surface/40-50,0,215,0,215,28
control_nuscenes/normal_semantic_range,flat.sidewalk/10-20,0,21320,0,2254,40
control_nuscenes/normal_semantic_range,flat.sidewalk/2.5-10,0,47395,0,434,36
control_nuscenes/normal_semantic_range,flat.sidewalk/20-30,0,4227,0,3039,40
control_nuscenes/normal_semantic_range,flat.sidewalk/30-40,0,792,0,789,34
control_nuscenes/normal_semantic_range,flat.sidewalk/40-50,0,243,0,243,25
control_nuscenes/normal_semantic_range,flat.terrain/10-20,0,25382,0,1733,28
control_nuscenes/normal_semantic_range,flat.terrain/2.5-10,0,64411,0,684,26
control_nuscenes/normal_semantic_range,flat.terrain/20-30,0,6505,0,3341,32
control_nuscenes/normal_semantic_range,flat.terrain/30-40,0,2525,0,2402,31
control_nuscenes/normal_semantic_range,flat.terrain/40-50,0,873,0,873,28
control_nuscenes/normal_semantic_range,human.pedestrian.adult/10-20,0,692,0,574,20
control_nuscenes/normal_semantic_range,human.pedestrian.adult/2.5-10,0,429,0,303,4
control_nuscenes/normal_semantic_range,human.pedestrian.adult/20-30,0,158,0,149,20
control_nuscenes/normal_semantic_range,human.pedestrian.adult/30-40,0,76,0,76,14
control_nuscenes/normal_semantic_range,human.pedestrian.adult/40-50,0,26,0,26,9
control_nuscenes/normal_semantic_range,human.pedestrian.child/10-20,0,5,0,5,1
control_nuscenes/normal_semantic_range,human.pedestrian.child/2.5-10,0,0,0,0,0
control_nuscenes/normal_semantic_range,human.pedestrian.child/20-30,0,0,0,0,0
control_nuscenes/normal_semantic_range,human.pedestrian.child/30-40,0,0,0,0,0
control_nuscenes/normal_semantic_range,human.pedestrian.child/40-50,0,0,0,0,0
control_nuscenes/normal_semantic_range,human.pedestrian.construction_worker/10-20,0,69,0,32,3
control_nuscenes/normal_semantic_range,human.pedestrian.construction_worker/2.5-10,0,130,0,54,1
control_nuscenes/normal_semantic_range,human.pedestrian.construction_worker/20-30,0,5,0,5,1
control_nuscenes/normal_semantic_range,human.pedestrian.construction_worker/30-40,0,6,0,6,1
control_nuscenes/normal_semantic_range,human.pedestrian.construction_worker/40-50,0,0,0,0,0
control_nuscenes/normal_semantic_range,static.vegetation/10-20,0,37941,0,1252,35
control_nuscenes/normal_semantic_range,static.vegetation/2.5-10,0,27467,0,2252,26
control_nuscenes/normal_semantic_range,static.vegetation/20-30,0,26689,0,3419,39
control_nuscenes/normal_semantic_range,static.vegetation/30-40,0,17899,0,7287,37
control_nuscenes/normal_semantic_range,static.vegetation/40-50,0,10003,0,7199,38
control_nuscenes/normal_semantic_range,vehicle.bicycle/10-20,0,42,0,7,3
control_nuscenes/normal_semantic_range,vehicle.bicycle/2.5-10,0,29,0,0,1
control_nuscenes/normal_semantic_range,vehicle.bicycle/20-30,0,11,0,11,3
control_nuscenes/normal_semantic_range,vehicle.bicycle/30-40,0,4,0,4,3
control_nuscenes/normal_semantic_range,vehicle.bicycle/40-50,0,9,0,9,4
control_nuscenes/normal_semantic_range,vehicle.bus.bendy/10-20,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.bus.bendy/2.5-10,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.bus.bendy/20-30,0,171,0,157,1
control_nuscenes/normal_semantic_range,vehicle.bus.bendy/30-40,0,20,0,19,1
control_nuscenes/normal_semantic_range,vehicle.bus.bendy/40-50,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.bus.rigid/10-20,0,295,0,183,2
control_nuscenes/normal_semantic_range,vehicle.bus.rigid/2.5-10,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.bus.rigid/20-30,0,225,0,128,4
control_nuscenes/normal_semantic_range,vehicle.bus.rigid/30-40,0,85,0,85,4
control_nuscenes/normal_semantic_range,vehicle.bus.rigid/40-50,0,154,0,154,6
control_nuscenes/normal_semantic_range,vehicle.car/10-20,0,5063,0,1808,30
control_nuscenes/normal_semantic_range,vehicle.car/2.5-10,0,31450,0,2019,24
control_nuscenes/normal_semantic_range,vehicle.car/20-30,0,1368,0,1329,31
control_nuscenes/normal_semantic_range,vehicle.car/30-40,0,630,0,630,31
control_nuscenes/normal_semantic_range,vehicle.car/40-50,0,266,0,266,23
control_nuscenes/normal_semantic_range,vehicle.construction/10-20,0,72,0,36,1
control_nuscenes/normal_semantic_range,vehicle.construction/2.5-10,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.construction/20-30,0,142,0,48,5
control_nuscenes/normal_semantic_range,vehicle.construction/30-40,0,79,0,45,6
control_nuscenes/normal_semantic_range,vehicle.construction/40-50,0,37,0,37,3
control_nuscenes/normal_semantic_range,vehicle.emergency.ambulance/10-20,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.emergency.ambulance/2.5-10,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.emergency.ambulance/20-30,0,6,0,6,1
control_nuscenes/normal_semantic_range,vehicle.emergency.ambulance/30-40,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.emergency.ambulance/40-50,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.emergency.police/10-20,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.emergency.police/2.5-10,0,889,0,4,1
control_nuscenes/normal_semantic_range,vehicle.emergency.police/20-30,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.emergency.police/30-40,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.emergency.police/40-50,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.motorcycle/10-20,0,106,0,32,4
control_nuscenes/normal_semantic_range,vehicle.motorcycle/2.5-10,0,0,0,0,0
control_nuscenes/normal_semantic_range,vehicle.motorcycle/20-30,0,24,0,16,4
control_nuscenes/normal_semantic_range,vehicle.motorcycle/30-40,0,15,0,15,6
control_nuscenes/normal_semantic_range,vehicle.motorcycle/40-50,0,7,0,7,3
control_nuscenes/normal_semantic_range,vehicle.trailer/10-20,0,1124,0,169,4
control_nuscenes/normal_semantic_range,vehicle.trailer/2.5-10,0,214,0,0,2
control_nuscenes/normal_semantic_range,vehicle.trailer/20-30,0,912,0,359,6
control_nuscenes/normal_semantic_range,vehicle.trailer/30-40,0,795,0,686,7
control_nuscenes/normal_semantic_range,vehicle.trailer/40-50,0,303,0,254,8
control_nuscenes/normal_semantic_range,vehicle.truck/10-20,0,3455,0,925,14
control_nuscenes/normal_semantic_range,vehicle.truck/2.5-10,0,15144,0,2609,10
control_nuscenes/normal_semantic_range,vehicle.truck/20-30,0,1120,0,646,15
control_nuscenes/normal_semantic_range,vehicle.truck/30-40,0,810,0,703,16
control_nuscenes/normal_semantic_range,vehicle.truck/40-50,0,235,0,235,18
control_nuscenes/range,10-20,0,152274,0,14922,40
control_nuscenes/range,2.5-10,0,500494,0,10523,40
control_nuscenes/range,20-30,0,52329,0,21096,40
control_nuscenes/range,30-40,0,25621,0,14632,40
control_nuscenes/range,40-50,0,12394,0,9541,40
control_nuscenes/scene,scene-0003,0,16820,0,2121,1
control_nuscenes/scene,scene-0014,0,23704,0,2549,1
control_nuscenes/scene,scene-0038,0,42765,0,4026,2
control_nuscenes/scene,scene-0103,0,17015,0,1315,1
control_nuscenes/scene,scene-0107,0,13015,0,1233,1
control_nuscenes/scene,scene-0270,0,23870,0,2998,1
control_nuscenes/scene,scene-0331,0,21570,0,1462,1
control_nuscenes/scene,scene-0332,0,19466,0,1565,1
control_nuscenes/scene,scene-0344,0,16985,0,1684,1
control_nuscenes/scene,scene-0521,0,21623,0,2181,1
control_nuscenes/scene,scene-0522,0,19605,0,1924,1
control_nuscenes/scene,scene-0523,0,7936,0,1059,1
control_nuscenes/scene,scene-0524,0,20789,0,1428,1
control_nuscenes/scene,scene-0552,0,21712,0,2586,1
control_nuscenes/scene,scene-0553,0,15614,0,1352,1
control_nuscenes/scene,scene-0554,0,15696,0,1306,1
control_nuscenes/scene,scene-0561,0,18112,0,1778,1
control_nuscenes/scene,scene-0563,0,40201,0,4522,2
control_nuscenes/scene,scene-0629,0,13235,0,1114,1
control_nuscenes/scene,scene-0630,0,14932,0,1175,1
control_nuscenes/scene,scene-0633,0,15433,0,1708,1
control_nuscenes/scene,scene-0635,0,15226,0,2037,1
control_nuscenes/scene,scene-0780,0,17266,0,1470,1
control_nuscenes/scene,scene-0794,0,21072,0,2668,1
control_nuscenes/scene,scene-0797,0,22763,0,2261,1
control_nuscenes/scene,scene-0800,0,20943,0,2692,1
control_nuscenes/scene,scene-0905,0,13547,0,1011,1
control_nuscenes/scene,scene-0912,0,13949,0,1160,1
control_nuscenes/scene,scene-0913,0,16799,0,1239,1
control_nuscenes/scene,scene-0929,0,22886,0,1252,1
control_nuscenes/scene,scene-0962,0,21518,0,2651,1
control_nuscenes/scene,scene-0968,0,38741,0,3975,2
control_nuscenes/scene,scene-0971,0,19338,0,1607,1
control_nuscenes/scene,scene-0972,0,18926,0,1525,1
control_nuscenes/scene,scene-1059,0,17028,0,1644,1
control_nuscenes/scene,scene-1066,0,21740,0,1352,1
control_nuscenes/scene,scene-1068,0,21272,0,1084,1
eligible/donor,13130e479a3c4ddcaba9c09520d7d47a,10,0,10,0,2
eligible/donor,2614f6d41c3c41ee96050e54bde2f8fd,21,0,21,0,4
eligible/donor,280c02d06fbc4f8997345601852e5426,35,0,35,0,4
