threshold,recall,precision,tp,fp
41.0,0.0006057212082423799,0.726027397260274,53,20
40.75,0.0013828729471193955,0.7469135802469136,121,41
40.5,0.0019885941553617757,0.7631578947368421,174,54
40.25,0.002491457045223374,0.7813620071684588,218,61
40.0,0.003325752294311935,0.8243626062322946,291,62
39.75,0.004217191053612041,0.8561484918793504,369,62
39.5,0.005245774237419856,0.8809980806142035,459,62
39.25,0.0063543583355238345,0.8996763754045307,556,62
39.0,0.0076572303683470665,0.9153005464480874,670,62
38.75,0.009222962548143407,0.9286536248561565,807,62
38.5,0.010582978091178185,0.937246963562753,926,62
38.25,0.011862992719916799,0.9436363636363636,1038,62
38.0,0.013325866581332358,0.9495114006514658,1166,62
37.75,0.014434450679436337,0.9524886877828054,1263,63
37.5,0.015885895838809585,0.956641431520991,1390,63
37.25,0.017417341912479,0.9603024574669187,1524,63
37.0,0.01888021577389456,0.963265306122449,1652,63
36.75,0.020388804443479354,0.9653679653679653,1784,64
36.5,0.02188596441102184,0.9671717171717171,1915,65
36.25,0.023634555823495124,0.9690721649484536,2068,66
36.0,0.02525743151350301,0.9701492537313433,2210,68
35.75,0.02733745528520326,0.9723577235772358,2392,68
35.5,0.0292803346323958,0.973404255319149,2562,70
35.25,0.03138321580818067,0.9744499645138396,2746,72
35.0,0.03331466645333089,0.9752425560388089,2915,74
34.75,0.03514325878010034,0.9755710659898477,3075,77
34.5,0.037406141784477535,0.9764319809069213,3273,79
34.25,0.03953188036434702,0.9776710005652911,3459,79
34.0,0.04195476519731654,0.9789333333333333,3671,79
33.75,0.04440050743437068,0.9795763993948563,3885,81
33.5,0.04681196356529789,0.9792015300023906,4096,87
33.25,0.049063417867632776,0.9796896394340484,4293,89
33.0,0.05152058880672922,0.980426272292301,4508,90
32.75,0.05398918844786797,0.9802863664660718,4724,95
32.5,0.056457788089006734,0.980742505459599,4940,97
32.25,0.05872067109338393,0.9805343511450382,5138,102
32.0,0.06059497822832261,0.9807621161672216,5302,104
31.875,0.06209213819586509,0.9808629716555335,5433,106
31.75,0.06352072595115373,0.9809389339922344,5558,108
31.625,0.0647435970696808,0.9801038062283737,5665,115
31.5,0.06605789780454634,0.980325644504749,5780,116
31.375,0.0674064846455388,0.9802227023433605,5898,119
31.25,0.06873221408244666,0.9799576340231383,6014,123
31.125,0.07014937313569299,0.9798850574712644,6138,126
31.0,0.07166939050732009,0.980150046889653,6271,127
30.875,0.07312083566669333,0.9802359430059752,6398,129
30.75,0.07453799471993966,0.9801623083859333,6522,132
30.625,0.07605801209156676,0.9802621888348799,6655,134
30.5,0.07789803312037852,0.9805783340526543,6816,135
30.375,0.079395193087921,0.980383855489698,6947,139
30.25,0.08100664007588658,0.9802240354031254,7088,143
30.125,0.08246951393730215,0.9803015894579541,7216,145
30.0,0.08401238871301386,0.9800026663111585,7351,150
29.875,0.08536097555400633,0.9794125360608444,7469,157
29.75,0.08673241979908342,0.979478575116159,7589,159
29.625,0.08824100846866821,0.9795737122557726,7721,161
29.5,0.08968102492599915,0.9794058911632552,7847,165
29.375,0.09122389970171088,0.9795066879371702,7982,167
29.25,0.09284677539171876,0.9797395079594791,8124,168
29.125,0.09437822146538817,0.9793643263757116,8258,174
29.0,0.09598966845335376,0.9795894564963844,8399,175
28.875,0.09765825895153088,0.979706489337308,8545,177
28.75,0.09910970411090413,0.9794443189518861,8672,182
28.625,0.10051543446210814,0.9797259663584716,8795,182
28.5,0.10212688145007372,0.9791803637957485,8936,190
28.375,0.10388690156458931,0.9789983844911146,9090,195
28.25,0.10529263191579333,0.9787527886964836,9213,200
28.125,0.10714408164664739,0.9786012526096033,9375,205
28.0,0.10872124252848604,0.9788044037452412,9513,206
27.875,0.11051554874912856,0.9788440125518777,9670,209
27.75,0.11200128001462874,0.9789231844970533,9800,211
27.625,0.11364701310872125,0.9786438342682807,9944,217
27.5,0.1152241739905599,0.9784549689440993,10082,222
27.375,0.11710990982754088,0.9784207008498043,10247,226
27.25,0.11882421513388725,0.9784490871447393,10397,229
27.125,0.1204128047177682,0.9782729805013928,10536,234
27.0,0.12195567949347992,0.9779142228739003,10671,241
