threshold,recall,precision,tp,fp
9.75,0.0,0.0,0,101
9.6875,0.0002514314449307992,0.038461538461538464,22,550
9.625,0.001474302563457868,0.1054783319705642,129,1094
9.5625,0.004045760522977405,0.20159453302961275,354,1402
9.5,0.008148664556166356,0.30470085470085473,713,1627
9.4375,0.01462873861415559,0.42091417296941797,1280,1761
9.375,0.021680247774260277,0.5096722192369694,1897,1825
9.3125,0.03219465365318461,0.6011523687580026,2817,1869
9.25,0.04474336849563995,0.673374613003096,3915,1899
9.1875,0.060172116252757174,0.73185988323603,5265,1929
9.125,0.07803517754488623,0.7781196581196581,6828,1947
9.0625,0.09608109806969223,0.8087542087542088,8407,1988
9.0,0.11217271054526337,0.8282700421940928,9815,2035
8.9375,0.12818432210653835,0.8422317338739956,11216,2101
8.875,0.1445273660270403,0.8540555142837847,12646,2161
8.8125,0.16056183499239993,0.8623250675178001,14049,2243
8.75,0.17586486702705173,0.8659051263294131,15388,2383
8.6875,0.1908250380004343,0.8665213555451762,16697,2572
8.625,0.20415090458176666,0.8662528490373891,17863,2758
8.5625,0.21698533697527972,0.8661101227133798,18986,2935
8.5,0.22948833700956583,0.8651070613071389,20080,3131
8.4375,0.2424484851255443,0.8637622149837133,21214,3346
8.375,0.25515720179659196,0.8635414249245764,22326,3528
8.3125,0.26768305923496266,0.8641847765929971,23422,3681
8.25,0.27960319546509105,0.8640907003849821,24465,3848
8.1875,0.2915804752054309,0.863822583375656,25513,4022
8.125,0.30334060960696696,0.8625373716365528,26542,4230
8.0625,0.31598075406576076,0.862436833239753,27648,4410
8.0,0.324975142573058,0.8613012661295208,28435,4579
7.96875,0.3310437833575241,0.8604955142296952,28966,4696
7.9375,0.33667813346438247,0.8597904445028165,29459,4804
7.90625,0.34231248357124083,0.8591836149278563,29952,4909
7.875,0.3480039771883107,0.8584235453315291,30450,5022
7.84375,0.35383261522988835,0.8586404858973292,30960,5097
7.8125,0.3594326792306198,0.8578598510678923,31450,5211
7.78125,0.36494131361501275,0.8575572027070577,31932,5304
7.75,0.370461376701448,0.8575396825396825,32415,5385
7.71875,0.3760271545960525,0.8571130851590382,32902,5485
7.6875,0.38111292700488003,0.8563467810277086,33347,5594
7.65625,0.3862215568177922,0.8555659636952834,33794,5705
7.625,0.39110161258985815,0.8551188185611834,34221,5798
7.59375,0.3957873804272049,0.854495657323332,34631,5897
7.5625,0.4004617195625093,0.8538427798625664,35040,5998
7.53125,0.40512462999577137,0.8531202618468869,35448,6103
7.5,0.40986754134332964,0.8521765991825873,35863,6221
7.46875,0.4148504554337764,0.8509107105182963,36299,6360
7.4375,0.4194905084629539,0.849790475308499,36705,6488
7.40625,0.4236505560063544,0.8483967683610647,37069,6624
7.375,0.4280163201865164,0.8469244685662596,37451,6769
7.34375,0.43250780008914386,0.8459784503956722,37844,6890
7.3125,0.43717071052240597,0.8449372680685634,38252,7020
7.28125,0.4409878970045372,0.8440555616318495,38586,7129
7.25,0.4451136584418108,0.8426438771094764,38947,7273
7.21875,0.44910227545457665,0.841456102783726,39296,7404
7.1875,0.4527594601081155,0.8404794738517025,39616,7519
7.15625,0.45659950399433136,0.8394864575234813,39952,7639
7.125,0.4605995497091395,0.8383674488267598,40302,7770
7.09375,0.4642338769585938,0.8376121249613362,40620,7875
7.0625,0.4679824912284712,0.8366125242619267,40948,7997
7.03125,0.4717996777106024,0.8355834429713592,41282,8123
7.0,0.4753997188539298,0.8344098531653695,41597,8255
6.96875,0.4790226174013417,0.8334957344840614,41914,8373
