first,second,target_recall,kind,key,new_fp,fixed_fp,new_fn,fixed_fn
control,hard,0.5,distance,0,602,0,153,35
control,hard,0.5,distance,1,228,65,328,279
control,hard,0.5,distance,2,286,23,86,222
control,hard,0.5,distance,3,11,7,12,31
control,hard,0.5,distance,4,6,0,4,7
control,hard,0.5,normal_semantic,10,0,0,0,0
control,hard,0.5,normal_semantic,11,0,0,0,0
control,hard,0.5,normal_semantic,15,0,0,0,0
control,hard,0.5,normal_semantic,18,0,0,0,0
control,hard,0.5,normal_semantic,20,0,0,0,0
control,hard,0.5,normal_semantic,30,0,0,0,0
control,hard,0.5,normal_semantic,31,0,0,0,0
control,hard,0.5,normal_semantic,32,0,0,0,0
control,hard,0.5,normal_semantic,40,773,95,0,0
control,hard,0.5,normal_semantic,48,0,0,0,0
control,hard,0.5,normal_semantic,49,0,0,0,0
control,hard,0.5,normal_semantic,50,351,0,0,0
control,hard,0.5,normal_semantic,51,0,0,0,0
control,hard,0.5,normal_semantic,70,9,0,0,0
control,hard,0.5,normal_semantic,71,0,0,0,0
control,hard,0.5,normal_semantic,72,0,0,0,0
control,hard,0.5,normal_semantic,80,0,0,0,0
control,hard,0.5,normal_semantic,81,0,0,0,0
control,hard,0.5,object,125:1,0,0,146,43
control,hard,0.5,object,137:3,0,0,0,15
control,hard,0.5,object,138:4,0,0,1,4
control,hard,0.5,object,138:5,0,0,32,25
control,hard,0.5,object,139:7,0,0,15,58
control,hard,0.5,object,140:1,0,0,6,13
control,hard,0.5,object,141:4,0,0,173,73
control,hard,0.5,object,141:5,0,0,8,30
control,hard,0.5,object,142:2,0,0,0,10
control,hard,0.5,object,142:3,0,0,1,11
control,hard,0.5,object,143:3,0,0,37,7
control,hard,0.5,object,144:2,0,0,1,0
control,hard,0.5,object,144:3,0,0,0,4
control,hard,0.5,object,144:4,0,0,0,2
control,hard,0.5,object,144:5,0,0,14,6
control,hard,0.5,object,145:1,0,0,0,11
control,hard,0.5,object,145:2,0,0,0,15
control,hard,0.5,object,146:2,0,0,0,33
control,hard,0.5,object,147:2,0,0,6,22
control,hard,0.5,object,148:2,0,0,10,44
control,hard,0.5,object,149:2,0,0,3,7
control,hard,0.5,object,149:3,0,0,20,26
control,hard,0.5,object,150:2,0,0,7,13
control,hard,0.5,object,150:3,0,0,7,2
control,hard,0.5,object,150:4,0,0,53,46
control,hard,0.5,object,151:1,0,0,4,6
control,hard,0.5,object,152:1,0,0,18,16
control,hard,0.5,object,153:30550,0,0,0,10
control,hard,0.5,object,153:30551,0,0,0,22
control,hard,0.5,object,169:1,0,0,21,0
control,hard,0.5,object_returns,0,0,0,4,19
control,hard,0.5,object_returns,1,0,0,19,88
control,hard,0.5,object_returns,2,0,0,16,112
control,hard,0.5,object_returns,3,0,0,109,153
control,hard,0.5,object_returns,4,0,0,125,155
control,hard,0.5,object_returns,5,0,0,98,40
control,hard,0.5,object_returns,6,0,0,212,7
control,hard,0.5,sequence,125,94,11,146,43
control,hard,0.5,sequence,137,8,0,0,15
control,hard,0.5,sequence,138,17,2,33,29
control,hard,0.5,sequence,139,3,4,15,58
control,hard,0.5,sequence,140,8,3,6,13
control,hard,0.5,sequence,141,527,15,181,103
control,hard,0.5,sequence,142,8,0,1,21
control,hard,0.5,sequence,143,122,0,37,7
control,hard,0.5,sequence,144,77,8,15,12
control,hard,0.5,sequence,145,14,0,0,26
control,hard,0.5,sequence,146,131,1,0,33
control,hard,0.5,sequence,147,20,13,6,22
control,hard,0.5,sequence,148,19,1,10,44
control,hard,0.5,sequence,149,12,3,23,33
control,hard,0.5,sequence,150,28,14,67,61
control,hard,0.5,sequence,151,4,8,4,6
control,hard,0.5,sequence,152,2,10,18,16
