model,kind,key,normal,anomaly,pooled_AP_credit,observations,fp50,fn50,fp75,fn75,fp90,fn90,fp95,fn95,fp99,fn99
ap,distance,0,75329674,14929,12.484254636106837,1956,1525,9674,2794,3311,9975,370,18538,92,113050,17
ap,distance,1,80729672,51218,42.8318221895783,1960,3785,23010,22093,14262,68014,6614,138867,3293,1102280,552
ap,distance,2,28526437,16191,14.113061745619698,1960,2925,8184,14359,2749,38667,1097,76098,564,586335,128
ap,distance,3,6585100,4204,3.48599691077082,1960,892,2087,3287,1088,11901,466,27410,280,193362,110
ap,distance,4,2621587,957,0.6349686572674125,1960,166,737,2599,440,12066,197,26455,134,144783,55
ap,normal_semantic,10,296404,0,0.0,526,79,0,104,0,225,0,432,0,2406,0
ap,normal_semantic,11,1183,0,0.0,134,0,0,0,0,0,0,0,0,11,0
ap,normal_semantic,15,29,0,0.0,11,0,0,0,0,0,0,0,0,0,0
ap,normal_semantic,18,1186,0,0.0,91,0,0,0,0,0,0,0,0,0,0
ap,normal_semantic,20,904,0,0.0,116,0,0,0,0,16,0,18,0,29,0
ap,normal_semantic,30,13403,0,0.0,135,0,0,0,0,4,0,11,0,32,0
ap,normal_semantic,31,6,0,0.0,2,0,0,0,0,0,0,0,0,0,0
ap,normal_semantic,32,5,0,0.0,3,2,0,2,0,2,0,2,0,2,0
ap,normal_semantic,40,188179854,0,0.0,1960,7840,0,42514,0,132944,0,274072,0,2090046,0
ap,normal_semantic,48,259333,0,0.0,76,10,0,77,0,297,0,799,0,9546,0
ap,normal_semantic,49,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
ap,normal_semantic,50,3953975,0,0.0,732,1335,0,2269,0,6489,0,10861,0,31907,0
ap,normal_semantic,51,175246,0,0.0,205,0,0,0,0,0,0,0,0,9,0
ap,normal_semantic,70,905135,0,0.0,639,27,0,166,0,646,0,1173,0,5817,0
ap,normal_semantic,71,1070,0,0.0,88,0,0,0,0,0,0,0,0,2,0
ap,normal_semantic,72,15,0,0.0,12,0,0,0,0,0,0,0,0,2,0
ap,normal_semantic,80,4718,0,0.0,130,0,0,0,0,0,0,0,0,1,0
ap,normal_semantic,81,3,0,0.0,2,0,0,0,0,0,0,0,0,0,0
ap,object,125:1,0,25871,15.764557358936505,210,0,24499,0,14884,0,5138,0,1927,0,116
ap,object,137:3,0,749,0.7099149338302074,46,0,250,0,66,0,14,0,3,0,0
ap,object,138:4,0,175,0.1723004517218144,68,0,50,0,9,0,4,0,4,0,1
ap,object,138:5,0,2079,2.093233625345193,83,0,426,0,109,0,16,0,11,0,1
ap,object,139:7,0,2844,2.583303057249386,99,0,1456,0,267,0,42,0,0,0,0
ap,object,140:1,0,1465,1.4488211607016566,75,0,392,0,58,0,0,0,0,0,0
ap,object,141:4,0,15929,16.267716827083575,285,0,2762,0,559,0,176,0,65,0,0
ap,object,141:5,0,2460,2.2585223724129024,267,0,1073,0,242,0,82,0,31,0,1
ap,object,142:2,0,615,0.31776881908929167,59,0,550,0,392,0,245,0,185,0,13
ap,object,142:3,0,981,0.40660067792146815,55,0,890,0,682,0,532,0,468,0,180
ap,object,143:3,0,3085,1.994272830091716,91,0,2616,0,1445,0,637,0,291,0,58
ap,object,144:2,0,531,0.5231266300808438,73,0,108,0,3,0,0,0,0,0,0
ap,object,144:3,0,552,0.5091992868668164,60,0,209,0,44,0,18,0,11,0,0
ap,object,144:4,0,144,0.13209153589116623,56,0,75,0,4,0,0,0,0,0,0
ap,object,144:5,0,3281,3.1947285746350773,79,0,779,0,22,0,0,0,0,0,0
ap,object,145:1,0,2267,2.413255153685982,92,0,178,0,24,0,4,0,2,0,0
ap,object,145:2,0,1445,1.474113327052066,92,0,256,0,33,0,8,0,3,0,0
ap,object,146:2,0,1455,1.3556015682054934,57,0,499,0,179,0,64,0,38,0,22
ap,object,147:2,0,2811,2.9087183035667037,111,0,408,0,61,0,10,0,7,0,0
ap,object,148:2,0,3050,3.11001062970564,115,0,561,0,71,0,20,0,7,0,0
ap,object,149:2,0,455,0.42918993253703397,94,0,183,0,39,0,5,0,0,0,0
ap,object,149:3,0,2344,2.3919879545324787,102,0,479,0,44,0,2,0,0,0,0
ap,object,150:2,0,686,0.6217754287330775,125,0,331,0,57,0,19,0,10,0,0
ap,object,150:3,0,545,0.5288064075600417,117,0,154,0,27,0,13,0,9,0,1
ap,object,150:4,0,4113,3.9997681307754633,156,0,1139,0,199,0,50,0,29,0,0
ap,object,151:1,0,1054,1.0100742270496923,51,0,354,0,98,0,13,0,7,0,2
ap,object,152:1,0,1029,0.9862216612950601,61,0,282,0,84,0,28,0,10,0,0
ap,object,153:30550,0,1020,1.0388698765436852,75,0,157,0,22,0,7,0,6,0,0
ap,object,153:30551,0,2129,2.2149280790291783,75,0,256,0,32,0,10,0,9,0,0
ap,object,169:1,0,2334,0.6895060309061195,63,0,2320,0,2094,0,1587,0,1230,0,467
ap,object_returns,0,0,1535,1.2323570054009034,705,0,926,0,405,0,156,0,82,0,9
ap,object_returns,1,0,4494,3.6830102415204093,676,0,2546,0,1052,0,421,0,271,0,126
ap,object_returns,2,0,8579,7.719604725313186,612,0,3519,0,1215,0,578,0,373,0,127
ap,object_returns,3,0,17036,15.229876329864261,551,0,7142,0,2676,0,1215,0,756,0,185
ap,object_returns,4,0,18031,17.219805539362685,256,0,4940,0,1754,0,736,0,380,0,109
ap,object_returns,5,0,14543,10.937586929596701,107,0,7995,0,5587,0,3015,0,1629,0,296
ap,object_returns,6,0,23280,17.526744081977164,85,0,16624,0,9161,0,2623,0,872,0,10
ap,sequence,125,21450882,25871,15.764557358936502,210,1576,24499,7396,14884,22897,5138,49718,1927,409649,116
ap,sequence,137,4652268,749,0.7099149338302075,46,86,250,705,66,2767,14,6776,3,53948,0
ap,sequence,138,8321471,2254,2.2655340770670076,83,429,476,1942,118,5868,20,11544,15,79970,2
