threshold,recall,precision,tp,fp
36.25,0.0002628601469731083,1.0,23,0
36.0,0.0006400073143693071,1.0,56,0
35.75,0.0011200128001462874,0.98989898989899,98,1
35.5,0.0014400164573309408,0.9692307692307692,126,4
35.25,0.0015428747757117224,0.8598726114649682,135,22
35.0,0.001885735836980994,0.8333333333333334,165,33
34.75,0.0024571709390964467,0.8143939393939394,215,49
34.5,0.002948605126915736,0.8113207547169812,258,60
34.25,0.003531468931073498,0.8373983739837398,309,60
34.0,0.00422861975565435,0.8604651162790697,370,60
33.75,0.005005771494531366,0.8795180722891566,438,60
33.5,0.005908638955873781,0.8960138648180243,517,60
33.25,0.006925793437639287,0.9099099099099099,606,60
33.0,0.008285808980674065,0.9235668789808917,725,60
32.75,0.009725825438005006,0.9341383095499451,851,60
32.5,0.011554417764774455,0.9422180801491147,1011,62
32.25,0.013383010091543903,0.9497161394971614,1171,62
32.0,0.014777311740705608,0.9535398230088495,1293,63
31.875,0.015794466222471115,0.956401384083045,1382,63
31.75,0.01701733734099818,0.9594072164948454,1489,63
31.625,0.018045920524805997,0.96163215590743,1579,63
31.5,0.01909736111269843,0.9631123919308358,1671,64
31.375,0.02009165819037932,0.964873765093304,1758,64
31.25,0.021565960753837186,0.9671963095848283,1887,64
31.125,0.02296026240299889,0.9681927710843373,2009,66
31.0,0.024228848329695196,0.969807868252516,2120,66
30.875,0.025611721276814593,0.9705500216543959,2241,68
30.75,0.02697173681984937,0.9719934102141681,2360,68
30.625,0.02817175053429182,0.9731543624161074,2465,68
30.5,0.029554623481411215,0.9743782969103241,2586,68
30.375,0.03094892513057292,0.9755043227665706,2708,68
30.25,0.03276608875530006,0.9768313458262351,2867,68
30.125,0.03436610704122333,0.9778861788617886,3007,68
30.0,0.03621755677207739,0.9789928946555453,3169,68
29.875,0.03787471856821221,0.9796039018622524,3314,69
29.75,0.03970331089498166,0.9805249788314987,3474,69
29.625,0.04147475971153956,0.9813412655489454,3629,69
29.5,0.04349763997302826,0.9821935483870968,3806,69
29.375,0.04534908970388233,0.9824213914335231,3968,71
29.25,0.047097681116355615,0.9830629770992366,4121,71
29.125,0.048949130847209685,0.9830158365848061,4283,74
29.0,0.05088058149235991,0.9832155477031802,4452,76
28.875,0.052869175647721686,0.9834183673469388,4626,78
28.75,0.05491491331329501,0.9836233367451381,4805,80
28.625,0.056903507468656786,0.9841865981419253,4979,80
28.5,0.05905210345261089,0.9845655487804879,5167,81
28.375,0.06128070035086115,0.9847566574839303,5362,83
28.25,0.0634864398450268,0.9852784675416815,5555,83
28.125,0.06561217842489628,0.9854102300034329,5741,85
28.0,0.06786363272723117,0.9850696748506967,5938,90
27.875,0.07046937679287764,0.9854562889563688,6166,91
27.75,0.07285797551972023,0.9857739291789083,6375,92
27.625,0.07540657607515515,0.9861007323270065,6598,93
27.5,0.07802374884284392,0.9861331792575473,6827,96
27.375,0.08044663367581344,0.9865451997196917,7039,96
27.25,0.08283523240265603,0.9866594064797168,7248,98
27.125,0.08515525891724476,0.986887417218543,7451,99
27.0,0.08769243077063738,0.9871349543290878,7673,100
26.875,0.09016103041177613,0.9867417135709818,7889,106
26.75,0.09268677356312643,0.9867380459909965,8110,109
26.625,0.09526966022468829,0.9870929544108941,8336,109
26.5,0.09789826169441937,0.9872075602166648,8566,111
26.375,0.10058400667436199,0.9874340850443173,8801,112
26.25,0.10332689516451617,0.9874399301004806,9041,115
26.125,0.10624121418530498,0.9873605947955391,9296,119
26.0,0.1088012434427822,0.9869375907111756,9520,126
25.875,0.11173841986765563,0.9862806415817613,9777,136
25.75,0.11476702590886753,0.9865409175754003,10042,137
25.625,0.1176356301214871,0.9863919501677049,10293,142
25.5,0.12026423159121818,0.9858534757354319,10523,151
25.375,0.12323569412221853,0.9856489945155393,10783,157
25.25,0.12587572429399194,0.9852401824850165,11014,165
25.125,0.12880147201682304,0.9849676629959797,11270,172
25.0,0.13184150676007725,0.9846363946739501,11536,180
24.875,0.13487011280128916,0.9845653262139162,11801,185
24.75,0.13803586326700876,0.9841114641896846,12078,195
24.625,0.14153304609195533,0.9839504211028126,12384,202
24.5,0.1446416530474634,0.9840603374543193,12656,205
24.375,0.14770454519480222,0.984385711021403,12924,205
24.25,0.1508245808523526,0.9840429498173141,13197,214
24.125,0.15363604155476063,0.9835381913959613,13443,225
24.0,0.1564017874489994,0.9835417565042404,13685,229
23.875,0.1594418221922536,0.9835037010927036,13951,234
23.75,0.1625504291477617,0.9827943615257048,14223,249
23.625,0.16578475182573515,0.9827247476458234,14506,255
23.5,0.16890478748328552,0.982385003988301,14779,265
23.375,0.17195625092858205,0.9818585225789611,15046,278
23.25,0.1750534291820478,0.9812299807815503,15317,293
23.125,0.1783563240722751,0.9805227444081428,15606,310
23.0,0.18164779026046013,0.9802639694091526,15894,320
22.875,0.1854078332323798,0.980064036730502,16223,330
22.75,0.18851644018788785,0.9795712334461666,16495,344
22.625,0.1920821952250883,0.9794859840317035,16807,352
22.5,0.19553366324186564,0.9792239010989011,17109,363
22.375,0.19893941645047372,0.9789663123558855,17407,374
22.25,0.20251660018971646,0.9787351560342447,17720,385
22.125,0.20581949507994377,0.9782183595871808,18009,401
22.0,0.2091338186722134,0.977824088917388,18299,415
21.875,0.21244814226448303,0.9775966342361294,18589,426
21.75,0.21567103624041417,0.9771138611298089,18871,442
21.625,0.21908821815106458,0.9762183632937822,19170,467
21.5,0.22216253900044572,0.9759024047391938,19439,480
21.375,0.22557972091109613,0.9755832344800316,19738,494
21.25,0.2288140435890696,0.9753020265003897,20021,507
21.125,0.23217408198950845,0.9747145187601958,20315,527
21.0,0.23516840192459343,0.973598296664301,20577,558
20.875,0.2385398690270746,0.9729175406703026,20872,581
20.75,0.24213991017040196,0.9726392140660148,21187,596
20.625,0.24541994765654465,0.9718940936863544,21474,621
20.5,0.24871141384472967,0.9715178571428571,21762,638
20.375,0.25240288460439547,0.9706838959212377,22085,667
20.25,0.255602921176242,0.9698191752309093,22365,696
20.125,0.25907724659710396,0.9691334273866017,22669,722
20.0,0.26236871278528895,0.9687315385264579,22957,741
19.875,0.2657858946959394,0.9679111000124859,23256,771
19.75,0.2696030811780706,0.9675567039908125,23590,791
19.625,0.2736031268928788,0.9670773581094728,23940,815
19.5,0.27715745322803687,0.9664448252500697,24251,842
19.375,0.28124892855918354,0.9656647308114895,24609,875
19.25,0.284780397490257,0.9649910928665479,24918,904
19.125,0.28831186642133055,0.9641137353817931,25227,939
19.0,0.29164904741768477,0.9632719311490261,25519,973
18.875,0.295614807026366,0.9625990845149045,25866,1005
18.75,0.299534851826878,0.9620806108215256,26209,1033
18.625,0.3031691790763323,0.9617852869729161,26527,1054
18.5,0.30649493137064426,0.9610119687522397,26818,1088
18.375,0.31019783083235236,0.9605407509643629,27142,1115
18.25,0.3137750145715951,0.9600993145894531,27455,1141
18.125,0.3171464816740763,0.9591455827457487,27750,1182
18.0,0.32084938113578443,0.9586477718968756,28074,1211
17.875,0.3243694213648156,0.9573635566349592,28382,1264
17.75,0.3279123189979314,0.956431881062702,28692,1307
17.625,0.3315695036514703,0.9553791945203675,29012,1355
17.5,0.3352266883050092,0.9545691226243166,29332,1396
17.375,0.3385067257911519,0.9536980390894162,29619,1438
17.25,0.34212962433856386,0.9526476578411406,29936,1488
17.125,0.34587823860844125,0.9516083388359589,30264,1539
17.0,0.34962685287831863,0.9509776492896889,30592,1577
16.875,0.35307832089509594,0.9502337598425197,30894,1618
16.75,0.35657550372004254,0.9494826536822885,31200,1660
16.625,0.3600955439490737,0.9484933321292032,31508,1711
16.5,0.36342129624338565,0.9473856695963057,31799,1766
16.375,0.3667356198356553,0.9461595164381542,32089,1826
16.25,0.37008422953405185,0.9448805112193983,32382,1889
16.125,0.37329569480794067,0.9435264891097117,32663,1955
16.0,0.3757300083429525,0.9427621013994035,32876,1996
15.9375,0.37735288403296036,0.9423214132823425,33018,2021
15.875,0.3788957588086721,0.9416593291106882,33153,2054
15.8125,0.38059863541297617,0.9411332485516462,33302,2083
15.75,0.3824729425479148,0.9406110345990613,33466,2113
15.6875,0.3838672441970765,0.9400503778337531,33588,2142
15.625,0.3855701208013806,0.9394876079086606,33737,2173
15.5625,0.3872501400016,0.9386149584487534,33884,2216
15.5,0.3888730156916079,0.9380530973451328,34026,2247
15.4375,0.39056446359386965,0.9373011519473395,34174,2286
15.375,0.39238162721859676,0.9367803547066849,34333,2317
15.3125,0.3938787871861393,0.9362673186634067,34464,2346
15.25,0.39561594989657023,0.9354411566004593,34616,2389
15.1875,0.3972045394804512,0.9347264805551073,34755,2427
15.125,0.3985531263214437,0.9341065545228082,34873,2460
15.0625,0.40002742888490156,0.9335111348179758,35002,2493
15.0,0.4017645915953325,0.9327884947063975,35154,2533
14.9375,0.4033531811792135,0.9321237091619787,35293,2570
14.875,0.40507891518760214,0.9312664214398318,35444,2616
14.8125,0.4068046491959908,0.9305882352941176,35595,2655
14.75,0.4084846683962102,0.9299094598813612,35742,2694
14.6875,0.41026754591481046,0.9292296541727065,35898,2734
14.625,0.4118218493925645,0.9284241987014326,36034,2778
14.5625,0.4137418713356724,0.9277806253203486,36202,2818
14.5,0.4155133201522303,0.9271433671647881,36357,2857
14.4375,0.41723905416061896,0.9265284369210466,36508,2895
14.375,0.4187362141281615,0.9258585399135775,36639,2934
14.3125,0.42034766111612704,0.9251666457049428,36780,2975
14.25,0.42186767848775414,0.9248133486997043,36913,3001
14.1875,0.42373055692065054,0.9240815512686307,37076,3046
14.125,0.4255705779494623,0.9233306057675618,37237,3092
14.0625,0.4271477388313009,0.922588926464417,37375,3136
14.0,0.4287820432233511,0.9217955332792807,37518,3183
13.9375,0.4303020605949782,0.9210577816918636,37651,3227
13.875,0.43221065383604385,0.9205043325868951,37818,3266
13.8125,0.43398210265260173,0.919487626519444,37973,3325
13.75,0.4358564097875404,0.9187646052663277,38137,3372
13.6875,0.43759357249797143,0.9179372842347526,38289,3423
13.625,0.4392393055920639,0.9171021547712792,38433,3474
13.5625,0.4408621812820718,0.9164013873711218,38575,3519
13.5,0.4425879152904605,0.915616503132758,38726,3569
13.4375,0.44421079098046834,0.9146703063961971,38868,3626
13.375,0.44584509537251854,0.9139918466800994,39011,3671
13.3125,0.4475594006788649,0.9131844044398844,39161,3723
13.25,0.44929656338929586,0.9124097755703576,39313,3774
13.1875,0.45088515297317683,0.911573742461702,39452,3827
13.125,0.45239374164276164,0.9104165229191103,39584,3895
13.0625,0.4539823312266426,0.909638416267833,39723,3946
13.0,0.4557994948513697,0.908660089767834,39882,4009
12.9375,0.457399513137293,0.9078371328116139,40022,4063
12.875,0.45905667493342783,0.9070114034097324,40167,4118
12.8125,0.46093098206836647,0.906396080546566,40331,4165
12.75,0.4624167133338667,0.905877084965857,40461,4204
12.6875,0.4639595881095784,0.9052716082419052,40596,4248
12.625,0.46555960639550165,0.9044204169534424,40736,4305
12.5625,0.46730819780797495,0.903464580847585,40889,4369
12.5,0.4689082160938982,0.9025098436022085,41029,4432
12.4375,0.4704968056777792,0.901640421384612,41168,4491
12.375,0.4721311100698294,0.9005122615803814,41311,4564
12.3125,0.47386827278026034,0.8998046875,41463,4617
12.25,0.47554829198047976,0.8988982501620221,41610,4680
12.1875,0.47725116858478384,0.8980236984150879,41759,4742
12.125,0.47888547297683404,0.8971630446419013,41902,4803
12.0625,0.48070263660156115,0.896058798466127,42061,4879
12.0,0.4823940845038229,0.8950169635284139,42209,4951
11.9375,0.4841655333203808,0.8940759344068547,42364,5019
11.875,0.4857084080960925,0.8930800428688508,42499,5088
11.8125,0.48723985416976195,0.8924265259984928,42633,5139
11.75,0.4888170150516006,0.8913224690534739,42771,5215
11.6875,0.49016560189259306,0.8904413901922518,42889,5277
11.625,0.49163990445605094,0.8895735969229497,43018,5340
11.5625,0.4929999199990857,0.8882139768562368,43137,5429
11.5,0.49446279386050124,0.8872505793326908,43265,5498
11.4375,0.4956285214688168,0.88605344883949,43367,5577
11.375,0.4969999657138939,0.8850333767502442,43487,5649
11.3125,0.49870284231819795,0.8840714777746262,43636,5722
11.25,0.5003600041143328,0.8831443902045427,43781,5793
