threshold,recall,precision,tp,fp
43.5,5.714351021154527e-05,0.8333333333333334,5,1
43.25,0.0005371489959885256,0.7966101694915254,47,12
43.0,0.0008914387593001063,0.6842105263157895,78,36
42.75,0.0012800146287386142,0.7225806451612903,112,43
42.5,0.0017371627104309764,0.76,152,48
42.25,0.0021600246859964116,0.7777777777777778,189,54
42.0,0.002708602384027246,0.8061224489795918,237,57
41.75,0.0032457513800157717,0.8255813953488372,284,60
41.5,0.0038171864821312245,0.8434343434343434,334,62
41.25,0.004434336392415914,0.8603104212860311,388,63
41.0,0.0051886307272083106,0.8781431334622823,454,63
40.75,0.00604578338038149,0.893581081081081,529,63
40.5,0.007062937862146996,0.9074889867841409,618,63
40.25,0.00822866547046252,0.9195402298850575,720,63
40.0,0.009611538417581915,0.9303097345132744,841,63
39.75,0.011131555789209019,0.9383429672447013,974,64
39.5,0.012537286140413034,0.943250214961307,1097,66
39.25,0.01403444610795552,0.9460708782742681,1228,70
39.0,0.015508748671413388,0.9496151154653604,1357,72
38.75,0.016868764214448165,0.952258064516129,1476,74
38.5,0.018114492737059854,0.9525240384615384,1585,79
38.25,0.019783083235236976,0.9537190082644628,1731,84
38.0,0.021337386712991006,0.9496439471007121,1867,99
37.75,0.023200265145887383,0.9433085501858736,2030,122
37.5,0.025097429684910685,0.9380606578385305,2196,145
37.25,0.027051737734145532,0.937797147385103,2367,157
37.0,0.02926890593035349,0.9384389886405277,2561,168
36.75,0.031268928787757576,0.9328332765086942,2736,197
36.5,0.03326895164516166,0.926479949077021,2911,231
36.25,0.03529183190665036,0.9237212084953634,3088,255
36.0,0.03763471582532372,0.9182933630786392,3293,293
35.75,0.03970331089498166,0.9139700078926598,3474,327
35.5,0.04232048366267043,0.9109471094710947,3703,362
35.25,0.045177659173247696,0.907483930211203,3953,403
35.0,0.04774911713276723,0.9058976582827407,4178,434
34.75,0.050354861198413696,0.899367217799551,4406,493
34.5,0.052903461753848614,0.8951846838135757,4629,542
34.25,0.055417776203156605,0.891852124333272,4849,588
34.0,0.05852638315866467,0.8884455239417072,5121,643
33.75,0.06194356506931508,0.8877968877968878,5420,685
33.5,0.06507502942890776,0.8874688279301746,5694,722
33.25,0.06844649653138893,0.8854228267297457,5989,775
33.0,0.07185224973999703,0.8854929577464788,6287,813
32.75,0.0747208539526166,0.8832747905971359,6538,864
32.5,0.07844661081840935,0.8839665164198326,6864,901
32.25,0.08182950662293283,0.88112232340635,7160,966
32.0,0.08437810717836776,0.8817628090290218,7383,990
31.875,0.08611526988879872,0.8810804490177736,7535,1017
31.75,0.08825243717071052,0.8813056379821959,7722,1040
31.625,0.09017245911381844,0.8821556350626119,7890,1054
31.5,0.09178390610178402,0.8818491270451301,8031,1076
31.375,0.09371535674693425,0.8824795523030564,8200,1092
31.25,0.0955439490737037,0.8819495727397405,8360,1119
31.125,0.09763540154744625,0.8815395727995047,8543,1148
31.0,0.09976114012731574,0.8818953323903819,8729,1169
30.875,0.10196687962148139,0.8825798793154614,8922,1187
30.75,0.10396690247888547,0.8826896953231127,9097,1209
30.625,0.10603549754854341,0.8826103500761036,9278,1234
30.5,0.10818409353249751,0.8830223880597015,9466,1254
30.375,0.11032126081440931,0.8834889254988102,9653,1273
30.25,0.1124469993942788,0.8843250044939781,9839,1287
30.125,0.11458416667619059,0.8851416968305817,10026,1301
30.0,0.11684704968056778,0.8858083521053544,10224,1318
29.875,0.11883564383592955,0.8865205899906216,10398,1331
29.75,0.12106424073417982,0.8874088967077155,10593,1344
29.625,0.12348712556714934,0.8883499136726136,10805,1358
29.5,0.1257271511674419,0.8895447562060321,11001,1366
29.375,0.12784146104526908,0.8897550111358574,11186,1386
29.25,0.12983005520063087,0.8898637004543318,11360,1406
29.125,0.13194436507845803,0.8900624469971475,11545,1426
29.0,0.1340358175522006,0.8908469426509685,11728,1437
28.875,0.13623012834432394,0.8912149532710281,11920,1455
28.75,0.13841301043440496,0.8916292424353972,12111,1472
28.625,0.1407330369489937,0.8921249003839745,12314,1489
28.5,0.14272163110435548,0.8923186852447302,12488,1507
28.375,0.14504165761894422,0.8931034482758621,12691,1519
28.25,0.14723596841106756,0.893721817551162,12883,1532
28.125,0.14914456165213316,0.8938968422494692,13050,1549
28.0,0.1511902993177065,0.8944557133198107,13229,1561
