first,second,target_recall,change,sequence,frame,slot,semantic,instance,range_m,count_in_scan,first_score,second_score
m500,m1547,0.5,fixed_fn,125,0,75268,2,1,18.722570419311523,7,9.5625,20.0
m500,m1547,0.95,new_fp,125,0,119869,40,0,6.1961870193481445,108,-3.765625,-0.310546875
m500,m1547,0.95,fixed_fp,125,0,93979,40,0,10.838257789611816,156,-1.9140625,-3.3125
m500,m1547,0.95,fixed_fn,125,0,77328,2,1,19.246063232421875,2,-2.375,1.2265625
m500,b1547,0.5,fixed_fn,125,0,75267,2,1,19.06856918334961,5,7.125,7.75
m500,b1547,0.95,new_fp,125,0,87627,40,0,13.444708824157715,31,-3.0625,-0.03955078125
m500,b1547,0.95,fixed_fp,125,0,92937,40,0,11.205513000488281,154,-1.6953125,-1.875
m500,b1547,0.95,fixed_fn,125,0,77328,2,1,19.246063232421875,1,-2.375,0.921875
m500,replay,0.5,fixed_fn,125,0,75268,2,1,18.722570419311523,7,9.5625,17.625
m500,replay,0.95,new_fp,125,0,120433,40,0,5.492204666137695,63,-2.34375,-2.34375
m500,replay,0.95,fixed_fp,125,0,78337,40,0,18.598817825317383,119,-1.078125,-3.15625
m500,replay,0.95,fixed_fn,125,0,77328,2,1,19.246063232421875,2,-2.375,-0.94140625
m500,ap,0.5,fixed_fn,125,0,75268,2,1,18.722570419311523,7,9.5625,22.25
m500,ap,0.95,new_fp,125,0,126998,40,0,5.799600601196289,140,-2.890625,-1.2890625
m500,ap,0.95,fixed_fp,125,0,118399,40,0,5.640654563903809,185,-1.5,-4.8125
m500,ap,0.95,fixed_fn,125,0,77328,2,1,19.246063232421875,2,-2.375,-1.0859375
m500,lr,0.5,fixed_fn,125,0,75267,2,1,19.06856918334961,5,7.125,13.4375
m500,lr,0.95,new_fp,125,0,74231,40,0,23.46076202392578,13,-2.390625,-0.3671875
m500,lr,0.95,fixed_fp,125,0,117382,40,0,5.78188419342041,168,-1.96875,-2.40625
m500,lr,0.95,fixed_fn,125,0,77328,2,1,19.246063232421875,2,-2.375,0.71484375
replay,ap,0.95,new_fp,125,0,123962,40,0,6.044284343719482,114,-3.046875,-2.203125
replay,ap,0.95,fixed_fp,125,0,120431,40,0,5.491205215454102,103,-1.234375,-3.140625
replay,lr,0.5,new_fn,125,0,77332,2,1,19.032066345214844,2,6.90625,11.0
replay,lr,0.95,new_fp,125,0,78337,40,0,18.598817825317383,25,-3.15625,0.2412109375
replay,lr,0.95,fixed_fp,125,0,121461,40,0,5.502972602844238,124,-1.4921875,-1.453125
m500,m1547,0.5,fixed_fp,125,1,124981,40,0,5.738066673278809,1,10.8125,5.6875
m500,m1547,0.95,new_fp,125,1,121929,40,0,6.117737293243408,99,-2.59375,0.029052734375
m500,m1547,0.95,fixed_fp,125,1,114322,40,0,6.143566131591797,141,-2.140625,-1.640625
m500,m1547,0.95,fixed_fn,125,1,77328,2,1,19.224063873291016,2,-2.46875,0.412109375
m500,b1547,0.5,fixed_fp,125,1,124981,40,0,5.738066673278809,1,10.8125,5.96875
m500,b1547,0.5,fixed_fn,125,1,75267,2,1,19.089569091796875,5,6.34375,6.84375
m500,b1547,0.95,new_fp,125,1,86533,40,0,12.795924186706543,25,-3.109375,0.671875
m500,b1547,0.95,fixed_fp,125,1,118397,40,0,5.625654697418213,160,-1.015625,-0.93359375
m500,b1547,0.95,fixed_fn,125,1,77328,2,1,19.224063873291016,1,-2.46875,-0.041259765625
m500,replay,0.5,fixed_fp,125,1,124981,40,0,5.738066673278809,1,10.8125,2.984375
m500,replay,0.5,fixed_fn,125,1,75268,2,1,18.72357177734375,6,8.875,10.125
m500,replay,0.95,new_fp,125,1,119400,40,0,5.5584187507629395,44,-2.6875,-2.421875
m500,replay,0.95,fixed_fp,125,1,83429,40,0,13.78067684173584,113,-2.234375,-7.90625
m500,replay,0.95,fixed_fn,125,1,77328,2,1,19.224063873291016,2,-2.46875,-1.1796875
m500,ap,0.5,fixed_fp,125,1,124981,40,0,5.738066673278809,1,10.8125,2.703125
m500,ap,0.5,fixed_fn,125,1,75268,2,1,18.72357177734375,6,8.875,10.4375
m500,ap,0.95,new_fp,125,1,124895,40,0,6.042284965515137,62,-2.390625,-0.875
m500,ap,0.95,fixed_fp,125,1,118398,40,0,5.626654624938965,148,-1.625,-4.375
