threshold,recall,precision,tp,fp
41.5,2.285740408461811e-05,1.0,2,0
41.25,0.00020571663676156299,0.5625,18,14
41.0,0.0005028628898615984,0.5641025641025641,44,34
40.75,0.0007085795266231614,0.6078431372549019,62,40
40.5,0.0010628692899347422,0.6992481203007519,93,40
40.25,0.001462873861415559,0.757396449704142,128,41
40.0,0.0016914479022617402,0.7474747474747475,148,50
39.75,0.0019771654533194665,0.7489177489177489,173,58
39.5,0.0022514543023348836,0.7635658914728682,197,61
39.25,0.002765745894238791,0.7960526315789473,242,62
39.0,0.0033600384004388623,0.8258426966292135,294,62
38.75,0.003965759608681242,0.8484107579462102,347,62
38.5,0.004640053029177476,0.8675213675213675,406,62
38.25,0.005268631641504475,0.8814531548757171,461,62
38.0,0.006080069486508417,0.8956228956228957,532,62
37.75,0.0071429387764431595,0.9097525473071325,625,62
37.5,0.00797723402553172,0.9184210526315789,698,62
37.25,0.008868672784831827,0.9260143198090692,776,62
37.0,0.009840112458428096,0.9328277356446371,861,62
36.75,0.01088012434427822,0.9388560157790927,952,62
36.5,0.01196585103829758,0.9440937781785392,1047,62
36.25,0.012914433307809232,0.947986577181208,1130,62
36.0,0.01414873312837861,0.9523076923076923,1238,62
35.75,0.015554463479582625,0.9564300773014758,1361,62
35.5,0.017005908638955874,0.96,1488,62
35.25,0.018571640818752216,0.9632483698873741,1625,62
35.0,0.019840226745448518,0.9655172413793104,1736,62
34.75,0.021108812672144824,0.9675222629649031,1847,62
34.5,0.02238882730088344,0.9693221177634834,1959,62
34.25,0.02358884101532589,0.9708372530573848,2064,62
34.0,0.02539457593801072,0.9728546409807356,2222,62
33.75,0.026823163693299353,0.9742631797426318,2347,62
33.5,0.028571755105772638,0.975800156128025,2500,62
33.25,0.030411776134584394,0.9772309952258539,2661,62
33.0,0.03224036846135384,0.9781553398058253,2821,63
32.75,0.03412610429833484,0.978695509668961,2986,65
32.5,0.036114698453696616,0.9798449612403101,3160,65
32.25,0.038274723139693025,0.9806734992679356,3349,66
32.0,0.039977599743997075,0.9809310151430174,3498,68
31.875,0.040937610715551034,0.981101068200493,3582,69
31.75,0.041806192070766524,0.9814864502280655,3658,69
