案例,视角,固定排序失分百分点,该视角累计失分比例,有效点次,观测次数,各召回区间失分,同帧错序概率,跨帧错序概率,对应训练素材,训练素材学习表现,训练素材池内错序概率,验证观测池内错序概率,原因类别,原因证据,修改方案,区分原因的小实验,支持的解释,已排除的解释,仍缺的证据,本次原计算失分,精度修正后失分,配对失分减少,尚未核对素材的失分百分点,尚未确认原因的失分百分点,主要对侧案例
P125:1,异常对象,13.227128784157108,55.715443352911784,25871,210,"[0.0030700620825262447, 0.12215423195287925, 3.219024955971522, 5.280279867075848, 2.27326303276206, 1.9501174278347726, 0.37921920647750224]",0.0008159385838521432,0.0006774603593704315,stu 记录5340 / 素材42744 / BCE=2.5057e-10 / 错序率=3.6491e-06 / 访问1次；stu 记录5466 / 素材43751 / BCE=5.5979e-08 / 错序率=2.9726e-06 / 访问1次；stu 记录5225 / 素材41825 / BCE=0.00081713 / 错序率=7.4866e-05 / 访问1次；stu 记录5139 / 素材41137 / BCE=1.4092e-06 / 错序率=5.9115e-06 / 访问2次；nuscenes 记录3887 / 素材30966 / BCE=4.056e-15 / 错序率=2.1573e-07 / 访问1次；nuscenes 记录2503 / 素材19831 / BCE=1.9191e-14 / 错序率=1.0335e-07 / 访问2次,近邻训练 BCE=0.004530219818620516; 验证观测 BCE=0.6055147223631325; 均仅为分类诊断,2.4962216325441642e-05,0.0008927590032624912,位置编码数值损失有正向干预证据；其余原因待查,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；同帧错序率不低于跨帧，不支持用跨扫描偏移统一解释；前三个近邻世界的543条既有观测已检查，未选最近素材按查询失分加权BCE=0.000656393；描述更近不等于几何与响应已覆盖；固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为13.22902473→11.76397162个百分点，减少1.46505311个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码；修正C起点的素材干预见transfer.json：修正后重算三个既有训练世界的543个观测，9个已选观测415点的BCE为0.000274，未选观测42731点的BCE为0.002274；这些候选大多已识别，真实125仍持续失分。 本次仅改变正常局部监督，P125失分由未加权组的11.001595变为10.149511，75%全局召回下漏检由14400变为13881。该变化包含共享参数与全局排序的影响，不能据此解释为异常几何覆盖已经补齐。,保留精度修正和已验证候选，不据此扩产这三个几何，也不更换交互模块。,固定现有异常候选的几何、位姿和射线，逐项核验其表面响应及邻接关系与失败/成功观测的差异；只在训练来源构造单因素对照，真实125仅评价。,固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为13.22902473→11.76397162个百分点，减少1.46505311个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码；修正后重算三个既有训练世界的543个观测，9个已选观测415点的BCE为0.000274，未选观测42731点的BCE为0.002274；这些候选大多已识别，真实125仍持续失分。 本次仅改变正常局部监督，P125失分由未加权组的11.001595变为10.149511，75%全局召回下漏检由14400变为13881。该变化包含共享参数与全局排序的影响，不能据此解释为异常几何覆盖已经补齐。,增加素材、改变标签、增加更新次数不能解释本次配对变化；仍未排除它们与剩余错误有关；当前结果不支持优先增加这三个世界的重复观测；尚不能排除其他几何、响应或背景关系覆盖不足。,真实物体与候选的形态、表面响应和背景关系仍未证实等价；AP分摊下降不能直接等同于本物体各召回点的漏检减少。,13.229024727868902,11.763971616166874,1.4650531117020282,0.0,13.227128784157108,N125:30:1.5063；N141:75:1.37726；N147:49:0.680626；N148:46:0.628241；N153:73:0.610345
P141:4,异常对象,1.801100200681466,63.302055522605045,15929,285,"[0.18017157263211303, 0.3751022717206478, 0.6487404037939178, 0.40527668989731713, 0.14180574720652248, 0.05000351543094779, 0.0]",3.807420055615657e-05,5.198157709363271e-05,stu 记录5153 / 素材41249 / BCE=9.8425e-05 / 错序率=9.7247e-05 / 访问1次；nuscenes 记录3368 / 素材26691 / BCE=4.628e-06 / 错序率=5.1113e-05 / 访问1次；stu 记录5080 / 素材40665 / BCE=3.4589 / 错序率=0.028449 / 访问1次；nuscenes 记录2040 / 素材16216 / BCE=1.8373e-06 / 错序率=6.8653e-06 / 访问1次；nuscenes 记录464 / 素材3655 / BCE=2.0456e-06 / 错序率=2.5508e-06 / 访问2次；nuscenes 记录868 / 素材6848 / BCE=9.5098e-16 / 错序率=8.9041e-08 / 访问1次,近邻训练 BCE=0.6618952570277153; 验证观测 BCE=0.18210048540251947; 均仅为分类诊断,0.005257018618801842,0.00024454659769033196,位置编码数值损失有正向干预证据；其余原因待查,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；跨帧错序率较高，但尚未排除正常结构组成差异；5080在全描述最近邻中对应0.32028个AP百分点，仅几何最近邻中对应0.00000；尚未确认其相关性，不能归为没学够；固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为1.80226918→1.66802997个百分点，减少0.13423920个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,先修正位置编码精度并单独保留修正后评价；原C权重与原结果保留。剩余错误按原素材核验继续，不由本实验增加训练量或改取样,先复核141仅几何近邻与真实失败观测，5080暂不作为拟合依据；相关素材确认后执行focus.json中最多40步的四帧拟合检查，并同时检查独立观测,固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为1.80226918→1.66802997个百分点，减少0.13423920个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,增加素材、改变标签、增加更新次数不能解释本次配对变化；仍未排除它们与剩余错误有关,尚未区分剩余错误的覆盖、优化和泛化原因；本次排序分摊变化含其他点改变排名的影响，不能全部当作该点自身修复,1.8022691752555342,1.6680299726076924,0.13423920264784184,0.0,1.801100200681466,N141:75:0.24411；N125:30:0.184643；N141:1:0.121349；N147:49:0.114042；N153:73:0.102827
P169:1,异常对象,1.7625100981305275,70.72611807871661,2334,63,"[0.0, 0.004084282181787497, 0.08289937819540852, 0.3478410735813017, 0.33254748294569403, 0.7452151192784233, 0.24992276194791208]",0.0033342826347944653,0.004122780681027047,stu 记录5466 / 素材43751 / BCE=5.5979e-08 / 错序率=2.9726e-06 / 访问1次；nuscenes 记录2289 / 素材18165 / BCE=7.2068e-16 / 错序率=4.516e-08 / 访问2次；nuscenes 记录1370 / 素材10942 / BCE=7.7606e-10 / 错序率=6.6442e-07 / 访问1次；stu 记录5339 / 素材42736 / BCE=7.7255e-08 / 错序率=1.4351e-05 / 访问1次；stu 记录5041 / 素材40353 / BCE=1.4871e-06 / 错序率=2.3443e-05 / 访问1次；stu 记录5316 / 素材42552 / BCE=1.8962e-05 / 错序率=2.935e-05 / 访问2次,近邻训练 BCE=0.053525479038441424; 验证观测 BCE=1.9848544320511565; 均仅为分类诊断,0.00022795772402275428,0.004845375855603034,位置编码数值损失有正向干预证据；其余原因待查,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；跨帧错序率较高，但尚未排除正常结构组成差异；固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为1.76265470→1.62361767个百分点，减少0.13903703个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,先修正位置编码精度并单独保留修正后评价；原C权重与原结果保留。剩余错误按原素材核验继续，不由本实验增加训练量或改取样,本轮未启动本项原因实验；后续从P169:1的第352帧及正常侧N125:30核验素材，再指定唯一改动,固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为1.76265470→1.62361767个百分点，减少0.13903703个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,增加素材、改变标签、增加更新次数不能解释本次配对变化；仍未排除它们与剩余错误有关,尚未区分剩余错误的覆盖、优化和泛化原因；本次排序分摊变化含其他点改变排名的影响，不能全部当作该点自身修复,1.7626546973438526,1.6236176696719657,0.13903702767188686,0.0,1.7625100981305275,N125:30:0.223309；N141:75:0.168309；N147:49:0.0776768；N148:46:0.0768271；N150:90:0.067941
P143:3,异常对象,1.3694198996406284,76.4944021931167,3085,91,"[0.00538268027543858, 0.021344561565922068, 0.37001354747759707, 0.506615759553818, 0.2806110963131191, 0.15379567200658895, 0.03165658244814457]",0.00169532247141025,0.0005234214515779794,stu 记录5466 / 素材43751 / BCE=5.5979e-08 / 错序率=2.9726e-06 / 访问1次；stu 记录5225 / 素材41825 / BCE=0.00081713 / 错序率=7.4866e-05 / 访问1次；nuscenes 记录3030 / 素材23993 / BCE=1.5016e-11 / 错序率=2.2857e-06 / 访问2次；stu 记录5229 / 素材41857 / BCE=3.1267e-06 / 错序率=1.6215e-05 / 访问2次；nuscenes 记录2154 / 素材17122 / BCE=2.308e-06 / 错序率=9.8077e-06 / 访问1次；stu 记录5108 / 素材40889 / BCE=0.0034263 / 错序率=8.3548e-05 / 访问1次,近邻训练 BCE=0.021319793557928044; 验证观测 BCE=0.6616425887016947; 均仅为分类诊断,0.00012494023182652912,0.0009647167526698958,位置编码数值损失有正向干预证据；其余原因待查,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；同帧错序率不低于跨帧，不支持用跨扫描偏移统一解释；固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为1.37056874→1.32985302个百分点，减少0.04071572个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,先修正位置编码精度并单独保留修正后评价；原C权重与原结果保留。剩余错误按原素材核验继续，不由本实验增加训练量或改取样,本轮未启动本项原因实验；后续从P143:3的第312帧及正常侧N125:30核验素材，再指定唯一改动,固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为1.37056874→1.32985302个百分点，减少0.04071572个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,增加素材、改变标签、增加更新次数不能解释本次配对变化；仍未排除它们与剩余错误有关,尚未区分剩余错误的覆盖、优化和泛化原因；本次排序分摊变化含其他点改变排名的影响，不能全部当作该点自身修复,1.3705687442294023,1.3298530201368461,0.040715724092556194,0.0,1.3694198996406284,N125:30:0.154263；N141:75:0.145523；N147:49:0.0724245；N148:46:0.0658136；N153:73:0.0648399
P150:4,异常对象,0.6786199422884373,79.3528918600514,4113,156,"[0.0349610465548795, 0.12594909218200184, 0.3166022525976664, 0.13415524169820237, 0.04241590762345671, 0.019113899394208357, 0.00542250223802207]",3.2214175758635795e-05,8.540885793448724e-05,stu 记录5466 / 素材43751 / BCE=5.5979e-08 / 错序率=2.9726e-06 / 访问1次；nuscenes 记录2621 / 素材20786 / BCE=2.9127e-13 / 错序率=7.8544e-07 / 访问1次；stu 记录5229 / 素材41857 / BCE=3.1267e-06 / 错序率=1.6215e-05 / 访问2次；stu 记录5343 / 素材42768 / BCE=0.0013509 / 错序率=0.00010726 / 访问2次；stu 记录5225 / 素材41825 / BCE=0.00081713 / 错序率=7.4866e-05 / 访问1次；nuscenes 记录4774 / 素材38217 / BCE=1.7799e-09 / 错序率=6.0798e-07 / 访问1次,近邻训练 BCE=0.16251595734021243; 验证观测 BCE=0.17749360617877538; 均仅为分类诊断,0.0008892579970554365,0.00027270431000000995,位置编码数值损失有正向干预证据；其余原因待查,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；跨帧错序率较高，但尚未排除正常结构组成差异；固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为0.67898235→0.64692282个百分点，减少0.03205953个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,先修正位置编码精度并单独保留修正后评价；原C权重与原结果保留。剩余错误按原素材核验继续，不由本实验增加训练量或改取样,本轮未启动本项原因实验；后续从P150:4的第262帧及正常侧N141:75核验素材，再指定唯一改动,固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为0.67898235→0.64692282个百分点，减少0.03205953个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,增加素材、改变标签、增加更新次数不能解释本次配对变化；仍未排除它们与剩余错误有关,尚未区分剩余错误的覆盖、优化和泛化原因；本次排序分摊变化含其他点改变排名的影响，不能全部当作该点自身修复,0.6789823458642551,0.6469228206058585,0.032059525258396615,0.0,0.6786199422884373,N141:75:0.0901983；N125:30:0.069833；N147:49:0.0432263；N153:73:0.0406442；N148:46:0.0359693
P142:3,异常对象,0.6324794324554004,82.01702801279367,981,55,"[0.00094576466219136, 0.009265044663191772, 0.0812791000116701, 0.056340132612581084, 0.0560305878992887, 0.19220814274609746, 0.23641065986037996]",0.011470073534669242,0.009804638826669583,nuscenes 记录4063 / 素材32411 / BCE=2.062e-11 / 错序率=2.1502e-06 / 访问1次；stu 记录5436 / 素材43511 / BCE=7.367e-06 / 错序率=2.4246e-05 / 访问2次；nuscenes 记录1092 / 素材8674 / BCE=2.472e-11 / 错序率=2.1524e-06 / 访问1次；stu 记录5080 / 素材40665 / BCE=3.4589 / 错序率=0.028449 / 访问1次；nuscenes 记录2154 / 素材17122 / BCE=2.308e-06 / 错序率=9.8077e-06 / 访问1次；stu 记录5229 / 素材41857 / BCE=3.1267e-06 / 错序率=1.6215e-05 / 访问2次,近邻训练 BCE=0.6702242333686457; 验证观测 BCE=3.1016038430816764; 均仅为分类诊断,0.004630703925954178,0.016131473128475748,位置编码数值损失有正向干预证据；其余原因待查,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；同帧错序率不低于跨帧，不支持用跨扫描偏移统一解释；固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为0.63267032→0.62291123个百分点，减少0.00975909个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,先修正位置编码精度并单独保留修正后评价；原C权重与原结果保留。剩余错误按原素材核验继续，不由本实验增加训练量或改取样,本轮未启动本项原因实验；后续从P142:3的第343帧及正常侧N125:30核验素材，再指定唯一改动,固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为0.63267032→0.62291123个百分点，减少0.00975909个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,增加素材、改变标签、增加更新次数不能解释本次配对变化；仍未排除它们与剩余错误有关,尚未区分剩余错误的覆盖、优化和泛化原因；本次排序分摊变化含其他点改变排名的影响，不能全部当作该点自身修复,0.6326703173305134,0.6229112317998848,0.009759085530628542,0.0,0.6324794324554004,N125:30:0.0828887；N141:75:0.0634989；N147:49:0.0273885；N148:46:0.0272516；N150:90:0.0259936
P141:5,异常对象,0.49957446608396233,84.12134054500403,2460,267,"[0.012746741150466602, 0.05761939992021656, 0.23431652479343434, 0.11773111117694673, 0.04285837951852585, 0.03323221463384844, 0.0010700948905237994]",0.00016731533373035828,0.0001272124483614394,nuscenes 记录3338 / 素材26452 / BCE=1.9941e-05 / 错序率=3.6661e-05 / 访问1次；nuscenes 记录1290 / 素材10291 / BCE=0.0001776 / 错序率=4.5286e-05 / 访问2次；stu 记录5381 / 素材43072 / BCE=6.961e-11 / 错序率=6.0155e-06 / 访问2次；stu 记录5229 / 素材41857 / BCE=3.1267e-06 / 错序率=1.6215e-05 / 访问2次；stu 记录5633 / 素材45082 / BCE=0.0010292 / 错序率=0.00013474 / 访问1次；stu 记录5466 / 素材43751 / BCE=5.5979e-08 / 错序率=2.9726e-06 / 访问1次,近邻训练 BCE=0.8037995267011164; 验证观测 BCE=0.2720633608138006; 均仅为分类诊断,0.024783396805821763,0.00035160496914275454,位置编码数值损失有正向干预证据；其余原因待查,同传感器近邻训练候选也有较大分类损失；是否为可信相关素材、是否训练不足尚未区分；同帧错序率不低于跨帧，不支持用跨扫描偏移统一解释；固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为0.49984135→0.48902253个百分点，减少0.01081881个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,先修正位置编码精度并单独保留修正后评价；原C权重与原结果保留。剩余错误按原素材核验继续，不由本实验增加训练量或改取样,本轮未启动本项原因实验；后续从P141:5的第467帧及正常侧N141:75核验素材，再指定唯一改动,固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为0.49984135→0.48902253个百分点，减少0.01081881个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,增加素材、改变标签、增加更新次数不能解释本次配对变化；仍未排除它们与剩余错误有关,尚未区分剩余错误的覆盖、优化和泛化原因；本次排序分摊变化含其他点改变排名的影响，不能全部当作该点自身修复,0.4998413467547003,0.48902253299308246,0.010818813761617863,0.0,0.49957446608396233,N141:75:0.0630311；N125:30:0.0533124；N147:49:0.0304688；N153:73:0.0285326；N148:46:0.0260528
P139:7,异常对象,0.406802048552794,85.83487617785725,2844,99,"[0.012778083718819756, 0.09734576660865489, 0.20493132950810725, 0.080513616669863, 0.009469018829473675, 0.0017642332178754347, 0.0]",1.2896290100035099e-05,5.399317639964174e-05,nuscenes 记录1290 / 素材10291 / BCE=0.0001776 / 错序率=4.5286e-05 / 访问2次；nuscenes 记录1280 / 素材10213 / BCE=1.1314e-12 / 错序率=8.2628e-07 / 访问1次；stu 记录5235 / 素材41904 / BCE=0.0016442 / 错序率=0.00018478 / 访问1次；stu 记录5512 / 素材44119 / BCE=0.00011903 / 错序率=0.00010152 / 访问1次；nuscenes 记录3546 / 素材28149 / BCE=1.7131e-08 / 错序率=3.582e-06 / 访问1次；nuscenes 记录3552 / 素材28202 / BCE=8.0863e-11 / 错序率=4.7268e-07 / 访问1次,近邻训练 BCE=0.06819894050150317; 验证观测 BCE=0.04938391918442189; 均仅为分类诊断,0.00027261602222149054,0.00013603285854272578,位置编码数值缺陷已定位；本项未获益，失分原因待查,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；跨帧错序率较高，但尚未排除正常结构组成差异；固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为0.40737237→0.41873830个百分点，减少-0.01136593个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,先修正位置编码精度并单独保留修正后评价；原C权重与原结果保留。剩余错误按原素材核验继续，不由本实验增加训练量或改取样,本轮未启动本项原因实验；后续从P139:7的第382帧及正常侧N141:75核验素材，再指定唯一改动,固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为0.40737237→0.41873830个百分点，减少-0.01136593个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,增加素材、改变标签、增加更新次数不能解释本次配对变化；仍未排除它们与剩余错误有关,尚未区分剩余错误的覆盖、优化和泛化原因；本次排序分摊变化含其他点改变排名的影响，不能全部当作该点自身修复,0.40737237148642147,0.4187383032459588,-0.011365931759537318,0.0,0.406802048552794,N141:75:0.0586534；N125:30:0.0425165；N147:49:0.0275872；N153:73:0.0263241；N148:46:0.0226022
P142:2,异常对象,0.3692963287290302,87.39042984483183,615,59,"[0.00019887334452412225, 0.003661365539636339, 0.048310486924428325, 0.10407638996766766, 0.08769765603821851, 0.08990428451167368, 0.03544727240288155]",0.0012718273202838258,0.0014759217226642464,stu 记录5074 / 素材40617 / BCE=3.8361e-05 / 错序率=2.1149e-05 / 访问1次；stu 记录5399 / 素材43216 / BCE=0.00060057 / 错序率=7.394e-05 / 访问1次；nuscenes 记录3220 / 素材25517 / BCE=5.8291e-16 / 错序率=3.6263e-08 / 访问1次；nuscenes 记录3338 / 素材26452 / BCE=1.9941e-05 / 错序率=3.6661e-05 / 访问1次；stu 记录5431 / 素材43471 / BCE=0.00083449 / 错序率=2.8297e-05 / 访问1次；nuscenes 记录1680 / 素材13374 / BCE=2.3089e-16 / 错序率=3.4855e-09 / 访问2次,近邻训练 BCE=0.5697208164059651; 验证观测 BCE=1.3171083059147657; 均仅为分类诊断,0.0014971886078690851,0.002165135207342485,位置编码数值损失有正向干预证据；其余原因待查,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；跨帧错序率较高，但尚未排除正常结构组成差异；固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为0.36894111→0.34812837个百分点，减少0.02081275个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,先修正位置编码精度并单独保留修正后评价；原C权重与原结果保留。剩余错误按原素材核验继续，不由本实验增加训练量或改取样,本轮未启动本项原因实验；后续从P142:2的第341帧及正常侧N125:30核验素材，再指定唯一改动,固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为0.36894111→0.34812837个百分点，减少0.02081275个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,增加素材、改变标签、增加更新次数不能解释本次配对变化；仍未排除它们与剩余错误有关,尚未区分剩余错误的覆盖、优化和泛化原因；本次排序分摊变化含其他点改变排名的影响，不能全部当作该点自身修复,0.36894111171099375,0.3481283659761451,0.020812745734848648,0.0,0.3692963287290302,N125:30:0.0445416；N141:75:0.0365673；N147:49:0.0175584；N148:46:0.016721；N153:73:0.0147799
P148:2,异常对象,0.2748555001442478,88.5481789148239,3050,115,"[0.048780344890635534, 0.06028891118358071, 0.11996368832787424, 0.026887072978407943, 0.009693404226198177, 0.009242078537551181, 0.0]",3.99519802939857e-05,3.2645094800017686e-05,stu 记录5108 / 素材40889 / BCE=0.0034263 / 错序率=8.3548e-05 / 访问1次；stu 记录5466 / 素材43751 / BCE=5.5979e-08 / 错序率=2.9726e-06 / 访问1次；stu 记录5319 / 素材42576 / BCE=0.00076484 / 错序率=0.00010048 / 访问1次；stu 记录5343 / 素材42768 / BCE=0.0013509 / 错序率=0.00010726 / 访问2次；stu 记录5229 / 素材41857 / BCE=3.1267e-06 / 错序率=1.6215e-05 / 访问2次；stu 记录5225 / 素材41825 / BCE=0.00081713 / 错序率=7.4866e-05 / 访问1次,近邻训练 BCE=0.12063993946627241; 验证观测 BCE=0.12739216176324994; 均仅为分类诊断,0.0006628700041173127,0.00016078156848970662,位置编码数值损失有正向干预证据；其余原因待查,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；同帧错序率不低于跨帧，不支持用跨扫描偏移统一解释；固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为0.27506211→0.26381035个百分点，减少0.01125177个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,先修正位置编码精度并单独保留修正后评价；原C权重与原结果保留。剩余错误按原素材核验继续，不由本实验增加训练量或改取样,本轮未启动本项原因实验；后续从P148:2的第194帧及正常侧N141:1核验素材，再指定唯一改动,固定权重和全部输入，仅修正位置编码运算精度，本项配对失分为0.27506211→0.26381035个百分点，减少0.01125177个百分点；上游被检查的全部特征值相同，差异首次出现在旋转位置编码,增加素材、改变标签、增加更新次数不能解释本次配对变化；仍未排除它们与剩余错误有关,尚未区分剩余错误的覆盖、优化和泛化原因；本次排序分摊变化含其他点改变排名的影响，不能全部当作该点自身修复,0.27506211293718774,0.26381034727037456,0.011251765666813185,0.0,0.2748555001442478,N141:1:0.0380734；N141:75:0.0365677；N125:30:0.0255992；N147:49:0.0173726；N153:73:0.0154354
