role,sequence,frame,instance,val_index,label,points,range_m,score_p10,score_median,score_p90,errors50,errors75,errors90,intensity_p10,intensity_median,intensity_p90,surrounding_normal,nearest_other_m
miss,125,127,1,127,1,316,5.240785257024873,-2.953125,-0.20556640625,0.66015625,316,316,214,0.010571428574621677,0.037714285776019096,0.3020000010728836,2471,0.030831553527217163
miss,125,128,1,128,1,308,5.1316636654359336,-3.2765625,-0.697265625,0.9058593750000001,308,308,231,0.008771428652107716,0.02885714266449213,0.26322856843471537,2335,0.02774771613529528
miss,125,126,1,126,1,307,5.329015169394642,-2.6,-0.640625,0.4328125000000006,307,307,243,0.011142857372760773,0.036571428179740906,0.35914285778999344,2563,0.025429403380007078
success_reference,125,156,1,156,1,250,4.380776835986682,5.775,9.03125,11.44375,218,0,0,0.0051428573206067085,0.012000000104308128,0.1975999981164932,1397,0.3953705856705178
success_reference,125,160,1,160,1,201,4.195940272378014,5.8125,7.71875,10.3125,198,0,0,0.005428571254014969,0.01342857163399458,0.18285714089870453,1183,0.19714504033891825
miss,169,365,1,8424,1,191,5.9161196479845195,-2.375,-0.1923828125,1.96875,191,187,114,0.09228571504354477,0.17171429097652435,0.2645714282989502,1340,0.03206346676952889
miss,169,352,1,8411,1,149,6.054816175831122,-3.7875,-2.71875,-1.8828124999999993,149,149,149,0.10274285674095154,0.24171428382396698,0.3359428524971009,2733,0.031010322964623506
miss,169,366,1,8425,1,134,6.7466777376293265,-2.015625,-0.87890625,0.46269531250000007,134,134,112,0.09497143030166626,0.20914286375045776,0.37525713741779326,1660,0.03079172057623957
success_reference,169,353,1,8412,1,209,5.27442704512794,4.51875,7.8125,9.9375,205,12,8,0.09022856950759887,0.18771427869796753,0.2638857126235962,2438,0.02356662968881408
success_reference,169,373,1,8432,1,28,13.343434422487487,8.00625,11.0625,12.575,16,2,1,0.08177142664790153,0.2871428579092026,0.4938857048749924,296,0.07583170153011377
miss,143,271,3,3859,1,110,5.505399937595323,-0.18642578125,0.83984375,1.5906250000000004,110,110,20,0.08142857328057289,0.12642857432365417,0.1694285720586777,3021,0.04431810067048865
miss,143,312,3,3900,1,105,5.709602711815093,-1.7078125,-0.59765625,-0.1871093749999999,105,105,105,0.08022857159376144,0.16114285588264465,0.2433142870664597,1601,0.036151222880932116
miss,143,273,3,3861,1,131,5.087904324857637,1.984375,2.796875,3.5,131,103,0,0.0657142847776413,0.09799999743700027,0.1388571411371231,3116,0.04756437247151052
success_reference,143,275,3,3863,1,158,4.706589273209968,12.66875,17.75,19.625,3,0,0,0.06105714365839958,0.0965714305639267,0.14054285883903506,3385,0.04378363651382495
success_reference,143,276,3,3864,1,133,4.505549836623616,7.29375,10.875,12.5625,80,0,0,0.06160000115633011,0.1080000028014183,0.1508571356534958,3635,0.0765412136003335
false_positive,143,271,0,3859,0,484,2.6655087030078572,2.984375,4.5625,5.668749999999999,0,402,484,0.0075142857618629945,0.014571428298950195,0.02857142873108387,2260,0.014160453774831262
false_positive,138,336,0,1151,0,481,2.6600145104345803,0.3828125,1.0078125,1.7578125,0,0,468,0.04085714370012283,0.07457143068313599,0.11228571087121964,6686,0.012383401751789645
false_positive,141,331,0,2685,0,514,2.7131338238642435,-7.459375,5.0625,6.125,0,384,456,0.2257714241743088,0.34928570687770844,0.7082856893539429,12710,0.012613457376450851
false_positive,147,239,0,5330,0,446,2.709709419551777,1.45703125,2.125,2.9609375,0,14,445,0.04085714370012283,0.07414285838603973,0.11057142913341522,6802,0.01253605249811432
false_positive,140,271,0,2144,0,444,2.6495760155566925,5.165625,5.90625,7.96875,0,444,444,0.20499999821186066,0.3221428543329239,0.4177428692579269,12919,0.01465336800882343
false_positive,144,254,0,4311,0,396,2.6855715724253457,6.5625,7.625,8.5625,0,396,396,0.1850000023841858,0.32014285027980804,0.4165714383125305,12887,0.015458314260058002
normal_success_reference,143,271,0,3859,0,580,4.049394050276284,-8.25,-7.71875,-6.75,0,0,0,0.016285713762044907,0.031285714358091354,0.28031428456306484,2424,0.01708178423791895
normal_success_reference,138,336,0,1151,0,440,2.8498122043487806,-8.5625,-8.5,-8.25,0,0,0,0.003971428750082852,0.02857142873108387,0.09691428765654565,1499,0.015397110704217776
normal_success_reference,141,331,0,2685,0,791,2.9337191640422504,-9.25,-8.375,-7.59375,0,0,0,0.43885713815689087,0.486857146024704,0.8374285697937012,13264,0.01528594977672584
normal_success_reference,147,239,0,5330,0,411,2.831277899654474,-8.75,-8.625,-8.5625,0,0,0,0.003142857225611806,0.010857142508029938,0.05942857265472412,1393,0.015025681580842313
normal_success_reference,140,271,0,2144,0,480,3.4215084151407362,-6.6875,-6.21875,-4.96875,0,0,0,0.22942857444286346,0.28457143902778625,0.34414286911487585,12781,0.019213336757594787
normal_success_reference,144,254,0,4311,0,742,3.158627824749166,-9.375,-9.375,-9.3125,0,0,0,0.3254285752773285,0.4311428666114807,0.6124857068061829,13591,0.015352358687002856
