parent,fragment,AP_loss,points,world_cell,first_frame,last_frame,observations,profiled
N141:75,N141:75/40_-222_-15/314,0.41017645089738514,3200,"[40, -222, -15]",314,380,67,True
N141:75,N141:75/41_-222_-15/292,0.305438654394448,3460,"[41, -222, -15]",292,379,88,True
N141:75,N141:75/40_-225_-15/340,0.2954967021754993,3762,"[40, -225, -15]",340,405,66,True
N141:75,N141:75/40_-222_-15/461,0.2779504941078678,1064,"[40, -222, -15]",461,497,37,True
N141:75,N141:75/41_-222_-15/461,0.2054568111515144,922,"[41, -222, -15]",461,497,37,True
N141:75,N141:75/40_-224_-15/329,0.11137184056562315,3549,"[40, -224, -15]",329,397,69,True
N141:75,N141:75/39_-225_-15/331,0.09290880508752104,4638,"[39, -225, -15]",331,405,75,True
N141:75,N141:75/40_-224_-15/466,0.09254077244244549,616,"[40, -224, -15]",466,491,26,True
N141:75,N141:75/40_-225_-15/468,0.04592997062484596,1104,"[40, -225, -15]",468,499,32,True
N141:75,N141:75/41_-223_-15/321,0.044599215762632385,2048,"[41, -223, -15]",321,386,66,True
N141:75,N141:75/39_-224_-15/465,0.04411213915399248,953,"[39, -224, -15]",465,501,37,True
N141:75,N141:75/40_-221_-15/461,0.030020946858310686,367,"[40, -221, -15]",461,490,30,True
N141:75,N141:75/39_-225_-15/467,0.029729274878824572,942,"[39, -225, -15]",467,509,43,True
N141:75,N141:75/41_-221_-15/459,0.027032001375640376,510,"[41, -221, -15]",459,487,29,True
N141:75,N141:75/39_-224_-15/322,0.022122971442939458,3865,"[39, -224, -15]",322,397,76,True
N141:75,N141:75/39_-223_-15/463,0.01957636531521062,937,"[39, -223, -15]",463,503,41,True
N141:75,N141:75/40_-225_-15/529,0.015363788901105855,101,"[40, -225, -15]",529,560,32,True
N141:75,N141:75/46_-280_-21/556,0.015257984213192655,710,"[46, -280, -21]",556,595,40,True
N141:75,N141:75/41_-225_-15/340,0.014699984271468016,5235,"[41, -225, -15]",340,405,66,True
N141:75,N141:75/40_-223_-15/323,0.014611823919976131,1049,"[40, -223, -15]",323,386,64,True
N141:75,N141:75/39_-222_-15/461,0.013588831100242204,941,"[39, -222, -15]",461,498,38,True
N141:75,N141:75/39_-221_-15/458,0.011328627602722364,1098,"[39, -221, -15]",458,497,40,True
N141:75,N141:75/46_-280_-21/455,0.010388256934483586,766,"[46, -280, -21]",455,553,99,True
N141:75,N141:75/39_-223_-15/319,0.01037671606688215,3392,"[39, -223, -15]",319,386,68,True
N141:75,N141:75/40_-226_-15/338,0.009308957326447773,4207,"[40, -226, -15]",338,405,68,True
