案例,视角,固定排序失分百分点,该视角累计失分比例,有效点次,观测次数,各召回区间失分,同帧错序概率,跨帧错序概率,对应训练素材,训练素材学习表现,训练素材池内错序概率,验证观测池内错序概率,原因类别,原因证据,修改方案,区分原因的小实验,尚未核对素材的失分百分点,尚未确认原因的失分百分点,主要对侧案例
N141:75,正常结构候选,2.6736821204805454,11.262110406436149,4579925,307,,,,stu 记录6109 / 素材48511 / BCE=0.12666 / 错序率=0.0050302 / 访问1次；nuscenes 记录38 / 素材293 / BCE=0.015239 / 错序率=0.0017476 / 访问1次；nuscenes 记录3713 / 素材29511 / BCE=0.085146 / 错序率=0.0045499 / 访问1次；nuscenes 记录3714 / 素材29518 / BCE=0.87593 / 错序率=0.0096166 / 访问1次,近邻训练 BCE=0.12665721774101257; 验证观测 BCE=9.560009002685547; 均仅为分类诊断,0.005030191481804385,0.44652133056277926,证据不足,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；结构身份为几何候选，代表局部之外的错误尚未完成素材核对,待原因证据，不改变数据、模型或训练设置,先复查三维形态、表面响应和背景关系；素材可信后比较浅层与融合表示的同容量读出，区分信息不足与读出损失,2.6291737201766345,2.6736821204805454,P125:1:1.37726；P141:4:0.24411；P169:1:0.168309；P143:3:0.145523；P150:4:0.0901983
N125:30,正常结构候选,2.6673416517936954,22.497513427640197,6562405,210,,,,stu 记录5397 / 素材43201 / BCE=0.11398 / 错序率=0.0052684 / 访问2次；nuscenes 记录514 / 素材4051 / BCE=9.4665e-05 / 错序率=3.7365e-06 / 访问1次；nuscenes 记录2362 / 素材18735 / BCE=9.5903e-05 / 错序率=5.46e-06 / 访问2次；nuscenes 记录2398 / 素材19019 / BCE=0.00012402 / 错序率=2.5348e-05 / 访问2次,近邻训练 BCE=0.11398033052682878; 验证观测 BCE=14.32226848602295; 均仅为分类诊断,0.005268357066744164,0.5713030705313324,证据不足,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；结构身份为几何候选，代表局部之外的错误尚未完成素材核对,待原因证据，不改变数据、模型或训练设置,先复查三维形态、表面响应和背景关系；素材可信后比较浅层与融合表示的同容量读出，区分信息不足与读出损失,2.6330038357793204,2.6673416517936954,P125:1:1.5063；P169:1:0.223309；P141:4:0.184643；P143:3:0.154263；P142:3:0.0828887
N147:49,正常结构候选,1.2862720567753065,27.915561371766625,1449999,111,,,,stu 记录5875 / 素材46876 / BCE=0.25063 / 错序率=0.0070333 / 访问1次；nuscenes 记录2337 / 素材18545 / BCE=0.13796 / 错序率=0.0042123 / 访问2次；nuscenes 记录227 / 素材1790 / BCE=0.22635 / 错序率=0.0048033 / 访问2次；nuscenes 记录2881 / 素材22824 / BCE=0.0002075 / 错序率=0.00010711 / 访问1次,近邻训练 BCE=0.2506333887577057; 验证观测 BCE=3.357790946960449; 均仅为分类诊断,0.007033302050766608,0.24962339705651054,证据不足,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；结构身份为几何候选，代表局部之外的错误尚未完成素材核对,待原因证据，不改变数据、模型或训练设置,先复查三维形态、表面响应和背景关系；素材可信后比较浅层与融合表示的同容量读出，区分信息不足与读出损失,1.2636357017851858,1.2862720567753065,P125:1:0.680626；P141:4:0.114042；P169:1:0.0776768；P143:3:0.0724245；P150:4:0.0432263
N148:46,正常结构候选,1.1513186029413667,32.765157036108,1542899,115,,,,stu 记录5158 / 素材41291 / BCE=0.50755 / 错序率=0.0047281 / 访问1次；nuscenes 记录157 / 素材1247 / BCE=0.1684 / 错序率=0.0026133 / 访问1次；nuscenes 记录4800 / 素材38434 / BCE=0.18935 / 错序率=0.0042491 / 访问1次；nuscenes 记录4085 / 素材32595 / BCE=1.2785 / 错序率=0.0093569 / 访问2次,近邻训练 BCE=0.5075523257255554; 验证观测 BCE=5.780149936676025; 均仅为分类诊断,0.004728052499313498,0.29466729619767085,证据不足,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；结构身份为几何候选，代表局部之外的错误尚未完成素材核对,待原因证据，不改变数据、模型或训练设置,先复查三维形态、表面响应和背景关系；素材可信后比较浅层与融合表示的同容量读出，区分信息不足与读出损失,1.1263890641889833,1.1513186029413667,P125:1:0.628241；P141:4:0.0936351；P169:1:0.0768271；P143:3:0.0658136；P150:4:0.0359693
N153:73,正常结构候选,1.1497594640959066,37.60818528030543,863605,75,,,,stu 记录5312 / 素材42522 / BCE=0.23137 / 错序率=0.0041463 / 访问1次；nuscenes 记录4289 / 素材34216 / BCE=9.8606e-05 / 错序率=7.9801e-06 / 访问1次；nuscenes 记录183 / 素材1454 / BCE=0.6961 / 错序率=0.0063658 / 访问1次；nuscenes 记录830 / 素材6541 / BCE=0.13291 / 错序率=0.0025518 / 访问1次,近邻训练 BCE=0.23136655986309052; 验证观测 BCE=2.5858287811279297; 均仅为分类诊断,0.004146335275367534,0.12896759880848593,证据不足,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；结构身份为几何候选，代表局部之外的错误尚未完成素材核对,待原因证据，不改变数据、模型或训练设置,先复查三维形态、表面响应和背景关系；素材可信后比较浅层与融合表示的同容量读出，区分信息不足与读出损失,1.1264271172568416,1.1497594640959066,P125:1:0.610345；P141:4:0.102827；P143:3:0.0648399；P169:1:0.061725；P150:4:0.0406442
N144:47,正常结构候选,1.0251026443694302,41.926132829262066,950942,79,,,,stu 记录6105 / 素材48483 / BCE=0.10892 / 错序率=0.0046335 / 访问2次；nuscenes 记录4270 / 素材34069 / BCE=0.96974 / 错序率=0.0075576 / 访问2次；nuscenes 记录4258 / 素材33982 / BCE=0.00042438 / 错序率=0.00017567 / 访问2次；nuscenes 记录4946 / 素材39592 / BCE=0.014595 / 错序率=0.0011092 / 访问1次,近邻训练 BCE=0.10891707986593246; 验证观测 BCE=4.945396423339844; 均仅为分类诊断,0.004633452170935133,0.25101697364787257,证据不足,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；结构身份为几何候选，代表局部之外的错误尚未完成素材核对,待原因证据，不改变数据、模型或训练设置,先复查三维形态、表面响应和背景关系；素材可信后比较浅层与融合表示的同容量读出，区分信息不足与读出损失,1.0072409779041624,1.0251026443694302,P125:1:0.5582；P141:4:0.0849421；P169:1:0.0644028；P143:3:0.0590401；P150:4:0.033453
N150:90,正常结构候选,0.9079200985661193,45.75048289389738,2212985,156,,,,stu 记录5219 / 素材41779 / BCE=2.4077 / 错序率=0.016122 / 访问1次；nuscenes 记录4856 / 素材38890 / BCE=2.5371 / 错序率=0.016272 / 访问2次；nuscenes 记录1827 / 素材14555 / BCE=0.0038051 / 错序率=0.00063092 / 访问1次；nuscenes 记录1004 / 素材7942 / BCE=0.98565 / 错序率=0.010556 / 访问1次,近邻训练 BCE=2.40773868560791; 验证观测 BCE=4.450460433959961; 均仅为分类诊断,0.016122383697227047,0.2491774731171753,证据不足,同传感器近邻训练候选也有较大分类损失；是否为可信相关素材、是否训练不足尚未区分；结构身份为几何候选，代表局部之外的错误尚未完成素材核对,待原因证据，不改变数据、模型或训练设置,确认近邻素材关系后，固定这些训练样本做可拟合性短探针并跟踪独立检查；不直接扩大总体步数,0.879655424959967,0.9079200985661193,P125:1:0.524998；P169:1:0.067941；P141:4:0.061746；P143:3:0.0541394；P142:3:0.0259936
N146:67,正常结构候选,0.8076488578806885,49.15246944174083,663938,57,,,,stu 记录5344 / 素材42777 / BCE=0.25074 / 错序率=0.0070342 / 访问1次；nuscenes 记录227 / 素材1790 / BCE=0.22635 / 错序率=0.0048033 / 访问2次；nuscenes 记录2337 / 素材18545 / BCE=0.13796 / 错序率=0.0042123 / 访问2次；nuscenes 记录4000 / 素材31915 / BCE=0.30506 / 错序率=0.0051378 / 访问2次,近邻训练 BCE=0.25073862075805664; 验证观测 BCE=7.358381748199462; 均仅为分类诊断,0.00703422757049221,0.40158193766868033,证据不足,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；结构身份为几何候选，代表局部之外的错误尚未完成素材核对,待原因证据，不改变数据、模型或训练设置,先复查三维形态、表面响应和背景关系；素材可信后比较浅层与融合表示的同容量读出，区分信息不足与读出损失,0.7553527912950376,0.8076488578806885,P125:1:0.466676；P141:4:0.0610501；P143:3:0.0484242；P169:1:0.0444151；P150:4:0.0250622
N145:69,正常结构候选,0.7900412918717183,52.48028922500794,1127472,92,,,,stu 记录5157 / 素材41282 / BCE=0.20841 / 错序率=0.0050579 / 访问2次；nuscenes 记录3588 / 素材28495 / BCE=0.69986 / 错序率=0.0076779 / 访问1次；nuscenes 记录370 / 素材2910 / BCE=0.58906 / 错序率=0.0063422 / 访问1次；nuscenes 记录565 / 素材4440 / BCE=9.935e-05 / 错序率=8.58e-06 / 访问1次,近邻训练 BCE=0.20841258764266968; 验证观测 BCE=6.446837902069092; 均仅为分类诊断,0.005057880461106268,0.3104084644688298,证据不足,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；结构身份为几何候选，代表局部之外的错误尚未完成素材核对,待原因证据，不改变数据、模型或训练设置,先复查三维形态、表面响应和背景关系；素材可信后比较浅层与融合表示的同容量读出，区分信息不足与读出损失,0.7771636941749089,0.7900412918717183,P125:1:0.437843；P141:4:0.061279；P169:1:0.0552134；P143:3:0.0455856；P150:4:0.0234977
N149:56,正常结构候选,0.7762221362641927,55.74989982365153,1363242,102,,,,stu 记录5785 / 素材46249 / BCE=0.0013838 / 错序率=0.00045345 / 访问1次；nuscenes 记录2596 / 素材20590 / BCE=0.081025 / 错序率=0.0032582 / 访问2次；nuscenes 记录3597 / 素材28569 / BCE=0.00012631 / 错序率=2.4688e-05 / 访问1次；nuscenes 记录3605 / 素材28641 / BCE=0.00015995 / 错序率=6.5073e-05 / 访问1次,近邻训练 BCE=0.001383794005960226; 验证观测 BCE=1.956172227859497; 均仅为分类诊断,0.00045345109074456047,0.1740698072656152,证据不足,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；结构身份为几何候选，代表局部之外的错误尚未完成素材核对,待原因证据，不改变数据、模型或训练设置,先复查三维形态、表面响应和背景关系；素材可信后比较浅层与融合表示的同容量读出，区分信息不足与读出损失,0.7627844265859073,0.7762221362641927,P125:1:0.429309；P141:4:0.059784；P169:1:0.0573203；P143:3:0.0447313；P150:4:0.0222518
N138:85,正常结构候选,0.7745418927276515,59.01243288376754,1125069,83,,,,stu 记录5132 / 素材41082 / BCE=0.013939 / 错序率=0.0017335 / 访问2次；nuscenes 记录4413 / 素材35219 / BCE=0.00012555 / 错序率=2.381e-05 / 访问1次；nuscenes 记录3536 / 素材28072 / BCE=0.0001067 / 错序率=1.4076e-05 / 访问1次；nuscenes 记录4590 / 素材36690 / BCE=0.0001303 / 错序率=2.9978e-05 / 访问1次,近邻训练 BCE=0.013938723132014276; 验证观测 BCE=2.011888027191162; 均仅为分类诊断,0.0017335490028663322,0.17528212706331858,证据不足,已检索到分类损失较低的训练近邻；几何、响应和背景等价尚未证实，泛化差异不能认定为学错；结构身份为几何候选，代表局部之外的错误尚未完成素材核对,待原因证据，不改变数据、模型或训练设置,先复查三维形态、表面响应和背景关系；素材可信后比较浅层与融合表示的同容量读出，区分信息不足与读出损失,0.7496613683690055,0.7745418927276515,P125:1:0.423632；P141:4:0.0628355；P169:1:0.0505195；P143:3:0.0446265；P150:4:0.0244616
N143:94,正常结构候选,0.7369747145103365,62.11672510234863,1076653,91,,,,stu 记录5327 / 素材42641 / BCE=2.9187 / 错序率=0.017607 / 访问2次；nuscenes 记录616 / 素材4832 / BCE=0.00010219 / 错序率=1.0068e-05 / 访问1次；nuscenes 记录745 / 素材5867 / BCE=0.13178 / 错序率=0.004924 / 访问1次；nuscenes 记录1941 / 素材15452 / BCE=0.00017156 / 错序率=4.8055e-05 / 访问2次,近邻训练 BCE=2.918732166290283; 验证观测 BCE=7.4897804260253915; 均仅为分类诊断,0.017607118475604828,0.4051643487595593,证据不足,同传感器近邻训练候选也有较大分类损失；是否为可信相关素材、是否训练不足尚未区分；结构身份为几何候选，代表局部之外的错误尚未完成素材核对,待原因证据，不改变数据、模型或训练设置,确认近邻素材关系后，固定这些训练样本做可拟合性短探针并跟踪独立检查；不直接扩大总体步数,0.6464459769551476,0.7369747145103365,P125:1:0.473345；P169:1:0.0596648；P143:3:0.046796；P141:4:0.0369685；P142:3:0.0198741
