anomaly,normal,AP_loss
P125:1,N125:30,1.5063039729046142
P125:1,N141:75,1.377260533357155
P125:1,N147:49,0.6806257036229755
P125:1,N148:46,0.6282407790582917
P125:1,N153:73,0.6103445750265124
P125:1,N144:47,0.558199865833123
P125:1,N150:90,0.5249980184849035
P125:1,N143:94,0.4733446192629617
P125:1,N146:67,0.46667552040892724
P125:1,N145:69,0.4378430090739912
P125:1,N149:56,0.4293088859124027
P125:1,N138:85,0.42363243535830225
P125:1,N140:176,0.35231732971860386
P125:1,N152:190,0.3276508312408614
P125:1,N151:36,0.2739061109678184
P125:1,N141:2035,0.25168906271052194
P141:4,N141:75,0.24411007940505586
P125:1,N139:514,0.23878713032435298
P169:1,N125:30,0.2233085200453189
P125:1,N141:1776,0.2186912308413316
P125:1,N142:297,0.1859354448007645
P141:4,N125:30,0.18464270158576332
P169:1,N141:75,0.16830947038049487
P143:3,N125:30,0.15426306224235994
P143:3,N141:75,0.14552304571916827
P125:1,N137:45,0.13916478558201478
P125:1,N143:306,0.13802685758693103
P125:1,N138:1045,0.1235560291236126
P141:4,N141:1,0.12134912107603908
P141:4,N147:49,0.11404248094842707
P125:1,N140:1774,0.11265103752643091
P141:4,N153:73,0.10282677283629985
P125:1,N141:2038,0.09517445653807971
P141:4,N148:46,0.09363508647297868
P150:4,N141:75,0.09019829962316746
P141:4,N144:47,0.08494209901916833
P142:3,N125:30,0.08288870171966178
P125:1,N169:144,0.08272098520593522
P169:1,N147:49,0.07767678625734753
P169:1,N148:46,0.0768270756903992
P125:1,N148:1395,0.07613487797281009
P125:1,N144:595,0.07444517316416759
P143:3,N147:49,0.07242452672016174
P150:4,N125:30,0.06983299692138693
P169:1,N150:90,0.06794102636975598
P141:4,N141:1776,0.06586496316012004
P143:3,N148:46,0.06581363521312689
P143:3,N153:73,0.06483992741287112
P169:1,N144:47,0.064402814866376
P142:3,N141:75,0.06349888002300591
P141:5,N141:75,0.06303112094229882
P141:4,N138:85,0.0628355239200809
P125:1,N147:717,0.0622014841234589
P141:4,N150:90,0.06174602629514506
P169:1,N153:73,0.06172502809165645
P141:4,N145:69,0.06127903402720166
P141:4,N146:67,0.06105011301616314
P141:4,N149:56,0.05978403821101892
P169:1,N143:94,0.059664833955478426
P143:3,N144:47,0.059040141182559625
P139:7,N141:75,0.058653409259517876
P169:1,N149:56,0.05732032459881549
P125:1,N143:550,0.0560909466668915
P169:1,N145:69,0.05521335246506989
P125:1,N141:2022,0.05479212796302514
P143:3,N150:90,0.05413940347613719
P141:5,N125:30,0.05331240487328839
P125:1,N141:2021,0.051760441543163824
P169:1,N138:85,0.050519489624823374
P143:3,N146:67,0.048424231233083946
P143:3,N143:94,0.04679597954650172
P141:4,N140:176,0.04655071636335415
P169:1,N140:176,0.04576534562596221
P125:1,N151:746,0.0456898685744291
P143:3,N145:69,0.04558561804075839
P169:1,N152:190,0.04516099016267063
P143:3,N149:56,0.04473130422439525
P143:3,N138:85,0.0446265478402458
P142:2,N125:30,0.044541621312434734
P169:1,N146:67,0.04441510929345471
P125:1,N144:594,0.043792676933776906
P125:1,N146:519,0.04339644461215509
P150:4,N147:49,0.04322632113234461
P139:7,N125:30,0.04251647827556491
P144:5,N141:75,0.04220024311740409
P150:4,N153:73,0.04064416431050941
P141:4,N152:190,0.03960785312639327
P125:1,N150:599,0.03858478944982345
P148:2,N141:1,0.038073360375448576
P125:1,N145:621,0.037785890674985646
P169:1,N139:514,0.037257492944036935
P141:4,N143:94,0.03696848334647626
P143:3,N140:176,0.03658520462863977
P148:2,N141:75,0.03656774014990161
P142:2,N141:75,0.03656732473043226
P150:4,N148:46,0.03596932138636824
P138:5,N141:75,0.0356824220788628
P169:1,N142:297,0.035514381138809045
P141:4,N151:36,0.03524775608101785
P143:3,N152:190,0.033837456780584835
P150:4,N144:47,0.033453010115044944
P125:1,N149:1038,0.03337374228731356
P169:1,N151:36,0.03323893257284256
P125:1,N150:1557,0.03323457564238857
P147:2,N141:75,0.03316464505989356
P145:1,N141:1,0.03201026741822794
P141:4,N139:514,0.03087935183507405
P141:5,N147:49,0.030468761736674663
P150:4,N141:1,0.03031330914589563
P149:3,N141:75,0.030242135420938714
P141:4,N141:2035,0.029960660047367187
P141:5,N153:73,0.028532602550760244
P143:3,N151:36,0.028338776934716634
P147:2,N141:1,0.02806296410598931
P125:1,N148:1398,0.027659081037549937
P139:7,N147:49,0.027587153031301763
P146:2,N141:75,0.02757319948623595
P142:3,N147:49,0.02738846742248688
P142:3,N148:46,0.02725163271838997
P138:5,N125:30,0.027171790570074787
P149:3,N141:1,0.026827312742224507
P143:3,N141:2035,0.026430619808448404
P139:7,N153:73,0.026324090191263916
P150:4,N141:1776,0.02615009405749444
P141:5,N148:46,0.026052839283496814
P142:3,N150:90,0.025993648528127584
P148:2,N125:30,0.025599190986181398
P125:1,N143:549,0.025287656738903184
P143:3,N141:1776,0.025158863088191916
P150:4,N146:67,0.02506220236009445
P125:1,N143:231,0.025024358300408688
P150:4,N150:90,0.024765404702219506
P125:1,N141:2020,0.02458165852014475
P143:3,N139:514,0.02452678030658269
P150:4,N138:85,0.024461624954642568
P125:1,N125:21,0.02442120304262141
P144:5,N125:30,0.023939390575231763
P141:5,N144:47,0.023767633710048388
P150:4,N145:69,0.0234976813988146
P153:30551,N141:75,0.02328459070256642
P146:2,N125:30,0.023216205169202142
P142:3,N144:47,0.02285904707669403
P147:2,N125:30,0.022826137782921564
P125:1,N143:127,0.02277027489743592
P139:7,N148:46,0.022602186240871
P125:1,N143:299,0.02234219827461553
P150:4,N149:56,0.022251777687763295
P142:3,N153:73,0.022250566918557618
P125:1,N141:1,0.02207802545965733
P140:1,N141:75,0.021768937943959562
P151:1,N141:75,0.021186528596040945
P139:7,N144:47,0.021070048254390454
P142:3,N149:56,0.0204821901140314
P125:1,N138:1044,0.02040478125339138
P125:1,N149:503,0.02039666822995494
P141:4,N137:45,0.020363543450842025
P142:3,N145:69,0.0203515681749552
P152:1,N141:75,0.020338176741847173
P169:1,N137:45,0.02021629215267118
P150:2,N141:75,0.020082592709204
P145:2,N141:75,0.01991390861589549
P142:3,N143:94,0.019874109806762397
P125:1,N152:291,0.019702259024235315
P149:3,N125:30,0.019470482293124997
P125:1,N125:1037,0.019357693975855017
P125:1,N146:380,0.019348859771324462
P141:5,N150:90,0.01911802422390409
P141:5,N146:67,0.01896605926851555
P143:3,N142:297,0.018526103965957084
P125:1,N142:637,0.018337737895706613
P125:1,N150:631,0.018335467042801566
P142:3,N138:85,0.018184378476873767
P150:4,N140:176,0.018027821869425902
P139:7,N141:1776,0.017913394498122716
P152:1,N125:30,0.017851369550685683
P141:5,N138:85,0.017680571622985756
P142:2,N147:49,0.01755836243862168
P125:1,N149:1037,0.017471383102637524
P169:1,N169:144,0.017431704477063065
P148:2,N147:49,0.01737261946766601
P141:5,N145:69,0.017307017251629787
P144:5,N147:49,0.01716598337507168
P137:3,N141:75,0.01686209092727239
P151:1,N125:30,0.0168292360861578
P138:5,N147:49,0.01680147553257572
P142:2,N148:46,0.016720988525073262
P141:5,N149:56,0.016529817771614417
P142:3,N140:176,0.01634302647028931
P125:1,N142:1230,0.01633876089750515
P141:5,N141:1776,0.016301722715600767
P142:3,N146:67,0.016235748984586303
P150:2,N125:30,0.015988308704732574
P125:1,N147:367,0.015918008750544558
P144:5,N153:73,0.015857961515886643
P139:7,N146:67,0.015824781658116918
P145:1,N141:75,0.015761525586068165
P125:1,N146:379,0.015706321547841195
P169:1,N141:2035,0.01567235247883711
P139:7,N138:85,0.015445930124950541
P148:2,N153:73,0.01543542026893576
P138:5,N153:73,0.015421978346003897
P141:4,N142:297,0.015381725968525904
P142:3,N152:190,0.015362630842801248
P142:3,N139:514,0.015199982415784581
P150:4,N152:190,0.015133889589065004
P147:2,N147:49,0.015094360305048597
P125:1,N146:316,0.015083086142502655
P139:7,N150:90,0.015056964680217213
P125:1,N137:13,0.01494490357725939
P140:1,N125:30,0.014823519734680476
P138:5,N141:1,0.014820843032627618
P142:2,N153:73,0.014779913321780573
P150:4,N143:94,0.014727742581615601
P139:7,N145:69,0.014607113836735774
P153:30551,N141:1,0.01457157504143955
P142:2,N144:47,0.014499437904773928
P153:30551,N125:30,0.014480602943866766
P125:1,N152:684,0.014393644496138093
P153:30550,N141:75,0.014389229034431307
P143:3,N137:45,0.01435795875271119
P144:5,N141:1776,0.014356642564124208
P142:2,N150:90,0.014327284827008846
P125:1,N145:625,0.014267618469900082
P150:4,N151:36,0.014065864731780625
P125:1,N150:1098,0.013964997827161426
P137:3,N125:30,0.013964449118909115
P149:3,N147:49,0.013939471193223169
P138:5,N148:46,0.013876717373873049
P139:7,N149:56,0.013853276397522948
P148:2,N148:46,0.013851558976458758
P142:3,N142:297,0.013826146487575824
P125:1,N145:318,0.01379728821043831
P143:3,N143:306,0.013541986974258813
P145:2,N125:30,0.013528079712896145
P147:2,N153:73,0.013462530120768257
P141:4,N141:2038,0.013455772256775697
P141:5,N140:176,0.013421698079641328
P169:1,N143:306,0.013322991887389404
P150:4,N141:2035,0.013295629694618963
P141:5,N143:94,0.013014436755786993
P146:2,N147:49,0.012959850962378295
P143:3,N138:1045,0.01287881911138268
P125:1,N153:531,0.012819707373222293
P125:1,N141:2081,0.012793535324367894
P142:2,N143:94,0.012759892091560228
P149:3,N153:73,0.012719724784928783
P138:5,N144:47,0.012600068777372683
P144:5,N148:46,0.01258993828833983
P125:1,N125:1,0.012507935359226301
P148:2,N144:47,0.012476375178726982
P147:2,N148:46,0.01215176362928086
P142:3,N151:36,0.012040823955690429
P169:1,N141:1776,0.012025412961440891
P142:2,N149:56,0.01201888986713685
P150:4,N139:514,0.011981224617887726
P125:1,N137:314,0.011964470318171903
P141:4,N138:1045,0.011964310654308792
P125:1,N142:718,0.011959900531449047
P125:1,N141:2033,0.011953233227247456
P125:1,N125:685,0.011860368626425569
P142:2,N145:69,0.011836587034571059
P125:1,N150:1564,0.011832945010305072
P146:2,N153:73,0.011733601088532568
P125:1,N145:582,0.011638791952308407
P144:5,N144:47,0.011610992463641822
P141:5,N152:190,0.011608881575670192
P150:3,N141:75,0.011576188797425729
P144:3,N141:75,0.011507601497160617
P125:1,N150:1560,0.011462043410219856
P125:1,N148:311,0.01133463372753676
P125:1,N153:362,0.011303115097868716
