case,kind,AP_loss,gap_share,points,matched_local_AP,unmatched_local_AP,query_count,distinct_nearest_materials,failure_query,success_query,actual_error_points,material,material_index,material_updates,material_bce,material_wrong,material_rank,within_rank,cross_rank,cross_only_AP,supported,excluded,missing,change,causal_status,score_derivative_updates,training_boundary,validation_boundary
P125:1,anomaly,10.243213027044472,0.5366087037127673,25871,10.243213027044472,0.0,210,15,16365,21212,"{""index"":128,""frame"":128,""points"":[{""slot"":124351,""score"":-3.125,""AP_loss"":0.001070816427899974,""within_rank"":0.01439745210997143,""semantic"":2},{""slot"":124352,""score"":-2.328125,""AP_loss"":0.0010372031200657466,""within_rank"":0.009676361762915087,""semantic"":2},{""slot"":124353,""score"":-2.328125,""AP_loss"":0.0010372031200657466,""within_rank"":0.009676361762915087,""semantic"":2}]}",42744,5340,"[98,1437]","[0.014395239110407645,8.180945066233044e-18]","[0,0]","[0.0,0.0]",0.00048610793586153155,0.0004020479692877265,1.2966268393313074,相关候选第二次训练访问分类正确；验证错误尚不能区分观测泛化与运行状态差异,该候选不能支持普遍未训练或分类完全没学会；不证明素材覆盖等价,形态、响应、背景关系的等价核验；当前同权重素材推理,优先核验泛化与观测差异；不据此增加该候选重复次数或指定点权重,未完成因果区分,"[98,1437]",,
P169:1,anomaly,1.4683223854352692,0.07692064685178172,2334,1.4683223854352692,0.0,63,32,44841,44867,"{""index"":8411,""frame"":352,""points"":[{""slot"":102830,""score"":-5.3125,""AP_loss"":0.001118535005094517,""within_rank"":0.01273402954181955,""semantic"":2},{""slot"":113143,""score"":-2.703125,""AP_loss"":0.0010546556137470858,""within_rank"":0.0026766393828205853,""semantic"":2},{""slot"":114170,""score"":-2.265625,""AP_loss"":0.0010340027605188467,""within_rank"":0.002107441904224292,""semantic"":2}]}",43751,5466,"[698,1328]","[1.6203417125899297e-07,1.0915685207423896e-09]","[0,0]","[2.8192372722714104e-07,9.397457574238036e-08]",0.007779438341046148,0.0074750660345559855,0.16311115214378388,相关候选第二次训练访问分类正确；验证错误尚不能区分观测泛化与运行状态差异,该候选不能支持普遍未训练或分类完全没学会；不证明素材覆盖等价,形态、响应、背景关系的等价核验；当前同权重素材推理,优先核验泛化与观测差异；不据此增加该候选重复次数或指定点权重,未完成因果区分,"[698,1328]",,
P141:4,anomaly,1.4572228139427437,0.0763391763059046,15929,1.4572228139427437,0.0,285,67,30678,31866,"{""index"":2734,""frame"":380,""points"":[{""slot"":129597,""score"":4.3125,""AP_loss"":0.0004884402551905598,""within_rank"":0.0007371031844849741,""semantic"":2},{""slot"":130657,""score"":6.09375,""AP_loss"":0.00039514669605702737,""within_rank"":0.000607612084507884,""semantic"":2},{""slot"":130658,""score"":6.28125,""AP_loss"":0.00038703405792544484,""within_rank"":0.000607612084507884,""semantic"":2}]}",41137,5139,"[712,803]","[3.054141143662157e-07,0.0005118920791810038]","[0,0]","[6.528339849704559e-07,3.4709006867595914e-06]",3.744855073375609e-05,3.952024019398299e-05,0.5789481906382578,相关候选第二次训练访问分类正确；验证错误尚不能区分观测泛化与运行状态差异,该候选不能支持普遍未训练或分类完全没学会；不证明素材覆盖等价,形态、响应、背景关系的等价核验；当前同权重素材推理,优先核验泛化与观测差异；不据此增加该候选重复次数或指定点权重,未完成因果区分,"[712,803]",,
P143:3,anomaly,1.162004837216392,0.060873664128663255,3085,1.162004837216392,0.0,91,27,35935,35903,"{""index"":3900,""frame"":312,""points"":[{""slot"":128967,""score"":-0.043701171875,""AP_loss"":0.0008524917489910622,""within_rank"":0.00026958929108385264,""semantic"":2},{""slot"":128965,""score"":0.0169677734375,""AP_loss"":0.0008458453739410817,""within_rank"":0.00025922047219601216,""semantic"":2},{""slot"":127937,""score"":0.0498046875,""AP_loss"":0.0008424107325147483,""within_rank"":0.0002488516533081717,""semantic"":2}]}",43751,5466,"[698,1328]","[1.6203417125899297e-07,1.0915685207423896e-09]","[0,0]","[2.8192372722714104e-07,9.397457574238036e-08]",0.00021602521090011685,0.00044265501337478335,0.3041474814763033,相关候选第二次训练访问分类正确；验证错误尚不能区分观测泛化与运行状态差异,该候选不能支持普遍未训练或分类完全没学会；不证明素材覆盖等价,形态、响应、背景关系的等价核验；当前同权重素材推理,优先核验泛化与观测差异；不据此增加该候选重复次数或指定点权重,未完成因果区分,"[698,1328]",,
P142:3,anomaly,0.7103998980229765,0.03721554627335355,981,0.7103998980229765,0.0,55,34,35235,35364,"{""index"":3394,""frame"":343,""points"":[{""slot"":117831,""score"":-7.0625,""AP_loss"":0.0011355228892486488,""within_rank"":0.09046633000190166,""semantic"":2},{""slot"":122927,""score"":-7.0625,""AP_loss"":0.0011355228892486488,""within_rank"":0.09046633000190166,""semantic"":2},{""slot"":122928,""score"":-6.96875,""AP_loss"":0.0011349146862835553,""within_rank"":0.08589177425148435,""semantic"":2}]}",42280,5282,"[673,1108]","[5.37104759015111e-05,1.742742239370347e-05]","[0,0]","[4.6690601306465284e-07,1.7119887145703935e-06]",0.009088440245311982,0.00866736787548463,0.03681788784465053,相关候选第二次训练访问分类正确；验证错误尚不能区分观测泛化与运行状态差异,该候选不能支持普遍未训练或分类完全没学会；不证明素材覆盖等价,形态、响应、背景关系的等价核验；当前同权重素材推理,优先核验泛化与观测差异；不据此增加该候选重复次数或指定点权重,未完成因果区分,"[673,1108]",,
P150:4,anomaly,0.49531190899942684,0.02594778422746207,4113,0.49531190899942684,0.0,156,48,41412,41184,"{""index"":6734,""frame"":262,""points"":[{""slot"":128972,""score"":-0.28125,""AP_loss"":0.0008768653922205335,""within_rank"":0.0015486641584007905,""semantic"":2},{""slot"":127940,""score"":-0.279296875,""AP_loss"":0.0008766944594249466,""within_rank"":0.0015439136548474138,""semantic"":2},{""slot"":129996,""score"":-0.0947265625,""AP_loss"":0.0008577947908340138,""within_rank"":0.0013966480446927375,""semantic"":2}]}",43751,5466,"[698,1328]","[1.6203417125899297e-07,1.0915685207423896e-09]","[0,0]","[2.8192372722714104e-07,9.397457574238036e-08]",5.635286674713795e-05,9.294889450662213e-05,0.16712206638849048,相关候选第二次训练访问分类正确；验证错误尚不能区分观测泛化与运行状态差异,该候选不能支持普遍未训练或分类完全没学会；不证明素材覆盖等价,形态、响应、背景关系的等价核验；当前同权重素材推理,优先核验泛化与观测差异；不据此增加该候选重复次数或指定点权重,未完成因果区分,[],,
P139:7,anomaly,0.4015683183281321,0.021036861596185105,2844,0.4015683183281321,0.0,99,31,25954,26072,"{""index"":1713,""frame"":382,""points"":[{""slot"":119757,""score"":5.65625,""AP_loss"":0.00041519474711493147,""within_rank"":7.259594007205147e-05,""semantic"":2},{""slot"":119756,""score"":5.71875,""AP_loss"":0.00041212923677351763,""within_rank"":7.259594007205147e-05,""semantic"":2},{""slot"":119755,""score"":6.125,""AP_loss"":0.00039397684666326964,""within_rank"":5.898420130854182e-05,""semantic"":2}]}",44357,5542,"[120,790]","[0.010885276865505621,4.9545252041551526e-15]","[0,0]","[0.0002524538593994654,0.0]",2.6812968803583286e-05,7.61835388885608e-05,0.17348093860481942,相关候选第二次训练访问分类正确；验证错误尚不能区分观测泛化与运行状态差异,该候选不能支持普遍未训练或分类完全没学会；不证明素材覆盖等价,形态、响应、背景关系的等价核验；当前同权重素材推理,优先核验泛化与观测差异；不据此增加该候选重复次数或指定点权重,未完成因果区分,[],,
P141:5,anomaly,0.3962577519108889,0.02075865824791796,2460,0.3962577519108889,0.0,267,52,31047,31417,"{""index"":2750,""frame"":396,""points"":[{""slot"":124521,""score"":-3.140625,""AP_loss"":0.001071344697757106,""within_rank"":0.00802615933412604,""semantic"":2},{""slot"":123487,""score"":-3.09375,""AP_loss"":0.0010697323913162091,""within_rank"":0.007842845818470076,""semantic"":2},{""slot"":127578,""score"":2.15625,""AP_loss"":0.000641033190380308,""within_rank"":0.0004954419342053111,""semantic"":2}]}",42584,5320,"[684,1078]","[2.1212041596016901e-07,1.3273222303871176e-08]","[0,0]","[4.361660866776088e-06,1.677561871836957e-06]",0.00012383433074771336,0.00010917347576819132,0.07027323031060374,相关候选第二次训练访问分类正确；验证错误尚不能区分观测泛化与运行状态差异,该候选不能支持普遍未训练或分类完全没学会；不证明素材覆盖等价,形态、响应、背景关系的等价核验；当前同权重素材推理,优先核验泛化与观测差异；不据此增加该候选重复次数或指定点权重,未完成因果区分,[],,
P142:2,anomaly,0.285295851674187,0.014945724230992382,615,0.285295851674187,0.0,59,22,35225,35187,"{""index"":3392,""frame"":341,""points"":[{""slot"":123368,""score"":-1.515625,""AP_loss"":0.000987314936119715,""within_rank"":0.0014062886343031403,""semantic"":2},{""slot"":126457,""score"":-0.98828125,""AP_loss"":0.0009447066715886459,""within_rank"":0.0007108711777796094,""semantic"":2},{""slot"":122371,""score"":-0.7421875,""AP_loss"":0.0009225459910524144,""within_rank"":0.0006284513310805241,""semantic"":2}]}",40617,5074,"[317,1404]","[3.730189586288934e-05,3.052965914406778e-05]","[0,0]","[0.00011571964664885123,3.4401159977836874e-06]",0.0005717930424692828,0.0008782582947576881,0.030514072889848403,相关候选第二次训练访问分类正确；验证错误尚不能区分观测泛化与运行状态差异,该候选不能支持普遍未训练或分类完全没学会；不证明素材覆盖等价,形态、响应、背景关系的等价核验；当前同权重素材推理,优先核验泛化与观测差异；不据此增加该候选重复次数或指定点权重,未完成因果区分,[],,
P148:2,anomaly,0.2310814670051285,0.012105608477952846,3050,0.2310814670051285,0.0,115,48,39039,39133,"{""index"":5759,""frame"":267,""points"":[{""slot"":131026,""score"":7.5,""AP_loss"":0.0003394838655702739,""within_rank"":8.597055985939038e-05,""semantic"":2},{""slot"":131027,""score"":7.59375,""AP_loss"":0.000336676376495315,""within_rank"":8.597055985939038e-05,""semantic"":2},{""slot"":131028,""score"":8.8125,""AP_loss"":0.0002990571122174501,""within_rank"":5.7313706572926915e-05,""semantic"":2}]}",43559,5442,"[251,1128]","[0.04257979323476483,0.00031041055957099767]","[0,0]","[6.836146122623371e-05,7.120985544399345e-06]",2.0697108870512213e-05,2.463062746447911e-05,0.11348223208343076,相关候选第二次训练访问分类正确；验证错误尚不能区分观测泛化与运行状态差异,该候选不能支持普遍未训练或分类完全没学会；不证明素材覆盖等价,形态、响应、背景关系的等价核验；当前同权重素材推理,优先核验泛化与观测差异；不据此增加该候选重复次数或指定点权重,未完成因果区分,[],,
