threshold,tp,fp,precision,recall
43.0,3,0,1.0,3.428610612692716e-05
42.75,21,2,0.9130434782608695,0.00024000274288849015
42.5,45,16,0.7377049180327869,0.0005142915919039075
42.25,68,27,0.7157894736842105,0.0007771517388770158
42.0,89,38,0.7007874015748031,0.001017154481765506
41.75,119,46,0.7212121212121212,0.0013600155430347775
41.5,160,49,0.7655502392344498,0.0018285923267694487
41.25,207,54,0.7931034482758621,0.002365741322757974
41.0,261,60,0.8130841121495327,0.0029828912330426634
40.75,341,62,0.8461538461538461,0.0038971873964273878
40.5,439,62,0.8762475049900199,0.005017200196573675
40.25,536,62,0.8963210702341137,0.006125784294677653
40.0,666,62,0.9148351648351648,0.0076115155601778305
39.75,816,62,0.929384965831435,0.00932582086652419
39.5,1005,62,0.9418931583880038,0.0114858455525206
39.25,1204,62,0.9510268562401264,0.013760157258940102
39.0,1407,63,0.9571428571428572,0.01608018377352884
38.75,1616,64,0.9619047619047619,0.01846878250037143
38.5,1843,64,0.9664394336654432,0.02106309786397559
38.25,2076,64,0.9700934579439252,0.023725985439833598
38.0,2360,64,0.9735973597359736,0.02697173681984937
37.75,2643,66,0.9756367663344407,0.030206059497822832
37.5,2988,67,0.9780687397708674,0.034148961702419454
37.25,3284,68,0.9797136038186157,0.037531857506942934
37.0,3629,69,0.9813412655489454,0.04147475971153956
36.75,3984,71,0.9824907521578299,0.04553194893655928
36.5,4341,72,0.9836845683208701,0.049611995565663605
36.25,4760,72,0.9850993377483444,0.0544006217213911
36.0,5139,73,0.985993860322333,0.058732099795426235
35.75,5524,74,0.9867809932118614,0.06313215008171522
35.5,5929,77,0.9871794871794872,0.06776077440885038
35.25,6406,78,0.9879703886489821,0.0732122652830318
35.0,6839,82,0.9881520011559023,0.07816089326735162
34.75,7238,83,0.9886627509903019,0.08272094538223294
34.5,7680,84,0.9891808346213292,0.08777243168493354
34.25,8134,86,0.9895377128953772,0.09296106241214186
34.0,8615,90,0.9896611143021252,0.09845826809449251
33.75,9069,92,0.9899574282283593,0.10364689882170082
33.5,9514,98,0.9898044111527258,0.10873267123052835
33.25,9995,100,0.9900941059930659,0.114229876912879
33.0,10489,109,0.9897150405736932,0.11987565572177968
32.75,11009,112,0.9899289632227317,0.1258185807837804
32.5,11494,119,0.9897528631705846,0.13136150127430027
32.25,12024,126,0.9896296296296296,0.13741871335672406
32.0,12442,129,0.9897382865324954,0.14219591081040925
31.875,12709,130,0.9898746008256095,0.14524737425570577
31.75,12955,131,0.9899893015436344,0.1480588349581138
31.625,13190,131,0.9901659034607011,0.15074457993805643
31.5,13429,134,0.9901201799012018,0.1534760397261683
31.375,13708,139,0.9899617245612768,0.1566646475959725
31.25,13964,141,0.9900035448422545,0.15959039531880365
31.125,14227,144,0.9899798204717835,0.16259614395593092
31.0,14489,148,0.9898886383821821,0.1655904638910159
30.875,14751,151,0.9898671319286002,0.16858478382610087
30.75,15042,155,0.9898006185431335,0.1719105361204128
30.625,15307,161,0.9895914145332299,0.1749391421616247
30.5,15550,166,0.9894375159073555,0.1777163167579058
30.375,15795,169,0.989413680781759,0.18051634875827152
30.25,16086,174,0.9892988929889299,0.18384210105258345
30.125,16363,184,0.988880159545537,0.18700785151830307
30.0,16635,192,0.988589766446782,0.19011645847381112
29.875,16883,199,0.9883503102681185,0.19295077658030377
29.75,17135,201,0.9884056299030919,0.19583080949496565
29.625,17386,205,0.9883463134557444,0.19869941370758523
29.5,17657,215,0.9879700089525515,0.201796591961051
29.375,17906,221,0.9878082418491753,0.20464233876958593
29.25,18192,227,0.9876757695857539,0.20791094755368633
29.125,18455,232,0.9875849521057419,0.2109166961908136
29.0,18717,242,0.9872356136927053,0.21391101612589858
28.875,18965,248,0.9870920730755218,0.21674533423239123
28.75,19226,252,0.9870623267275901,0.21972822546543389
28.625,19491,258,0.9869360473948048,0.2227568315066458
28.5,19766,262,0.9869183143598962,0.22589972456828078
28.375,20053,268,0.9868116726539048,0.22917976205442347
28.25,20314,281,0.9863559116290361,0.23216265328746613
28.125,20607,291,0.986075222509331,0.2355112629858627
28.0,20894,296,0.986031146767343,0.2387913004720054
27.875,21171,306,0.9857522000279368,0.24195705093772502
27.75,21415,317,0.9854132155346954,0.2447456542360484
27.625,21685,327,0.985144466654552,0.24783140378747184
27.5,21936,336,0.9849137931034483,0.25070000800009146
27.375,22224,352,0.9844082211197732,0.25399147418827644
27.25,22462,366,0.9839670579989487,0.256711505274346
27.125,22732,379,0.9836008826965514,0.25979725482576943
27.0,22994,394,0.9831537540619121,0.2627915747608544
26.875,23254,406,0.9828402366863905,0.26576303729185474
26.75,23509,421,0.9824070204763895,0.26867735631264356
26.625,23757,434,0.9820594435947253,0.2715116744191362
26.5,24002,449,0.9816367428735021,0.2743117064195019
26.375,24246,467,0.9811030631651357,0.27710030971782534
26.25,24463,481,0.980716805644644,0.2795803380610064
26.125,24716,491,0.9805212837703813,0.2824717996777106
26.0,24958,502,0.9802827965435978,0.2852375455719494
25.875,25214,516,0.9799455888068402,0.2881632932947805
25.75,25468,531,0.9795761375437517,0.291066183613527
25.625,25740,553,0.978967786102765,0.29417479056903506
25.5,25974,572,0.9784524975514202,0.2968491068469354
25.375,26234,592,0.9779318571535078,0.2998205693779358
25.25,26498,609,0.977533478437304,0.30283774671710534
25.125,26759,625,0.9771764534034473,0.305820637950148
25.0,26997,641,0.9768072943049425,0.3085406690362176
24.875,27232,661,0.9763022980676155,0.3112264140161602
24.75,27473,684,0.975707639308165,0.3139807312083567
24.625,27721,704,0.9752330694810906,0.31681504931484933
24.5,27972,736,0.9743625470252194,0.31968365352746886
24.375,28260,763,0.973710505461186,0.3229751197156539
