profile,index,group,unit,frame,geometry_sources,visit1,visit2,update1,update2,kind,points,selector,wrong_both,bce1,wrong1,score1,rank1,worst_slot1,bce2,wrong2,score2,rank2,worst_slot2
0,0,normal_nuscenes,scene-0001,0,[],955,11552,120,1445,normal,29,"{""cell"":[-7,5,-3]}",0,0.009088109688613398,0,"[-5.0375,-4.75,-4.39375]",,3819,0.0054554495033902325,0,"[-8.125,-7.5,-4.021875]",,4075
1,0,normal_nuscenes,scene-0001,0,[],955,11552,120,1445,normal,9,"{""cell"":[-11,9,-3]}",0,0.575193851078525,2,"[-4.38125,-3.875,2.15625]",,4208,0.04885367558081963,0,"[-7.9375,-4.03125,-1.8890624999999999]",,4240
2,0,normal_nuscenes,scene-0001,0,[],955,11552,120,1445,normal,178,"{""cell"":[-5,-1,-3]}",0,0.012048379425555021,0,"[-4.65625,-4.484375,-4.125]",,129,0.0003557771328900248,0,"[-8.125,-7.96875,-7.75]",,65
3,0,normal_nuscenes,scene-0001,0,[],955,11552,120,1445,normal,68,"{""cell"":[-5,-6,-3]}",0,0.07456972729617299,0,"[-4.728125,-3.65625,-1.5054687499999992]",,29608,0.0004387306700224369,0,"[-8.26875,-7.765625,-7.34375]",,29512
4,0,normal_nuscenes,scene-0001,0,[],955,11552,120,1445,normal,26,"{""cell"":[12,-7,-2]}",0,0.008881985930184353,0,"[-4.875,-4.78125,-4.578125]",,19794,0.0005483142960081859,0,"[-7.625,-7.5625,-7.453125]",,19697
5,0,normal_nuscenes,scene-0001,0,[],955,11552,120,1445,normal,9,"{""cell"":[-14,24,0]}",0,0.1199718202064608,0,"[-4.9375,-4.5,-1.1976562499999999]",,5848,0.0014598960601760478,0,"[-7.34375,-7.125,-6.20625]",,5944
6,0,normal_nuscenes,scene-0001,0,[],955,11552,120,1445,normal,5,"{""cell"":[-25,32,0]}",0,0.2408581316304356,0,"[-2.26875,-1.75,-0.6640625]",,5080,0.0007391308903118506,0,"[-7.6375,-7.5,-6.825]",,4984
7,1,anomaly_nuscenes,scene-0001,6,"[""059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d"",""05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0"",""064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36"",""080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8""]",4825,9817,604,1228,anomaly,22,"{""instance"":1}",0,1.1878586760998929e-07,0,"[14.4375,20.8125,32.725]",0.0,23210,2.1589879116829226e-14,0,"[30.2,35.125,39.25]",0.0,23210
8,1,anomaly_nuscenes,scene-0001,6,"[""059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d"",""05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0"",""064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36"",""080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8""]",4825,9817,604,1228,normal,47,"{""cell"":[3,-7,-3]}",3,0.40658656719149283,14,"[-5.3375,-2.203125,0.6757812499999998]",0.0,23305,0.14139741002171738,3,"[-8.525,-8.25,-0.6921875]",0.0,23241
9,1,anomaly_nuscenes,scene-0001,6,"[""059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d"",""05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0"",""064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36"",""080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8""]",4825,9817,604,1228,normal,21,"{""cell"":[4,-8,-3]}",3,1.0125704489240708,9,"[-4.0625,-0.08740234375,3.203125]",0.0,23114,0.8870221191259617,3,"[-4.4375,-2.5,4.71875]",0.0,23146
10,1,anomaly_nuscenes,scene-0001,6,"[""059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d"",""05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0"",""064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36"",""080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8""]",4825,9817,604,1228,normal,253,"{""cell"":[-5,-1,-3]}",0,0.0006045794469623753,0,"[-7.5,-7.4375,-7.34375]",0.0,34277,0.00011750354531636286,0,"[-9.125,-9.0625,-8.9375]",0.0,34277
