anomaly,normal,AP_loss
P125:1,N141:75,1.448915440386344
P125:1,N125:30,1.0960428024295266
P125:1,N153:73,0.6167436794671748
P125:1,N150:90,0.6016350124538093
P125:1,N144:47,0.5793964132392888
P125:1,N147:49,0.5723048307864465
P125:1,N148:46,0.5315823508131013
P125:1,N138:85,0.4521834004574895
P125:1,N145:69,0.4277799437047523
P125:1,N149:56,0.3871002459218327
P125:1,N140:176,0.33989340038454813
P125:1,N146:67,0.3189568377052163
P125:1,N141:2035,0.31148369336104614
P125:1,N152:190,0.281783465319784
P125:1,N151:36,0.2678371883414492
P125:1,N139:514,0.2605274675323843
P141:4,N141:75,0.22374022695556028
P125:1,N137:45,0.19091175881483768
P169:1,N141:75,0.18984802902054124
P169:1,N125:30,0.18735898433083548
P125:1,N142:297,0.18206679522464173
P125:1,N143:94,0.17175916785270032
P143:3,N141:75,0.16364447652088177
P141:4,N141:1,0.12854076761314798
P143:3,N125:30,0.12372444785798344
P125:1,N141:2038,0.1077263951036449
P141:4,N153:73,0.10395481529547014
P141:4,N125:30,0.09627071325765517
P142:3,N125:30,0.09517107075389719
P141:4,N147:49,0.088244605831938
P142:3,N141:75,0.0880217432844292
P125:1,N141:1776,0.0865779572566874
P141:4,N150:90,0.08391776109549197
P141:4,N144:47,0.08330256186298737
P169:1,N150:90,0.07947572540644798
P150:4,N141:75,0.07432224582019667
P125:1,N169:144,0.07247619948273183
P141:4,N138:85,0.07173709314387755
P169:1,N147:49,0.07044151723843507
P141:4,N148:46,0.07020394770713204
P169:1,N148:46,0.06996964756797136
P143:3,N153:73,0.0698283663801525
P169:1,N144:47,0.06970198801660205
P143:3,N150:90,0.06801631345738832
P169:1,N153:73,0.0660457235310565
P143:3,N144:47,0.06501139286290719
P143:3,N147:49,0.06487427051872746
P139:7,N141:75,0.06312887713279076
P141:5,N141:75,0.061834149139273306
P143:3,N148:46,0.06026132852892682
P169:1,N145:69,0.059269299025533635
P141:4,N145:69,0.0568900550451036
P169:1,N138:85,0.05586345480856753
P169:1,N149:56,0.053848353070297776
P141:4,N146:67,0.05135240000048576
P143:3,N138:85,0.05132004825267022
P141:4,N149:56,0.05129228517695283
P141:4,N141:2035,0.048793248405928906
P143:3,N145:69,0.04823318574545209
P169:1,N140:176,0.04663755772588457
P144:5,N141:75,0.04451899420260582
P143:3,N149:56,0.04378045862275485
P169:1,N139:514,0.042492141755581116
P141:4,N140:176,0.04206024956979292
P141:4,N151:36,0.04119093275526185
P150:4,N125:30,0.04048030309542265
P142:2,N141:75,0.03884742481918623
P169:1,N146:67,0.03873438868219254
P143:3,N140:176,0.03845646002275769
P169:1,N152:190,0.03790820943632895
P148:2,N141:75,0.03655331349249136
P142:3,N150:90,0.03653111997490762
P143:3,N146:67,0.036212936553799965
P143:3,N141:2035,0.03525899049251668
P169:1,N142:297,0.03513880540606098
P141:4,N152:190,0.03490785736792146
P169:1,N143:94,0.03421705489622956
P142:2,N125:30,0.0339712468016601
P169:1,N151:36,0.03309914109488681
P145:1,N141:1,0.03308830039030815
P139:7,N125:30,0.032897610505292045
P150:4,N153:73,0.03243762613446834
P143:3,N152:190,0.0316669717510164
P142:3,N147:49,0.03154959708647551
P141:4,N139:514,0.03139740871230837
P142:3,N148:46,0.03131094029909851
P150:4,N141:1,0.030731140561133418
P141:5,N125:30,0.030381513208274265
P143:3,N151:36,0.030269978158324343
P138:5,N141:1,0.030160889155373953
P147:2,N141:75,0.029953208765780174
P142:3,N144:47,0.029605411551711796
P143:3,N139:514,0.02957177494958121
P141:5,N153:73,0.02913167179771146
P150:4,N147:49,0.028823342887823844
P139:7,N153:73,0.028678722972924387
P142:3,N145:69,0.027936630954547223
P150:4,N150:90,0.027896314188481524
P141:4,N137:45,0.027272875660384253
P150:4,N144:47,0.027253911468535008
P125:1,N150:599,0.027114468781768798
P149:3,N141:1,0.02674512918407547
P147:2,N141:1,0.02643666806159817
P142:3,N153:73,0.02626001035225514
P125:1,N141:1,0.026071901248226458
P146:2,N141:75,0.02587217716068965
P142:3,N138:85,0.025402002563344097
P142:3,N149:56,0.025221707873412744
P139:7,N147:49,0.024984455450665344
P141:5,N147:49,0.02494541082594218
P141:5,N150:90,0.024454725691861866
P169:1,N137:45,0.024321584838041296
P149:3,N141:75,0.024288355147416674
P139:7,N150:90,0.024256874917636315
P150:4,N148:46,0.02390869352691615
P139:7,N144:47,0.023724084146771653
P169:1,N141:2035,0.023690643704797263
P141:5,N144:47,0.0234609842991258
P138:5,N141:75,0.02338816444087267
P150:4,N138:85,0.023356951904355532
P142:3,N139:514,0.02223472878676143
P148:2,N141:1,0.02197721223909365
P142:3,N140:176,0.02190292828365393
P144:5,N153:73,0.02149346843744742
P143:3,N137:45,0.021334381840536716
P143:3,N142:297,0.021061953760793027
P152:1,N141:75,0.020946885560824694
P139:7,N148:46,0.02078993469786629
P125:1,N148:1398,0.02075326433960196
P142:3,N142:297,0.020312525830045707
P145:2,N141:75,0.02022886825643342
P153:30551,N141:75,0.020196700903290645
P141:5,N148:46,0.020180073828760144
P141:5,N138:85,0.020124033167457516
P139:7,N138:85,0.020044281463199785
P143:3,N143:94,0.01970638353739743
P140:1,N141:75,0.019702292453403394
P150:4,N145:69,0.019665576713735974
P125:1,N141:2081,0.019553437471835695
P142:3,N143:94,0.019286838622841727
P141:4,N141:2038,0.019129425022932252
P150:2,N141:75,0.018693443180610073
P169:1,N169:144,0.01782656180292771
P148:2,N153:73,0.01771824308604932
P150:4,N149:56,0.01766870343040471
P141:4,N142:297,0.017545527211981958
P142:3,N152:190,0.01754099798250313
P144:5,N147:49,0.01718474325018996
P142:3,N146:67,0.016886728377596555
P137:3,N141:75,0.016855283510769484
P125:1,N125:21,0.016604631318997153
P150:4,N146:67,0.016326232301954485
P139:7,N145:69,0.016303475300737797
P142:2,N150:90,0.01580649114467824
P125:1,N149:1040,0.01574752777573916
P146:2,N141:1,0.015660040398267083
P141:5,N145:69,0.015604047278580797
P141:5,N141:2035,0.0152906559158351
P125:1,N150:631,0.015284386406326742
P125:1,N139:665,0.015042411149290181
P139:7,N149:56,0.015033694652216118
P142:2,N144:47,0.014964195319516115
P150:4,N140:176,0.014913693731172312
P146:2,N125:30,0.014857585986049563
P125:1,N144:595,0.014815301955147657
P142:2,N153:73,0.014741547746496709
