update,stu_fraction,source_switches,recent_stu,bn_shift,gradient_norm,clipped,bce,normal_bce,anomaly_bce,lr,ranking_weight
1,0.375,5,0.028923643479069897,0.00659066139980676,0.6117832064628601,False,0.6874420007110722,0.6968723955681715,0.678011605853973,2e-05,0.0
2,0.125,2,0.036295098663836456,0.003248394313440348,0.3307565748691559,False,0.6917657363316172,0.6851921809045136,0.6983392917587209,2.233766233766234e-05,0.0
3,0.25,2,0.05299509972579299,0.004910279181531807,0.4655010402202606,False,0.6909224466769985,0.6886039671742755,0.6932409261797216,2.4675324675324678e-05,0.0
4,0.125,2,0.05850690720265401,0.002859566475962726,0.3949221670627594,False,0.6611076730202845,0.6916887223475903,0.6305266236929787,2.701298701298702e-05,0.0
5,0.375,4,0.08271068980264565,0.004805427138753432,0.547490119934082,False,0.6505145866172365,0.6873694608718154,0.6136597123626576,2.935064935064935e-05,0.0
6,0.25,4,0.09573075068686474,0.004602882260051392,0.6568576693534851,False,0.691622093616407,0.6764004815806165,0.7068437056521976,3.168831168831169e-05,0.0
7,0.0,0,0.0883350422899064,0.003445211402180389,0.8255723118782043,False,0.6470605473153839,0.705098904326855,0.5890221903039128,3.4025974025974026e-05,0.0
8,0.5,5,0.12062358210407703,0.007679046847487828,0.7160295248031616,False,0.6618297622700594,0.6620477426514496,0.6616117818886692,3.6363636363636364e-05,0.0
9,0.125,1,0.12062542388849759,0.004185265749618241,0.6642143130302429,False,0.6160210997104559,0.6860211360953017,0.5460210633256102,3.87012987012987e-05,0.0
10,0.0,0,0.11130646990623004,0.004434739895315378,0.6128380298614502,False,0.6096268648014532,0.6947483209494959,0.5245054086534106,4.103896103896104e-05,0.0
11,0.375,4,0.1310488696345546,0.005250804047111106,0.8787233233451843,False,0.5779584217652993,0.6027155052057226,0.5532013383248761,4.3376623376623385e-05,0.0
12,0.125,2,0.13033945066007138,0.003333097894011692,0.8821915984153748,False,0.5228644718369875,0.5776150963476369,0.4681138473263381,4.571428571428572e-05,0.0
13,0.0,0,0.12027003657123056,0.004591569423455156,0.9380695223808289,False,0.49498863312808783,0.561129795496958,0.42884747075921764,4.805194805194806e-05,0.0
14,0.375,2,0.1403825281447549,0.0060621177017549845,1.444697380065918,True,0.49597666271394586,0.42065690099934405,0.5712964244285477,5.03896103896104e-05,0.0
15,0.125,2,0.13914319313595078,0.003906394090674,1.315220594406128,True,0.4419760314482344,0.3976113295733763,0.4863407333230924,5.272727272727274e-05,0.0
16,0.375,3,0.15789763323195793,0.005421576916370855,2.5778706073760986,True,0.4814140429592468,0.34107314123112675,0.6217549446873668,5.506493506493506e-05,0.0
17,0.0,1,0.14569920332751485,0.005552064038322447,1.2904917001724243,True,0.39023642298345096,0.3773643442106889,0.40310850175621304,5.740259740259741e-05,0.0
18,0.0,0,0.13444316685283908,0.005473630388017957,1.1710363626480103,True,0.31629211241077465,0.39216163348106603,0.2404225913404833,5.9740259740259744e-05,0.0
19,0.125,2,0.13395671891554486,0.004617892785707922,0.9527904391288757,False,0.2810808326608577,0.3304174794254214,0.23174418589629406,6.207792207792208e-05,0.0
20,0.25,3,0.14311775216129125,0.003798200412626824,0.8356929421424866,False,0.2435394337301716,0.2766506115810448,0.21042825587929836,6.441558441558442e-05,0.0
21,0.375,3,0.1606907500643514,0.005836925655727586,2.5214431285858154,True,0.23906379678892004,0.22567702979102738,0.2524505637868127,6.675324675324676e-05,0.0
22,0.0,0,0.1482765370655232,0.005207707286839868,0.7328031063079834,False,0.1876019004362233,0.22106817067956447,0.15413563019288212,6.90909090909091e-05,0.0
23,0.0,0,0.1368213878853564,0.004447754315295113,0.7964556217193604,False,0.17485797902639938,0.1988313325441317,0.15088462550866702,7.142857142857145e-05,0.0
24,0.25,4,0.14566111025447712,0.004121444636823475,0.6113564968109131,False,0.14201365964984994,0.16391521067839904,0.12011210862130084,7.376623376623377e-05,0.0
25,0.375,6,0.16303957064986901,0.005384665305154014,3.4028818607330322,True,0.5499513452546126,0.13880840424288243,0.9610942862663429,7.610389610389612e-05,0.0
26,0.125,2,0.16024489879897266,0.005128667629230298,0.582517147064209,False,0.13670372159463579,0.13089359007488924,0.14251385311438236,7.844155844155845e-05,0.0
27,0.125,2,0.157375030674891,0.0042285259339090294,0.4819106161594391,False,0.10288840188769387,0.13012896727244236,0.07564783650294538,8.07792207792208e-05,0.0
28,0.375,5,0.17462393469068685,0.006484489689116682,6.40078592300415,True,0.308766971822139,0.1259162219793474,0.4916177216649307,8.311688311688312e-05,0.0
