index,group,unit,frame,geometry_sources,visit1,visit2,update1,update2,label,points,wrong_both,corrected,newly_wrong,correct_both,bce_improved,score_change_mean,bce1,score1,wrong1,rank_error1,AP1,bce2,score2,wrong2,rank_error2,AP2,rank_inverted_both,rank_corrected,rank_newly_inverted,rank_improved,rank_worsened,point_examples,persistent_ranges,persistent_source_classes
0,normal_nuscenes,scene-0001,0,[],955,11552,120,1445,0,24262,12,213,1,24036,24013,-2.9403304707806477,0.031335736369506685,-4.62978013170472,225,,,0.0021654357038111425,-7.570110602485368,13,,,,,,,,"[{""slot"":23672,""score1"":2.34375,""score2"":1.921875,""bce1"":2.435387157094044,""bce2"":2.0584425689429473,""rank1"":null,""rank2"":null},{""slot"":26134,""score1"":1.734375,""score2"":1.53125,""bce1"":1.896927841063854,""bce2"":1.7270348245985068,""rank1"":null,""rank2"":null},{""slot"":23608,""score1"":2.109375,""score2"":1.5078125,""bce1"":2.223876001310483,""bce2"":1.7078051226404891,""rank1"":null,""rank2"":null}]","[0,0,0,12]","{""27"":4,""28"":5,""30"":3}"
1,anomaly_nuscenes,scene-0001,6,"[""059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d"",""05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0"",""064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36"",""080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8""]",4825,9817,604,1228,0,24670,28,119,9,24514,24058,-1.5321852109960858,0.01711854177951689,-7.003006071748644,147,0.0,100.0,0.006733338972932861,-8.53519128274473,37,0.0,100.0,0,0,0,0,0,"[{""slot"":25525,""score1"":7.375,""score2"":13.6875,""bce1"":7.375626530387289,""bce2"":13.687501136564357,""rank1"":0.0,""rank2"":0.0},{""slot"":25461,""score1"":8.125,""score2"":13.0,""bce1"":8.125296000917462,""bce2"":13.000002260326852,""rank1"":0.0,""rank2"":0.0},{""slot"":25493,""score1"":7.875,""score2"":12.625,""bce1"":7.8753800567271615,""bce2"":12.625003288754474,""rank1"":0.0,""rank2"":0.0}]","[0,18,0,10]","{""17"":4,""24"":22,""28"":2}"
1,anomaly_nuscenes,scene-0001,6,"[""059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d"",""05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0"",""064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36"",""080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8""]",4825,9817,604,1228,1,22,0,0,0,22,22,12.832386363636363,1.1878586760998929e-07,22.400568181818183,0,0.0,100.0,2.1589879116829226e-14,35.23295454545455,0,0.0,100.0,0,0,0,0,0,"[{""slot"":23210,""score1"":13.875,""score2"":29.125,""bce1"":9.422450378198525e-07,""bce2"":2.2447770550207222e-13,""rank1"":0.0,""rank2"":0.0},{""slot"":23307,""score1"":21.75,""score2"":29.75,""bce1"":3.581747929641735e-10,""bce2"":1.2015425731771065e-13,""rank1"":0.0,""rank2"":0.0},{""slot"":23275,""score1"":22.0,""score2"":30.0,""bce1"":2.789468092479868e-10,""bce2"":9.357622968839737e-14,""rank1"":0.0,""rank2"":0.0}]","[0,0,0,0]",{}
2,normal_nuscenes,scene-0001,10,[],2547,7050,319,882,0,26016,22,68,21,25905,20592,-1.381624281956261,0.01628165544863045,-6.100087416522104,90,,,0.005938850689647089,-7.481711698487529,43,,,,,,,,"[{""slot"":8759,""score1"":4.0625,""score2"":6.46875,""bce1"":4.0795596043578515,""bce2"":6.47029996166451,""rank1"":null,""rank2"":null},{""slot"":8791,""score1"":2.5625,""score2"":5.625,""bce1"":2.6367831253555125,""bce2"":5.628600075082226,""rank1"":null,""rank2"":null},{""slot"":8726,""score1"":3.28125,""score2"":5.3125,""bce1"":3.318142284148856,""bce2"":5.317417476699886,""rank1"":null,""rank2"":null}]","[0,0,3,19]","{""4"":3,""23"":11,""24"":2,""26"":1,""27"":4,""28"":1}"
3,anomaly_nuscenes,scene-0001,12,"[""059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d"",""05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0"",""064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36"",""080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8""]",4968,9025,622,1129,0,25859,85,201,9,25564,21570,-0.6284312501926009,0.038157304697873956,-7.356381062606799,286,0.0,100.0,0.013493799001926474,-7.9848123127994,94,0.0,100.0,0,0,0,0,0,"[{""slot"":5223,""score1"":7.3125,""score2"":10.5,""bce1"":7.313166924654059,""bce2"":10.50002753607023,""rank1"":0.0,""rank2"":0.0},{""slot"":5255,""score1"":7.375,""score2"":10.5,""bce1"":7.375626530387289,""bce2"":10.50002753607023,""rank1"":0.0,""rank2"":0.0},{""slot"":5287,""score1"":7.03125,""score2"":10.4375,""bce1"":7.032133435962446,""bce2"":10.43752931196815,""rank1"":0.0,""rank2"":0.0}]","[26,44,4,11]","{""4"":3,""24"":68,""26"":1,""27"":8,""28"":5}"
3,anomaly_nuscenes,scene-0001,12,"[""059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d"",""05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0"",""064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36"",""080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8""]",4968,9025,622,1129,1,146,0,0,0,146,146,5.886130136986301,3.771290400212117e-12,35.0958904109589,0,0.0,100.0,2.555956399101624e-16,40.982020547945204,0,0.0,100.0,0,0,0,0,0,"[{""slot"":5415,""score1"":21.75,""score2"":31.5,""bce1"":3.581747929641735e-10,""bce2"":2.0879679116459118e-14,""rank1"":0.0,""rank2"":0.0},{""slot"":5383,""score1"":22.375,""score2"":31.875,""bce1"":1.9171715135745346e-10,""bce2"":1.4350379601338155e-14,""rank1"":0.0,""rank2"":0.0},{""slot"":4553,""score1"":28.75,""score2"":34.0,""bce1"":3.266131342786914e-13,""bce2"":1.7139084315420116e-15,""rank1"":0.0,""rank2"":0.0}]","[0,0,0,0]",{}
4,normal_nuscenes,scene-0001,20,[],3305,8072,414,1010,0,25630,3,27,10,25590,25398,-2.0758954283691597,0.006213219005722381,-6.132275014364575,30,,,0.0017009802989317686,-8.208170442733735,13,,,,,,,,"[{""slot"":26357,""score1"":1.8984375,""score2"":0.349609375,""bce1"":2.0380276909868913,""bce2"":0.8831530264285127,""rank1"":null,""rank2"":null},{""slot"":26485,""score1"":2.609375,""score2"":0.16796875,""bce1"":2.6803743399190885,""bce2"":0.7806541051214098,""rank1"":null,""rank2"":null},{""slot"":26421,""score1"":3.78125,""score2"":0.0615234375,""bce1"":3.803788275020599,""bce2"":0.7243819663779836,""rank1"":null,""rank2"":null}]","[0,0,0,3]","{""28"":3}"
5,anomaly_nuscenes,scene-0001,32,"[""059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d"",""05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0"",""064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36"",""080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8""]",4763,8579,596,1073,0,26103,65,63,18,25957,25125,-1.1492464163246472,0.035511990819002165,-6.960698189015855,128,1.52256789424931e-05,99.46872106466546,0.017423137610780456,-8.109944605340502,83,0.0,100.0,0,5,0,5,0,"[{""slot"":23274,""score1"":29.5,""score2"":21.25,""bce1"":29.500000000000153,""bce2"":21.250000000590532,""rank1"":0.038461538461538464,""rank2"":0.0},{""slot"":23242,""score1"":29.0,""score2"":20.25,""bce1"":29.000000000000256,""bce2"":20.25000000160523,""rank1"":0.038461538461538464,""rank2"":0.0},{""slot"":23658,""score1"":32.75,""score2"":18.375,""bce1"":32.75000000000001,""bce2"":18.375000010467403,""rank1"":0.1346153846153846,""rank2"":0.0}]","[0,62,1,2]","{""4"":1,""23"":1,""24"":62,""28"":1}"
5,anomaly_nuscenes,scene-0001,32,"[""059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d"",""05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0"",""064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36"",""080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8""]",4763,8579,596,1073,1,78,0,0,0,78,58,1.0048076923076923,5.403830929141401e-14,35.23397435897436,0,1.5225678942493103e-05,99.46872106466546,8.90597790977339e-12,36.23878205128205,0,0.0,100.0,0,12,0,12,0,"[{""slot"":23370,""score1"":27.0,""score2"":22.125,""bce1"":1.879528816537317e-12,""bce2"":2.461696951512387e-10,""rank1"":0.0001915488641152358,""rank2"":0.0},{""slot"":23562,""score1"":30.875,""score2"":22.375,""bce1"":3.9008376101806386e-14,""bce2"":1.9171715135745346e-10,""rank1"":7.661954564609431e-05,""rank2"":0.0},{""slot"":23306,""score1"":27.75,""score2"":22.875,""bce1"":8.878265478455717e-13,""bce2"":1.162823302954489e-10,""rank1"":0.0001915488641152358,""rank2"":0.0}]","[0,0,0,0]",{}
6,normal_nuscenes,scene-0001,34,[],2917,6603,365,826,0,23698,3,6,22,23667,20232,-1.0716765242212885,0.00780545906446257,-5.241693243496287,9,,,0.00900038638159741,-6.313369767717575,25,,,,,,,,"[{""slot"":8536,""score1"":0.39453125,""score2"":2.875,""bce1"":0.9097447733137065,""bce2"":2.9298821791580782,""rank1"":null,""rank2"":null},{""slot"":27540,""score1"":0.6171875,""score2"":0.3359375,""bce1"":1.0486189041355463,""bce2"":0.8751568424092726,""rank1"":null,""rank2"":null},{""slot"":27572,""score1"":0.5546875,""score2"":0.30078125,""bce1"":1.008467539888032,""bce2"":0.8548041022846482,""rank1"":null,""rank2"":null}]","[0,0,0,3]","{""23"":1,""27"":1,""28"":1}"
